Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,25 January 2000,Movie-12,10, One of the most penetrating films of the past several years. **** out of ****,THE GREEN MILE (1999) ****,/
1,29 October 2009,thinker1691,9," "" I knows you think I's a powerful man, but the darkness scares me boss ""","The world is teeming with wretched prisons wherein all manner of men are housed. Because these men are said to have committed a crime, the places are manifest and most men serving there, have earned their stay. However, as history has shown, there are innocent men incarcerated as well. Occasionally, one of these innocents are not only imprisoned, but are further remembered because their life becomes legend. In this case, the realization is nothing short of incredible as the new prisoner is a natural empath. Steven King the prolific American horror writer, chronicles this unusual story in a Louisanna prison where one Joe Coffee, (Michael Clarke Duncan) a huge, nay, enormous Black man, having been convicted of murder, is sentenced to be executed, by electrocution. Tom Hanks( And Dabbs Greer) plays Paul Edgecomb, an aging Prison Guard, who recalls his years in the state prison. Working on 'Death Row' or "" The Green Mile "", Mr. Edgecomb recalls Mr. Coffee's arrival and the strange events during his stay. With sympathetic Guards, like Brutus Howell (David Morse), Dean Stanton (Barry Pepper), Harry Terwilliger (Jeffery Demunn and one particular sadistic guard called Percy Wetmore (Doug Hutchison), Edgecomb recollects his discovery of the man's unusual healing powers and the surprising revelations concerning his innocence. The story is crafted by Steven King and it's application to the silver screen is perhaps one of the finest adaptation ever done. Duncan is magnificent and has a superb ability to allow the audience to learn his true purpose. Were it not for the sadistic behavior of Hutchison, who earned his ultimate reward, the story would not have carried it's genuine sympathetic awe which gave this movie it's Classic status. A great film and a must for true movie fans. ****",r
2,5 May 2020,DemonKiki,10, 'm sorry for what I am,"You tell God the Father it was a kindness you done. I know you hurtin' and worryin', I can feel it on you, but you oughta quit on it now. Because I want it over and done. I do. I'm tired, boss. Tired of bein' on the road, lonely as a sparrow in the rain. Tired of not ever having me a buddy to be with, or tell me where we's coming from or going to, or why. Mostly I'm tired of people being ugly to each other. I'm tired of all the pain I feel and hear in the world everyday. There's too much of it. It's like pieces of glass in my head all the time. Can you understand?",e
3,7 December 2009,bkoganbing,10, The Least Of us,I'm glad that a number of reviewers have informed me that this highly unusual tale was a faithful adaption from the novel by Stephen King. I'm not much of a fiction reader so it is gratifying to hear that his vision got to the screen intact. ,v
4,8 January 2012,oundjianm,10, Do not live your entire life without seeing this film!!!,GREATEST FILM I HAVE EVER SEEN. i remember seeing it when it first came out when i was 12 years old. now i just finished watching it and have gone through practically a whole box of tissues...,i
5,17 June 2001,jlacerra,10, A one of a kind classic,This movie is a real gem.  It is hard to find fault with it.  Hanks is excellent in a role that clearly calls for him to suppress his natural slant toward humor.  He is Paul Edgecomb; Tom Hanks is nowhere to be found.  Yet he gives Edgecomb just the right flavor.  One cannot find a single weak cast member!  Michael Jeter should have got an Oscar.  Michael Clark Duncan put just the right shading on his huge character to make him vulnerable and sympathetic.,e
6,2 December 2009,deepaknarwal88,10, this movie can tear emotions out of anyone.,"i expected this movie to be a normal and i just want to see it for Tom Hanks but as movie goes through i cry,i laugh and there comes a feeling which can't be described in words. i rate this movie as the best i have ever seen. some moments in the movie makes me hold my bed pillow in the tightest ever grip. i can guarantee that this movie will leave an impression in your mind for a long time. i even say that this movie is better than shawshank redemption.fantastic story, brilliant acting,mind boggling feelings and overall an unforgettable drama. if you have watched 1000 movies and not this then your movie watching journey is incomplete.i will also make sure that even my next generation should watch this one.",w
7,13 March 2023,EVON1TY,10, Mixing an emotional drama with a Miracle!,"As you may know, the movie is adapted from Stephen King's amazing novel.",/
8,10 February 2000,uniikki,10, A rare gem of casting and direction.,"Frank Darabont returns to the directors chair with another adaptation of Stephen Kings novel. The events take place at a death row, the guards call the green mile. The story is a layered, rather character-driven fantasy tale of the events that transpire at ""the mile"" after the arrival of a giant man, John Coffey (Michael Duncan), convicted of the murder of two small girls. Actually this is not one single story, but several tied together seamlessly.",r
9,15 December 1999,KathyT,10, As wonderful as the book!,"""The Green Mile"" is one of my favorite Stephen King books and I have read it several times.  I was anxiously anticipating the film version, but was concerned that the emotional impact of the book could not be replicated on screen.  Fortunately this wonderful story was adapted by Frank Darabont, who did such a magnificent job bringing King's ""Shawshank Redemption"" to the screen.  He does the same high quality work with ""The Green Mile"".  The story is faithful to the book, only losing details that were not important to the story anyway.  The casting is superb - every actor is perfectly suited for his role and does an excellent job, although I would like to single out Doug Hutchison.  His portrayal of the detestable Percy is right on the mark and suggests complexities in this character I had not discovered in the book.  The length is about three hours and it seems that critics are complaining about that.  I can't understand the complaints.  The film never drags and is never dull, and it certainly didn't feel three hours long.  The length is needed to tell this story the way it should be told, and the story is so very engrossing.  Best of all, Darabont and the actors bring so much emotion ot the screen, that I cried like a baby through several scenes. ""The Green Mile"" will haunt you.",w
10,5 January 2023,Sleepin_Dragon,10, An incredible movie.,"Paul Edgecomb and his team of prison guards get a surprise when John Coffey walks through the door, a man of huge stature, with a timid demeanour, but a special gift, but convicted for murdering two children.",2
11,5 September 2012,epluribusunum2010,10, Rest in Peace Michael Clarke Duncan,"There's a reason why this Oscar winning tour de force is #67 ranked of all films on IMDb, despite the fact that it's 3 hours long and has some truly grisly scenes (not for the squeamish, children, or a first date.)",2
12,11 December 1999,bldsimple2,10, Warning to Teamsters: Bring 5 Hankies,"I went looking for an experience. Something that would take me to the limits of my own existence and remind me that even in the darkest corner of my own life, there was hope. I was reminded, instead that along with the triumph there must also be sacrifice. A part of me died in that theater, but I walked out feeling renewed, refreshed...and a little cursed.",2
13,11 July 2013,transylvanianfairy,10, It will stay with you for a long time.,"The Shawshank Redemption is possibly my favorite movie ever. I had seen many movies before it, and I've certainly seen a lot after, but not many of them made me feel what that one did. Now, I have that feeling again. And once again, it comes from watching a Frank Darabont movie. I couldn't possibly explain the overload of emotions I experienced in the 3 hours it lasts. I have laughed. I have felt the emotions of every character. And most of all, I have cried. Very few movies have touched me like this one. Is there something to say about the acting that hasn't been said before? No, it isn't. You may have heard it is flawless, incredible, whatever. You did hear right, it absolutely is. I can't think of anyone in the whole movie that wasn't convincing in the least. The script has its funny moments, but it's incredibly deep, poignant and heartfelt. The characters are so ""human"" and unpretentious you can't help but adore them. But, well, there will be some you'd like to strangle. There has to be a villain everywhere, right? The Green Mile is a movie I will hardly forget. You can't possibly forget such an emotive story.",7
14,16 February 2013,illbebackreviews,10," This movie blew me away, made me laugh, made me cry and me truly understand what the term 'sad' meant","Until I saw 'the Green Mile', I always thought that the 'Shawshank Redemption' and 'Forrest Gump' were the two saddest movies that I ever saw, but this movie actually blew me away for good.",1
15,9 January 2000,alan photog,10, Film was invented for creations like this.,"The Green Mile is a masterwork. This is film as art, at it's very best. The depth of the cast is extraordinary, with all of the players delivering excellent performances. There is a clear sense here that all involved in the production knew that this was something special, and gave it their all. See this film if you truly enjoy actors giving everything to their craft. Watch for the countless subtleties of expression, and the great power that the cast creates with silence. This is evident in the opening sequence and remains throughout. Above all, Michael Duncan as John Coffey is exceptional. He brings gripping emotion to a unique, fascinating character.",3
