Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,26 December 2008,hitchcockthelegend,10, Timeless classic still entertaining the masses as each new generation comes in.,"Dorothy is a young girl living on a Kansas farm, during a tornado, she, along with her dog Toto, is swept up and plonked down in a magical and mysterious land known as Oz. Desperate to get back home and under threat from a wicked witch, she is advised to seek out a great wizard who should be able to help her get back home. As she sets off and on her way, she meets and befriends a wonderful array of characters whom also have something to ask of the fabled wizard. It's a journey that will prove to be both magical and fraught with danger.",/
1,4 May 2013,AlsExGal,10, Perhaps the most well known and watched film in history?,"This film predates my birth by 19 years, so I've seen it as a child when it was an annual event on network TV, stretched out to hours in length, believably due to commercials and maybe not so believably today due to the network hosting and talking about the film a little during breaks.",r
2,26 December 2022,Sleepin_Dragon,10, A magical experience.,"Young Dorothy runs away from home with her dog Toto, after a tornado hits, she's transported to the magical world of Oz.",e
3,12 February 2009,TheLittleSongbird,10, My childhood favourite!,"I am 16, and I still love this movie. I grew up watching this, Chitty Chitty Bang Bang and Meet Me in Saint Louis, and I never tire of them. Judy Garland is wonderful as Dorothy, bringing a sense of vulnerability and sadness to the role, making Over The Rainbow more poignant than it already was. Ray Bolger, Jack Haley and Bert Lahr are really entertaining as her three friends. Billie Burke as Glinda, and the Munchkins were great fun too. The wicked witch of the west scared the life out of me here and still does, and even Frank Morgan does 5 roles to great comical effect. The songs are just fabulous, and so is the cinematography and the stunning scenery. True, the film isn't completely faithful to the book, but why does it have to be? If I had one minor drawback, it would be the singing voice of the Lion, but apart from that, this movie is a must-see! 10/10. Bethany Cox",v
4,29 November 2014,utgard14,10, Flawless,"The most difficult thing about reviewing The Wizard of Oz is finding something to say about it that doesn't begin with ""the best."" It's hard to argue that this isn't a strong contender for the greatest movie of all time. Navel-gazing dramas about the human condition are fine, and I know most critics' lists would give preference to those sorts of films, but this movie has a little bit of everything and is easily among the most perfect films ever made. It doesn't matter if you're a kid or a grown-up. The Wizard of Oz is a timeless classic that has appeal for every open-hearted person out there. It's full of iconic lines, songs, characters, and moments. It's had a cultural impact few films do. So many things from the film have made their way into our everyday lives and language. If I had to single out one thing about it I love more than the memorable characters played by an ideal cast, exuberant Arlen & Harburg songs, delightful story, and beautiful sets, costumes, and matte painting backdrops, it would be the vibrant and rich Technicolor. It's such a gorgeous looking movie. Funny, sentimental, sincere -- it's a masterpiece that I've been in love with since I was a little kid. I've never grown tired of it and I hope I never do.",i
5,13 November 2005,nycritic,10, Finding Her Way Back Home -- To Our Hearts.,"Even with the advance of special effects there will never be a movie as honest and as true to its heart as THE WIZARD OF OZ, with the exception of THE LORD OF THE RINGS TRILOGY. But since the latter is too new, it can't be compared to the former. Everyone at one point of their lives, especially as children, has seen this film and has experienced the emotions that Dorothy experienced, the terror of entering the Wicked Witch's lair, her transition from little girl to wise young woman, and this incredible world that L. Frank Baum created and Hollywood perfected.",e
6,7 May 2006,robb_772,10, A true cinematic milestone,"Where to begin? MGM's elaborate adaptation of L. Frank Baum's 1900 fantasy classic THE WONDERFUL WIZARD OF OZ not only became an institution among itself (and practically defined the concept of modern popular culture), but is reported to be the most viewed film ever made. A sharp screenplay effectively condenses the novel's text into a workable film, and director Victor Fleming (along with countless other behind-the-scenes technicians) craft a visually stimulating fantasy world that surpasses the expectations of even the most imaginative viewers. Brimming with stunning visual effects (the film's fierce tornado is an FX feat that has yet to be surpassed by CGI), witty dialogue, and eye-popping Technicolor, THE WIZARD OF OZ truly lives up to it's reputation as a once-in-a-lifetime film where every element comes together flawlessly.",w
7,3 September 2015,anaconda-40658,10, Garland's Oz.,"The Wizard of Oz (1939): Dir: Victor Fleming / Cast: Judy Garland, Ray Bolger, Jack Haley, Bert Lahr, Margaret Hamilton: Sensational treasure about mind and imagination. Judy Garland plays Dorothy, a farm girl who, in the midst of a tornado, is spirited away over the rainbow to the glorious land of Oz. She is greeted by numerous Munchkins after her house lands on the Wicked Witch of the East. This angers the Wicked Witch of the West who demands the ruby slippers, which have appeared on Dorothy's feet. To return to Kansas she must follow the yellow brick road to the Emerald City and seek help from the wizard. On the way she encounters a scarecrow who needs a brain, a tin man who needs a heart, and a cowardly lion who needs courage. Skillfully directed by Victor Fleming whose luck had him direct this film and Gone With the Wind the same year. Garland graces the screen with her innocence and beautiful singing voice that belts out ""Over the Rainbow."" Margaret Hamilton plays the menacing wicked witch whose defeat is one of the great scenes due to its simplicity. Ray Bolger, Jack Haley and Bert Lahr are wonderfully cast as Dorothy's companions. Margaret Hamilton gives a menacing performance as the Wicked Witch of the west. It regards important things taken for granted. Triumphant visual wonder that renders that ""you're not in Kansas anymore."" Score: 10 / 10",/
8,23 June 2014,Rainey-Dawn,10, Fantasy Classic,The Wizard of Oz is a long time favorite of mine. One I used to watch every Easter with my family. It is a delightful classic film.,r
9,8 August 1999,Nazi_Fighter_David,10, An enchanting film with flaws that cannot seriously mar its durable delights,"Dorothy's trip, as we follow her from her Kansas farm down the Yellow Brick Road to the Emerald City and back home again, is depicted with rare cinematic imagination and skill ",w
10,1 June 2014,atlasmb,10, A Great and Powerful Film,"Released in 1939, ""The Wizard of Oz"" is a classic American film that had a modest start. After its release, and for many years, it was viewed as an entertaining film but not as a great film. When I was a child, it aired on network TV once a year, around Thanksgiving. Whole families would gather around their sets for this special annual viewing.",1
11,15 June 2007,jem132,10, An Endurable Fantasy...Will Continue To Last For Many Years Yet...,"Probably the world's most-watched film (GONE WITH THE WIND running a close second), THE WIZARD OF OZ is an enduring, magical piece of fantasy that has permeated popular culture like no other film before or since. There are hundreds of unforgettable, instant-classic moments in the film, with the Yellow Brick Road, Dorothy and Toto, the songs, Garland's dazzling ruby red slippers, sepia-toned Kansas and the closing line ""There's no place like a home!"" just a few of the wondrous delights that THE WIZARD OF OZ offers.",2
12,16 June 2017,Bored_Dragon,10, Movie that left mark on countless generations,"This is one of those movies that will last forever. Our grandmothers were watching it while they were just little girls and our grandchildren will enjoy it as much. Its values will never be outdated. One of those that define expression ""classic"". Only a shallow viewer could consider it to be just a fairy-tale for children, because this masterpiece is much more than that and its depth covers all generations. Although it's almost 80 years old it still resists the teeth of time, even visually. Its costumes and special effects are extremely outdated but still effective. I admit, it would be very interesting to see how it would all look like with today's technology, but I think this is one of those shrines that should not be touched.",8
13,20 August 2014,mark.waltz,10," Click your heels, fly out of Kansas, and go where nobody mourns the wicked.","For my 2000th review, I felt it would be appropriate to visit the film that I saw 20 times by the time I was 20. Between countless network T.V. viewings (on my grandparent's old T.V. where everything was green, even the black and white Kansas sequences), several big screen visits, hundreds of playings of it at the video store I worked at for 10 years and numerous video covers and different DVD releases, this film has never escaped our culture, and thus my life. My favorite VHS cover was the one in red which focused on the witch and her crystal ball, but that was out of print almost immediately after its release, while the one copy I owned was the blue ""50th Anniversary"" special edition which came with a ton of extras.",3
14,30 September 2013,ShelbyTMItchell,10, Yellow Brick Memories!,"We all have memories of this movie as if nobody has seen this movie just yet, then they are missing out on this treasure. As it is indeed just that you see.",4
15,29 August 2014,Uriah43,10, A Pure Delight,"This movie is a pure delight. I remember back when I was young that it would come on television once a year and whenever it played it was like watching it for the very first time. It was both wonderful and magical. Even today it is a joy to watch and having seen it at least fifteen times that in and of itself is quite remarkable. At least for me. Be that as it may, I think it is important to inform new viewers that this movie was made back in 1939 and as a result it doesn't have the computer graphics or any of the technology used today to enhance the special effects. But what special effects it does have is still pretty good even by today's standards. Add in the music and performances of Judy Garland (as ""Dorothy""), Ray Bolger (the ""Scarecrow""), Bert Lahr (the ""Cowardly Lion""), and Jack Haley (the ""Tin Man"") and the end result is something that I don't believe can ever be duplicated. In short, not only is this movie a ""classic"" in every sense of the word but I believe it ranks in the top 3 films of all time. If you've never seen this movie then by all means you need to buy or rent it as soon as possible. You'll be glad you did.",7
16,31 January 2013,gavin-thelordofthefu-48-460297,10," Is, and always will be, a classic for all time!","In order to coincide with the upcoming ""Oz, the Great and Powerful"", I'm going to make my own review of this 1939 classic that will be celebrating it's 75th anniversary next year (not to mention the fact that it will be in IMAX 3D this year in September). I watched it when I was a little kid and loved it as much as anyone else in the film industry. Sure, it's not actually faithful to the book, but it doesn't matter.",2
17,1 March 2012,ElMaruecan82,10," There's no place like home ... no time like childhood ... no movie like ""The Wizard of Oz"" ...","Red like magical ruby slippers, yellow like a brick road to follow, green like the Emerald city, blue like a cloudless sky, violet like a floppy field  all the colors of the rainbow celebrate two magical universes with the same initials: cinema and childhood.",/
