Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,8 April 2006,MovieAddict2016,10, A brilliant masterpiece from a masterful director,"""Rashomon"" was Akira Kurosawa's first national hit (becoming, at the time, the highest-grossing foreign film in America) and even gained an Oscar for Best Foreign Film, but almost sixty years later it still hasn't lost any of its impact. It is widely revered as one of the most influential films of all-time, but unlike some other movies, it is not a film that feels dated. The revolutionary methods of Kurosawa are still effective and on-par with the cinema of today -- this isn't a movie where you say, ""Yeah, fifty years ago it might have been different, but now it's done in all the movies."" Kurosawa's techniques are still superior to most of his imitators. Look at the 2003 John McTiernan film, ""Basic,"" which copies a good portion of ""Rashomon's"" concept. Which is the better film? It's not a hard choice.",/
1,5 January 2006,film-critic,8, Most of the time we can't even be honest with ourselves.,"To have a film that holds the coveted title of being the reason that the ""Best Foreign Film"" category was created for the Oscars is one thing, but to be able to back up that myth with a powerful film that speaks both about humanity and the strength of truth is a whole new angle. Often we witness powerful foreign films that slip through the lines of cinema, regarded by so many as valuable assets to the film community, but never see the gold of Oscar. In the same sense, sometimes the most popular of those foreign films eventually become Oscar contenders, not because they are worthy enough, but because studios had the funds to allow bigger distribution to audiences, thus allowing popularity to do the rest. Rashômon is one of those few films that succeed in giving us both a quality film and the accolades to represent it. Rashômon is a rare breed of film. The Japanese filmmaker Akira Kurosawa took many bold steps with this film (pointing his camera at the sun, filming deep within the jungle, and the mockery of truth), that it is unlikely that you could go to a modern day Hollywood film without seeing one of these techniques being ""borrowed"". His bold storytelling, creative camera work, and powerful characters give us a unique story that should be included in everyone's film library.",r
2,2 August 2003,Quinoa1984,10," Kurosawa's first milestone, one of the top foreign films of the 20th century","Akira Kurosawa was one of those directors, the first from the Eastern hemisphere, to develop the form and structure of cinema in ways it hadn't been. The story he used for Rashomon is now, like Seven Samurai, Hidden Fortress, and Yojimbo, a near archetype that at this point in the history of film has become formula and common knowledge for writers and directors. In that sense, Rashomon is as important and entertaining as a film as Citizen Kane, Battleship Potemkin, Rear Window, or Open City. Tee basic premise- Four different people give four different accounts on the rape and murder of a couple in the woods. A key ingredient to the success of Rashomon, is that the recollections given to the courts by the woman, the bandit, the as well as the four in discussion, is that their emotions reveal their humanity, even if their details reveal nothing, or everything. It's difficult to say whether character goes over story here, or if they have equal importance to understand Kurosawa's psychology with these people. ",e
3,24 August 2013,estebangonzalez10,5, I had a different perception about this classic film,"""Well, men are only men. That's why they lie. They can't tell the truth, even to themselves.""",v
4,5 June 2005,mungo39,9, I saw it with my own eyes!,"This fabulous work was years and years ahead of its time when it was made in 1950, being a work of art that engages the eyes and the ears, but most essentially, the brain. The film is both aesthetically beautiful, using amazing camera techniques, extensive periods of silence and a very limited cast to deliver the action, and the story is typically Japanese...ostensibly amazingly simple, but complex to the point of sending you cross-eyed!",i
5,24 October 2016,Leofwine_draca,8," Kurosawa's elaborate, intricately-plotted masterwork","Seen today, sixty years after it was made, RASHOMON is still one of Akira Kurosawa's most accessible works to western viewers. Instead of a sprawling, multi-faceted historical epic, this uniquely original and inspiring film is a different beast entirely; a cinematic experiment if you will, or an exploration of the human psyche. It covers a seemingly straightforward event from different perspectives, throwing into question the nature of truth, while also exploring themes of the unreliable narrator and perception. It's also a highly entertaining film at that.",e
6,23 September 2014,classicsoncall,8," ""This time, I may finally lose my faith in the human soul.""","This film has a lot in common with movies that turn out to be a dream in which the main character wakes up to realize that what just happened never occurred. I find those kinds of pictures less than satisfying because they seem to cop out of a final resolution to the story. ""Rashomon"" takes a somewhat similar approach, but instead of setting up a dream narrative, Kurosawa has his characters relate the circumstances of a murder from the perspective of four different observers. I can't say that that isn't a valid approach, but the problem I have is that the characters relating their stories don't seem to have credibility on their side. If I had to make a personal judgment, I'd say the woodcutter's appraisal of events seemed most valid because he didn't have a personal stake in the outcome of a murder investigation.",w
7,15 December 2007,Spondonman,9, Art!,"This was Kurosawa's first big international hit, from then on his films would be avidly watched and (usually) feted as Art. His style was always so breathtakingly simple that you can't help but get sucked into the rainy and sunny bestial world depicted in here, with a beautiful use of the black and white nitrate film stock contrasting against a sordid storyline. I've probably seen it 10 times now over the decades and it seems to get better every time I settle down to it - it's been a continual treat.",/
8,23 January 2005,FilmOtaku,8, Kurosawa is just so damn good,"""Rashomon"", Akira Kurosawa's 1950 film about a horrible crime and the various versions of the ""truth"" that come to fruition during the investigation is absolutely amazing, pure and simple. The story is told four different times, each time from the point of view of one of the participants. The basic story of the crime is that a bandit (Mifune) comes across a husband and wife traveling through the forest. The bandit, Tajomaru, seduces/assaults the Masako (Kyo) after tying up her husband Takehiro (Mori), and soon after, Takehiro is dead. What happens between the times Tajomaru encounters the couple and the discovery of Takehiro's body is what is left to be discovered. Masako, Tajomaru and even Takehiro (with the assistance of a medium) each tell their account of the story, each taking blame for Takehiro's death. The fourth telling is from a passer-by, and the audience is left to decide which is the true account.",r
9,26 July 2009,murtaza_mma,10, A rare and a unique masterpiece from the master himself,"As oppose to its commonplace plot, Rashomon as a concept is extraordinarily idiosyncratic and perhaps it is this striking attribute that makes it an undisputed masterpiece, howsoever improbable. It vividly limns the artistry of contrivance innate in the human psyche owing to the importunate desire of humans to placate their insatiable egos. This manipulation of facts has no limits and entirely depends upon the skill of imaginative improvisation of the individual along with his level of comfort at skullduggery. The ability to misinterpret comes naturally to the humans as a desperate ploy to counter the adversities of life and that's what makes it indispensable. As a direct consequence of contrivance, the concept of truth no longer remains universal but becomes rather subjective and a matter of individualistic perception. ",w
