Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,15 January 2004,the-evil-cult,10, Entertaining and Thought-Provoking.,"Of the 250+ films I've seen and rated on IMDb, only one other (Schindler's List) is as good as American Beauty. A film like this not only entertains while you're in the theater but also drops subtle questions in your head about the nature of human behavior and the gulf between fantasy and reality. After watching this movie, viewers will think long and hard about their own lives as well as the lives of people around them. The movie spells out the social disillusionment phenomenon everyone experiences but can't really grasp.",/
1,29 May 2000,RueMorgue,10, An Oscar well deserved.,"This film is one of a kind.  After seeing this film last week, I was left with a hole in the pit of my stomach.  It left many questions in my mind, and most of them cannot be answered. In my view, a film that makes me think after I watch it is second-to-none, and this film certainly delivers in that aspect.",r
2,14 August 2001,Smells_Like_Cheese,10, An American Masterpiece,"This is by far one of the best, if not THE, movies of the 90's. ""American Beauty"" stole my vote immediately as I started watching it. The idea and concept of ""American Beauty"" is just some ordinary people on an ordinary block with ordinary lives.",e
3,9 September 2000,Antithesys,10, Beautiful...so beautiful,American Beauty is the greatest movie ever made.,v
4,22 March 2000,SD-4,10," A deep, wonderful, penetrating film; extraordinary irony in a psychological drama about the American life.","I have come to see the movie with a certain prejudice.  Everyone saying that it was so wonderful, so touching, so excited -- I usually tend to go with movies that nobody likes.  Nevertheless, this one was a certain exception.",i
5,26 February 2000,ryan_lynch,10, A little masterpiece...,"""American Beauty"" is tour de force cinema. Sam Mendes' brilliant debut feature depicts a web of characters who yearn for their own 'American Dream' - yet, in the end, only one character truly attains it.",e
6,29 November 2003,Philip_Pugh,10, Beautiful...,Probably the best film of 1999. This dark comedy drama marks two fantastic feature film debuts with Alan Ball as writer and Sam Mendes as director (both winning oscars for their sterling efforts).,w
7,12 November 2007,uhmartinez-phd,10, Close To Perfection,"The intention is so clear that everything else falls into place, perfectly. Kevin Spacey's suburban husband and father reminded me of his character in ""The Ref"" and that could only be a good thing. Annette Bening and her giggle works wonders here. Their marriage is a tabloid version of a ""Who's Afraid To Virginia Woolf"" Which means very close to someone we know. The biggest surprises in the film. besides the amazing dexterity of Sam Mendes at his first outing behind the camera, are West Bentley. Chris Cooper, Thora Brch and Allison Janney. As I'm writing this 8 years after its first release, the Oscars and the whole hullabaloo, I'm very surprised that West Bentley hasn't become a major star. He is amazing in ""American Beauty"" the complexities of his character are based on recognizable human stands, the hardest to face up to and I went where he went. Thora Birch is lovely as the object of his attention and the film, I believe, is here to say.",/
8,5 November 1999,The Woof,10, One of my faves of the year...simply great.,"This movie was a joy to watch.  I didn't know what to expect when I came into it.  I had heard the buzz of the acting and the story, etc...but we've all heard that before and had been disappointed, but not so with this one.",r
9,18 August 2016,Jared_Andrews,7," Delivers a beautiful, lasting message","When I first watched American Beauty, I was in awe. To many, this feeling was mutual. I, like most viewers, felt as if I had just witnessed the ultimate achievement in cinema—a film that actually changed my life. I thought it was the deepest, most profound film ever. I believed the message. I was ready to appreciate all the beauty in the world.",w
