Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,23 January 2002,dfranzen70,9," Powerful, quiet, effortless Crowe",A Beautiful Mind,/
1,17 December 2001,Boyo-2,10, A Beautiful Movie,"I think its a good idea to know as little as possible about this movie before seeing it. Now that I've seen it, the commercials on television seem to be giving away too much. With that in mind DO NOT READ THIS IF YOU HAVEN'T SEEN IT!",r
2,1 February 2006,ccthemovieman-1,9, Crowe Does It Again!,"The more I watch Russell Crowe, the more I am becoming a big fan of his acting talent. Here again, he demonstrates his skills in a role that had me spellbound. Of course, mentally-ill people are usually fascinating. Look how popular the cable television show ""Monk"" has become.",e
3,25 August 2005,nycritic,9, A Mind is a Terrible Thing to Lose.,"The story of John Forbes Nash doesn't seem like the subject matter anyone would want to make a film of, but Ron Howard brings forth his life-story in a way that makes one forget he was also the man behind 80s fluff such as SPLASH and WILLOW.",v
4,18 January 2003,shanfloyd,10, A Beautiful Film,"It's not that common people knew John Forbes Nash jr., a Princeton mathematician after he recieved Nobel Prize for his ""Game Theory"". It's not that people started to know him after Sylvia Nasar wrote his biography. What made John Nash a household name is Ron Howard's brilliant direction and Russell Crowe's excellent performance as the scizophrenic genious.",i
5,5 April 2009,hitchcockthelegend,8," John Nash, schizophrenic genius.","John Nash is something of a mathematical wizard. Constantly searching for something with which to make his name, he finds his calling by code breaking for the government. But with that comes a sense of paranoia and pretty soon John is sliding desperately into schizophrenia.",e
6,19 February 2021,auuwws,8, A Beautiful Mind,"An excellent movie, and all the actors performed their roles perfectly, especially Russell Crowe, who presented the character of John in a great way, the story of the film was excellent and I did not expect the subject of illusions, the second half of the film was significantly better than the first half, I enjoyed watching the film and I recommend watching it",w
7,16 January 2002,The Mad Reviewer,10," A beautifully written, acted, and crafted movie.",A BEAUTIFUL MIND (2001) Rating: 10/10,/
8,24 June 2017,TheLittleSongbird,7," Admirable and extremely well made, if just missing the mark of a ""great"" film","'A Beautiful Mind' had a lot going for it. An intriguing story based on an interesting man, a great cast full of talented actors, the involvement of James Horner and Roger Deakins (perhaps one of the best modern cinematographers in the business) and Ron Howard as director (a very competent director with some great films under his belt, directing always with a lot of quality and polish if not always distinction).",r
9,18 January 2002,jotix100,9, A crazy genius,"Ron Howard has given us a film that's so different from the formula-oriented fare we receive from Hollywood, that this film, although studio born and bred, plays very much as an independent film. ",w
10,26 September 2005,Theo Robertson,6, Well Made But Lacks Integrity,!!!!! SPOILERS !!!!!!,1
11,3 March 2002,cericsso,10, Simply put: Beautiful,"I wasn't actually planning on going to see ""A Beautiful Mind"" in the first place, but as it was, I was convinced by the friend that accompanied me that it was truly something to see. And now, after seeing it, I thank her for that. Instead of spending two and a half hours watching George Clooney and Matt Damon rob casinos or Kevin Spacey and Julianne Moore dealing with their problems in New Foundland, I found myself pulled into another kind of story, a powerful, emotional story of how one man learned to battle his own demons and dazzle the world.",3
12,11 July 2011,planktonrules,8, Moving but overrated...,"""A Beautiful Mind"" is a film about the mathematician John Nash. It is very cleverly written and directed, as about mid-way through the film you learn something very, very interesting about the film. I'd say more, but I don't want to ruin it--especially since the film makers did such a great job in presenting Nash's mental illness--something he's struggled with for many years.",0
13,7 January 2002,Philippe-B,9, Le génie frise la folie / genius is close kin to madness,A poorly tailored trailer does not begin to describe what is one man's journey from the heaven of clear thought to the hell of schizophrenia.,3
14,17 February 2003,ldavis-2,2, Dumb and Dumber!,"If you're going to make a film for grown-ups, treat the audience like grown-ups. Instead, Opie extracts the aspects of John Nash's life and person he decided we grown-ups couldn't handle. Gone is Nash's racism, snobbery, arrest for indecent exposure, history of violent behavior, messy relationships with both sexes, the woman and son he abandoned, the voices that told him aliens were transmitting messages to him via the New York Times, the repeated stays at various loony bins, the nine months he spent wandering Europe trying to renounce his citizenship, the fact that Alicia divorced him in 1963, and that their son is schizophrenic. In short, gone is everything about Nash that made him such a enigmatic yet despicable human being to begin with.",3
15,11 January 2002,smakawhat,8, Beautifully done,"Now this is the Russell Crowe I know and love.  The Insider, L.A. Confidential... and now chalk up another calculating masterful performance.",4
