Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,7 February 2004,Quinoa1984,10," an incredible directorial vision, and a devastating lead in Falconetti, make this one of the greatest achievements in all celluloid","Carl Th. Dreyer's The Passion of Joan of Arc was made, perhaps, years ahead of its time- my guess would be that if it wasn't burned after its initial release, it would've had as stunning an impact on the film world years down the line as Citizen Kane did. Though the use of close-ups and distorted angles were not completely new in this film, it felt like Dreyer was creating a new kind of cinema, one where reality, however cold and pitiful, was displayed with complete sincerity. There is also the editing (by Dreyer and Marguerite Beague), which has the timing that many directors/editors of the modern day could only hope to achieve (it has the influence of Eisenstein, only in a totally different historical context), and those moves with the camera by Rudolph Mate (who would go on to photograph Foreign Correspondent and Lady from Shanghai) that are precious- to call his work on the film extraordinary is an understatement.",/
1,2 August 2005,nycritic,10, When Film Becomes Transcendental Art.,"It so often happens that some films take the long way to achieve their status of classics and worthy of being studied, frame by frame, by movie lovers who believe in the power of raw performance and skilled direction of cameras to depict a powerful visual set of images. When one sees films like VERTIGO which barely registered with movie-going audiences at the time of their release but after restoration went on to become one of the best films of the last century, it only shows that film, as an art, doesn't need a golden statuette to have merit, and when it's done exceptionally well, it can be seen in any context and any time period beyond its release date and will still hold its audience in awe.",r
2,11 May 2020,Xstal,10, Overwhelming Masterpiece...,"I'm not sure what's more overwhelming in this film: the incredible cinematography, the phenomenal acting, the stupendous soundtrack, the fact it was made in 1928 and has stood the test of time so well or the despicable, unspeakable, hideous evil perpetrated by those in authority in the name of?",e
3,16 January 2007,ccthemovieman-1,8, The Good & Bad Of 'The Passion Of Joan Of Arc',"If you'll pardon the rambling, here are my thoughts immediately after watching this on DVD an hour ago.......",v
4,27 December 2004,GulyJimson,10, When viewing it we look at it as looking in a mirror.,"What can one say about this work of art that has not been said many times before by those far better qualified to explain both it's importance and place as cinema and art? I shall not comment on the greatness of the film's technical achievements; the stunning cinematography, the production design, the brilliance of the screenplay based on actual transcripts from the trial, or the perfection of Mr. Dreyer's direction. The performance of Falconetti as Jeanne d' Arc has a profundity and depth far beyond my ability to illuminate. I suppose the best I can hope to do is to share my feelings, however inadequately expressed, of the effect it had on me. To say that it may be the greatest film ever made is to sound both obvious and trite. That a work of such beauty and simplicity, made seventy-six years ago can still have the power to move audiences in an era of multi-million dollar, hi-tech, bombastic over-wrought cinematic drivel is in itself a testament to the vision and genius of Carl Theodor Dreyer, Maria Falconetti and their collaborators. It is nourishment for those that hunger for something more in cinema, a feast for the soul. It is a reminder that film can indeed be art, and this film like all great works of art, lifts and transports us from the routine of our work-a-day lives to enable us, if only for a moment to experience the sublime. When viewing it we look at it as looking in a mirror. That is to say we look into ourselves. We question ourselves as to our own beliefs, or the lack thereof and the strength of spirit that enables an individual to endure the unendurable. Viewing it is a profound experience the nature of which for myself is transcendent rather than religious, because I am not in the least a religious person. Transcendent because it evokes emotions and thoughts that I cannot wholly account for, or adequately explain.",i
5,10 August 2014,evanston_dad,9, One of the Most Formally Striking Movies I've Ever Seen,"Carl Dreyer's ""The Passion of Joan of Arc"" is a film that feels light years ahead of its time. Lean and mean, focusing its entire narrative on the interrogation of Joan that inevitably lead to her execution by burning at the stake, the film is kinetic in ways that most films even now aren't. Composed almost completely of tight close ups, Dreyer and crew cut rapidly between disconcerting, asymmetrical shots, giving the film a breathless, anxious, nearly frenzied pace.",e
6,1 March 2005,looneyfarm,10, Devastating but brilliant masterpiece,"It's easy to overlook this movie. For modern audience and especially my generation (I'm 21), this movie is just close-ups of a crying woman and grumpy old men. But of course that's like saying Mona Lisa is just a picture of a woman, or The Last Supper is dudes eating. If you experience it with open mind, The Passion of Joan of Arc will give you one of the most profound visions of devotion, faith and martyrdom.",w
7,16 September 1999,judokid,10, timeless in every sense,"I saw this a few months ago on the big screen, just after Nosferatu, another silent classic. Both showings were supported by a live organ play, which has been composed directly for the movie, and which suited perfectly. I had seen Nosferatu before, but i didn´t know anything about `Jeanne`, and so i was in no way prepared for this overwhelming, soul-rapturing experience.",/
8,11 March 1999,zeph-3,10, Falconetti's face is sublimely human,"I saw this film for the very first time last week and was so tremendously captivated by it that I needed to share this rapture. The innovative camera-angles, the close-ups revealing pain and spirituality. It elevates the human condition and the Art of film. I would love to be able to go on into the whys or hows or technicalities. But my words couldn't do the film justice for the imagery still overwhelms me.",r
9,20 June 2018,ferguson-6,8, silent masterpiece,"Oak Cliff Film Festival 2018
Greetings again from the darkness. It's a rare treat to watch a 90 year old silent movie. Especially in a remastered format. Especially on the big screen. Especially at a historic theatre. Especially with a nearly packed house. And especially with a live score! The 7th annual Oak Cliff Film Festival, held at the Texas Theatre (opened 1931), afforded just such a treat with its Friday evening screening.",w
10,2 December 2015,StevePulaski,9, A film so heartbreakingly realistic and brutally honest it might even bring tears to your eyes,"Part of what makes The Passion of Joan of Arc so bold and unflinching, for its time and its current state in cinema, is, much like its titular subject, how battered, beaten, and kicked around it has been in order to get where it is today. This is a film that, from its very inception, was a controversial subject that clerical authorities didn't want to be seen by a wide audience, for its portrayal of religion and politics. Nonetheless, writer/director Carl Theodor Dreyer pushed forward in a direction for a film on Joan of Arc that detailed the gap between religion and politics, in addition to insights into the complex of the fragile male ego that boasts assimilation and manipulation. After the completed and finalized print was lost in a fire, it was doubtful that a print even close to the original would ever resurface until one was discovered in a mental institution in Oslo, Norway in the 1980's. After some cleaning up and polish was added, the film was restored into an eighty-one minute cut, which is said to be very close to the original film's length and structure.",7
11,21 May 2004,edantes2000,10, Falconetti is amazing!,"A certain amount of credit must surely be paid to the director for the genius of 'La Passion de Jeanne d'Arc.' The daring camera angles, use of incessant close-ups and peculiar authenticity all may be attributed to Carl Th. Dryer. However, Renee Maria Falconetti is the reason this film indeed surpasses all attempts at reaching the Platonic form of brilliance. Her performance is breathtaking by all accounts. One can not help but remain mesmerized by her expressions. Yes Dryer's gift to us of so many wonderful close shots of Falconetti should be acknowledged. He must be praised for his relentless filming of scenes to produce the desired result. Yet to imagine anyone else in this timeless role (such as Lillian Gish who was said to have been considered) is to envision a less than perfect film. Unimpeded by the silent medium in which she worked, Falconetti's mere tilt of the head or gentle glance pierce the soul of the viewer. We see her speak in Jeanne's native tongue. We see her compelling portrayal of the anguish which the saint most certainly endured. It is almost as if we are watching what the director said he had found; the martyr's reincarnation! This actress presents to us her raw beauty unmarred by powders or makeup - thanks to a decision of Dryer. How bitter-sweet the fact that we have this once thought to be lost silent film and yet can not help now but to long for more Falconetti. And so we return to 'La Passion de Jeanne d'Arc' and with each of many tears and inaudible sighs marvel at the staggering accomplishment which is Renee Maria Falconetti's Jeanne.",8
12,12 April 2022,Wistfull,7, A milestone in film history,"Technically interesting, but lacking in storyline - they could have built the tension much better, I think. Maybe it would work better if I cared about religion. Also the recently invented close-ups were taken a bit too far, as it was difficult to tell who was who with all the monk men looking so similar.",6
13,15 November 2017,classicsoncall,8," ""You can claim that I am sent by the devil..., it's not true...""","When the list of IMDb's top films include multiple titles given to animated features and a fair share of movies that are just downright goofy (""Life of Brian"", ""Groundhog Day""), it's reassuring to find a gem in the mix like ""The Passion of Joan of Arc"". Originally released as a completely silent film, I opted to watch it with the accompaniment of the 'Voices of Light' soundtrack, which renders the story in a much more spiritual manner.",9
14,12 June 2013,gavin6942,9, One of the All-Time Greatest Movies,"A chronicle of the trial of Jeanne d'Arc (Maria Falconetti) on charges of heresy, and the efforts of her ecclesiastical jurists to force Jeanne to recant her claims of holy visions.",6
15,31 December 2022,AlsExGal,10, Made me rethink what silent cinema could be,"This silent French drama from writer-director Carl Theodor Dreyer depicts the trial and subsequent execution of Joan of Arc, the 15th century warrior and religious icon. Her trial is fraught with political intrigue and the outcome is virtually preordained, yet she transcends her grim future and achieves spiritual grace. It stars Maria Falconetti, Eugene Silvain, Andre Berley, Maurice Schutz, Antonin Artaud, and Michel Simon.",3
16,30 November 2018,elo-equipamentos,9, The real history in every lines!!!,"As Carl T. Dreyer said the whole picture was made under old manuscript that was found in France, so Dreyer makes a detailed planning over it, even the sets were builded over some pictures as states in this files, Dryer also used a white color to suggest a Joan's pureness, l had many movies from Joan of Arc, this apart to be a silent movie was stunningly made by the old master, a remarkable performance of Maria Falconetti was another highlight, a timeless movie suitable for both kind of people as study process for believers and materialist, a true gem to mankind!!!",1
17,8 June 2018,gbill-74877,8, Watch it for Dreyer's craft and Falconetti's performance,"Director Carl Theodor Dreyer created a unique experience with this film, employing low camera angles, unique editing, and a ton of tight shots on his actors to get an intensity of emotion from them, Maria Falconetti (as Jeanne d'Arc) in particular. The story focuses on just her trial and execution, which has the advantage that it makes the film taut and Kafkaesque, but the disadvantage that additional context would have told a richer story. Do we really see Jeanne d'Arc here? I'm not so sure, historical transcript notwithstanding, though I did find it fascinating that she refused to change out of her men's clothing. While performances are strong and the film is ahead of its time, the content is dark, and not particularly uplifting, especially if you're a non-believer. There is of course a universal theme in a righteous person standing up to persecution - being mocked, threatened, and tortured - but at the end of the day, it's simple Jeanne, believing she was sent by God, standing up against the established clergy, who, threatened by her assertions, believe she was sent by the Devil. The film never ponders whether both may be deluded, and concludes with her soul being protected by the flames as it rises to heaven. Watch this one for Dreyer's craft and Falconetti's performance.",/
18,25 May 2011,TheLittleSongbird,10, A contender for THE movie of the 1920s,"As much as I did love Metropolis, The Gold Rush and Faust(1926), The Passion of Joan of Arc is a contender for the movie of the 1920s, that's how amazing it is. It is an incredibly well made film, it draws on artistic styles from the Renaissance through to the avant-garde and with all the symbolic angles, zooms, tilts and pan shoots the photography is spellbinding and captures the authentic costumes, sets and scenery wonderfully.",?
19,6 April 2010,planktonrules,8, Brilliantly filmed but with an odd performance by Joan.,"""La Passion de Jeanne d'Arc"" is probably the most famous work of Danish film maker Carl Theodor Dreyer. Unlike the typical biographical film, this one is based completely on the court proceedings in the trial of Joan--not some fictional or semi-fictional story written in 1928. This is pretty wild, as many historical films view truth as very flexible--with the real emphasis being on entertainment. If this means inventing characters or changing history--so be it! But, fortunately, not in this film! It's a history teacher's delight! When the film began, I sure was bowled over by the powerful soundtrack filled with Latin liturgical singing. While annoying normally, here with the intensity of the film and the subject matter is managed to work. In addition, the film is an artistic piece due to the director Dreyer's artistic vision. First, his choices of actors was truly amazing--as he chose some of the most amazing faces I've seen in a film--such character, such intensity and such acting from these people is truly amazing. Plus the camera pulls so much from the actors due to fantastic lighting and clarity of focus--you can even very clearly see the pores on many of the actor's faces! Second, unlike almost all other silent films and even sound ones, this one makes great use of closeups and inventive camera angles to heighten the intensity of the action as well as the impact on the audience. The result is a film that hits you in the face--hard, forceful and impossible to ignore. Especially strong in its impact is the execution itself--Dreyer chose to make incredibly vivid (so much so, some might find it very disturbing).",r
20,5 January 2023,arthur_tafero,10, Finest Silent Film of All Time - The Passion of Joan of Arc,"Renee Maria Falconetti would have easily won the award for Best Actress for that year, had the Oscars existed during this filming. This film would have been outstanding in any era, and her performance would have award-winning in any era as well. The cinematography is outstanding, and the close-ups are gut-wrenching, at times, for their emotional impact. The story of a young woman who saves France, and is then persecuted by the Roman Catholic Church is a well-known historical tale, but this film concentrates on her trial, not on her great accomplishments. And therein lies the great drama; how could anyone find fault with this saint? (and she was a saint in every respect). The film shows the heinous attitude of the church toward women and those they could not micromanage. A cinematic event.",e
21,4 June 2012,billcr12,8, Haunting Portrayal,"A fairly well known religious story, French director Carl Theodor Dreyer made The Passion of Joan of Arc in 1928. Because it is silent and in black and white, facial expressions via frequent close ups must convey the sincerity of the subject. Whether she was insane and delusional or was actually hearing the voice of God is up to the viewer to decide. I have to separate my personal views as a retired Catholic from my review. ",f
22,7 June 2008,WriterDave,10," Dreyer's ""Realized Mysticism""","*Note: This a review of the Criterion Edition DVD with the ""Voices of Light"" accompaniment. ",_
23,14 December 2005,EUyeshima,10, The Legendary Falconetti Anchors Dreyer Silent Classic,"I was completely floored when I first saw this movie in the basement of the San Jose Main Library sometime in the early seventies. The mesmerizing performance of Maria (Renée) Falconetti, filmed primarily as a series of brutalizing close-ups, is still the main reason to revisit Carl Theodor Dreyer's austere and claustrophobic 1928 silent film classic about the trial and execution of Joan of Arc. There is little provided in the way of background or context, as Dreyer made an intentional decision to use the original trial records as the basis of his dialogue. Using a minimum of sets, almost abstract in orientation, he uses the camera frame as his canvas by showing the bullying interrogation of Joan by her inquisitors in a series of face shots against a white backdrop. The actors had to use their make-up-free faces as their sole means of expression. There are never any establishing shots, so the viewer never knows where the characters are in relationship to each other. Instead, Dreyer uses dramatic camera angles to convey people's position in the story. As the film builds to its climax, graphic footage of Joan being burned at the stake alternates with sequences of angry French peasants being brutally driven out of Rouen Castle by club-wielding English soldiers. Many of the shots feel abstract and out of proportion to convey a world turned upside down.",=
24,3 January 1999,Huron,10, The greatest performance ever by an actress!,Dreyer's masterpiece is also Falconetti's masterpiece and the most powerful film role by any woman ever. Critics have said it for years and anyone who sees the film will know why. See it and it will remain with you forever. I saw it over thirty years ago and have never seen another actress come close to this role.,t
25,5 May 2017,Theflyace,10, Transcends all Generations,"Roger Ebert once said that ""to see Falconetti in Dreyer's ""The Passion of Joan of Arc"" is to look into eyes that will never leave you."" I cannot find a better statement for this miracle of a silent masterpiece. What has been mastered here is a view, taken from historical record, and put under a microscope figuratively and literally on screen to dive into the spiritual essence of destiny. This film is in a class by itself, and had a profound impact on this viewer.",t
26,9 March 2022,brogmiller,10, An inquisition of the soul.,"It is to be regretted that owing to defective equipment Carl Dreyer was unable to realise his film with sound as originally intended and that by the time the uncut version was finally released talking pictures were all the rage which meant that his masterpiece was consigned to the relative oblivion of art houses. Critics early recognised its qualities however and over ninety years on it remains an immensely powerful and mesmerising work which is difficult to define. Cocteau describes it as well as anyone by saying that ""it seems like an historical document from an era in which the cinema didn't exist.""",_
27,31 March 2011,MarieGabrielle,10, Truly haunting...,"A must see even if one is not religious. The visuals in this film are stark and difficult to watch, the feeling of persecution almost causes the audience to cry out in Joan's defense.",u
28,13 May 2012,kfo9494,10, The best of all silent movies- a must see!,There is not much more that can be said about this movie that the other reviews have not brought out. If you ever watch just one silent movie then this is the one to watch.,r
29,30 March 2007,Igenlode Wordsmith,7, Neither tedious nor a masterpiece,"I've heard that this film is notoriously unwatchable; I've heard that it is one of the greatest moving pictures of all time. Given my negative experience of other 'great experimental' classics -- ""Napoleon"", ""Metropolis"", ""Greed"" -- I had a suspicion that my own reaction might lie on the former end of the scale: but when the chance to see it presented itself, I felt I ought to take the opportunity. To further my cinematic education, if nothing else.",v
30,30 May 2005,cherold,7, over-rated but interesting,"It is often said that Maria Falconetti gave the greatest performance in the history of film acting in this movie. That's nonsense. First off, I don't believe anyone can be said to be the single best artist in any pursuit. Shakespeare is not really the greatest playwright to ever live. But now that people keep saying he's the greatest playwright ever no one has the nerve to suggest perhaps he's just one of many brilliant playwrights.",
31,26 December 1999,JohnSeal,10, A silent masterpiece,"I would be hardpressed to exclude this film from a list of the ten greatest films of all time. Every remaining frame of this once heavily censored film is perfect, and there are many shocking scenes of torture which are hard to watch even today. This should be required viewing for anyone interested in film history, and it's further proof of the superiority of European silent cinema over it's American counterpart.",
32,5 December 2012,Dr_Coulardeau,10, Sublime and get the Masters of Cinema restored version,"Freshly re-mastered and restored by EUREKA in their collection Masters of Cinema, this film is phenomenal for a 1928 film and deserves our rediscovery of it. It is of course in black and white. But the camera still catches a rather circular image with shades in the corners. But the shooting and the acting, the editing and the text are first class.",
33,20 June 2005,Galina_movie_fan,10, The passion of Joan of Arc - The face of Renee Maria Falconetti,"""The Passion of Joan of Arc"" (1928) by Carl Theodor Dreyer is simply one of the greatest films ever - silent or no silent and what considered by many critics, the greatest performance by any actress on the screen. Renee Maria Falconetti, a French stage performer, was persuaded by Dreyer to play the Maid of Orleans even though she had no film experience. From her very first shot, we can understand what a visionary Dreyer was. The director asked the actress to crop her hair and to strip her face of any makeup. Filmed mostly in close-up, the agonized face of Falconetti's Jean, free of all cosmetic artifice, appears more moving and human, and expresses so many emotions that it literally stays in a viewer's soul.",
34,7 July 2000,peangel,10, Don't miss this movie!,"This is the most fabulous movie I have ever seen.I like old and silent movies, but I was completely blown away with this movie. It is unlike any that you have ever seen.Joan's acting is the BEST I have ever seen. It is so superior to anything being made today. One does not need special effects and computers  to make a great movie.And if any movie deserves that title this one does.I couldn't praise it enough. The direction and camera work is perfection. The way it is filmed with mostly head shots and faces you would think it would be boring.But it is the most alive movie I have ever seen and probably ever made.You cannot take your eyes off of Joan. She is mesmerizing.",
35,21 April 2019,pere-25366,9, Falconetti's breathtaking performance is undoubtedly one of the greatest the silver screen has ever seen," is simply outstanding in this film; playing the eponymous character who claims she has seen and been sent by God, she delivers a transcendental performance that is overwhelmingly raw and visceral. Shot predominantly in close-ups, the tight framing restricts us to narrowly focus in on her state of fear and immerse us right into the emotional turmoil through which she is suffering. POV shots of the French clergyman ingeniously add to this effect as we experience the fear of the dire circumstances through Joan's eyes. And the fact that Falconetti never acted again only adds to the eeriness of her performance. With cinematography that was way ahead of its time and an incredible score to boot, this is simply a masterpiece of cinema. Far and away one of the greatest silent films ever conceived.",
36,26 January 2010,Hitchcoc,10, Masterful Photography!,"Starting with Eisenstein's ""Ivan the Terrible,"" I began to be comfortable with these early films and their incredible focus on faces. This is like an 80 minute slide show, using some of the most wonderful expressiveness I have ever seen. I know this could be boring to some, but even in shots that seem repetitious, there are subtle differences that express the absolute summit of emotion. This story has been done so many times and it usually falls on the hopes of the character to express, usually in words, faith. Here Joan is so human and yet so saintly. She is devoted to her faith but also afraid. We need to remember that this person came from humble beginnings, unable to even read. Perhaps she was delusional. Personally, I have trouble with any of this, but she certainly could not be more heroic. When she recants her confession, she does so in the shadow of the stake. I was intrigued by the soldiers and the villagers at the end. Did this really happen? I don't recall this in other treatments though I may have forgotten. It is also wonderful that this film was restored. It is crisp and bright and needs to be to show every wrinkle of its characters.",
37,16 October 2002,Dockelektro,10, Overwhelming,"Strikingly beautiful, the movie delivers even if you see without any sound. Surprisingly simple (only a few scenes, most of the movie is made of close-ups and shot indoors) it has nevertheless the characteristic that elevates a director to the height of myth. And here the screaming yet peaceful expression of Maria Falconetti is pivotal - she conveys all the emotions that the viewer feels, and therefore nearly expenses the need of other characters in the picture. Magnificently shot, amazingly acted, this is a masterpiece in every sense of the word, that has the power to make you really develop feelings towards it. Unmissable.",
38,8 July 2022,sudhakaranakhilan,8, A French classic,"While I read some of the books related to world cinema I was just stuck on one name because of the pronunciation of it. That name is Carl Theodor Dryer and it was quite alien to me because I was just introduced to world cinemas at that time. When checking his filmography The Passion of Joan of Arc stood at the top position and it is surely a classical work. The film is a silent one, just passed a year since the first talkie enter the cinematic field (The Jazz Singer) but this film has its soul in it. Dryer adapted the story from the transcript of Joan of Arc and he just fits it into the story which has cinematic appeal. The movie is like a congested one in the sense it has a lot of close-up shots which are repetitive in the course of the movie's progression. Dryer framed up the characters in particular spaces without any movement for them and did their performance within that space. The film starts with the trial of Joan by the church and then it shifts to the crucifixion or burnt up of her (in another way from the Passion of Christ). In the end, the movie changes its track and goes into a speedy mood. This is a worth classic and good study material for those who dreamt about cinemas.",
39,20 November 2007,Boba_Fett1138,8," The trial of Jeanne d'Arc, very close up.","when you think of a Jeanne d'Arc movie, you don't expect to see a movie based purely- and focusing just on the trial of Jeanne d'Arc. considering the entire life-story of Jeanne d'Arc, it just doesn't seem like the most likely and interesting thing to focus on. It however of course works well for a more deep, serious and realistic approach and or course also in an original way of retelling the story of Jeanne d'Arc. So don't expect to see a strong heroic female lead but a betrayed, broken, emotional one instead.",
40,1 December 2019,barisayhan,10, Epic and Impressive!,"I think this film is one of the most impressive films of silent cinema. The actress, who played the role of ""Jeanne d'Arc"", performed at a high level. Although the film is silent, the orchestral music playing in the background increases the power of the film. One of the main points that make the film legend is the use of a camera. Close-up is often preferred. These close-up scenes are like a cinema course. The camera angles used in the film are very brave and the reference point for someone who will learn the camera angles today. It was the right choice to tell not the whole life of her, just a small part of her life. It is impossible for even a stranger like me to be impressed while watching this film about a French and Christian cultural figure like Jeanne d'Arc. For those of you who don't know, I suggest you find out who Jeanne d'Arc is before you watch the film.",
