Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,16 October 2015,ivo-cobra8,10, The third entry in the installment is one of the best Indiana Jones series.,"Indiana Jones and the Last Crusade (1989) is an Action Classic adventure better film than Temple of Doom , is still the best follow up in the trilogy and clever. It is also the greatest sequel of all time. It is one of my personal favorite adventure movies of all time. I love this movie to death. ",/
1,6 June 2022,Xstal,9, Perpetually Entertaining...,"An army of fascists seek to plunder, an artefact so precious it's a wonder, an archaeologist will resist, using whips and guns and fist, in a treasure of a film, packed with adventure.",r
2,23 November 2003,Smells_Like_Cheese,10, The best of the Indiana Jones trilogy,"Indiana Jones, the man, the legend, the whip. Everyone I know has seen at least one of the Indiana Jones movies and usually Raiders of the Lost Ark is their favorite. Now I loved Raiders of the Lost Ark, I also really loved Temple of Doom even though it gets a lot of hate for it's darkness. But The Last Crusade is my favorite of the trilogy and the strongest in my opinion. For goodness's sake we have Sean Connery as Indiana's father, how could we get any better than that? I love his way of saying ""Junior!"", always gets me in a good chuckle. Harrison Ford still has that same Indy charm that swoons the ladies, the adventure that captivates the guys and takes us on an incredible journey that we'll never forget.",e
3,19 August 1999,Mister-6,10, You call this archaeology? Sure do!,One thing you gotta say for this series: it isn't boring.,v
4,6 April 2009,hitchcockthelegend,9, Raiders Of The Last Crusade.,Indiana Jones teams up with his father to try and locate the Holy Grail. Something that the Nazis are again particularly interested in themselves.,i
5,11 May 2006,ReelCheese,10, Top-Notch Entertainment,"Everything clicks in this action-packed cliffhanger. In his third (and what for years what thought to be his last) adventure, Indy is on the hunt for that ultimate treasure, the Holy Grail. Along the way he must contend with Nazis, a secret brotherhood and, of course, snakes. Sean Connery is a wonderful addition as Indy's father, and the chemistry between he and star Harrison Ford may just be one of the best in film history. The movie is a true rarity in that its attempts to outdo each preceding chase sequence succeed. Though children might have trouble interpreting the plot, this crusade is one people of all ages will enjoy.",e
6,24 March 2002,jhaggardjr,10, Outstanding finale (or is it the finale?),"""Indiana Jones and the Last Crusade"" was supposed to be the final movie in the ""Indiana Jones"" series. At least that's what director Steven Spielberg and producer George Lucas said at the time this film hit theaters. But now they've said there will be a fourth ""Indiana Jones"" film. I really don't know if that's a good idea, because the ""Last Crusade"" was a fitting end to a great movie series. Harrison Ford returns for his third go around as swashbuckling hero Indiana Jones, this time accompanied by Sean Connery as Indy's father, Dr. Henry Jones. These two actors work beautifully together as they fight off the Nazis in search for the Holy Grail. Two actors from ""Raiders of the Lost Ark"" reprise their roles to great effect in ""Last Crusade"": Denholm Elliott as Marcus Brody and John Rhys-Davies as Sallah. Alison Doody is the heroine (good or bad?); Julian Glover is the villain; River Phoenix portrays a young Indy at the beginning to see how this character really got his start. ""Indiana Jones and the Last Crusade"" not only has great characters, it also has a decent story (taking place in 1938), plus exciting action scenes and special effects. It's better than the second film ""Temple of Doom"" and comes very close to topping the first film ""Raiders"". The ""Indiana Jones"" series should stay right where it is with the ""Last Crusade"" as the finale. Unless Spielberg, Lucas, and Ford can prove us wrong and make a really good fourth film in the series, we shall see. I loved all three movies in the ""Indiana Jones"" series. If the fourth film does gets made, I hope it'll be equally as good as the first three.",w
7,13 August 2005,gottogorunning,9, Movie Magic!,"When the two greatest filmmakers in the world teamed up to create the best action movie of all time - Raiders of the Lost Ark, it seemed unlikely that they could duplicate their divinely-inspired work. After a miss with the entertaining yet forgettable Indiana Jones and the Temple of Doom, Indiana Jones and the Last Crusade comes pretty close to doing just that.",/
8,20 May 2013,CuriosityKilledShawn,7, It should have remained the last,"Summer 1989. I was 8 years old. I only managed 2 movies that summer, one being Ghostbusters 2 (which blew my eager young mind at the time) and Last Crusade (which also blew my mind). I don't think I could have asked for two bigger blockbusters to choose from. Having been a rabid child fan of Raiders and Temple of Doom all things Indy were fresh in my mind and even as an 8-year-old I truly 'got' Last Crusade.",r
9,27 December 2010,blanche-2,9, loads of fun,"""Indiana Jones and the Last Crusade"" was made in 1989 and bristles with excitement, humor, suspense, special effects and, as a real plus, character development. In the beginning we get to see young Indy (River Phoenix) and where he got his fear of snakes, etc., and we meet his father, Henry Jones (Sean Connery), a brilliant professor.",w
