Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,28 March 2006,MaxBorg89,10, WHAT is the capital of Assyria? I don't know that!,"I do know, however, that Monty Python and the Holy Grail is one of the funniest movies ever made. Let's face it, if the Python hadn't showed up in 1969, someone would have created them by now, or the world would be a much sadder place. Alongside Life of Brian, which is the sextet's masterpiece, Holy Grail is an excellent start if you want to get addicted to their surreal humor.",/
1,16 February 2004,Manthorpe,10, They could grab it by the husk.....,King Arthur and his Knights of the Round Table set out on a quest to find the Holy Grail...as told to do so by a cartoon God that lives in the clouds... ,r
2,22 January 2005,mjw2305,9, Monty Python at their best,"In the Realm of King Arthur, the Monty Python team set out on a quest to recruit the best Knights in the kingdom and find the Holy Grail.",e
3,18 May 2003,lambiepie-2,10, The King of Comedies!,"The first time I saw this was on CBS at 11:30 on a Friday night. I had seen a few Monty Python shows on PBS, so I knew who they were, and I was very interested in seeing this.",v
4,3 October 2004,uckpshh,10, The reason Robin Williams isn't in a nut house.,"This is perhaps one of the greatest, funniest parodies in the history of film. I think the greatest definition of irony is that to be believably stupid on screen, you have to be very intelligent. This is a rare occasion where something can be so stupid that it's funny, with the addition of feeling you got your money's worth at the end. Examples of failures would be anchorman, austin powers, scary movie etc. The gore and clichés of three headed, and goofy ""NI!"" yelling knights are what give this movie discreet beauty.",i
5,29 September 2019,thehappychuckler,9," ""I am your king."" ""Well, I didn't vote for you.""","Monty Python (or John Cleese, Michael Palin, Terry Jones, Terry Gilliam, Graham Chapman and Eric Idle) brought their brilliant wit and smart humour to theatrical audiences back in 1975 with this nice little gem. If you have never seen Monty Python before it will either change your life and how you look at comedy or you will scratch your head and wonder what is so funny.",e
6,27 October 2003,MovieAddict2016,10, The Silliest Film Ever Made...,"From a technical viewpoint, ""Monty Python and the Holy Grail"" could be called a seriously flawed and impaired film. Filmed on location in the UK with a minimal budget and regular ""Python"" cast members, I seriously doubt that anyone working on the project at the time had believed it would spark such a cultural phenomenon. And revisiting the movie now, post its release 28 years ago, is magical.",w
7,3 July 2011,ElMaruecan82,10, The Movie Doesn't Break the Fourth Wall ... It Pulverises it ...,"To review ""Monty Python & the Holy Grail"", there are five schools, I mean three : ",/
8,3 April 2006,ccthemovieman-1,8, Pure Lunacy,"Well, if you want original humor, meaning something different than what you normally see - this is your ticket. The above statement was true 30 years ago, and still holds. It's just silly, far-out humor.",r
9,24 April 2010,TheLittleSongbird,9, Another hilarious comedy from the Pythons!,"After the brilliant Life of Brian, I was looking forward to watching Monty Python and the Holy Grail. And I loved it, I don't think it is quite as good as Life of Brian, but it is definitely one of the better Monty Python comedies for sheer hilarity and fun. The story like Life of Brian isn't the strongest component but this is in no way a criticism and yes the special effects are cheesy but perhaps that was the intention. My only problem with the film was that the ending is a little flat, but that is a minor criticism compared to how much I loved this film. The script is irreverent and highly quotable, and the soundtrack is even funnier. As a comedy it is wonderfully inventive, that debunks the Dark Ages and legends of chivalry through King Arthur, The Black Knight, God and the ""knights who say ni"". Comedy highlights include the trial with Connie Booth's witch and the Holy Hand Grenade of Antioch sequence. Even the sets are quite well designed and authentic. And the acting is simply wonderful, John Cleese, Terry Jones(the encounter with Dennis's mother was hilarious), Graham Chapman, Terry Gilliam, Michael Palin and Eric Idle perfectly live up to their exceptional talents. Overall, a great comedy and a great film. 9.5/10 Bethany Cox",w
10,19 April 2009,Movie_Muse_Reviews,10, The most memorable comedy of all time,"Name another context where the line ""your mother was a hamster and your father smelt of elderberries"" is funny. If it's not John Cleese as the taunting Frenchman or said in that very same obnoxiously fake French accent, it's about as funny as missing tea time.",7
11,13 August 2019,josephrygaard,8, Before Watching: Monty Python and the Holy Grail (1975),"""Monty Python and the Holy Grail"" (1975) is a genius piece of British comedy. If you want to get as much out of it as possible, there are a few things you need to keep in mind before watching:",7
12,24 November 2005,Smells_Like_Cheese,10, Classic British Humor!,"As we all know, the Brits have fantastic humor. They have brought us some of the finest comedies: Bridget Jones, Shaun of the Dead, Love Actually, etc. ""Monty Python"" is a classic comedy that should not be missed by anyone. I mean, seriously, these scenes and jokes are off the wall hilarious! ""Kanighets!"" and ""'Tis but a scratch"" were my favorite lines and scenes from the film. This is such classic and slapstick humor that I miss in movies these days. This film is rightly on the top 250 and is one of those films you should see before you die. Trust me, this is guaranteed laughter on the floor! If you don't laugh, you must be dead or something because I couldn't breathe while I was laughing so hard.",0
13,3 September 2010,wwe7961,10, An example of why British humor is much smarter than ours.,"This is how to make a comedy. Laughs can be found throughout, and the 4th wall falls apart throughout the film without any actors chewing the scenery. The movie from the first scene, and on is great. The acting is wonderful. Everybody in the cast delivers the jokes hilariously. Also the the actors never seem to overact at all. There are a few jokes that go on for to long, but it is aware of this. If only another comedy that doesn't deserve to have its name mentioned (cough Disaster Movie cough) was self-aware that the jokes it had were to long. It really is a shame that British people can say that they have awesome comedies like this, and we have a lot of awful comedies like (sigh) Disaster Movie. This film is a work of genius.",6
