Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,20 April 2014,lee_eisenberg,10," nothing can show us the full brutality of slavery, but this comes close","Solomon Northup's story of his kidnapping and sale into slavery got widely read upon its original publication but then disappeared as the Confederates built up an idealized image of the antebellum south (exemplified in ""Gone with the Wind""). Now that Northup's story has gotten brought to the screen, it's important for everyone to see it. ""12 Years a Slave"" not only takes an uncompromising look at the sheer brutality of slavery, but also shows how nothing could take away Northup's dignity and his hope that he would one day be a free man again. One of the ugliest scenes is the whipping of a slave for perceived disobedience.",/
1,25 October 2013,BackFire83,10, Slavery is an evil that should befall none,"12 Years a Slave tells the true story of Solomon Northup, an educated and free black man living in New York during the 1840's who gets abducted, shipped to the south, and sold into slavery. It is a film that stimulates at both an emotional level and an intellectual one. ",r
2,18 October 2013,dvc5159,9, Roll Jordan Roll,"A random and encounter has led Solomon Northup from living freely in New York to being kidnapped and sold into slavery in Louisiana, getting handed over to various slave owners. There, Solomon witnesses numerous acts of cruelty that no man should ever face.",e
3,14 September 2013,ClaytonDavis,10, McQueen's epic is beautiful and tragic anchored by sensational performances...,Read More @ The Awards Circuit (http://www.awardscircuit.com),v
4,27 October 2013,ferguson-6,8," Live, not just Survive","Greetings again from the darkness. Should this be labeled a historical drama? Is it one man's extraordinary tale of strength and survival? Does this fall into the ""art film"" category that so divides the movie-going public? The answer to all is YES, and I would add that it's a masterfully crafted film with exquisite story telling, stunning photography and top notch acting throughout.",i
5,24 February 2014,Sergeant_Tibbs,9, 12 Years A Slave earns the right to be called one of the best films of the year.,"If any contemporary director deserves to be in the mainstream spotlight without compromising their style, it's Steve McQueen. His debut, Hunger, already had the hand of a confident filmmaker taking a fly-on-the-wall style to the grimy art-house. Shame was one of the finest films of its year for its impeccable depiction of an addiction to one of humanity's primal survival instincts resulting in self-destruction. I'm so happy that his latest film has gracefully conquered early Oscar favourites from the output of David O. Russell, Martin Scorsese and the now delayed film from George Clooney to become this year's Oscar frontrunner. During its festival run when the buzz first began, I took it upon myself to read the screenplay. While I can usually sink scripts within a few hours, the poetic density of 12 Years A Slave took several sittings across a week or two. Even on the page it was a harrowing, exhausting experience. It's a film that needs a have a gut to truly display the length of time, but the script is bloated in its brilliance.",e
6,2 March 2014,secondtake,8," A direct telling of the horrors, but not quite the complexities, of a man kidnapped into slavery",12 Years a Slave (2013),w
7,19 March 2014,asda-man,10, 12 minutes of heartbreak (plus an extra 140),"Steve Mcqueen is proving himself to be a director to look out for. I wasn't a huge fan of his debut, Hunger, as I found it too pro-IRA and slow. However, I thought that the directing was pretty outstanding and it had a distinct style. Shame is a film I've yet to see, but I've heard plenty of rave reviews. 12 Years a Slave looks to be Mcqueen's masterpiece. It's film-making at it's most effective and powerful. I cam away from the film feeling incredibly moved as I sat there in silence along with the rest of the crowd as the credits came up. 12 Years a Slave dares to bare all in a way that most mainstream films would be afraid of doing. Mcqueen shows all the unflinching brutality to create an overwhelming sense of power. I'm used to watching harrowing and depressing films, but these are normally little known like, Dancer in the Dark and The Seventh Continent. 12 Years a Slave is very much mainstream, yet I still found it incredibly harrowing and brutal. Mainstream audiences are go to in for a nasty shock.",/
8,12 January 2014,gsygsy,10, As high as cinema can go,"It's rare that a movie lives up to its hype, even rarer that the hype is transcended by the actual achievement. 12 YEARS A SLAVE does both. Aided by powerful performances and cinematography, director McQueen exposes the barbarity of dehumanisation, of treating people as property. Reviews focus on the brutality on display, and it's true that the film is not easy to watch, with its powerful juxtaposition of sublime scenery and human degradation. But to me the final scene is the most powerful of all: we are party to the kind of raw emotion that in the hands of lesser artists could easily descend into tawdriness or sentimentality. Here, as in the rest of the film, it is raised up high, as high as cinematic art can go.",r
9,22 September 2013,tigerfish50,9, Abducted to a Southern hell,"Considering the social and economic importance of slavery in America's history, the scarcity of serious films depicting the daily life of slaves in the Confederate States is significant - especially since the after-effects from this shameful episode still echo through the culture. '12 Years a Slave' is based upon the memoirs of Solomon Northup, who endured a hellish period of enslavement in Louisiana, which is backed up by legal records.",w
10,26 November 2013,tavm,10, 12 Years a Slave is quite a compelling depiction of slavery at its most harrowing,"Just watched this true story of slavery with my movie theatre-working friend. It depicts the abduction of Soloman Northup (Chiwetel Ejiofor) from his family in New York State to the bayous of Louisiana (my home state) where he is made a slave. Director Steve McQueen does a fine job depicting how harrowing the experience is and provides catharsis when the ending comes. He also does a nice job of providing some background of other fellow slaves like that of the doomed Patsy. If anyone who paid to see this expected to watch Brad Pitt in a big role, they must have been disappointed to see him in only a couple of scenes but he does well in those and I have to assume most of the public was enthralled by the story to not even care by that point. Anyway, I highly recommend 12 Years a Slave if you want to be challenged as a viewer by the way someone is depicted as the main character is here. Oh, and nice shots of the Louisiana locations.",5
11,20 October 2013,maurice_yacowar,9, Black northerner sold into slavery and survives,"Like the whipping scenes we uncomfortably witness, in 12 Years a Slave the sting comes in the tail. The end titles tell us neither the slave pen manager nor Solomon Northup's kidnappers were punished. Solomon is saved, but that individual justice does not redefine the terrible system. Racism, slavery and savage injustice persist at film's end. Of course, the point is that even after the Civil War, the freeing of the slaves, the Civil Rights Movement and its legal and societal successes, racism and injustice persist. Hardly a major daily newspaper passes without a reminder, whether it's a regressive change in the voters' rights laws or a Florida bully justified in ""standing his ground"" against the unarmed black kid he hunted. 12 Years a Slave reminds us what contemporary America grew out of and where too much of its roots remain. ",3
12,9 September 2013,LetwitJr,10, Another masterpiece from McQueen,"I attended the premiere of 12 Years a Slave at the Toronto International Film Festival. Having no tickets, we had to wait close to 4 hours hoping they might let us in. I have to say it was definitely worth the wait and it is hands down the best film I've seen at the festival. ",3
13,19 March 2014,binducherungath,10, Soulfully depicts the human tragedy...,"Twelve Years a Slave is an adaptation of the 1853 memoir of the same name by Solomon Northup, a New-York state born free Negro who was kidnapped in Washington D.C. in 1841 and sold into slavery. He worked on plantations in the state of Louisiana for twelve years before his release. It is depressing, sad, annoying, frustrating to watch what Solomon Northup (Chiwetel Ejiofor) went through his 12 years as a slave. A great performance by Chiwetel Ejiofor whose act of bewilderment, despair, anguish, trying to survive is just outstanding. There are moments when with no sound and little movement, he projects what hopelessness looks like. His 12 years of unthinkable abuse, backbreaking labour, fading dreams of happy family, desperateness to figure a way out to his freedomevery act moves us. The brutality, dehumanizing acts of the masters make it so tough to even look at the screen.",0
14,3 November 2013,parallel_projection,9, A disturbing but powerful portrayal of slavery in America,"Directed by Steve McQueen and staring Chiwetel Ejiofor, Michael Fassbender, Benedict CUmberbatch, newcomer Lupita Nyong'o, and a ton of other stars, '12 Years a Slave' is based on the memoir of Solomon Northup, a freeman who was living in Saratoga, NY before being tricked, drugged, and sold into slavery in the south.",7
15,16 January 2014,FlashCallahan,10, Your children will soon enough be forgotten......,"Solomon Northup lives as a free man in New York with his wife and two children, earning a living as a violinist. ",1
16,23 April 2017,Kingslaay,9, A Powerful film experience,12 Years a Slave is a shocking and brutal look at slavery and the reality for many during those horrible times. It does shy away from the harsh realities of slave life and viewer does not get a veiled look of their lives. It is this journey and story of Solomon Northup that makes this a beautiful film. Without warning a respectable and free man is taken away from his family to the inhumane life of slavery. Harsh truths of life during those times are shown at a nonstop pace. It is also interesting to note the disparities that existed within a country from free states to slave states. On some level viewers might even relate to Solomon's plight. What if one of us was displaced from our comfy lives and put in an unknown and foreign place where people didn't care about laws and men? ,0
17,3 November 2013,george.schmidt,10, One of the year's very best; Ejiofor gives an Oscar-worthy performance in courage.,"12 YEARS A SLAVE (2013) **** Chiwetel Ejiofor, Michael Fassbender, Benedict Cumberbatch, Lupita Nyong'o, Sarah Paulson, Paul Dano, Paul Giamatti, Alfre Woodard, Brad Pitt, Garrett Dillahunt, Michael K. Williams,  Kelsey Scott, Quvenzhane Wallis, Cameron Zeigler, Scoot McNairy, Christopher Berry, Bill Camp, Devyn A. Tyler, Willo Jean-Baptiste. Remarkable true- life account of slavery in America based on the biography of freeman African-American Solomon Northup (Ejiofor in an incredible performance that is truly Oscar-worthy), who is tricked and abducted while on a trip from New York to Washington and sold into slavery against his will where he burdens many hardships in his long journey into hell. John Ridley's powerful adaptation of Northup's book is a surprisingly clear-eyed, warts-and-all blinding depiction of how history can be a personal gauntlet in spite of the tremendous odds against surviving. Filmmaker Steve McQueen uses all the archetypes of the Southern 'hospitality' usually seen in the genre of a Civil War treatise but doesn't flinch at all in the underpinnings of what is a true blight of humanity. Equally powerful in their acting (and award noticing) are Fassbender as Solomon's cruelest master with nothing but pure hatred broiling at the surface and a heartbreaking stoic turn by newcomer Nyong'o as the 'personal' slave he terrorizes to no end. One of the year's very best films.",/
18,3 March 2021,doomedmac,8, It's rough,"12 Years a Slave is a really tough movie. It's intense, cruel, and furious in its story-telling. Not amazing, but still very good.",?
19,24 November 2013,evanston_dad,5, 2 Hours of Feeling Bad,"There is so much badness in our modern world and, because of the non-stop flood of digital information, it's coming at us ALL the time. Therefore, if I'm going to see a film about a horrible subject (which I'm not opposed to), I want to feel like I'm being subjected to it for a reason. I want to feel that the filmmaker has something to add to the conversation about it, draws some conclusions, makes a point that hasn't already been made. Otherwise, I feel like that much more badness has been added to my life for little purpose.",r
20,29 January 2014,bkoganbing,9, Degradation and Despair,"During the days of the big studio system slavery was a topic that was generally avoided. The standard interpretation of the era's history made such work as Birth Of A Nation and later Gone With The Wind the way we saw the era. It was the Civil Rights Revolution that opened a lot eyes and now with a bit of perspective there, a film like the incredible true story 12 Years A Slave could be made.",e
