Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,1 March 2003,Boyo-2,10, This is rated so highly cause it deserves it,"A slice of heaven right here on earth, ""Amelie"" is a joy to behold, and has some of the most gorgeous cinematography I've ever seen in a movie. ",/
1,14 August 2004,rbverhoef,9, Finds its charm in the little things,'Le Fabuleux Destin d'Amélie Poulain' finds its charm in the little things. The story about Amélie (Audrey Tautou) is a modern day fairy tale and that is exactly how it looks the entire film. ,r
2,15 March 2002,wisewebwoman,10, What is left to say about this glorious joy ride?,I had heard superlative comments on this film and it does not disappoint.,e
3,19 December 2001,alastair_m,10," A hilarious, warm movie in a world all its own.","Not a lot of movies create their own sort of universe. Some that come to mind include ""The Wizard of Oz"", ""American Beauty"" and ""Vertigo."" These movies are so distinct and original that they seem to have created there own spot in the universe, untouchable by anything else. You can add ""le Fabuleux destin d'Amélie Poulain"" to that list.",v
4,2 January 2003,mucronate,10, She makes ME fall in love too!,"To start off with, I heard a lot of good things about this movie when it was on the big screens but never got around to see it before it disappeared. Sitting here, long after in the aftermath, I might never forgive myself for missing that opportunity. Eventually I did get around to see it, though a small TV never does a film the same justice a theater does, and being a bit sceptic about the small hype this movie caused made me prejudice about it, but I must say I have never been so wrong before. And I am happy saying it.",i
5,20 July 2018,perica-43151,10, Hearthwarming,"This gem is one of the most memorable French movies of the new millennium. Amelie wears its heartwarming charm in best way possible. If you have not seen this movie, go and see it now.",e
6,27 March 2005,ztruk2001,10, Audrey Tautou is magical,"Amelie is a film that struck a certain chord with me. Every now and then movies come along that speak out to you and emotionally touch you in some way. Amelie is one such film for me. I related to its innocent charm and delightfully shy protagonist played by French sensation Audrey Tautou, the way very few films have. Part of the reason we watch movies is to learn something about ourselves or recognize characters that are remarkably similar to us and the way we are in real life. For all of us shy, introverted, quirky, and odd-ball eccentrics out there who have trouble relating to ""normal"" people, Audrey Tautou in this film is our personal hero. Instead of going into much detail about why the film works, I'll instead try to explain what it meant to me personally. Sure I guess this means I have to open up maybe more than I'd like to about myself, but oh well. The way Amelie's childhood was presented is similar to my own. I am an only child to divorced parents and very rarely had friends as I was and still am very much a loner. As a child much of my time was spent alone so I entertained myself in all kinds of silly ways. Just like Amelie does in the film. Of course I gained my fixation with films at an extremely early age, but also did stupid things like give my stuffed animals personalities and have conversations with them, draw pictures and create stories to go along with them, and laid in bed listening to the radio with the windows open on a lazy summer day imagining creatures out of the cloud formations. Apparently there are legions of us out there. Even today I enjoy solitude far more than the company of most people and still use my imagination to think of stupid little things. Amelie did an amazing job in capturing what the world is like through the eyes of a person who doesn't really fit in, but finds joy in the simple things in life. Like the fresh spring breeze on your face, the sound of the rain, the chirping of birds, the touch of fur, and popping bubble wrap. Actually popping bubble wrap was always an exciting and rare treat during my youth. Jean-Pierre Jeunet's film also has a marvelously fun nifty view of sex. For Amelie sex is not something that is intimidating, temptingly desirable, sinful, adult, or lustful. It's just another of the many silly things that people do in this world that make us human. Two people taking off their cloths and rubbing up against one another. How sweet! In fact many people have insulted the film for it's unique view and open attitude towards sex. For shame really. Sure there's a lot of it actually. Amelie's first sexual encounter, the orgasms, the object of her affection working in a porn shop with a stripper and putting price tags on didoes. But it's all in good fun and filmed with the naivety that a character like Amelie would view sex as. Anyways the movie really works. Cinematographer Bruno Delbonnel does an excellent job in filming Jeunet's crazy vision and Audrey Tautou with her funky hairdo, wide brown eyes, and whimsical voice and kitten like mannerisms and shyness brings the movie to life. As I said I relate to this movie and understand the character the way I do with few other movies simply because it is frighteningly very much like I tend to be in real life. ",w
7,9 January 2017,Hitchcoc,10, She. Captivates Us All,"There seems to be a movement afoot to diminish ratings on films, even if they are reasonably good. So someone looks at the 250 best films list and rather than actually review and give any sort of subjective review, they give it a one so they can sabotage the rating. This is a charming movie. It's not for everyone, but it is creative and kind and has a wonderful love story. Criticize a away, but to call a person with a desire to do good, even if she invades the spaces of people, a psychopath! Really. I guess that's the curse of the public forum. For those actually interested in the movie, it involves a young woman who has been sheltered by her parents. When the mother is killed by a falling body, she is left to her own designs. Her father is cold and disinterested and she must fend for herself. She becomes an observer of life and begins to formulate her own being. Her decision making is based on her personal journey and, in some cases, a lack of real education. She is a waif but only wants to do good. One of the most creative and loving movies ever produced.",/
8,24 December 2001,jilske,10, This Movie can CHANGE your life :-),"A year ago, if someone would have asked me ""What is your favorite movie ?"" , I would not have known what to answer exactly, maybe Fight Club, maybe Vertigo, Indiana Jones even would have come to my mind.",r
9,18 February 2003,yaseminturkish,10, Amelie innocently skips stones in the canal and you realize that this deserves all the hype,"Waiting for `Amelie' to begin in a theater fraught with noisy college students drinking cheap beer, I wasn't expecting anything more than an over-hyped flick from our friends in France.  I slowly began to realize as I watched Amelie skip stones in the canal that for the very first time, a film deserved all of hype it had been accorded and more, and I felt so blessed to be a part of this revelation.",w
