Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,6 June 2000,FlickJunkie-2,10, A National Treasure,"James Stewart and Frank Capra.  One needn't know much more going in to be assured that this will be an enjoyable film.  Together they take on the Washington elite with this dramatic comedy about a naïve Washington outsider who gets appointed to the Senate and stands alone against corruption and graft.  Jefferson Smith (James Stewart) is appointed from an unnamed state after one of its Senators dies.  He is appointed because the political fat cats need someone who will not seem like a crony, but who will not stand in the way of a graft scheme for a pork barrel dam that will make bigwig Jim Taylor (Edward Arnold) millions.  When the wide eyed Smith gets to Washington, he discovers the corrupt bill because the dam will stand in the way of his own proposed bill for a children's camp.  When he tries to stop the project, Taylor's political machine frames him to make it seem like he is the one taking graft.  This leads to the dramatic confrontation in the Senate, where Smith filibusters in an attempt to get the truth out.",/
1,27 September 2020,Xstal,9, A 40ft Dive into a Tub of Water...,"Accomplished, honest and heartfelt, this will reinspire you to believe in the goodness of people even though the messages conveyed by those in power these days suggest anything but. James Stewart plays the innocence and naivety required for the role to perfection while you can genuinely believe that Jean Arthur has actually fallen for him for real. The great Claude Reins fills the boots of the corrupt senator with aplomb while Edward Arnold reminds us of a few of his type that are still around today. Probably the best film you'll ever see with the most mundane of titles.",r
2,30 June 2019,gbill-74877,8, Shining a light on corruption,"Frank Capra was an idealist for sure, but he certainly was clear-eyed in seeing some of the darkest problems with humanity and its institutions. At the beginning of this film, he shows us politicians who are firmly in the pocket of special interests, the degree to which is startling. A state governor (Guy Kibbee) is in charge of picking a new senator after one of the two serving for his state has passed away, but it's immediately clear that he operates as a puppet for a big businessman (Edward Arnold), a guy whose clout got the governor his position, and now who expects to call the shots as payback. We see it as one of the fundamental problems of representative government in 1939, just as it is today, so the film is highly, highly relevant.",e
3,4 March 2017,zkonedog,9," Sure It's Cheesy, But Also Oh So Aspirational","Critics of ""Mr. Smith Goes to Washington"" will call it cheesy, saccharine, and over-the-top in its character portrayals. Truth be told, I really can't call those critiques ""wrong"". But the thing is, this is such an endearing, aspirational film that I'm always able to look past the cheese-factor and enjoy the performances and overall message.",v
4,11 January 2018,grantss,10, Brilliant,"Through a series of fortunate, and unfortunate, events, an unsophisticated local hero, Jefferson Smith, is appointed a US Senator. The people pulling the strings in his party and State figure that he will be compliant and malleable and basically stay out of the way of their plans, some of which aren't entirely ethical, or legal. However, a well-intentioned deed sets off a dramatic chain of events, a series of events that will see him at odds with his colleagues, with the shadowy, bullying powerbrokers and with the entire Senate.",i
5,20 May 2006,Quinoa1984,10, drifts in and out of comedy and sincerity with the greatest of ease,"It was a lot of fun watching Mr. Smith Goes to Washington in a class where the professor noted how this was the sort of film that was of historical importance while not taking itself too seriously. And I think that's the way Frank Capra wanted it, in a sense. Perhaps in the time of 1939 America this film was seen as being of merit to the American Government's due (though according to the trivia, it was denounced at showing corruption and even banned for showing how democracy ""works""). But the director is also wanting to make an entertaining movie, of the kind of Hollywood appeal that brings 8-to-80 years olds in attendance. What had me interested throughout, particularly in that climactic, rousing twenty-minute sequence in the Senate with Jimmy Stewart's constant, un-faltering filibuster, is how it really is a patriotic kind of bravura to be shown on the screen. Here is how it SHOULD be done, to an extreme perhaps, in getting things done in government. But at the same time, Capra keeps it entirely watchable with that group of kids up on the balcony, keeping the audience laughing and smiling all the way through the great lines that Stewart says. ""Great principles don't get lost once they come to light. They're right here; you just have to see them again!"" This is a kind of talent that I'm sure few other filmmakers at the time, or even after, could have pulled off.",e
6,1 May 2006,stuartpiles,10," It works in a way no other movie could, THERE IS PROOF","Now, I must admit that this is one of my top five favorite films. There is a warmth, idealism, and kinda simple feeling of hope, that makes one believe that things will work out in the end. Capra knew exactly what he wanted, and it shines. Jimmy Stewart, in the role of his life, makes us believe, what we know is almost impossible in todays crass world.",w
7,7 April 2017,mark.waltz,10," The best film of 1939, about a love of honor that's gone with the wind.","For a film 88 years old and 14 presidents later, this film represents what is best about the United States and also a reminder what is wrong with it. I do find it difficult to pick out the best film out of the dozens of classics released in 1939, but of those 50 or 60, ""Mr. Smith"" remains the most prestigious with a message that resonates today. Like the dozens of classics in 1939, this has dozens of moments that are considered among the great scenes in film history. ",/
8,26 January 2006,blanche-2,10, Mr. Smith learns about politics the hard way,"What a wonderful film. What an exaggerated, corny, fantastic, beautifully acted, exciting, wonderful film.",r
9,28 July 2020,iquine,9, Sadly Still Super Relevant Today...,(Flash Review),w
10,16 May 2003,perfectbond,9, A true classic that lives up to it's reputation,"Mr. Smith is as good as it's legend. Sometimes I'm disappointed when a universally acclaimed movie isn't as enjoyable as I thought it would be. But here, that is not the case. James Stewart is deservedly remembered most for this role. That's saying a lot given his impressive body of work. This is also Frank Capra's signature film along with Mr. Deeds. The idealism of Jefferson Smith might feel a bit anachronisitc today but, and I know this is a cliché, the world could use more people with his values. The supporting cast is also spot on. Jean Arthur plays the same type as she did in Mr. Deeds and Claude Rains is terrific as the mentor who betrays Smith. Strongly recommended, 9/10.",0
11,1 September 2016,ThomasDrufke,10, Still Relevant,"Few films succeed in being relevant a decade or two after its release, but Mr. Smith Goes to Washington is still relevant 77 years later, especially in a voting year with questionable candidates.",0
12,7 March 2006,edwagreen,10, Mr. Smith-Where are You? Do We Need You Today? ****,"James Stewart was simply magnificent in this memorable classic of a dedicated young politician who is appointed to the senate following the death of his state's senator.. He wants to do what is best for his constituents. He soon learns that in Washington this is not to be the case. Corruption, patronage et al are alive and well and functioning.",2
13,23 November 2018,cricketbat,8, Still packs an emotional punch almost 80 years later,"It's interesting how Mr. Smith Goes to Washington feels so dated and yet so relevant at the same time. This movie itself feels like Jefferson Smith, naively striding into the homes of the cynical and skeptical modern public, only to prove that it does, indeed have something important to offer. This movie still packs an emotional punch almost 80 years after it was made and it's easy to see why it's a classic.",0
14,2 June 1999,lenndogg,10, Required viewing for anyone elected or appointed for public office.,"Since the beginning of the art form, movies have generally fallen into two categories: the realistic, and the fantastic (fantasy-based).  There are some that point out that the films of Frank Capra unduly fall into the latter, that they are completely far-fetched and fastened in their own time, and even invented a pejorative term ""Capra-esque"" to describe any non-cynical, heartwarming picture that has a message.  His great films, like It Happened One Night, It's a Wonderful Life, and of course, Mr. Smith Goes to Washington, however, are not fixed in a single era, but all eras, the truest definition of a classic.  And considering it was released among true powerhouses in 1939, a year as important to movies as 1998 was to baseball, its ideals, story, and general excellence shine as bright today as it did over 60 years ago.",1
15,2 March 2007,ackstasis,9," ""Either I'm dead right, or I'm crazy!""","Patriotic, stirring, uplifting, absolutely mesmerizing Here are just a few words that can be used to describe Frank Capra's brilliant 1939 film, 'Mr. Smith Goes to Washington.' Bringing together a stellar cast of both fresh and seasoned actors, Capra manages to reach into each of our chests, and wrench almost painfully at our heartstrings.",0
16,23 September 2017,Vartiainen,8," Politics, the politics never change","A senator suddenly dies and a replacement needs to be named. The other senator for the state, Joseph Paine (Claude Rains), along with Jim Taylor (Edward Arnold), his corrupt businessman backer, decide to name a truly surprising candidate, one Jefferson Smith (James Stewart). He's meant to be nothing more than a seat warmer so that Paine and Taylor can push through a new piece of legislation concerning a dam, meant to make them filthy rich. Unfortunately Mr. Smith is something they've rarely seen and are utterly incapable of understanding: a good and honest man. And a boy scout to boot.",8
17,23 June 2010,TheLittleSongbird,10, Absolutely superb,"Having loved everything of Frank Capra's work I've seen, especially It's a Wonderful Life, I wanted to see this film, as I feel Capra was a wonderful director and James Stewart a great actor. So this was a perfect combination and works superbly.",/
18,30 January 2020,THE-BEACON-OF-MOVIES-RAFA,10, First American Honest Politacl Reality,"Yes this movie exposed the political reality of american
sad but truth , for me 10/10",?
