Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,15 October 2021,peach007,9, My favorite movie of the 2010's,"What can I say. This is such a great movie. I remember seeing this for the first time, not really knowing what it was about. Straight from the first scene, it immediately put a smile on my face, which lasted about for the rest of the entire movie. Great entertainment, I love over the top movies like this. I haven't seen something this good since Fear and Loathing in Las Vegas. I have seen it about 4 times again since it came out and I just keep loving it. The only downside was maybe the scene with the ludes and the Lamborghini. Even though it was great, maybe it was a bit too much over the top :)",/
1,29 December 2020,karolin-99263,10, Oscar worthy,"The movie Leonardo DiCaprio should have gotten an Oscar for. His portrayal of the character is perfect. The movie is well-written, leaving no details out of the original story. Martin Scorsese never fails to impress. One of the only example where the movie is better than the book. The movie never gets boring, I could watch this anytime.",r
2,4 October 2018,nogodnomasters,9, SELL ME THIS PEN,"Golden Globe winner Leonardo DiCaprio stars in the title role of Jordan Belfort. Belfort works his way up the ladder making money in penny stocks, i.e. ""selling garbage to garbage men."" His scheme is to sell these garbage stocks to rich investors due to the high commissions. Along the way he does some illegal transactions as he runs his corporation like a frat party in ""Animal House."" Having not known money, he and his crew are ill equipped to handle it.",e
3,18 June 2014,kosmasp,9, It really is a comedy,"There is a reason this is called Wolf of Wall Street and not Lion of Wall Street. This is not supposed to be a story about some good guy or misunderstood guy doing things that are a little off. And therefor it was important to make this a comedy. When I watched it, I didn't think it would qualify as comedy. Thought of it more of a drama with some comedic moments thrown in.",v
4,24 December 2013,BrentHankins,9, DiCaprio gives the best performance of his career.,"In the mid-1990s, Jordan Belfort (Leonardo DiCaprio) and the rest of his associates from brokerage firm Stratton Oakmont became the very definition of excess and debauchery, their offices a boiler room fueled by cocaine and greed. High pressure sales tactic and less-than-legal behind-the-scenes manipulation bred plenty of twenty-something millionaires, and Belfort built himself an empire at the top of the heap. His rise and fall is chronicled in The Wolf of Wall Street, based on the memoir of the same name.",i
5,24 October 2018,notoriousCASK,9," ""Money is the oxygen of capitalism and I wanna breathe more than any other human being alive.""","It's no surprise that Scorsese is associated with the gangster genre with films such as The Departed, Goodfellas and Casino, of which the last two are possibly the best pure examples of the genre. In Goodfellas the gangsters are dangerous but they operate on a more underground level, in Casino they practically run a major city and can do whatever they like. The gangsters were and will always be a part in America's system. Now, the gangsters are not just accepted by the system, but are considered to be an integral part of it. In the first two films, the gangster is threatening and dangerous, but avoidable. In The Wolf of Wall Street, he's calling to hustle you at home and you don't even know it. Some people view The Wolf of Wall Street as a glorification of Jordan Belfort's lifestyle and want to be like him, as Scorsese portrays this life by its nature, enticing. That's the way it works, and it's impossible to portray it accurately without showing how a charismatic man like Belfort can suck an unsuspecting person into a world of money and fame. The film though, shows us just how empty and destructive that life can be.",e
6,22 September 2021,diegocoda,10, The best movie of 2013,"The movie is just the best, the acting is great and even I say that it was Oscar-worthy and the plot is simply one of the best ones; the message that it brings to you that money brings power and it is not always for the best because in this movie we see the downfall of a man that will learn that actually in life the money can be a drug and will simply make you cause damage to yourself.",w
7,17 December 2013,ClaytonDavis,9, The Wolf of Wall Street is Leonardo DiCaprio's Crowning Work,"Martin Scorsese has done it again. His newest and most refreshing effort he's contributed to the world of cinema in years, The Wolf of Wall Street is a roaring thrill ride that is both absolutely hilarious and meticulously constructed. It also presents Academy Award nominee Leonardo DiCaprio in possibly his finest acting performance of his career. At one-minute shy of three hours, I was both engaged and hypnotized nearly the entire duration. A comedic epic that studies the behavior and cultures of a time in America, feels like the uncovering of a time capsule that was buried and dug up to give insight into our current financial crisis. Much more than just laughs, it turns on the dramatic elements early enough in the film to warrant considerable reactions about the choices of our key characters. Expertly paced with intelligent moral questions presented, The Wolf of Wall Street is one of the best films of the year.",/
8,12 April 2021,abdulazizalsaad-73053,10, Leo's best performance of all time!!,"Di caprio was robbed in the oscars whether you like it or not, the only reason why people give this movie a low rating is because of the over nudity, and it's the same reason why leo didn't get the oscar in my opinion, which is what I don't understand!!!, it's an r rated movie, so obviously there will be nudity, it's not a kid's movie!!!! , it's easily leo's best performance and scorcese's second best movie after goodfellas.",r
9,29 December 2013,Al_The_Strange,9, Wolf of Wall Street review,"If you've seen The Goodfellas or Casino, then you'll know the story of The Wolf of Wall Street. This is another tale of a criminal whose ambitions sweep him away into a debauched world of dirty money, out-of-control substance abuse, endless lies, a troubled family life, and a downward spiral of corruption that inevitably leads to his own undoing. Only thing is, this is less about the gangsters and mafia, and more about white-collar crime. The guys wear suits, work in proper offices, and everything they do is just business; funnily enough, this whole movie still plays out like a kind of gangster film.",w
