Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,16 December 2013,gogoschka-1,10, One of the most intelligent comedies ever made,"Personally, I believe this to be one of the most intelligent comedies ever made. It might not appear that way at first because the film does have its share of simple slapstick and ""naughty"" moments, but generally, the topics the Pythons tackle here are very serious - albeit dealt with in a way that makes this a true contender for the funniest film of all time. ",/
1,24 April 2010,TheLittleSongbird,10, Utterly hilarious from start to finish!,"Life of Brian may have caused controversy on release, but this has always been my personal favourite of the Monty Python movies. Why? Because it is hilarious! True, the story isn't the best component of the film, but everything else works wonders. It is essentially an irreverent and inspired send up of religious epics, and is helped brilliantly by gags and a script that is so joyfully juvenile, if extremely rude, and quotable. Quotes such as ""He's not the Messiah. He is a very naughty boy"" and ""Welease Wodewick"" had me literally peeing my pants. The sets are realistic and all of the Pythons who here take several pot shots at their favourite targets, especially Terry Jones, Graham Chapman and Michael Palin are on top form. Overall, irreverent and hilarious, a must see! 10/10 Bethany Cox",r
2,7 March 2022,filmbuff-05706,10, I'm A Christian And This Is My Favorite Comedy Of All Time.,"Monty Python's The Life of Brian is notorious for offending many Christians- especially at the time of it's release 43 years ago- despite many of these protesters being non-viewers. However, I'm a Christian and this is my favorite comedy movie. (Admittedly, my love for Bible-themed movies plays a factor in that.)",e
3,10 October 2005,lee_eisenberg,10, Ave Monty Python!,"This is, in my opinion, the best religious movie ever made. Monty Python's Flying Circus knows how to do everything hilariously. Focusing on Brian Cohen (Graham Chapman), who gets mistaken for the messiah in Judea in 33 AD, the movie pokes fun at everything: Romans, Jews, imperialism, even extraterrestrials. With sardonic lines almost every minute, they play religious fundamentalism for what it is: silly. I don't even know which scene was my favorite; every part was so funny. You'll never forget the song at the end. This is comedy in its greatest form, and it makes sense that it would come from the guys who brought us the ""parrot sketch"". Absolutely a hoot.",v
4,16 May 2020,gbill-74877,8," Razor sharp, and still holds up","Marvelous satire of religion and its followers - how the message is distorted, how factions invariably form and fight one another, and how blind worship quickly replaces reason (and even kindness). After the Sermon on the Mount is delivered to a crowd who mostly can't hear Jesus and squabble among themselves, one guy walks off commenting ""What Jesus fails to appreciate is that it's the meek who are the problem,"" in shades of the conservative view in 1979 and today. Mostly it's just good, sacrilegious fun, sometimes venturing into territory that's now frowned upon (like making fun of a speech impediment), but overall very creative and intelligent. Here's another funny bit:",i
5,13 October 1999,alice liddell,10, Still one of the funniest films of all time.,"It's impossible for me to be objective about this film.  I know every scene and line by heart.  Not because I'm one of those ghastly Python nerds, whose anal obsessiveness sucks the whole spirit out of everything they did, and actually misses the joke, which is on them; they are the perfect subjects for a Python lampoon.  No.  I only know LIFE OF BRIAN so intimately because I've seen it so often, it's still one of the funniest comedies I've ever seen, and persists in being hilarious despite familiarity, which, as in so much Python did, is the reverse of what comedy is 'supposed' to be made of (i.e. surprise).",e
6,21 December 2016,Hitchcoc,10, A Comment on Our Gullibility,"This is such a fine movie. It involves a guy who was born just down the street in Bethlehem. The Magi go to him first and then realize they are confused and leave. He tries to lead a normal life, but word gets out that he is the Messiah. He does everything he can to get this off his back, but a group of followers begin interpreting his words as great wisdom and godliness. It gets so bad that when they are sent to check out ""the other Guy"" they ultimately find his pronouncement (actually non-pronouncements) to be much more impressive. There is a hilarious scene where he tries to make a statement about the Romans, but his Latin is so bad he is force to write it over and over on the walls, like an American schoolboy. The final scene is incredible. If you've never heard the song or seen the images, check it out. I would imaging there are some people who find this movie blasphemous. I consider it one of the greatest parodies ever produced.",w
7,21 March 2019,the_barnacle,10, 'Do you find it wisible...when I say the name...Biggus...Dickus?',"Famous lines from Michael Palin as Pontius Pilate...and also my favourite lines from this wondrous film. This is not a piece of criticism, just an exhibition of love. For those of you who believe that Holy Grail is better - I'm sorry to inform you that you're wrong. Life of Brian has such good consistent humour that really can't be beaten. The variety and range of characters the Pythons play is sublime. The chemistry they have with each of other is what makes the film work so well. I won't ramble on anymore because most of what I want to say has already been said!",/
8,29 June 2004,TBJCSKCNRRQTreviews,8," Still funny, after 25 years","When a film is still funny 25 years after it's made, and doesn't feel particularly aged, even a quarter of a century later, then you know that you've struck gold. The famous Monty Python crew once again take a well-known subject and make a lot of fun of it. This time, the subject is religion, or, more specifically, Christianity. Everyone who knows at least a little about Christianity, which is pretty much anyone from the western world, will probably be able to laugh at something in this movie. Unless, of course, you are very Christian yourself, in that case you will probably feel that the film is blasphemous(I don't personally think so, since it makes fun of the followers and the general stupidity of people and organizations back in 30-something A.D., rather than Jesus and his teachings). The plot is about as incoherent as the usual Monty Python team film, though it should be noted that, like Monty Python and the Holy Grail, it is an actual film, and not a series of sketches, like, for example, the Meaning of Life. It's about as paced as they usually are, most of the scenes contain a lot of jokes, and then they move on to the next scene, after about five minutes of jokes and sight gags. This is, unfortunately, the problem with their films; if you don't like the jokes, the film might seem extremely slow to you; of course, one could argue that Monty Python mainly make movies for the jokes sake, but they could do better on the pacing, for the sake of viewers who don't like all those repeated jokes. That's not to say that I don't like them, I laugh at them most of the time, heck, I laughed so hard that I almost got stomach ache from it at one particular instant. But, I guess that a lot of people won't like them for this way of making movies. Oh well. You can't please everyone. The humor is great, it's standard Python wacky, crazy humor, so every Python fan should enjoy it. People who don't like Monty Python should give this a chance too, if they have at least a little humor, and they aren't Christian extremists. Christian ""believers"" can probably laugh at it too, like I said, it's not the religion itself, it's more the brainwashed followers that the film makes fun of. All in all, a great film for fans of the Python crew, and people who have a sense of humor about religion(a dark sense of humor, that is). I recommend it to fans of Monty Python, people who enjoy dark humor and people who can laugh a little at the less intelligent parts of Christianity. I fall into all three categories, and I loved it. 8/10",r
9,20 December 2004,j30bell,9, A Masterwork of British Comedy,"In Life of Brian, Python created what John Cleese called simply ""our masterpiece"". As a piece of writing, it is the most impressive of the three feature length Python movies. The scenes remain episodic, but there is a much more coherent narrative than in the earlier Holy Grail  I loved HG too, but for different reasons. The characters (well about one or two of the characters) have acquired some subtle shading, which is rare in comedy and, alas, rare in British comedy in particular. The plight of Chapman's Brian is one that I really cared about (although his death is also extremely funny, upbeat and one of the truly iconic moments in British cinema).",w
10,1 January 2017,framptonhollis,7, one of the funniest films of all time,Monty Python...do I even need to say more?,0
11,21 June 2004,Quinoa1984,10," Not necessarily laugh-out-loud every minute, but it's satirical edge and wit is as clever as the technical side of the film","Monty Python's follow-up to their cult smash Holy Grail was Life of Brian, a film that takes on (if not always with the utmost seriousness, then usually with a mix of silliness and slight intellectualism) the believers in religions, the zealous nature that belief brings out in people.  I first saw the film in the theater upon its re-release last month, and I found it very funny, though not with the kind of belly laughs that I had on my first reaction to Holy Grail.  It's not without it's scenes that stick out as some of Python's finest (the Stoning, Pilate's scenes, the Spaceship sequence), even as sometimes it goes a little too broad for comfort (part of the colisseum).",1
12,1 April 2002,Gazzer-2,8," I Think God Has A Sense Of Humor, Don't You?","And in the 1979th year of Our Lord, God took in a screening of Monty Python's ""Life Of Brian,"" and thought it was funny. ",6
13,12 March 2021,kosmasp,10, Timeless classic,"It is tough for me to rewatch certain movies that left quite an impact on my younger self. Not because the movies dissapoint (though there are some of those too, looking at you Krull), but because I am so used to the German dub of those movies, that it is tough to watch the original audio. It is even tougher to describe what that feels like if you haven't gone through something similar.",8
14,13 March 2014,SnoopyStyle,9, Brian the mistaken Messiah,"Brian Cohen (Graham Chapman) was born next to baby Jesus being mistaken for the Messiah by the three wise men. He has a loud Jewish mother (Terry Jones). He spends his life around the biblical events eventually joining a Jewish resistance group. On the run from the Romans, he is mistaken for the Messiah by a crowd leading to his crucification.",7
15,17 March 2022,zac-04879,7, ...Hahaha... What?...,"Nobody's gonna doubt that this religious satire will slap controversy across the face with its blasphemy, but for while it's not cancelled, Monty Python's Life of Brian is absolutely hilarious. Alike how you can say violent, psychological or deep-rooted thriller kinds of movies are not for the faint-hearted, you can undoubtedly say this laughably offensive comedy is not for the highly religious audiences.",8
16,29 June 2020,riggo-73503,9, Brilliant even years later,Funny in a time where you could be funny... a lament to good ol days,0
17,30 May 1999,JerBear-2,10, One of the top 10 of all time,"True, my tastes are eclectic. This movie is so incredibly clever and thought provoking that it's not surprising that it raised so many hackles. Plus, it's as fast paced and funny as a Marx Brothers movie without the musical breaks. You can watch it 20 times and you'll still sing at the end. Undoubtedly one of the top 10!!",/
18,5 June 2016,Tweekums,8, He's not the Messiah; he's a very naughty boy!,"Brian is an ordinary Judean who just happened to be born at the same time as Christ (leading to some confusion among the wise men). He grows up with a dislike of the Roman occupiers and falls in with a terrorist group known as the Judean People's Front. It isn't long before this gets him into trouble with the Romans and they plan to crucify him. He manages to escape, with the help of a passing spaceship, but soon has other problems. After posing as a street side preacher he picks up a group of followers who believe that he is the Messiah!",?
19,31 December 2007,BA_Harrison,6," Don't crucify me, but I don't think it's that great.","What I am about to write might upset some people. Hell, many comedy fans would even say that I was being blasphemous, but here goes...",r
