Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,2 January 2011,AlsExGal,10, Now that's entertainment!,"Singin In the Rain is arguably the best movie musical of all time, not just because of the music but because of the entire package - the premise, the comedy, the characters - everything here works together to make you feel better any time you sit down to watch it. It's ironic that this movie was thrown together quickly to capitalize on the success of ""An American in Paris"", since the improvisational feeling of the movie is one of the things that makes it so much fun. Although this film is number ten on the top 100 films of all time as compiled by the American Film Institute, it wasn't nominated for best picture the year of its release, 1952. Although it did well at the box office, it would be over twenty years before people would look back and realize just what a great motion picture it was. Perhaps that was because the 1970's were such bleak and cynical years, with movies that largely matched that mood, that people were eager to rediscover the fun that a motion picture viewing experience could be.",/
1,1 May 2005,BrandtSponseller,10, A fabulous musical romance about film technology,"Don Lockwood (Gene Kelly) and Lina Lamont (Jean Hagen) are a famed Hollywood duo, making films at the tail end of the silent era. The studio has been issuing PR suggesting that they're a romantic item. In reality, they can barely stand one another. One night, while on the town with his best friend Cosmo Brown (Donald O' Connor), Lockwood has to run to escape fans who want a piece of him badly enough that they'll literally rip his clothes to shreds. He hops over a number of moving vehicles and ends up in the passenger seat of Kathy Selden's (Debbie Reynolds) car. Lockwood seems immediately taken with her, but she gives him the cold shoulder. She says she's an actress with a love of theater, and she looks down on film acting. Later, Lockwood discovers that she was inflating the truth a bit, as he sees Selden performing as a cute song & dance girl at an industry party he's attending. She runs out of the party and Lockwood chases after her, but he's too late. While he tries to track her down, he, Lamont and their studio have to deal with the changing nature of film in 1927--made much more difficult by the fact that Lamont may look glamorous, but she talks more like Fran Drescher in ""The Nanny"" (1993).",r
2,2 January 2006,jotix100,10, The talkies,"The transition from the silent film era to the newly arrived technique of the 'talkies' proved to be the ruin for many well established stars that were great on the screen, but who had no professional training in the theater, or otherwise, and had horrible speaking voices. Thus, a star of the magnitude of Lina Lamont, suffers a hard blow to her career and ego.",e
3,22 January 2005,preppy-3,10, One of the best Hollywood musicals,"This isn't my all time favorite (that goes to ""Meet me in St. Louis"") but this is definitely in the top 10. This is a fictitous musical comedy of the 1920s when silent films became ""talkies"". It chronicles how it affects Don Lockwood (Gene Kelly), his leading lady Lina Lamont (Jean Hagen), best friend Cosmo (Donald O'Connor) and Lockwood's new girlfriend Kathey Selden (Debbie Reynolds). Problem is Lina has a voice that can cut glass and doesn't like lockwood falling for Selden...",v
4,26 September 2020,Xstal,9, Heart Singin' in a Rain of Joyful Tears...,"It's the magic that seldom appears, whose longevity is perpetual, the pleasure of enjoying the perfections that people, music and great storytelling can sometimes offer, with the backdrop a little piece of cinema history itself. All without foul language, extravagant pyrotechnics, mass brawls and bullets ricocheting all over the place, just immensely talented people doing what they do best - keeping you entertained and allowing you to escape for a while and live with the dreams of others. Whether musicals are you thing or not, there can be no doubt that you witness greatness as you welcome the rain and it makes your heart sing.",i
5,22 January 2018,Sober-Friend,9, A Classic,Last year I was very lucky to catch this on the big screen. This film is meant to be seen on the big screen! It was also the first time I saw it at the theaters and I was very impressed with the visuals.,e
6,21 June 2009,TheLittleSongbird,10, Just amazing! One of the best musicals ever made!,"This absolutely delightful film has everything I love in a musical, and is definitely one of the greatest musicals ever made.(I love them) I personally think the film's main merit is the electrifying choreography, evident in the songs, Make Em Laugh, Roses, Good Morning and especially Broadway Melody.As for the songs, they are superb, and quite rightly some of the finest in the history of musicals, and somehow they remind me of Easter Parade. The performances give a rare sense of energy and charm, particularly Gene Kelly as Donald Lockwood, also co-director. His rendition of the title is possibly the most famous scene in the movie, and is pretty extraordinary. Donald O'Connor is hilarious as Cosmo and Debbie Reynolds, with her lovely appearance and fabulous voice is perfectly appealing. Jean Hagen is quite hysterical as Lina, the source of the film's ongoing joke, that her character can't act, dance or sing, and her acting in the talkie was intentionally laughable. Also nice to see the beautiful long-legged Cyd Charisse and Rita Moreno. (best known for Anita in West Side Story)The plot mayn't be the best merit of the film, but with everything else so good, it is such a minor criticism. All in all, a wonderful film, that is well worth watching for the song and dance numbers alone. 10/10 Bethany Cox.",w
7,24 May 1999,ToldYaSo,9, The title alone will have you humming the song,"I don't like musicals. They never made any sense to me. Don't get me wrong, I love music; it's an important part of my life. I love movies also, and while the two often compliment each other, sometimes I'm repelled. It's probably the dancing. A person breaking into a complicated dance number, seemingly unaware of their surroundings, or worse yet, in complete synch with a complete stranger is like making fun of the movie, as if to say, ""Please don't take us seriously, we like to sing and dance."" Or even more ridiculous, ""Let's not fight, let's settle this dispute with a song and dance."" Forget about suspension of disbelief.",/
8,4 March 2008,hitchcockthelegend,10, I'm happy again!,"Singing In The Rain is to me the greatest musical ever made, sure many others push it close, The Wizard Of Oz for one will always be a 10/10 movie in my opinion, but Singing In The Rain is a film that has no flaws, it is a perfect movie.",r
9,28 December 2003,MovieAddict2016,9," What a glorious feeling, indeed!","Everybody remembers the scene. It's the one where he walks along the street, dancing, and singin' in the rain. The musical sequence has yet to be surpassed by any film -- even my all-time-favorite musical, ""Grease"" (1978), doesn't stand a chance. In fact, there's another great musical number in ""Singin' in the Rain,"" with Donald O'Connor throwing his body around like a rag doll. Even though the singin' in the rain number is the infamous trademark of the film and musicals everywhere, my personal favorite is ""Make 'em Laugh.""",w
