Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,26 March 2019,planktonrules,10, Fantastic...but possibly overwhelming.,"""Spider-Man: Into the Spider-Verse"" is a fantastic film but might be a bit overwhelming for some viewers. It's filled with blaring hip-hop music and the animation is beyond splashy...it's competely intense! Now these are NOT criticisms...more a warning if you hate these sorts of things or if you or someone you loves has challenges, such as Autism....as the film might really be overwhelming. Still, I'm nearly 55 and loved the picture...and I think most will if they have an open mind and want something different. That DOES strongly apply to me, as I've gotten sick of superhero movies because there have been so many recently and there's a certain sameness about them...but not this Spider-Man film!",/
1,19 November 2019,Hitchcoc,10, So Much More Than I Expected!,"So many have commented, so I will be brief. From an intriguing plot to wonderful characterizations using drop dead animation, this film works. About ten minutes into it it thought, ""This is just a kind of hip hop version of Spiderman."" But the main character is suddenly thrust into a world which he must learn quickly to manage. The canon takes a turn here toward incredible creativity. I avoid mainstream animation, but this has restored my faith.",r
2,21 December 2018,matthewssilverhammer,8, How on God's green Earth did this work so well???,"The worlds of superhero movies and superhero comics are not as similar as they seem on the surface. Currently, film studios are all about the ""extended universe"", seeing how many different titles and characters they can shove into one franchise (Avengers, X-Men, Justice League), making for an easy way to squeeze a few extra bucks out of their lesser known properties. Comics have this as well, of course. However, they also have something modern movies haven't really tapped into yet: story one-offs, a chance for a storyteller to create a unique tale and not be constrained by the implications on or from the larger universe. Spider-Verse gets to do just that, while playfully taking on the fun (if convoluted) absurdity of extended superhero universes.
Listen, I hear you. ""How could we possibly need another Spider-Man movie?"" Spider-Verse understands that question and has a take on it. Yes, Peter Parker is here. In fact, there are two Peter Parkers. There's also a Spider-Woman, a Noir Spider-Man, an anime Spider-Girl/Robot, and a Spider-Pig. At the center though is Miles Morales, an Afro-Hispanic Brooklyn teen who must help these other Spider-People get back to their own planes of existence. He fights with his cop dad, he adores his shady uncle, hates being simply the smartest kid in the room, and just wants to do something that matters. Being Spider-Man wasn't his idea, but hey, when a radioactive spider gives you powers, what choice do you have?
Look, I don't have any sort of hot take on this movie. It looks great, the humor pops with surprises, the voice casting is beyond perfect. It's simply a stylishly exciting and refreshingly unique take on the superhero genre, and sometimes that's more than enough.",e
3,26 December 2018,BandSAboutMovies,10, The best comic book movie I've ever seen,"The thing I hate about superhero movies is the origin story. After a multitude of Spider-Man stories, do we really need another retelling of his origin? That's the first - of many - things that Spider-Man: Into the Spider-Verse does right. Much like how Grant Morrison retold Superman's beginnings in one page in All-Star Superman, this movie tells you everything you need to know within one minute and goes right into the action. It expects you to know the expected, but then once it makes you feel comfortable, it tears the rug out from under you.",v
4,17 December 2018,eaglescout910,10, Stan Lee Is Smiling Right Now,"A movie worthy of Stan Lee's approval. Incredible animation, great story, great message. This film lives up to the hype and honestly surpassed my expectations. The only reason I think there are some negative reviews is because you can never please everyone. However, for the vast majority of viewers, I believe you'll find this film to be great. Highly recommend seeing it in theaters just for the amazing animation style.",i
5,21 December 2018,cafesmitty,10, Game Changer,"Have you ever sat through a film and you knew that films would never be the same going forward? For example, Terminator 2, Star Wars.. the first Toy Story... Iron Man",e
6,20 December 2018,soulsplosion,10, the most visually stunning film I've ever seen,"There's hardly anything I would improve about this film. The visuals, concepts, soundtrack, characters, pace, humor and animation are all some of the best I've ever seen in any film; I was worried the hype would ruin it for me, as it always does, but not even the group of kids in the theater who wouldn't stop loudly talking could ruin it for me. It is visually engaging and beautiful in every scene, not to mention with an incredibly unique art style, and is honestly something other animated movies should have to look up to for a long time. The only real issue I can think of is the flashing lights, which really alienates any epileptic audience, but even then it's done so in a beautiful and artful way.",w
7,14 December 2018,Cizzurp215,10, A Spidey Movie That Works In Multiple Dimensions,Visually stunning. Great storyline. Great cast. Amazing soundtrack. Tear jerking cameo. Pop culture post credit scene of the decade. Thank you Marvel and Sony for making a Spidey movie everyone can love.,/
8,21 December 2018,thinslicing,10," The better the art, the harder it is to find the right words to describe it.",Updated review 4-9-19,r
9,12 December 2018,rannynm,10, Captures Your Attention From The Get Go!,"What would you do if you could be a superhero? What if you have no choice? From the very beginning, Spider-Man: Into the Spicer-Verse is very energetic and captures your attention. This animated film has impressive visuals. The music creates a fantastic rhythm. And you just want to watch more.",w
10,15 December 2018,vancewinstead,10, Giving Infinity war a run for it's money,"This movie was absolutely incredible. From the animation, to the storytelling, to the characters this movie is completely one of a kind. It is easily the best looking animated movie of the year (no surprise there), but what really caught me off guard was the story they were able to tell in such a short amount of time. Each character has their own distinct personality and is given their own separate characterization without making the movie feel bloated. I knew I would end up liking this movie, but this movie has completely exceeded my expectations. If you enjoy superheros or animation you should 100% definitely watch it in a theater.",5
11,4 January 2019,FairlyAnonymous,7," Visually innovative, but has a lack of focus and is overstuffed.",As much as I enjoy this movie (and as an animator/storyartist I love the visuals!) I have to honest and say it is a bit of an unfocused mess. The reason why you should see this movie is because it is the first in what will hopefully be a trend of innovative and creative animated movies that aren't just looking over the shoulders of what Disney and Pixar are doing. This movie is its own creature and I think it deserves to be seen just for the visuals and the opportunity to hopefully support this trend...,1
12,21 December 2018,mahmus,10, The Best Spider-Man movie ever!,"Spider-Man: Into the Spider-Verse is one of the most beautiful animated movies I've seen and possibly the best looking superhero movie of all time; with its bright neon colors combined with its comic book asthetic, it creates a world unlike anything I've seen since the LEGO Movie.
The characters are all great. Miles Morales is a fantastic protagonist; understandably scared at the prospect of being Spider-Man, but excited to learn. His relationship with his father and Peter Parker are some of the most emotiinal scenes in the movie. Gwen Stacy is also a great supporting character, as are thr rest of the spider people.
The villains are fun and the action is jaw dropping.
It's also tear jerking tribute to Stan Lee.
This is the best Spider-Man movie by far.",1
