Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,15 August 2005,pyrocitor,10, Why do we fall? So we can learn to pick ourselves up. And such is the case for the Batman franchise,"It sickened me in the past to see the Batman movie franchise slowly digging it's way to an early grave. After the quality Tim Burton films, the series pretty much went down the toilet, beginning a horrifically campy age of 'Bat credit-cards' and an armored Arnold Schwarzenegger tossing cringe-worthy puns at a Batman who seemed to be trying not to be embarrassed by the fact that his costume had nipples. So what could Warner Brothers producers hope to do to resurrect the franchise? Pretend it never happened, and start the whole series over again with a talented director, compelling story and capable cast. ",/
1,5 June 2005,tenten76,10," A darker, stormier knight.","Christopher Nolan (and cast) have pulled off what I hadn't dared to dream - a Batman every bit as good as Burton/Keaton's vision - and eradicated the camp, feverish memories of Clooney, Kilmer and (cough..) O'Donnell.",r
2,10 September 2015,jaredpahl,8, Mature Batman Origin Story With Enough Comic Book Flair To Satisfy Fans Of Every Kind,"Batman Begins was a massive breath of fresh air when it came out in 2005. Coming 8 years after Warner Brothers jumped the bat, as it were, with Joel Schumacher's childish mess, ""Batman and Robin"", Christopher Nolan's Batman Begins brought a maturity and seriousness to The Caped Crusader that had been absent since Tim Burton left the world of Gotham. While Batman Begins might not boast the visual prowess or rich villains of Burton's two Batman movies, it fleshed out the character of Bruce Wayne in a way no movie has since.",e
3,6 January 2023,Sleepin_Dragon,10, A first class movie.,"A young Bruce Wayne watches in horror, as his parents are killed in front of him, later in life, he vows to remove the criminal element from Gotham City.",v
4,16 October 2015,Leofwine_draca,9, A reboot that works,"British director Christopher Nolan is better known for his lower-profile thrillers such as the excellent MEMENTO and the brilliant INSOMNIA, but his first big-budget Hollywood blockbuster is still in the same league as the other two: a tremendously inventive and exciting piece of filmmaking, which breathes a whole new life into the Batman saga and proves to be the best film of the series (shame it took till number five to get it right, but that's life). Nolan dispenses with any previous cast or story lines, instead taking Batman back to his roots, and the result is a tough, violent, realistic adventure which isn't marred by any of the comic-book campness or flights of fancy which spoiled the others. Batman is just an ordinary guy here, without any superpowers, but instead his Bond-style gadgets allow him to become the caped crusader by night.",i
5,6 June 2005,motta80-2,10, Everything I could have hoped for,"I had fearful reservations about this one. I loved Tim Burton's Batman - 12 years old when it came out I was the perfect age for it and I also enjoyed Batman Returns. The franchise went so wrong under Joel Schumacher that I wasn't sure I wanted it resurrected. Not least because Batman was one of the few comics I read and enjoyed as a kid and was always my favourite superhero. I grew up reading the comics, watching reruns of the Adam West TV show and then getting Burton's celluloid vision. I was spoilt for choice as a kid but as an adult now I was concerned revisiting the franchise, especially given Warner's record over the last decade of screwing up summer blockbusters with potential all over the place (dare I bring up the Matrix sequels?)",e
6,28 July 2016,KissEnglishPasto,10, One Super-Hero Film With Tremendous Depth!,"From PASTO, COLOMBIA-Via: L. A. CA; CALI, COLOMBIA+ORLANDO, FL",w
7,21 June 2005,Doylenf,10, Let's get serious...the real Batman has arrived!...,"BATMAN BEGINS lives up to what I heard about it being a ""darker"" version, with much less reliance on flippant one-liners or gags, the result being a more realistic feel for what might have been.",/
8,22 June 2006,marshall_web,10, Nolan is the real superhero,"To tell the truth, I thought the Batman franchise could never be saved, and I was really let down that I may never see my favorite superhero in a good movie ever again. Then I saw the preview to Batman Begins, I didn't really know what to think. New Batman. New Alfred. New story. New style. I wasn't sure why I wanted it 'the old way', but maybe I wanted to the actors in the Batman films I grew up with, to revive themselves and make a good Batman movie. I wanted Robin and sadly, Batgirl, alongside Batman saving the world from another familiar villain.",r
9,12 June 2010,TheLittleSongbird,9," A Batman that is stylish, dark and gritty- simply brilliant!","My only criticism of this otherwise brilliant movie is that it is a little too long. But it is an extremely good film, that along with the original Batman could very well be the best of the Batman films(thought perhaps just lacking the original film's sophistication). People may find this blasphemy, but I did prefer this over The Dark Knight, but that was still very good. Christopher Nolan's Batman Begins is stylish, dark and gritty, pretty much what Batman should be. I have seen complaints that the film ""contradicts"" the 1989 film. Perhaps so, but what I can say in the film's defence is that Batman Begins is sort of a very loose prequel to the original movies.",w
