Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,15 January 2017,AlsExGal,9, A film with a nameless protagonist and an invisible namesake,"This was Alfred Hitchcock's first American-made film. Quite frankly, I'm amazed at how well Hitchcock ""got"" what American audiences wanted in their suspense films, hitting them out of the park from the moment he began working in the US. ",/
1,10 July 2021,kosmasp,10, Place Holder,"Hitchcock - never won an Oscar - not in the Best Director department that is. He was nominated multiple times, but never got one. At least this movie right here won one for best movie. I know it is sometimes strange how a movie can win best movie, but the Director won't get one too.",r
2,5 March 2005,nycritic,10, What Atmospheric Gothic-horror Should Be.,"Alfred Hitchcock was and is still the undisputed Master of Suspense, and there is a lot of that here in his foray into Gothic horror, as the mystery surrounding the unseen yet omnipresent Rebecca will engage the viewer from its dreamy start to its bleak conclusion. This is exactly what atmospheric is supposed to be about, and in black and white, it shines. This is also what Gothic horror is in essence, and many have imitated yet come up short, most notably M. Night Shyamalan who, in trying to go for a shock twist and purported ""atmosphere"" only creates a bad aftertaste and a hangover the size of Mount Everest. This is, essentially, Hitchcock's first true masterpiece.",e
3,15 June 2009,TheLittleSongbird,10, Chilling and dramatic- a must see for Hitchcock fans!,"I am 17, and I love this movie. One definite positive of Rebecca is the masterful direction by Alfred Hitchcock, full of the usual twists and turns that make his films so pleasing. The chilling and suspenseful story, of a timid young woman marrying a man and finding herself in the shadow of his dead first wife, has many complex issues, such as the possibilities of suicide, murder and mistaken identity, all of which took me completely by surprise. Rebecca also has gorgeous black and white cinematography, and a beautifully atmospheric music score. But it's the performances from the distinguished cast that holds this film together. Laurence Olivier, one of Britain's finest stage and film actors(you only have to see him in Shakespeare to know the talent this man had), gives a towering performance as Maxim De Winter, a broken man haunted by his first wife's death. The lovely Joan Fontaine is the picture of innocence and vulnerability as the 2nd Mrs De Winter, giving a genuine sense of fright and emotion throughout. Also superb is the suave George Sanders as the rather loathsome blackmailing Favel, who smirks and makes acidic remarks as effortlessly as Clark Gable did in Gone With The wind. But stealing the acting honours is Judith Anderson as the housekeeper Mrs Danvers, a performance that is truly sinister, like the scene when she sets Manderly on fire, her facial expression looking out of the window gave me the shivers. The script was tense, dark and flawlessly delivered. Through the characters we hear that Rebecca was beautiful and possessed all the other positive virtues, so I was shocked when that wasn't to be. All in all, a chilling and dark film, that is a must see. 10/10 Bethany Cox.",v
4,3 December 2003,FiendishDramaturgy,10," All around, an excellent production.","his movie is a 10 from the very beginning. The casting is brilliant, the story is hauntingly beautiful, the performances are the best of what Hollywood once was, and the sets are of quality design and architecture. The direction is awesome, but it's Hitchcock, and I expect nothing less from his productions.",i
5,4 March 2008,hitchcockthelegend,10, Do you think the dead come back and watch the living?,"Rebecca is directed by Alfred Hitchcock and adapted to screen play from the Daphne du Maurier novel of the same name. It stars Laurence Olvier, Joan Fontaine and Judith Anderson. Cinematography is by George Barnes and music scored by Franz Waxman.",e
6,5 October 2006,ma-cortes,8, Hitchcock's first great American success in a classic story with a love story and suspense,"This is a Daphne Du Maurier's story (from a best-seller novel) concerning a prominent widower (Laurence Olivier) called Maxim De Winter who finds a gorgeous and timid young girl (Joan Fontaine) who is serving to an old Mistress (Florence Bates) . They are married and head to Manderley , the familiar mansion (in the exterior actually is a scale model). But Maxim is haunted by the ghost first wife , an enigmatic Rebecca , who died in mysterious circumstances . There works as a servant the creepy and obsessive housekeeper , Mrs Danvers (Judith Anderson,a famous stage actress in her most important role) and sh meets a cynic gentleman (George Sanders).",w
7,3 January 2005,sol-,10, My brief review of the film,"A stylishly directed and photographed film that examines a number of themes, such a deception, death and depression, and explores well the emotions of its characters. It is rare to find a film like this, as it tackles various genres, ranging from being a romance to a mystery to a drama to even a comedy at times, and all without seeming pretentious. The cast is truly magnificent. Judith Anderson is a stunner is a quiet but sinister role, and George Sanders is even more impressive in lively but also sinister performance. Laurence Olivier and Joan Fontaine are perfect for their roles too. The film won Academy Awards for Best Picture and Best Cinematography quite deservingly  this is one of the best films Hollywood has ever produced.",/
8,11 September 2020,Xstal,9, 'Happiness is something I know nothing about'...,"... and it's clear to see throughout that Maxim de Winter is not overwrought with joy as we witness a story tacking in one direction, gradually adjusting course to another and finally distorting and folding in on itself with magnificent Hitchcockian escalation towards the end.",r
9,1 May 2000,dave fitz,10, One of Hitchcock's best films,"In his long career, Alfred Hitchcock directed many great films. Rebecca ranks as one of the greatest. It was the only Hitchcock movie to win a Best Picture Oscar and it was his first Hollywood film after leaving England. This was also the first film in which he adapted someone else's work, the famous novel by de Maurier.",w
