Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,22 February 2005,nycritic,10, The Age of Network,"Thirty years after its release to public praise and multiple Oscar wins, Network is one of those films that instead of dating badly or becoming a product of its time has actually grown and become even more relevant today, and if it were re-released in 2006 for its actual thirtieth anniversary not on film but on national television right at the beginning of the fall season (complete with the most lurid reality TV shows and inane TV pleasers), it would only become more justified in its story.",/
1,28 July 2009,Lechuguilla,9," ""The World Is A Business, Mr. Beale""","In 1976 when this film came out, there was no cable television, no internet, no cell phones. All that existed, apart from newspapers and radio, were three or four ""broadcast"" television channels. Since then, technology has exploded with a cornucopia of communication devices. Which renders the story in ""Network"" painfully dated. And yet ...",r
2,8 January 2008,dead47548,10, One of the best of all time.,"I can't put it more perfectly than Turner Classic Movies' Robert Osborne who said ""What was originally a satire is a stinging mirror of television news today."" I strain to think of a film that is a more brilliant take on society, and all of the flaws it has. It's obedience and entertainment by those who rebel, no matter how insane they are. The exploitation of those in peril for any kind of economic profit. And the fact that everything Beale preaches is completely true and completely bashes the people who are producing him. I was amazed by how much he sells out while continuing to rant about how terrible the people he works for are, and the fact that they just keep him on the air because they want ratings.",e
3,28 August 2005,cchase,9, Prescient...,"It is the only word I can come up with to describe this masterfully savage satire, and IMHO, it's the only word that need be used.",v
4,19 February 2017,DKosty123,9, A Great Film About 20 Years After & Before It Was Needed,"This film though not noticed enough now, is one of the great films. Peter Finch put just about everything he has into Howard Biel. In fact he died of a heart attack after the film was released and he was out promoting it. Certain films have impact, and this one still does.",i
5,2 May 1999,Coxer99,10, Network,"Engrossing satire from Paddy Chayefsky and Sidney Lumet about sensationalism and the almighty dollar in television. All the performances astound, especially Beatty as the tycoon who tells Peter Finch his ideal America and his ideal philosophy on where America is heading. The film is a fine mix of black comedy and drama, brought to life by Chayefsky's incredible script and Lumet's superb direction. Dunaway won a much deserved Oscar for her performance. It's a performance that makes your jaw drop to the floor from start to finish. She makes being a bitch look so darn good.",e
6,28 December 2005,Putzberger,10," We Have Seen the Future, And It Sucks","This movie came out when I was nine years old, and I saw it on network TV the following year, lured by the brouhaha that surrounded the use of the ""barnyard epithet"" during prime time. I loved this movie before I understood it, and I worship it now. Like ""Elmer Gantry"" or ""1984,"" it's a work of didactic art that only fails on an imaginative level -- Sinclair Lewis couldn't grasp how debased evangelism would become, Orwell couldn't foresee the excesses of Mao or Pol Pot, and Chayevsky couldn't envision the absolute decline of television from a vast wasteland to a malevolent sewer. Fox News, reality TV, even the OJ chase, ""Network"" anticipates every vile bit of it.",w
7,9 February 2018,bankofmarquis,10, Eerily prescient classic,"""I'M MAD AS HELL, AND I'M NOT GOING TO TAKE IT ANYMORE!""",/
8,29 May 2006,Quinoa1984,10," Not just the sharp-as-a-tack dialog, but the key performances and the look of the film are enduring","This is one of those works that is emblematic of what can be done with a director who knows his craft and chooses a style that is both controlled and not controlling, a writer who can let out some wild scenes and incredible exposition and make it practically believable (maybe more so today), and a cast that understand their creative forces at work. After seeing the film I was actually struck just as much, for example, by William Holden's performance as I was by Peter Finch, though the latter usually gets most of the credit (and rightfully so, in an Oscar-winning turn beating out De Niro in Taxi Driver if one can believe that). But then one has to take into account their different levels of skill in their performances, and how they both deliver even more than what is required. Holden, for me, is just as good here as he is in his best work (Sunset Blvd, The Wild Bunch), but in the role of the worn-out, dedicated professional who in his own way has had about as enough bs that can be taken as the main character. Yet Holden also knows his performance needs to be more reserved, and as his story gets more complicated he has to make some subtle choices as perhaps the only really sane person in the film. His work here is accomplished in the style of one sense, while Finch, who plays a character going back and forth between being totally nuts and knowing more than anyone else out there in TV land, takes his role with a heedless abandon.",r
9,25 August 2005,MichaelMargetis,9," ""I'm mad as hell and I'm not gonna take it anymore!"" - Howard Beale",#1 Best Film of 1976,w
10,6 April 2006,Hitchcoc,9, It's What Television Has Become,"Imagine a world where the news is controlled by conglomerates, where bad taste is the norm, where we no longer want journalists but entertainers, where we will exploit anyone for ratings. Oh, wait, that's what happened. This movie was an omen. Watch it today and you will see that what seemed shocking and incredible, is much like many of our news networks today. We have right and left slinging mud. We have reality shows that make the news, full of disgusting interactions among people. The Jerry Springer influence is all over the place. We even have shows to create our next entertainers. Don't be surprised if in the near future we televise executions. ""Network"" saw the handwriting on the wall and simply put it out there. Like Capra's ""Meet John Doe,"" this is the blood lust of the populace laid bare. It's a reflection of a nation that is so full of itself that it has become bored with the mundane and the pleasurable. This movie capitalizes on those feelings. Now we find out that huge corporations are buying up newspapers and television stations and have the blessing of the power structure in Washington. Can you say ""1984."" I used to think that this was conspiracy theory. Let's hope that what Faye Dunnaway is planning in this film doesn't come totally true because when news is manipulated, we lose our last bit of control of the decision makers.",6
11,2 September 2020,Xstal,8," Piston Rods, One & All...","Give 'em what they want, and they'll want even more. More relevant today than ever, the media heroin entices and addicts: parasites on your dependency: the pushers own your soul, your mind is not your own - stick your head out of the window and yell.......",1
12,20 January 2008,Andrea-Orsini-1,10, A Prophet known as Paddy Chayefsky,"To think that this blackest of black comedies was made in 1976 could only means two things: 1) Nothing has changed or 2) Paddy Chayefsky was seeing the future with the most disturbing clarity. I endorse the later of the two because I believe things have changed since 1974 - I wasn't born yet, but I know because of my parents, the movies, literature, etc, etc, etc. Peter Finch as the mad prophet of the airwaves gives Chayefsky a riveting and powerful voice. The scenes between old chums Finch and William Holden are some of the best written scenes in any American movie until the Coen brothers emerged. Finch is superb, superb! and Holden, at the end of a legendary career, gives a performance of such ferocious sincerity that I rediscovered the man, the actor and felt the need to revisit some of his opus. From Golden Boy to Sunset Boulevard, Holden was a man who carried his own discomfort as a weapon. Extraordinary! However, the most alarming character in the whole thing is Faye Dunaway's. She is magnificent in her thin, nervous, bra-less attitude. She is a monster of commercial amorality. Everything in this incredible movie moves with the precision of an inspired clairvoyant's vision. Duvall's executive, Beatrice Straight's betrayed wife and Ned Beatty's god like big shot makes this one of the most frightening, entertaining, funniest, remarkable film from the 70's. Sidney Lumet proves once more that he's as good as his material. Here he is at his zenith.",7
13,23 November 2017,corazontvc,9," Only surprise is, it wasn't cynical enough","I recently rewatched this movie I've seen at least a dozen times and capture something new every time. It's a complete no holds barred hollowing out of the television industry, and, while television isn't the all looming force it once was (500 channels as opposed to around 7 including PBS and VHF and UHF at the time of this movie, depending on location), it still has much to say about the dissociation from reality that viewing things on a screen can create, especially when what you're witnessing is designed for the most craven response.",9
14,7 January 2000,rupie,9, perhaps the blackest black comedy ever,When this movie came out in '76 I didn't bother seeing it because I rejected the premise as implausible; the very idea that a network anchor would go nuts on the air and become a hook for ratings seemed ridiculous on its face.,3
15,4 September 2007,kirkintha26,10, A rare honest movie,"""Network"" is a fantastic movie that illustrates just how the ""mob"" and the media can exploit even the best intentions for mutual profit.",2
16,30 December 2010,TheLittleSongbird,10, Superb film with one of the finest screenplays ever written,"Network is simply brilliant in every aspect. There is nothing actually here that I can fault. It is a compelling, brilliantly written, beautifully acted movie and more.",0
17,25 June 2006,malikroberts16,10, It's so prophetic it's scary,"Now, here is a film that everyone needs to see, especially today.",/
