Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,28 August 2004,dee.reid,10, A powerful film that shows the true cost of war,"""Grave of the Fireflies"" is one of the most ambitious, depressing, and quite frankly, best films that I've ever seen. I was nearly moved to tears by this film's brave treatment of such critical subject matter. Yes, it's an Anime' piece, but surprisingly, it came out in 1988, during a time where most Japanese animation films were either relentless bloodbaths, borderline pornography, or both.",/
1,4 September 2004,Lupercali,10," A masterpiece, whose beauty is often overlooked","When I watched this movie, I steeled myself for a traumatic experience, based on every review I'd ever read of it, which usually include phrases like ""don't watch this if you're suicidal."" Instead, if I had to pick a single word to sum up the movie I saw, it would probably be 'beautiful'.",r
2,17 December 2014,gavin6942,8, Greatest War Film?,A tragic film covering a young boy and his little sister's struggle to survive in Japan during World War II.,e
3,3 April 2010,TheLittleSongbird,10," Beautiful, haunting and emotionally devastating","What an amazing film! Very rarely have I been moved this much by an animated film. Watership Down yes, Bambi yes, Secret of NIMH yes, Beauty and the Beast yes, Land Before Time yes, but Grave of the Fireflies is in a different league. A film that is once seen and never forgotten, a film that is beautiful, haunting and emotionally devastating. It is slow moving perhaps and ""depressing"" but it is very poignant as well. I find it very difficult to fight back tears at the film's end. The animation is amazingly detailed, the backgrounds and characters are drawn with such care and you just marvel at the detail that goes into it. The music is both haunting and melancholic and one of the main reasons why the film is as it is. The story is harrowing, as it details Seita and Setsuko's hopelessness. The characters are easy to relate, Setsuko isn't precocious or obnoxious, instead she is quite cute, and Seita shows real love for his sister as well as being a strong protagonist. There are many memorable sequences, but one that springs to mind is the one with the nocturnal fireflies, which is something of true melancholic beauty. Overall, a masterpiece, pure and simple. 10/10 Bethany Cox",v
4,16 June 2010,The_Fifth_Echo,10, A Beautiful Unforgettable Masterpiece that shows the true cost of war.,"I decided to watch Grave of the Fireflies yesterday. My friends told me it was extremely moving and sad. I hesitated at first, but then I said ""Oh well, I'll give it a try."" At the end of the film, I was crying my eyes out. This was the best animated film, I've ever seen.This is a moving depiction of the fates of cast-off children who become casualties of war.",i
5,10 February 2011,Leofwine_draca,10, Utterly devastating,"It's better not to learn too much about this film before watching it, for fear of spoiling it. I'd heard it described as the saddest film of all time, but even that didn't prepare me for what I saw.",e
6,3 January 2006,Teebs2,10, Heartbreaking...,"This film proves without any doubt that animation isn't just suited to tales of fantasy, sci-fi or cartoon comedy and violence. This absolutely heartbreaking Japanese anime tells the story of a young boy, Seito and his younger sister, Setsuko, as they attempt to survive the American bombings on Japan in the last year of World War II.",w
7,6 July 2004,dbborroughs,9," Depressing, but a must see","One of the great animated films of all time Grave of Fireflies tells the story of a couple of kids as the try to survive in war time Japan. What happens to them should be seen by anyone thinking of starting a war since it tells very graphically what happens to those often forgotten, the children.",/
8,7 January 2005,The_Void,8, A magnificent piece of work and one of the most heartbreaking tales ever told,"Animation is often seen as a childish medium, and for good reason as kid's films often are animated. However, every now and then an animated film comes along that extends it's boundaries and manages to deliver a very adult story, and Grave of the Fireflies is one of those films. Through it's well observed and very real characters, Grave of the Fireflies portrays a story of loss, heartbreak and the effect of war on civilians in a manner that is more effective and more firmly based in reality than many live action films about the same subject are. We follow Seita and Setsuko, a brother and sister that have lost their parents in the war and are now forced to fend for themselves in the war torn country. How the two go about doing that and the boy's development from a child to a (somewhat) responsible adult due to the change in the surroundings makes up the spine of the movie.",r
9,26 August 2001,Nogami,10, The best movie you'll never want to see again,"I had the fortune of being able to see Hotaru no Haka on the big-screen in Seattle a couple of years ago.  It was truly the high-point of my film festival excursions.  At the end of the movie, there was silence, absolute and total silence in the theater - and then, only an occasional sniffle until the end credits had finished rolling and the house lights came up.  It would've seemed almost disrespectful to profane the silence with words.",w
10,9 May 2014,SnoopyStyle,8, Heart breaking animation,"This animated movie starts with young boy Seita dying on the floor of a train station after Japan surrenders in WWII. His spirit leads the audience to his story with his little sister Setsuko. During an air raid on their home town, they lose their mother. Their father is away with the Navy. The siblings go to live with their unsympathetic aunt. Seita clash with her, and the siblings go live by themselves in the bomb shelter next to the waters. It doesn't go well as their lives deteriorate to the point where Seita dies alone on the floor.",8
11,4 March 2001,Nephilim-6,10, Heartbreaking,During my searches on Anime on the net one day I came across this title. This was 2 years ago.,9
12,9 February 2021,Hitchcoc,10, Soul Breaking,"This is a film about the sad reality of war. When war is waged, we often think of it as this army against that army. Lost in the mix are the civilians who die horrible deaths--not just from the weapons of war but from disease and starvation. We give great power to the power structure that makes the decision to wage conflict. Often their words sound good and we embrace those words. This film shows what happens to a small, seemingly insignificant pair of children, trying to get a roof over their heads and have a bit to eat. Their mother has been killed in a fire bombing and their father is in the Japanese navy. It shows the efforts to maintain dignity and the cruelty of those who could help but don't. Japan paid a huge price for trying to expand the Empire. The leadership convinced the populace that they were driven by a higher power that wanted them to crush their enemies at whatever cost. But here we see the price. Fire bombings, air raids, and, of course, eventually Hiroshima and Nagasaki. This is the saddest of stories, shown in spotless animation. It is a story of hope and hopelessness. Outstanding.",0
13,8 August 2007,lost-in-limbo,10, One for the unknown victims.,"Just marvellous! This hearty masterpiece of Japanese animation is incredibly moving, sincere, haunting and captivating in detailing the special bond between brother and sister caught up in the horrifying and unforgiving face of war. It guides us on one really tragic, but rewarding trip where it truly has an impact. Never does it get overwrought or push itself onto the viewer, but still it manages to leave a lump in your throat and have you emotionally drained when the credits begin to roll. This one is not afraid to stay gloomy, and because you know the outcome at the beginning, this makes the significance of the story's journey more potentate in its increasing pain and devastation. By that alone, the wonderfully textured plot doesn't take the easy way out and the reality of the situation is never lost because it's animated.",6
14,18 August 2005,JTurner82,10," Heartrendering, moving masterpiece from Isao Takahata, and a triumph for animation.","Truly one of Studio Ghibli's greatest crowning achievements, GRAVE OF THE FIREFLIES is a brilliant masterpiece fully deserving of a place in any of the best movies ever made. Not just an astonishingly great (and, at the risk of coming off as cliché, perfect) work of art, this is a moving, thought-provoking, and ultimately heartbreaking tale about the loss of innocence and the tragedies of war.",4
15,12 April 2008,Quinoa1984,10," a combination of Rome Open City and Wiesel's Night (and like both, an extreme, personally felt story)","In 1988 Grave of the Fireflies was placed on a double-bill alongside My Neighbor Totoro. Two of the most endearing films ever created- animated of otherwise- were paired alongside one another, more than likely to balance each other out; after being submersed in a pure tale of innocence and delight like Miyazaki's great film, there could be accepted such a bleak, heartbreaking story of survival. And both films, incidentally, were based on true experiences, and while Miyazaki's story wasn't without some sadness in real life (his mother was really sick with TB in the hospital), Akiyuki Nosaka's story is one drenched in the worst horrors imaginable for a child. It's basically about two siblings, an older brother and younger sister, who are left practically orphans in a Japan completely devastated by the constant barrage of bombs falling all around, and with very little hope in sight. This lays the groundwork for their relationship, a bond very fragile and incredibly endearing.",7
16,9 October 2003,Dark0,10, Brutally honest and heartbreaking,Being my first Anime review I thought I'd start off with my one of my favourite pieces of work from who else but Studio Ghibli. Ghibli have rarely produced anime that doesn't fall short of great but Graveyard is something different indeed.,0
17,8 April 2008,Tweekums,10, Heartbreakingly Beautiful,I'd heard that this film was very sad before I saw it and knew how it ended but that didn't prepare me for just how harrowing this film was.,/
18,11 June 2005,siderite,9, I can hardly see through the tears. Great drama anime.,"This is a war time story and, while it has a slow pace, it couldn't have been told any other way. It's like a knife being slowly inserted and twisted in the wound.",?
19,7 May 2018,matthewssilverhammer,10," Eff you, movie.","Seriously. I just...I can't even with you. Oh sure, you're absolutely perfect in every possible way, but still...I can't. I honestly wish I'd never watched you and your beautiful, difficult sadness. Ugh. Where's my daughter? I need to hold her. Forever....sigh. Seriously...eff you.",r
20,28 January 2001,Black Rainbow,10, Haunting,"I was warned this movie would be emotional, but I had no idea just how understated that was.  By the end, my friend and I were huddled together, pouring out tears I've never shed for any movie before.  It was a mix of horror, empathy, sadness, and so many more emotions I can't even begin to list.",e
21,3 February 2005,bdod5489,10, More moving than you could ever expect,This film is utterly emotionally draining whilst being rewarding at the same time.,f
22,25 September 2005,mahlersoboes,10," ""Hard to recover from, impossible to forget""","This is one of those reviews where I will say at the outset that, if you haven't yet seen the film, you should go see it. As soon as (or even before, if you're the impatient type) you read this review, I urge you to run out and buy or rent it.",_
