Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,5 April 2004,MovieAddict2016,10, Essential masterpiece; powerful De Niro; simply one of the best films of all time.,"""Raging Bull"" isn't the average, stereotypical underdog boxing movie, because it isn't really about boxing at all. Like most great movies, its focus is much deeper. It came out in 1980, earned Robert De Niro a Best Actor Academy Award, and was marked down as another solid triumph by director Martin Scorsese, whose previous 1976 outing with De Niro earned them both critical acclaim (and for De Niro, an Oscar nomination, although he would actually earn an Oscar for ""Raging Bull"" four years later).",/
1,30 September 2020,Xstal,8, Bovine Pugilist & Paranoid Misogynist...,"There's very little to like about the character portrayed here by Robert De Niro, other than to acknowledge that he took advantage of one of the few things he was good at i.e. thumping anyone who enraged him regardless of whether they were in the boxing ring or not.",r
2,25 June 2006,blanche-2,5, Scorcese robbed,"Well, I don't think I've ever been more disappointed in my entire life, but there it is.",e
3,21 September 2012,gavin6942,7, Not My Favorite Scorsese,"An emotionally self-destructive boxer (Robert DeNiro) and his journey through life, as the violence and temper that leads him to the top in the ring, destroys his life outside it.",v
4,27 February 2004,JamesHitchcock,7," Easy to Admire, Difficult to Love","The routine use of black-and-white film to make movies seems to have ended in the mid-sixties, probably killed off by the advent of colour television. Since then black-and-white has been used very sparingly; even Polanski's `Chinatown', obviously conceived as homage to the films noirs of the 1940s and 1950s, was shot in colour.",i
5,4 February 2022,SafReviews,5, I just didn't find the plot that interesting,"I don't know what to say about this movie, I just wasn't interested in the plot as it had a boring tone to it and I felt nothing much interesting was happening. I didn't like the main character Jake who I thought was ignorant and insecure and I was glad things went bad for him towards the end. You're unlikely to enjoy a movie when you don't like the personality of the main character and that was the case for this movie.",e
6,25 November 2002,waltergl,10, It doesn't get much better than this,"Easily one of the most powerful films I have ever seen. I have watched it at least ten times, and it only gets better and better with each viewing. Martin Scorsese is absolutely the greatest filmmaker of the last quarter century, and this film is his best. The story of how boxer Jake LaMotta watched his career and marriage crumble under the weight of his violent temper and deep-rooted misogyny is told with no punches pulled (excuse the bad pun), as Deniro (in what may be his best performance) and Scorsese unflinchingly explore what drove this man over the edge, and what ultimately may have pulled him back. The boxing scenes easily rank with the most brutal and violent moments ever put on film, shot in stark, unadorned black and white and utilizing unlikely sounds including shattering windows and animal cries to great effect. Thelma Schoonmaker's jarring, discordant editing in these scenes also deserves special mention. The scenes of domestic violence are not for the faint of heart, but there is really no other way to tell this story. If there is a more perfect exploration of why as men we act the way we do, then I'd love to see it, because this movie made me re-evaluate my life. 10/10",w
7,24 September 2008,CihanVercan,9, It really is harder to Stay At the Top than to Reach the Top; just because Life has No Justice.,"Whoever is dissatisfied by Raging Bull, I'm sure they watched it with expectations of watching a sports movie, like Rocky. Despite the AFI chose Raging Bull as the #1 sports movie of all time, you can't expect to see the most breathtaking boxing match nor to witness the best crochet of boxing history. Raging Bull can only be classified as a drama/biography. Director Scorsese chose to go with black&white cinematography only to keep the young viewers away from this masterpiece of art. It's not fair to compare Rocky with Raging Bull. Rocky was a populist movie mostly for young viewers, and Raging Bull is a cinematic masterpiece. From a wide point of view, for instance, if you look at one of the Michelangelo's paintings; at first you see a nude woman, if you look longer and deeper you realize that her nudity expresses some thought, if you look continuously and give a life to it in your imagination you discover that the women are not just their bodies. Accordingly, like it is not enough looking once to a painting to understand what opinion does it defend; it is not reasonable and not fair to watch Raging Bull so as to see a sports movie. Also it is not reasonable to see Raging Bull only once. Raging Bull is one movie that, every time you watch it you get a better taste, every time you watch it you discover something new. ",/
8,4 August 2017,jonsefcik,5, Don't believe the hype,"I don't write reviews on IMDb very often, but this particular movie baffles me. How is this in the IMDb Top 250? The only positives I have are that it's well shot and does an excellent job portraying what it's like to be in the same room as a group of people with nothing good to say about each other. The acting is solid all around but nothing groundbreaking. Joe Pesci played Joe Pesci. I didn't find Robert Deniro's performance that amazing; yes he gained 60 pounds to play the retired LaMotta, but besides a lot of yelling, nothing about this universally lauded performance stood out to me. Speaking of yelling, about 70% of the movie is comprised of angry people yelling at each other. I guess all the characters are supposed to be unhappy, but that doesn't mean they all have to be unlikable. There's no reason to care about any of the characters since we hardly get to know them. Maybe the fact that a more relatable side of the characters is never displayed is part of what the film is going for thematically, but the presentation could have been a lot better. For these reasons, I found Raging Bull mostly boring and somewhat exhausting to sit through. I've at least liked every other Martin Scorsese film I've seen, but this one left me unsatisfied and with a sour taste in my mouth.",r
9,14 February 2005,GavAnderson,10, Another Scorsese masterpiece!,Raging Bull is one of Martin Scorsese's best films and with out a doubt the best film of the 80's. It follows the career of middleweight boxing champion Jake LaMotta as his career progresses but his emotional problems worsen.,w
