Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,29 December 2004,FilmFlaneur,10, One of the greatest wars films ever made,"One of the greatest of all war films, Klimov's stunning work stands amongst such works in which the horror and sorrow of conflict are made fresh over again for the viewer, left to stumble numb from the cinema thereafter. Produced for the 40th anniversary of Russia's triumph over the German invaders in WW2, based upon a novella by a writer who was a teenage partisan during the war, the propagandist use to which it was later put - when the GDR was still in the Eastern Bloc, citizens were forced to watch this to warn them of another rise of fascism - does not impair its effect today at all. It echoes intensity found in another masterpiece by the director. Klimov's shorter Larissa (1980) is a remorseful elegy to his late wife. Poetic and very personal, its sense of shock anticipates the heightened anguish that ultimately reverberates through Come And See. Through his images, the director stares uncomprehendingly at a world where lives are removed cruelly and without reason, if on this occasion not just one, but thousands.",/
1,3 May 2007,Asa_Nisi_Masa2,10, Masterpiece alert!,"Even before the final credits rolled, I strongly suspected this movie would end up on my Top 20; in fact, perhaps even my Top 10. A teenage boy, his hearing impaired from having just been at the site of a bombing, and a young woman clutching at him, the two of them stumbling and sludging through a slimy, smelly bog. A stork in the woods as it rains. A cluster of dolls piled up on the floor with flies buzzing all over the room. You don't need vast, elaborately choreographed battle scenes to bring home the message of the senselessness and pain of war. Reading viewers' comments on the movie, it seems that most found the second half  which admittedly contained some of the most powerful massacre scenes ever filmed  as the most ""satisfying"". A few other viewers seem to imply the movie doesn't really get going until the second half. For me, it was the first half that got under my skin the most, for its cinematic originality, poetry and symbolic power. War is experienced by civilians as well as by soldiers: this may seem like an obvious statement, but it's only after watching Come and See that you realise how few war movies are truly about the suffering of the ordinary man and woman, defenseless child and frail senior citizen. Also, never before had I seen the plight of raped women in war so powerfully conveyed, and all this without the movie ever being voyeuristic or graphic. In cinema, rape is often portrayed as something that looks like rough sex. It isn't always quite clear why women get so upset over it. In Come and See, rape is shown as nothing but pure, unadulterated, hate-fuelled violence with only a superficial, external resemblance to sex. Unlike other raped women on film, you cannot imagine those in Come and See ever healing from their scars. ",r
2,6 July 2006,HumanoidOfFlesh,10, Jaw-droppingly powerful and truly disturbing Russian war drama.,"""Come and See"" has to be one of the most powerful war movies ever made.It left me emotionally drained.The film tells the story of 12-year-old Florya(Alexi Kravchenko),whose desire is to join his countrymen in the battle against the fascists.His enthusiasm is written all over his face:in the opening scenes,which show Florya's recruitment by partisan soldiers,he wears the blissed-out smile of a hopeful child.After a bombardment,which leaves him temporarily deaf,he is left behind and stumbles across Glasha(Olga Mironova),who has also been abandoned.Together they return to his village, the atrocities witnessed there anticipating horrors to come.""Come and See"" is a deeply unsettling film.It's hallucinatory,hellish,traumatizing and uncompromising.There's an aura of profound sadness here,as Florya ages dramatically over the course of the story's events.The film's most disturbing sequence revolves around the raising of one village and the slaughter of most of its inhabitants.The acting is excellent,the cinematography is stunning and the use of Mozart on the soundtrack is particularly effective.10 out of 10.A must-see!",e
3,26 April 2021,clanciai,10, Overwhelming masterpiece of a child's awakening to the realities of war,"This is one of the most realistic war films ever made, and it's the more realistic for being shown and exposed from the point of view of a child, which enhances the impact and makes the realism with its constantly increasing chain reaction of shocks, more and more growing to unbearable self-tormenting horrors and abhorrence, the more almost unendurable, but you have to stay on and see it all thorugh to the end. It is to be noted, that he never uses his rifle until in the very end, and the only target of his ultimate fire is some images. But that final outburst opens the finale of the greatest sequence of the film.",v
4,7 January 2017,lee_eisenberg,10, horrors of war in 1940s Belarus,"Elem Klimov's final film is a devastating look at the horrors of war through the eyes of a teenage boy who joins the partisans in Belarus (then the Byelorussian SSR or White Russian SSR). Much like Mike Nichols's ""Catch-22"" and Steven Spielberg's ""Saving Private Ryan"", ""Idi i smotri"" (""Come and See"" in English) makes you feel as if the war is hitting you directly. And this movie leaves little to the imagination in showing the Nazis' brutality. Probably the most famous scene is when the Nazis burn down a house. There's music playing the entire time to ensure that the noise doesn't stop. You have rarely seen something as intense as this on screen.",i
5,5 January 2000,bnm81510,9, Apocalypse Then,"In all fairness, this Belorussian-made World War II picture detailing Nazi atrocities, holds a special distinction in world cinema: it is by far the most brutal and emotionally draining of all - in fact, a viewer whose senses have not been properly trained would most likely find it unwatchable. Those brave souls willing to be put through an ordeal of almost 2 1/2 hours will find themselves deeply immersed in an absolutely horrifying experience that will not easily subside whether they want it to or not.",e
6,12 May 2006,paulmartin177,10," I saw a film today , oh boy...","I have a bad habit of reading too many reviews and comments about a film before I've seen it, mainly to get an idea about whether it's going to be worth a couple of hours of my time watching it. As a result, I am often slightly disappointed with much of what I see, as all the hype that I've read about a film kind of blows my expectations out of all proportion. I had a feeling this would be the case with Elem Klimov's 'Come and See', a film I'd read a lot about, particularly here on the IMDb. (Imagine my ""excitement"" when, having tried to see the film for nearly a year, I discovered it was to be released on DVD a week or two ago from today!) Well, I finally watched the film yesterday and... well, nothing could have prepared me for the sheer intensity and unflinching visceral horror of the atrocities that 'Come and See' invites us to... come and see. (Has anyone commented before on what a clever title that actually is...?) This is one of those films, like, say, 'Requiem For A Dream' or 'The Magdalene Sisters' (both of which, though great films, are simply not in the same league as Klimov's film), that one does not (obviously) so much enjoy as submit oneself to. By the end of such films we are left numbed and shell-shocked, wondering what we are supposed to do with the intense emotions that have been evoked within us. Yes, I felt like the ground had been pulled from beneath me; yes, what I saw in that film made my blood boil, my head hurt and my heart pound; and, yes, it showed me things I'd seen before but to a degree of intensity and detail that I had not experienced before. The point though, I guess, is that the role of cinema (and art in general) is not to offer answers or tell us what to think but to simply show us particular events and characters and allow us to come to our own decisions about what those things 'mean'. I'm rambling now, but I'll simply end by saying that 'Come and See' is, with its outstanding technical and artistic credentials aside, a film whose very title alone demands that it be seen. It is the work of a visionary, a cry of despair from the depths of hell, and an important reminder of humanity's capacity for inhumanity Go and see...",w
7,25 September 2006,MacAindrais,10," And I heard one of the four living creatures saying, as with a voice of thunder...",Come and See (1985)**** ,/
8,23 April 2005,Galina_movie_fan,10, Come And See If You Dare:,Historical note:,r
9,14 May 2006,sellery,10, Unbelievable,"The best true-to-life war movie I have ever seen, and possibly the best movie I have ever seen. My eyes were opened when I saw this for the first time a few days ago. It made me realise what I miss 99% of the time when watching movies. So few affect me like this one did.",w
