Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,5 April 2015,BA_Harrison,7, A classy character study of a disturbed individual-but what is the point?,"Insomniac Vietnam veteran Travis Bickle (Robert De Niro) takes a job driving a New York taxi cab, becomes obsessed with beautiful political campaigner Betsy (Cybill Shepherd), who gives him the cold shoulder after he tries to take her to a skin flick on a date. Bickle then becomes obsessed with underage hooker Iris (Jodie Foster), buys lots of guns, and goes trigger happy on her pimp (Harvey Keitel).",/
1,20 November 2003,Smells_Like_Cheese,10, Ladies and gentlemen: Mr. Robert De Niro!,"Taxi Driver, the classic that made Robert DeNiro Robert DeNiro. It's amazing to see how far this man has come in cinema, some of my friends ask me questions about films and advice, one of my friends had asked if they wanted to see where Bobby got the big notice I usually recommend Taxi Driver, granted he was in The Godfather Part 2 and was incredible, but Taxi Driver made him stand out as a strong lead actor. Taxi Driver is just all together a great film that is absolutely perfection. Martin Scorcesse who also was just really starting out made this movie that brought us back to the film noir genre. He made this great classic and I don't even think he realized how much it would stand against the test of time, to this day we still know this film and even if you don't know it, you know the infamous speech ""You talking' to me?"". This is a film about isolation, loneliness, and self destruction at it's worst.",r
2,9 January 2011,TheLittleSongbird,10, Still has the power to shock...,"Not only one of Scorsese's best films, but one of the best of the 70s. It is very hard hitting, dark and still has the resonance and power to shock. The cinematography is measured and chilly, yet very atmospheric, while Bernard Hermann's swansong score is superb, yet more proof at how amazing a composer he was. The story is unsettling but wonderfully told, and the script is brilliantly written. Scorcese also directs impeccably, while the acting is just excellent. Robert DeNiro gives one of his best performances, the whole film is worth watching just for his performance, that's how good it is, but that's not to dismiss Jodie Foster, Harvey Keitel and Cybill Sheppard in the supporting cast for they are just as good while Scorsese's own cameo is genuinely frightening. There you have it, another one of Scorsese's best with a brilliant atmosphere and mesmerising central performance. 10/10 Bethany Cox",e
3,17 November 1999,andrew7,10," Disturbing, powerful, relevant, important",A towering classic of American cinematic power.  Martin Scorsese teams up with one of the most intense actors of that time to create a masterpiece of urban alienation.  Paul Schrader's magnificent script paints a portrait of loneliness in the largest city of the world.  Travis never once enters into a meaningful relationship with any character anywhere in the film.  He is the most hopelessly alone person I've ever encountered on film.,v
4,30 October 2004,lost-in-limbo,10, Excellent,"A lonely Vietnam veteran who has insomnia spends his nights as a taxi driver in the dirty streets of New York, where he encounters a young prostitute who he tries to help make a difference. ",i
5,5 September 2013,SnoopyStyle,9, Disturbing Look into a Disturbed Mind,"Travis Bickle (Robert DeNiro) is a disturbed ex-Marine Vietnam vet. He's suffering from insomnia, and spends his nights driving a cab. He's sexually perverted, and obsessed with Betsy (Cybill Shepherd). On top of it all, he wants to save 12 year old prostitute Iris (Jodie Foster).",e
6,9 November 2016,Leofwine_draca,10, An incredibly dark thriller with an exceptional central performance,"Quite rightly regarded as one of the best films of all time, TAXI DRIVER is without a doubt compelling viewing. What the film lacks in plot it makes up for in characterisation: De Niro is with us from the start, we follow on his journey as he slides into extreme violence and becomes a vigilante. Although it's obvious that this man is disturbed from the very beginning - a man who considers pornography to be ""just another movie"", who is always at breaking point. You can't really blame him though. After all, his empty life is forever surrounded by people who don't deserve to live, who don't deserve to populate this planet, and nobody is doing anything about it. It's up to Bickle to do the dirty work himself. He is the new rain coming down on the streets to clear away all the garbage.",w
7,10 May 2021,MamadNobari97,6, Did I Miss Something?,Did I miss something or this movie doesn't have any purpose?,/
8,21 February 2021,PyroSikTh,7, Not Quite Sure on the Acclaim,"Taxi Driver, if you weren't aware, follows a New York City taxi driver called Travis Bickle as he descends into a state of masculine madness. Along the way he courts Betsy, a member of a local campaign for a presidential candidate, continuously runs into Iris, an underage prostitute, sits on the outside of his cab-driving colleagues, and has his worldview shaped by the men and women he ferries all over the city. Spoilers; it's not a very healthy worldview at all. Taking on the night shift leaves him with a darkened view of a world run by pimps, junkies, thieves, and murderers. He suffers crippling insomnia which leaves him either alone in his apartment fantasising about the man he wants to be, or huddled in a porno theatre, the irony completely lost on him.",r
9,13 February 2006,francheval,10, Diary of a madman,"The script of ""Taxi Driver"" is built like a diary, the diary of a very ordinary guy who gets hired as a night taxi driver back from Vietnam, because he can't sleep at night. A very ordinary guy who tries to break his isolation, but can't, while violence accumulates inside him. One of those unnoticed people with dark things on their mind, one of those who break up the news one day with some extraordinary outburst of rage, to fall back immediately into anonymity.",w
