Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,15 November 2020,Xstal,8, Great Escalation & Suspense...,"... and a really good replica but, the original Malayalam version just edges it for me, it's a bit more gritty, rugged and not quite as polished.",/
1,30 December 2020,Fella_shibby,10, The psychological duel fought between a layman n a top cop is heart pounding.,My earlier review which i posted on 31st July 2015 and which got more than 100 likes got deleted. Must be some blind bhakt who aint fond of this movie or my review or must be some fan boy who must hav got pissed off thru my imdb reviews.,r
2,6 August 2015,vishaal811,10, A Cinematic Masterpiece!!,"What are the necessary requirements for making a good movie? I guess strong acting, realistic judgments made by characters, complementary music and tight pacing are essential elements in achieving this. In all these departments, Drishyam stands head and shoulders over every other Bollywood movie that has come out in this year. Even though it is a remake of a Malyalam movie, there is no loss of quality and it delivered emphatically.",e
3,31 July 2015,SAMTHEBESTEST,8, Its Shawshank Redemption in bollywood. A masterpiece. The best south remake ever made in bollywood.,"DRISHYAM REVIEW- Hell yeah, just watched the Masterpiece, gem of thriller. Wow is the only word is in mouth now for this movie. Heard a remake of national award Malayalam movie is coming in bollywood and i was just waiting like anything for this movie. Trailer didn't offered much but it was promising. Then critics reviews came which took my expectations to sky level. And finally after watching it i must say movie worths it. A rare thriller which was made to look realistic only not as filmy masala content. First half takes time to set platform, sets movie plot then 2nd half blows you away with its masterclass planning and scenes. A simple plot, a common man who is 4th std failed not much educated tries to hide his family's crime from so called educated police officers. But the content and screenplay is so realistic that it makes this simple story a masterpiece. Even a Long runtime of 2 hrs 40 mins looks too tight and glues us to Our seat. Writer has done an extraordinary job, people will not forget this story in lifetime. Kudos to him and screenplay maker . Music wasn't much needed for movie,still 1 song after interval is situational which plays important role to make scene much tight. Entire star cast acted like real incident and really made me feel that its all happening in real in front of me. Ajay devgn the man who is the soul of this movie. His acting is just out of the world. Those intense eyes, innocent expressions, scary scenes and some emotional scenes as if this movie made for his acting only. Surely best performance of the year till date and i don't think someone will give better performance than him in this year at least, he deserves an award for this movie. Tabbu role is exactly half to Ajay according to runtime of movie. She did whatever expected from her role. Other star cast did fab job, each and every actor gave his best for their roles. Director Nishikant Kamat proves his skills and talent metal again here. He never left movie's grip till the end. Even the last ending scene of the movie was watchable and gives goosebumps. Hats off to him. He already had remake in hand which made direction much easier so there was no chance to make movie a crap. Overall a must watch for all. Only kids wont understand it, but other audience like classes, masses, youngsters and even seniors will love it. Go for this one, take 3 hrs from your life and enjoy the rare and the best thriller ever made in bollywood. Don't miss, you cant afford to miss this masterpiece. Here we have got the best movie of 2015. Last line, 'Its like,'Shawshank Redemption in bollywood. 9/10 * stars by me :)",v
4,31 July 2015,harshcalling,9, Edge-of-the-seat thriller with surprising twists and turns,Casting – 4/5,i
5,31 July 2015,chillax_amit1986,10, Family Drama With an Exciting thrill,"As everyone is aware it is a remake and the movies made before are exceptional. So, definitely the expectations would be high at least by the people who have seen it.",e
6,30 July 2015,anupapu8,8, Exceptional Piece of Writing,"Drishyam- Less are the cases present in any film industry where a film is made with brilliant piece of writing (By Jeethu Joshep in case of this movie)and every other thing just revolve around it. Drishyam was one of those cases. One thing i would like to clear before you watch the movie is that this is not a suspense movie. It has been wrongly promoted same as happened in case of Aamir Khan's TALAASH. But yes its a part family movie and a part thriller. From the very start culprit will be in front of your eyes , but its hard to prove. Its all about how deep the truth has been dumped and how difficult its gonna be dig it out. To say about the plot will ruin the movie. Like the trailer shows Vijay(Ajay) is a very good man , with a golden heart , but somehow his family is being caught by the police to prove that they have kidnapped the son of Meera Deshmukh (Tabu) a cop. After that starts a thrilling ride in which Meera want evidence to prove Vijay and his family guilty , and Vijay will do anything to save his family as he say - ""EK INSAAN KE LIYE USKI FAMILY HI SABKUCH HOTI HEI AUR UNHE BACHANE KE LIYE WO KISI BHI HADD TAK JA SAKTA HEI"". The character of Vijay literally lived up to this quote of himself . But the movies seeks for your patience . The first half up to the crime happens was a little too stretchy. Length of 2hr and 43min for a thriller is too long. Some editing was needed on the first half. Although i personally didn't find anything boring , as it was good with light moments , making base for title characters , some good humour and a nicely picturized song CARBON COPY. Still its true that some editing could have made it better. Its like a tasty cake has been made but the Cherry was missing. But wait , the cherry has been provided by the 2nd half. For me which compensate all the minor errors of first half. You couldn't imagine how the writer has managed to write such a plot with so much details of investigation and specially the interrogations. This movie has some of the best interrogation scenes which Bollywood haven't shown us till now. Nishikant Kamat is one hell of a director. His land marks includes 1. making movies in 3 languages 2. have directed the highest grossing Marathi film. 3. Is very good with remakes - first FORCE and now this one. 4. Lastly he can dig out acting out of John Abraham. And any director who can make John Abraham act , is a great director for me. Nisikant truly amazes me with showing how good he can control intense scenes. Ajay Devgan shines again in a serious role. He brings all the seriousness to the character and also provide some comic moments on the first half. The character he played has made some decisions with ethical difficulties , which could be right from someone's eyes and can also be wrong in someone else's view. Vijay makes us believe that his decisions were right for the situation and any person would have done such things for safe guarding his family. About Tabu , she is one of the greatest actress Bollywood have. She doesn't have any comparison . Only rivalry she had or have or will have is she herself. As cop she was tough , and you cant imagine how tough she was. You have to watch it to know how she mixes up her emotions of being the mother of the victim with the emotions of a tough cop who is investigating the same case. About Shreya Saran , i love her smile. And i missed that smile since i had seen her in Awarapan. Although she didn't get much of the meaty role but she was decent as Ajay's wife. Same goes for Rajat Kapoor as Tabu's husband. Some unique cinematography has been done , as the movie shows Goa not from a tourist point of view but from a resident's point of view. Vishal Bhardawaj as music director was OK as he doesn't get much chance to impose good songs in the movie but the background score by Sameer Phatarpekar was brilliant. Yes i have to cut some marks for a stretchy first half , but m going with 7.7/10 which is not bad at all. The thing i said for PIKU i would like to repeat for this is that there exist no reasons why should anyone not watch this movie except in case you have seen the original one. Just one request , DON'T EXPECT ANY SUSPENSE , be patient and FLOW WITH THE INTENSITY. By ANuP APu KuMaR.",w
7,31 July 2015,vimarshmunsif,9," Drishyam :- Sheer Class and excellence, this is it","Well, visuals can indeed be deceptive. When the maker knows what he wants to present, you know you are in for an absolute treat. And for the ones who haven't seen the South Indian make of this movie, like me, are in for a masterpiece. ",/
8,30 July 2015,ankul17,8, Drishyam: A Perfect movie for ending my tiring Thursday,"Just came back from the Premier Screening of Drishyam. The reason for me to catch the movie was the reviews of the original Drishyam which is a Malyalam movie with Mohanlal as the lead actor. The trailers of this Hindi remake with powerful existence of Ajay Devgan (or Devgn, as he writes it now) and Tabu, motivated me to go for this movie after a tiring Thursday in office, (mentioning the tiring day as disappointment was the last this I was willing to accept after the day, Glad I chose this movie). So the movie starts with a small happy family of Vishal Salgaonkar which is living happily in the ever happy town of Goa, there family was disrupted because of an unwanted person entering into their lives who happens to be the son of the Inspector general of Goa, Meera Deshmukh, then an accident happens which changes the life of this family for ever. The way this 4th grade failed person (Vishal) plays with the police department is commendable. So the movie is about how actually Vishal safeguard his family and himself against powerful Meera and her Police Department.",r
9,31 July 2015,subbu9582,9, A must watch!!!,A great movie and superb story line!!!. A must watch if you are a fan of thriller and suspense movies,w
