Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,5 December 2002,OttoVonB,10, The Most Quotable Film of All Time,"Those Coen brothers have an ear for language. You feel it in the sing-songy banalities of Fargo, and in the noiresque machine-gun dialogue of Miller's Crossing, but neither of these can prepare you for the feast for the ears that is The Big Lebowski.",/
1,12 April 2021,trashgang,8, indeed a cult classic,More than 20 years it took me to have a look at this cult classic. Finally did it and I do undestand the fuss about it.,r
2,24 February 1999,Coxer99,10, The Dude Abides!!!,"No movie has entertained me more in the last year than this film. It's delightfully written, directed with poise and acted with extravagance and excellence. I do admit that this is a film that I had to see six times to get. Every time I watch it I learn something new. The genius of the film lies within a game I think the Coen brothers play with their audiences. There are the touches of the masters in many of their films. In ""The Hudsucker Proxy,"" it was Preston Sturges and Frank Capra. In ""Raising Arizona,"" I felt a touch of Sam Fuller. In this film, I felt many touches of greatness, but more specifically I felt John Sayles or even John Cassevettes in spots. The camera was manipulated beautifully and I felt a tinge of their talents lurking in at many a turn. The performances are astounding, especially Goodman as the deranged bowler still living deep within the jungles of the Vietcong. Huddleston is also quite wonderful as the title character. Turturro gives a fine cameo as ""Jesus,"" coupled with a rousing and humurous version of the Eagles, ""Hotel California,"" done in Espanol. I hope this is a film that is looked at with more seriousness. It is, once you dig deep, a fine piece of filmmaking.",e
3,28 January 2010,planktonrules,9, A wonderful film...with the word f#@$ used 102030841 times!,"I tried watching this film on TV a few years ago, but I made the mistake of doing so with my kids nearby. In the first 10 minutes of so, I heard 'f#@$' (a word you are NOT allowed to use even once on IMDb) dozens of times. Realizing that the film was NOT family-friendly, I turned it off despite all the very positive reviews I'd read for it. However, considering I've seen all the Coen Brothers films except this one, I knew that eventually I'd get back to seeing it. Nearly a decade has passed, and I finally got around to seeing this cult favorite.",v
4,24 October 2018,Amyth47,9, The Dude Abides...!,My Rating : 9/10,i
5,4 January 2015,Galina_movie_fan,10," It's good knowin' he's out there. The Dude. Takin' 'er easy for all us sinners.""","Looks like while making ""The Big Lebowski"" (1998)– weird, nutty, outrageously funny and deliciously twisted movie, the brothers Ethan and Joel Coens, known for their unique and dry humor, sat back, laughed out loud, and had fun. ""Big Lebowski"" turned as one of the funniest comedies ever made. It is funny because of the incredibly off-beat characters, their weirdness, flaws, their interactions, the surreal situations they found themselves in, and perfectly written and delivered hilarious dialogs. There is the story, of course, which is based on the case of mistaken identity with the following kidnapping, villainous nihilists, vanguard erotic flying painter, the bowler named Jesus but the story is truly secondary to the delicious craziness of the movie.",e
6,28 March 2004,cleaf,10," You can watch it a million times, and yet, it will never get old","The Big Lebowski is the type of movie that is so funny, and so clever, you want nothing more but to meet the Coen brothers, congratulate them personally for their unique talent, and get inside their heads and find out what makes these two geniuses ""tick"".  The main characters are Jeff Bridges (who plays such broad roles like The Muse, The Contender, and Sea Biscuit), John Goodman (who should have won an oscar for best supporting actor for his character, Walter Sobchak)Juliane Moore (Maude Lebowski)and Steve Buscemi (who is unique in every Coen Brother movie).",w
7,9 March 2009,innocuous,4, I just don't get it.,"TBL is not a terrible movie, but I apparently just don't get it. My lady-friend's daughter is always telling her that she should see TBL in order to understand some of the ""in-humor"" and comments of her generation. I kept telling my friend that I really didn't think that the movie would be what she expected, but we watched it together anyway. (I had already seen it a couple times.) My friend was flabbergasted, as she couldn't identify any phrases, humorous scenes, or references that she had ever heard or seen her daughter's group use. She didn't like the movie, either, and was actually checking to make sure that it was the same movie her daughter had recommended.",/
8,1 May 2013,bandw,2, The Big Bust,"I recently saw an interview with Jeff Bridges where he commented that he has become personally identified with ""The Dude,"" the character he plays in this movie. He also noted that ""The Big Lebowski"" has developed a cult following. The interviewer added some praise. That, together with the high rating on IMDb, convinced me to give this a shot. ",r
9,21 October 2020,Xstal,9," Characters, Plot, Dialogue...","... roll them into a smoke and ignite, if these necessary constituents of any great film burn bright, take a long deep draw and savour their infusion. This original, unique and superbly performed film does just that - something to be relished and luxuriate within while allowing you to put life's irritants into perspective.",w
