Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,30 January 2014,Hitchcoc,8, Once Again: The Children's Hour,"Having worked as a teacher for some forty years, I knew deep down inside that a vindictive lie from one student (out of thousands that I had) could take me down in a minute. People are so protective of their children (as they should be) that sometimes they fail to see that they are children with an underdeveloped moral code and a tendency toward impulsiveness and peer pressure. They are sometimes motivated by their own interests and by temper. Unfortunately, parents tend to give them credence when they tell outlandish things. I even felt that tug with my own children, but learned to investigate the story before reacting. Often a simple comment meant a teacher ""hated"" them, or some series events was made to seem much more than it was. Of course, I believe we must be very careful to keep our children's trust and support them when necessary. The people in this movie don't do this and send a man to hell and back. A dear friend of mine spent six months in jail, accused by his daughter of molestation. She finally admitted that she got made because he wouldn't allow her to go out on a school night with her boyfriend. This movie is gut wrenching and real and it happens all the time. Maybe we need to learn patience and to that end, it works very well.",/
1,6 December 2013,FlashCallahan,10, He doesn't have a basement....,"There is a moment in this masterpiece when you know that that is the part that is going to spiral someone's life out of control. And in this movie, it's the split second scene where Klaras brother shows her an indecent picture on the IPad.",r
2,18 January 2014,planktonrules,9, The scary thing is that this could happen to almost anyone...,"One of my favorite foreign language films it Thomas Vinterberg's ""The Celebration"" (""Festen""). It's an absorbing tale about sexual abuse--abuse that comes out during a birthday party for a beloved family patriarch. Now, with ""The Hunt"" (""Jagten""), Vinterberg directs a film where quite the opposite happens--a man is accused of sexual abuse but who is 100% innocent. Had the director always done films denying sexual abuse, folks might have thought him strange but here the brave director allows himself to go in a completely different direction with his movie.",e
3,14 November 2017,classicsoncall,9," ""He hasn't done anything. I just said something stupid.""","Stories like this are frightening, especially when it turns out that the accused child abuser is innocent and winds up with his life utterly destroyed. This one turns out to be a classic case of someone being guilty until proved innocent, and by then, the damage has already been done. And in today's world, the type of scenario presented in the film treads on a slippery slope. After young Klara makes her thoughtless statement to the teacher Grethe (Susse Wold), one can't find fault in the actions taken by her and other persons in a position of authority.",v
4,3 October 2012,larry-411,10," Emotionally draining but truly moving ""ripped from the headlines"" story","""The Hunt"" is the latest unflinching drama from Danish auteur Thomas Vinterberg. Co-written with Tobias Lindholm, this is an ambitious star vehicle for legendary actor Mads Mikkelsen, an icon in Denmark and familiar face around the world as well. He plays Lucas, a small-town kindergarten teacher. At its heart the story is ultimately a powerful comment on prejudice, based on true incidents, that may leave you emotionally drained but truly moved.",i
5,5 December 2012,TheSquiss,10, A film for those who stupidly believe there's no smoke without fire.,"Sometimes children lie.  Sometimes good people give in to hysteria, and lose all sense of  reason.  Sometimes they destroy innocent lives.  The Hunt (aka Jagten) is the latest offering from Denmark that will  knock you sideways. Forget the thrill of TV dramas The Killing, Borgen  and The Bridge, Thomas Vinterberg's film is a shocking, harrowing  experience that will affect you profoundly and will live in your mind  for a very long time. The Hunt is for those who don't need to 'enjoy' a  film to regard it as valid and who are not afraid to step into the  darkness of the injustice and judgment of which we are all capable.  More than that, it is a film for those who stupidly believe there is no  smoke without fire.  Lucas (Mads Mikkelsen) is a lonely teacher, divorced from his wife,  kept apart from his son and devoted to the young children in his care  at the nursery and within the community. He is a genuinely good man who  has earned the respect of his peers, the love of a new girlfriend and  the trust of the children who leap out of hedges to wrestle him and be  chased around the playground by him.  Klara (Annika Wedderkopp), the daughter of his best friend, Theo  (Thomas Bo Larsen) has an innocent, childish crush on Lucas when two  situations occur in quick succession. Firstly she is exposed to an  explicit pornographic image and, secondly, Lucas gently chastises her  for inappropriate behavior towards him. With a fertile imagination,  childish indignation and no comprehension of the consequences, Klara  makes an accusation against Lucas and his world implodes.  For only the fifth time so far this year, I believe I have witnessed a  near-perfect film. The Hunt is complete due to the tight screenplay,  the sensitivity of Vinterberg's direction and the performances from  principal and peripheral actors alike that are always absorbing and  frequently astounding.  Mikkelsen must certainly be the focal point of any review. His  performance as Lucas causes the stomach to tighten and the back tingle  as we wonder How would I react? In much the same way that Colin Firth's  George crumpled when receiving the news of his partner's death in A  Single Man, so Mikkelsen's Lucas is silently crushed as he is told that  accusations have been made. Lucas suffers the physical and emotional  wounds of slander and revenge for an act he cannot conceive and of  which he has less knowledge than those who condemn and attack him.  Equally, both Larsen and Anne Louise Hassing as Klara's parents  carefully unwrap the turmoil any parent would suffer upon hearing their  young child has suffered sexual abuse. It is a challenge not to yell at  the screen ""Don't be so stupid,"" or to scream expletives at Grethe  (Susse Wold) the head teacher who loses her grip on both duty and  reason and germinates the hatred and judgment that follow. As Lucas'  son, Marcus, Lasse Fogelstrøm gives a heartfelt performance segueing  seamlessly from courage to hurt to desperation and anger and his  distress is a warning to those given over to rumours.  The surprise, no, the absolute shock, with the casting is Wedderkopp.  In an adult with twenty years experience on the big screen it would be  a breathtaking performance; that this is the debut of a young child is  staggering. She is entirely believable as the girl with the vivid  imagination and understandable lack of foresight who is lead by  over-enthusiastic adults and suffers her own punishment of confusion  alone.  The tragedy within The Hunt is explicit and unavoidable. The external  tragedy is that it will probably not feature on most To See lists  because it is both foreign and that the explosions are emotional rather  than physical. Although it is Denmark's entry for Best Film in a  Foreign Language for the Oscars, I suspect both Mikkelsen and Vinterbeg  will be completely overlooked in their own right as with the principals  of Beasts of the Southern Wild. Thank goodness for the BAFTAS and Mark  Kermode! The events depicted in The Hunt are utterly horrific. Don't  sit in front of the screen expecting a light, easy, thought provoking  flick. I emerged numb, angry, helpless and terrified. But for one  careless or cruel comment, it could happen to me.  Or you.",e
6,21 May 2015,Quinoa1984,10, excellent drama that is tough to watch,"The thing about Thomas Vinterberg's The Hunt that you should know is that there's no ""twist"" or big revelation. There's no real ambiguity about whether or not Lucas touched or 'showed' himself to little Klara, the daughter of Lucas' best friend. If there were, this might be a very different movie - perhaps even one that leaned on being dishonest with the audience about the 'did he or didn't he' intentions. It's clear enough early on that Klara isn't telling the whole truth when she mentions to one of the other Kindergarten workers about the ""rod"" that stands up (meaning the penis), but it doesn't mean she's exactly lying either, just confused in that way that little kids who don't know anything about sex might be if, say, shown a very brief image of a ""rod"". So there's that. But what The Hunt is really about is perception and how quickly people can turn on someone with a target on them - guilt or no guilt, but especially in the case of not guilty - like with Lucas.",w
7,24 November 2013,kosmasp,9, Rumor Mill,"This is a really tough movie to watch. I don't know how they do it, but keeping it ""real"" is not an issue with Mr. Vinterberg and others as it seems. Having a real situation that will throw you and others off balance and play it as straight as possible sounds simple, but it really isn't. You need actors like Mads Mikkelsen to convey the story and be able to portray all the facets of his character.",/
8,16 April 2013,aequus314,10, The narrative's genius embeds observer-effect with great accuracy — unforgettable masterpiece.,"Consider first the setting. It may be quiet and idyllic, but merry laughter and droll humour open the scene. ",r
9,17 December 2019,andrewchristianjr,8, Disturbing Tale.,"Disturbing tale, very uncomfortable film, to watch what happens to this man. Simple and one-sided, but still a good portrayal of a tragedy that feels very real.",w
