Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,27 February 2016,Hitchcoc,10, A Story of Passion and Commitment,"I can't add a lot to what has been written. The direction and cinematography aside (which is magnificent), this is an incredible psychological study, involving a group of the most complex of characters. Esposito finds himself in love with two people: the woman who was once his boss and because of inaction, left him heartbroken, and, secondly, a beautiful young rape/murder victim. Over a twenty-five year period, these forces never leave him. The rapist is his Moby Dick to his Captain Ahab. Since we don't see a lot of what happens in the intervening time, we must wonder how empty and fruitless his life has been until he has his epiphany. Mixed in all this are the politics of Argentina and the vengeance of a horrible man. Also, in the middle is the messed friend, an alcoholic, who can be a true talent, but is submerged in his problems, spending his time in bars. If we look to literature we might consider him the Sydney Carton of this film. When you see what happens to him, you will see why I choose this character as a reference. This is one of the finest films I've ever seen. It has it all.",/
1,19 August 2009,billion_mucks,8, Speaking Eyes,"""El Secreto de sus Ojos"" hit me with unspeakable strength. I didn't expect to like it so much, so I owe a review to those in analysis measures before seeing it or those interested in some opinion.",r
2,21 November 2017,classicsoncall,10," ""How do you live a life full of nothing?""","This is only the second Argentinian movie I've seen, both within the past week (the other was ""Wild Tales""), and so far I'm batting a thousand by picking two immensely satisfying films. I was reading some of the negative reviews and I had to laugh, more than one stated that the ending was completely predictable. Yeah right, like anyone could foresee that Morales would kidnap the guy who murdered his wife and keep him a prisoner for twenty five years. Come on, nobody could see that coming.",e
3,18 September 2010,claudio_carvalho,9, How to Live an Empty Life?,"The retired justice officer Benjamín Espósito (Ricardo Darin) decides to write a novel based on the Morales Case of twenty-five years ago and has difficulties to find the right beginning. He visits his former chief Irene Menéndez-Hastings (Soledad Villamil) in the tribunal to show his draft. In the 70's, Benjamín has an unrequited love for his new-hired chief Irene that belongs to an upper-class. Benjamin is assigned to investigate the murder of Liliana Coloto (Carla Quevedo), a beautiful woman recently married with Ricardo Morales (Pablo Rago) that had been brutally raped and murdered. Benjamin and his alcoholic partner Pablo Sandoval (Guillermo Francella) feel touched with the grief of Ricardo and go further in their investigation. Benjamin observes that a man named Isidoro Gómez (Javier Godino) is staring Liliana in many pictures and he becomes the prime-suspect. Meanwhile the tension between Ricardo and Irene increases along the days but Ricardo does not understand the signs of her eyes. Twenty five years later, Ricardo is still haunted by his love for Irene and for the unsatisfactory resolution of the Morales Case.",v
4,16 February 2016,A_Different_Drummer,10, you really don't need another review,"Not often I come to an IMDb review page and think what can I possibly add to all the comments that came before? The movie is staggering in its ability to engage and while engaging to constantly fiddle with the expectations of the viewer. It is the rarest of movies, a slow movie that is never boring and one you never want it to end.",i
5,15 August 2009,jpschapira,9, The secret of Juan José,"In my country, Juan José Campanella is synonym of 'cinema of the highest order'. The director works in USA and from time to time he brings a new film. We know, dramatically, what we're going to watch: Ricardo Darín in an important role, a lot of sentimentalism, references to the country's past, a love story. And technically, if it's the highest order, there won't be any complaints. When the film ended, the people in the movie theater started clapping.",e
6,6 September 2009,bicgus1,9, Extraordinary Film,"Last night I went to watch this flick, and I must say that all in all, I ended up quite surprised because of it's impressive quality. Taking into account that I was already expecting superior film, indeed, it came out to be even more outstanding than I thought, mainly because of the rare combination of noir genre with very precise and measured funny moments and especially an incredibly faithful description of the Argentine system of justice and the characters that compose it. This last element is just perfect. The movie keeps your attention all the time -no decays at all- and the set design is also great, to such extent that it left me wondering what the tricks of the trade employed to achieve such similarity are. Foreign watchers might not fully understand some great details that are mainly local, but anyway they will surely enjoy the thrilling aspects of the film. It would be enough for them to say that almost all this locale's are just true, no matter how incredible they might look.",w
7,4 December 2009,casch0101,10," Absolutely impeccable, great film!","I agree with SanFava. I am a follower of Campanella's and Darin. I have seen all previous three films. However, this one surpasses them all!. This is a great script, top-notch acting by everyone, partly thanks to the excellent casting. Superb cinematography. The film basically explores what ""passion"" is to the human being. A great passion (on various areas) is involved in almost all characters. You have suspense, a clever detective story, some surprising twists, etc. Darin has an ""aura"" (paraphrasing the the title of the film he worked in, ""The Aura"") that illuminates the whole screen. His presence is as powerful in the screen as that of Gene Hackman, Pacino, DeNiro or Hoffman (the top, great ones). I sincerely hope this movie gets his due awards (Oscar included), because it deserves so!).",/
8,6 April 2010,lee_eisenberg,9, Argentinian passion,"The second Argentinian movie to win an Oscar, ""El secreto de sus ojos"" (""The Secret in Their Eyes"" in English) looks at a Buenos Aires detective's passion in solving a case on the verge of the military junta that was responsible for the Disappeared. As I understand it, a difference between this movie and Juan Jose Campanella's previous ones is that this is more mainstream, so to speak. I actually found it pretty comparable to ""My Wife's Boyfriend"", which Campanella also directed. I certainly recommend both films. To be certain, this one has some of the best lines that I've ever heard. Argentina has clearly shown itself to be a fine country in terms of cinema during this past decade.",r
9,12 March 2010,jotix100,8, The secret of his eyes,"A retired investigator, Benjamin Esposito, from a criminal court in Buenos Aires, decides to write about a case that has haunted him since the days he was assigned to cover the crime. In putting his thoughts in paper, he realizes the case is still unresolved. What's more, he is more involved now, than he was back then. For that he must go back and speak to Irene, the district attorney, under whose office he worked. Irene, he realizes, is the woman he has never forgotten in spite of being apart for so many years.",w
10,14 January 2010,monty_lnct,9, this is what we call.............................flawless,"One of the most perfect movie i have ever seen.This type of movie come once in a while,and remains with you for a long time.",2
