Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,1 November 2005,ccthemovieman-1,9, Almost Too Heart-Wrenching To Watch,"Man, this is a powerful and great movie. We are all moved different degrees by different things, but to witness sincerely nice people being treated cruelly always bothers me big- time....so this film is tough to watch in spots. Some scenes are just painful and depressing to view. ",/
1,19 December 2005,lee_eisenberg,10," An elephant never forgets, and ""The Elephant Man"" is unforgettable.","Anthony Hopkins is so associated with Hannibal Lecter, that we almost forget that he did star in movies before that. ""The Elephant Man"", for example. It's sort of hard to determine whether the main character is disfigured John Merrick (John Hurt) or Dr. Frederick Treves (Hopkins). Either way, it's the movie's plot that's important. The plot of course shows how Merrick has been treated as a monster all his life and Treves tries to cure him. As for the possibility that the movie may have revered its subject too much...well, would you feel comfortable mocking him? A particularly interesting combo is the people behind the movie: director David Lynch and executive producer Mel Brooks (Brooks' wife Anne Bancroft appears as an actress). The former is synonymous with deliberately weird cinema, while the latter is synonymous with silliness. Both men show a different side here. All in all, this is definitely a movie that everyone should see.",r
2,9 February 2009,TheLittleSongbird,10, The most moving masterpiece of all time!,"You have got to love the Elephant Man. There isn't one scene that doesn't move me. It is also underrated, as it is very difficult to find, and is hardly on TV. The cinematography was beautiful, and the subject matter about a doctor treating a heavily-disfigured man is so sensitively handled I felt I was there. One of the most moving scenes, was right at the beginning when Treves sees Merrick for the first time, and a tear rolls down his cheek.Extraordinary! The scene with Treve's wife is so sad that I had tears in my eyes for the rest of the movie. When he cries, ""I am not an animal, I am a human being,"" I was actually sobbing. i really was. The ending, with the lovely Adagio for Strings(the only time it has been played well) was so poignant, as was the scene in the theatre, with the Tchaikovsky-like music, and Merrick enjoying himself like a 6 year old boy. The music is very haunting, as made apparent in the crowd scene mocking Merrick in the hospital. Don't criticise the beginning, or the end, because David Lynch was trying to create images of pure sadness and inner beauty, and they were very powerful images. As for the performances, never have I seen Anthony Hopkins more sensitive than he was here(well except for the final scene of Shadowlands). His performance was actually one of the main reasons why this movie is so beautiful. The best performance, without a doubt, is the heart-rending performance of John Hurt as John Merrick. Almost unrecognisable, but so magnificent, especially when he recited the psalm without the help of Treves. It is also incredibly difficult to speak with a lopsided mouth, and John Hurt mastered it. Other notable performances are from Freddie Jones, Anne Bancroft, Michael Elphick and Sir John Gielgud. Anyone who gave this a 1/10, what is wrong with you? This is an absolute masterpiece, without question! 10/10. Bethany Cox",e
3,12 March 2003,george.schmidt,10, A Beautiful Mind,"THE ELEPHANT MAN (1980) **** John Hurt, Anthony Hopkins, Anne Bancroft, Wendy Hiller, Freddie Jones, John Gielgud.  David Lynch's masterpiece of the human spirit about the true-life account of John Merrick, a hideously deformed man in England's Victorian Age, who was taken in by a physician after a hellish stint in a freak show.  Hurt rises to the occasion and delivers a heart wrenching Oscar nominated performance emoting under tons of make-up to full effect.  Equally good is Hopkins in low-key form as the humanitarian doctor.  Beautiful black and white photography resonates the production; nominated for 8 Academy Awards including Lynch and Best Picture. Best scenes: Hurt's recital of the 23rd Psalm and his immortal line: ""I am not an animal, I am a human being!""  Incredibly powerful ending perfectly accentuated by the classical ""Adagio For Strings"".  Dare not to be moved. One of the best.   Trivia note, look for little person Kenny Baker during the carnival sequences; he's the guy inside R2-D2 in `Star Wars' and the head bandit in `Time Bandits'.",v
4,30 December 2005,rainking_es,10, Essential.,"There is no feeling, no virtue, no human baseness ""The Elephant Man"" doesn't scrutinize: hypocrisy, cruelty, mercy, sadism, love...). David Lynch reached the status of genius with his second movie, he created an instant classic for the history of cinema, a masterpiece. He probed his huge talent beyond the oniric or surrealistic fits of ""Eraserhead"" (and of most of his filmography). He probed he's capable of doing anything he wanted to with a camera on his hands. For those who think Lynch is just a pretentious guy which only films nonsenses, please take a look at this movie.",i
5,21 July 2001,Cheetah-6,10, Cuts Deep,"There have been many films made dealing with an individual who's outer appearance is completely at odds with their inner character. Some of these films are quite good but this is by far and away the very best. This is probably one of the most perfect films ever made. It succeeds on every level. Visually it transports one into a dark, grey, industrial nightmare of a world. It's within this world that we come to discover true beauty. It lies within one hideously deformed, abused and unfortunate soul who is being kicked around in this hellish existence. The screenplay, acting, direction all come together to create this extraordinary viewing experience. You really feel like you get inside this man and his tortured existence. The ending is one of the most effective and completely engrossing I've ever seen. Rarely does a film find a way to leave us with such a sense of closure and lingering fascination. The thing that really makes this film truly great is it changes the way people see themselves, other people and the world. I can still remember the palpable air of silence and awe over the audience when leaving the theater both times I saw it on the big screen. There's a transforming quality about it. You only need to read the many other user comments to see how people were moved and changed by this film. If you haven't seen it, it's a must!",e
6,22 December 2004,The_Void,8, A heartbreaking expose of society,"Nobody but Lynch could have directed this movie and made it the masterpiece that it is. Where other people would have gone for fake sentimentality and/or gruesome imagery; Lynch just presents the story how it is. The film is never gratuitous, and that is much to it's credit. It is, however, utterly repulsive. The black and white cinematography enforces this. There is nothing pleasant about The Elephant Man; it is as ugly as it's title character, and that is the way that this story needs to be. On the surface, it is ugly and repulsive; but just like it's title character; the movie has a hidden depth that is ultimately touching and heartbreaking. The movie sets itself up for this early on; the scene in which the Elephant Man is introduced is most of the most gut wrenching ever committed to film. As the doctor (Anthony Hopkins) sees the freak rise up and realises the extent of his deformity...a tear slowly form and rolls down his cheek. From this, you can see the pity that he feels for this man who has drawn the lot of a lowly circus freak; just from that one shot of a tear, David Lynch shows us the sorrow and the pity, and that's all he needs. Where some directors would have piled the sentimentality on, David Lynch is economic; that's all it needs, so that's all it gets. And that is the mark of a great director. Something that David Lynch most certainly is.",w
7,14 April 1999,coop-16,10, Ones of the most heart rending films of all time.,"It is truly baffling to me that there are people who have seen this film  who still think that David Lynch is a cold and cruel film-maker. David Lynch is ,in fact, a man of extraordinary gentleness and sensitivity, who cares deeply about the sort of people whom mainstream society stigmatizes as 'freaks'.Please, watch this film--watch it carefully-- and you will see that Lynch's deepest concern is with how a over-industrialized, rigid, and profoundly hypocritical society crushes its outsiders. It may sound odd, but I really believe that the non-Christian Lynch has, in the person of John Merrick portrayed one of the most profoundly moving ""Christ figures' in all of film.  Let me also note how well Lynch( In only his second effort at directing!) handled such legends as Hiller, Gielgud and Hopkins.",/
8,8 August 2006,MarieGabrielle,10, Well acted and ....,"very disturbing. Anthony Hopkins, as Dr. Treaves, trying to help a disfigured patient in the Victorian Era. The really sad part is that this was based on a true story.",r
9,1 April 2004,Ben_Cheshire,10, Superb haunting story about human nature.,"With a crowd bearing down on him, the tortured cry of The Elephant Man (John Hurt) rings out: ""I am not an elephant! I am not an animal! I am a human being!""",w
