Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,17 February 2020,zkonedog,9, Entertaining In Every Way A Film Can Be,"I've never watched a car race in my life. I have absolutely no knowledge of the historic events surrounding the Ford and Ferrari motor companies. None of those two things mattered in my viewing experience of ""Ford v Ferrari"". Not only does it allow the viewer to be a complete clean slate, but it provides the utmost of entertainment on almost every front.",/
1,24 February 2020,SnoopyStyle,8, old fashion greatness,Racing champ Carroll Shelby (Matt Damon) has to retire due to a medical issue. His racing friend Ken Miles (Christian Bale) is seen as difficult and the IRS has confiscated his garage. Ferrari has been at the top of racing in the 24 Hours of Le Mans. The Ford Motor Company finds its sales going stale and Henry Ford II wants a big idea. Marketing VP Lee Iacocca has the idea to enter the race. They first try to buy Ferrari and Enzo Ferrari insults Henry Ford II. Iacocca recruits Shelby to create a racing car and Shelby recruits Miles to be his driver.,r
2,15 March 2022,Instant_Palmer,10, Best Race Car Movie Ever? 💯,"Gut level racing movie with no need to manufacture fictional drama - Fact takes over the drama throughout Ford v Ferrari, with its glorious on-the-edge engagement fueled by the Hi-Test performances of its two stars, Matt Damon and Christian Bale.",e
3,15 February 2020,classicsoncall,8," ""We're gonna build a race car.""","You don't have to be a race car enthusiast to enjoy this film. I'm certainly not, having neither the desire or the patience to watch daring motor cars race around a track at mind boggling speeds. Though you do have to credit the drivers who enjoy the profession; it takes a certain amount of bravura and stamina to withstand the pace and stress forces that go with the territory. Without knowing the story in advance, I thought it was going to pit Matt Damon against Christian Bale as opposing drivers, but that idea was quickly put to rest. The legendary Carroll Shelby (Damon) is in the spotlight here as the former racer and design engineer recruited by the Ford Motor Company to build a championship vehicle. In no small measure was it Ford's response to a snub by Italian car maker, Enzo Ferrari, who turned down a merger with the American company in a fit of pique. Had he gone along, the end result in the picture may never have occurred.",v
4,10 September 2019,kjproulx,9, Filled with Energy,"Biopics can be a hard sell at times. Whether you're diving into the troubled life of an addict or exploring someone's sexuality, there are many touchy subjects these days. With that said, I feel there are also those that will stand the test of time, in terms of being able to please a wide audience. Ford v Ferrari is one of the latest true stories out of Hollywood that will be hitting the big screen soon, and here's why I believe it absolutely deserves attention.",i
5,16 November 2019,g_cotterell,10, Puts my faith in the movie business again,"This is what cinema is supposed to be! Amazing chemistry and acting by both leads, seamless CGI and practical effects to enhance the film, a firecracker script, a true story, pulse pounding soundtrack, booming sound mix, and edited so well that 2.5 hours flies by! Completely and utterly engaging . So good in fact I saw it twice within 24 hours . Once in Imax and once in Dolby cinema .",e
6,20 November 2019,ymyuseda,10, Oscar Winning Performance,"Rating 10/10
Inspired movie of the year. It is wonderfully made. A good story well told. Tightly written, well acted and directed. I hope Matt Damon and Christian Bale can winning an oscar awards because he already deliver the character very well. Thank you to all of you because make it this movie so amazing . A masterpiece !!",w
7,19 December 2019,TheLittleSongbird,9, Rushing to the finish,"After being very behind with film watching and reviewing, a lot of my reviews this year being dedicated to individual episodes of shows, completest quests and some cartoons, finally made the decision to watch more films released this year and to finally review the films seen earlier this year but hadn't gotten round to seeing. 'Le Mans 66' was a very eagerly anticipated film, due to liking the lead actors and loving 'Rush' that this has been compared to by some, and one of the year's (quite hit and miss) more acclaimed films, so there was not any doubt about seeing it.",/
8,21 November 2019,Keemshave,9, An exhilarating and emotional ride,"A lot of notes were hit by Ford v Ferrari. The characters are fleshed out very well and give you the emotional attachment you're looking for in a movie. Bale and Damon's performances are great; they pull you into the story and completely disappear into their roles. James Mangold proves, once again, to be a master behind the camera. The action scenes are shot to perfection and will have you biting your nails.",r
9,15 June 2020,claudio_carvalho,8, Engaging Action Film,"""Ford v Ferrari"" is an engaging action film based on a true story, when the American manufacturer Ford decided to build the racing car Ford GT40 to defeat the Italian Ferrari at the ""24 Hours of Le Mans"" in 1966. The plot is dramatic, funny, highly entertaining and not historically accurate (in accordance with those that are fans of car racing), with Matt Damon and the magnificent Christian Bale in the lead roles. But the film never disappoints the fans of a great action film.",w
10,23 November 2019,mohdshafiulhaque,9, Movie keeps you at 7000 rpm,"Ford V Ferrari is one of the best movies I've seen this year, and for someone who has little interest in cars besides minivans and SUVs, that's saying a lot. Just like the race cars produced by its namesakes, Ford v. Ferrari is sleek and fast; a powerful and expensive machine. A supremely well-balanced combination of corporate rivalry, on-track competitiveness and human drama.",6
11,8 December 2019,nogodnomasters,8, Shut Down the Assembly Line,"The film opens introducing three characters. Carroll Shelby (Matt Damon) only America to win Le Mans is forced from racing because of his heart. He is selling cars. Ken Miles (Christian Bale ) is a savvy independent race car driver with an attitude and no sponsors. The IRS just took his garage. Lee Iococca (Jon Bernthal) is attempting to convince Henry Ford II that if Ford can win Le Mans, it will sell cars. The three of them come together to try to make it happen.",8
12,15 January 2020,HBSmith_Reviewer,10, A old-fashioned and engaging racing biopic.,I'm going to be posting the rest of my reviews for 2019 here now that the Academy Award nominations are upon us.,6
13,8 January 2020,garethcrook,9, Stunning!,"This film is like the cars it portrays. Slick on the surface, but complicated underneath. Yes it's a story born of corporate ambition in horn rimmed glasses and dark suits, driven by pride and stubbornness, but the heart of it is pure racing, to hell with money, marketing, good looks, any of that. I've watched half of this with my foot planted to the floor. The driving scenes are awesome, the roar of untamed engines (turn your sound up as loud as you dare!), shifting gears into blindness inducing speeds. Fast cars alone though can't carry a film, but thankfully the cast here is as great as the cars. Damon is very good as the lynchpin Shelby, as he drags Ford away from mass production and onto the racetrack to challenge Ferrari's dominance. Bale though, Bale is magnificent. His portrayal of somewhat renegade driver Ken Miles is the oil in the engine, the comic undertones with a 'my way or the highway' attitude. He literally drives this. The pacing is spot on, balancing the boardroom with the tarmac perfectly, all done with some Oceans 11 style slick, good ol rock n roll blasting out as men do manly things. It's a show piece with Ferrari painted as the bad guy. I'm fine with that. Yes the cars look sexy, ""If this were a beauty pageant, we just lost"", but gimme the brute force of the Ford GT40 any day. There's a ton of excitement and energy before the cars even get to Le Mans, but seeing that GT tear up the French countryside gets the heart pounding. Doesn't matter that I already knew the outcome, it's still exhilarating with some of the best racing scenes in any film, ever!",8
14,12 January 2020,agm_tcr,8, Racing with a soul,"As a Ferrari fan I was pleasantly on the side of a Ford driver, all because of the soul Christian Bale was able to portrayed as Ken Miles, a sports car racing engineer who's hart was beaten in unison with an engine of a race car. Aside of the fact that he lose several kg for the role, but being a method actor it cling a viewer to the screen. Excitement and rage can be feel in every scene. The passion take us to the circuit and made us push the accelerator. What I miss is the surprise of the plot since I knew the story. The cast is brilliant, and finally in one Americans movie I have the pleasure to see casted Italians brilliants actor for the roles of the Ferrari Team, speaking perfect Italian, as oppose as being disappointed when they cannot.
This year oscar is going to be a difficult choice.",2
15,15 November 2019,jespor,8, CHRISTIAN BALE,Jesus Christ - Bale does it again.,9
16,30 January 2020,MrDHWong,9, A well-told story that balances high octane car races with genuine drama,"Ford v Ferrari is a biographical drama film directed by James Mangold (Logan, Walk The Line, Girl, Interrupted). Starring Matt Damon and Christian Bale, it is a well-told story that balances high octane car races with genuine drama.",6
17,24 March 2020,kosmasp,10, Who's better?,"I have to admit, I never thought that a movie about cars/racing would get to me, the way this movie did. And it is a testament not just to the actors, but the script and the directing and so many other things that make this quite the experience to watch.",/
18,13 February 2020,cruise01,10, Pedal to the medal and keeps you on the edge.,Ford v Ferrari (5 out of 5 stars).,?
19,14 November 2019,alvintalavera,9, One of the best.,"This is one of this year's best, from the cast's performance, the story, and the cinematography. It has good visuals feeling that you are really in the 60s. Bale and Damon's acting were commendable. I really did not expect to love this one a lot because I'm mainly not a fan of action movies. I expect this to be at least nominated for Oscars.",r
20,14 February 2020,jordanucsd,8," ""I had no idea. If only my dad were alive to see this.""","I've seen a lot of car movies, as a self-professed car nut. As such I judge them harshly, and immediately dismiss entries that don't provide enough reason to care about what is more important than the car: the driver. Think of the Fast and Furious and Transformers franchise. If you care about the driver, and the driver cares about the car, you care about the car. The car is a tool, an extension of the hero's body, and gains provenance with the audience when it helps the hero on their personal journey. Movies that come to mind that do this effectively include Gone in 60 Seconds, Bullitt, Need For Speed, The Italian Job, Batman Begins, and The Bourne Identity. Some of the James Bond movies do it well, like Goldfinger, The Spy Who Loves Me, The Living Daylights, and SkyFall, but many do not because of the lack of character arc in the story. We cannot forget about perhaps the greatest car movie of all time, Back to the Future. The shining example of how to make the car a proper star.",e
21,15 November 2019,nickfarf-42699,10, As close as possible to the truth but!,"I was at the Philadelphia Film center premiere on 11/11/19 to view this terrific movie. At the age of 68 and a tifoso of Ferrari since age 8, ( 1959 ), this movie hit a nerve. Truth vs Fiction. This was a David vs Goliath movie, however Goliath wins. The movie recreates a golden era of auto Racing. It was seriously dangerous with death and injury a guarantee at every race. These drivers were absolute warriors and we're fearless. Now Ferrari winning LeMans six straight years in a row from 1960-1965 is actually the David in this movie. Ferrari for all their dominant winning form was still a tiny company that sold fancy $15,000 sportcars to support his racing team. Winning LeMans was a $16,500 team prize. These Ferrari drivers were salaried. The prototype class at that time was wide open with no upper limit on engine size. There was an under 2 liter class that Porsche and Ferrari dino control, but the over 2 liter was unlimited. I read carefully about the Ford move to acquire Ferrari, as daily news reports would cross the associated press. The movie is spot-on about Ford cars lacking desire back then. Chevrolet had the Corvette, Corvair and sporty looking Impala and Chevelle. Now Ford is the Goliath in this movie. They are the big corporate giant with unlimited resources. Ford paid for the Ford GT. It was really a Lola Gt with a Ford badge put on it. Ford put their name on every innovation provided by all the racing/equipment suppliers that went into that race car. Unlike Ferrari being designed, engineered and built handmade in that Italian factory. Ford spent more money on developing a racecar than the total price to buy Ferrari outright. Hired every Nascar team to provide expert pit crews, engine builders and offered 80,000-100,000 to each driver for one race . Now the movie, it's a movie that non race cars fans can and will enjoy. It shows how Shelby and Miles are really the heroes of the winning team. This was true. Their relationship is spot on in the movie and they know what is needed to win. They battle off the track against Ford executives and against Ferrari on the track. What is not disclosed in the movie is the quitting of the Ferrari ace driver John Surtees. When he left Ferrari, the team was devastated. He along with Ford's Ken Miles were two true warriors. Also not shown but lightly covered in the movie is the three years of disastrous outing for the Ford racing team. Did Shelby steal the Ferrari pits stop watches? Did Shelby actually throw spear lug nuts into the Ferrari pit lane to make the Ferrari pit crew think that the race car was missing a nut on the car out on the track? Did Enzo Ferrari actually tip his hat to honor Ken Miles? Who really knows. Everybody is dead. I remember the lug nut rumour in the 1960s, as that was a southern stock car trick. I never heard about the theft of Ferrari stop watches by Shelby. As far as Ferrari tipping his hat. Ferrari was known for or not attending many races. All that aside, did I as a Ferrari fan enjoy this movie. My answer is a Yes, Yes, Yes. With the exception of James Garner in Grand Prix, this is the best movie to deal with the sport of autoracing. Bonus is that it is also a great human interest story and they create the mood of the sixties as U vividly remember it. I rate this movie a ten and should be nominated for Oscars.",f
22,12 February 2020,Kikisaurus,8," I know nothing of cars or racing, nor do I care about either yet....","To start off, I have always hated racing. Yes, hated. It think it's a ridiculous waste of resources, and boring to watch. I have zero interest in cars - and thus I know absolutely nothing of the history. I knew nothing of this film beyond reading the blurb before I started watching it, so I was very interested to see whether I would like it at all. I did. Despite being so uninterested in the subject, the film got me interested in the story, and especially during the final race I was on the edge of seat not knowing what would happen. Fantastic acting job from both Damon and Bale, usual. They never disappoint. Excellent writing, directing, cutting, sound editing.. A very whole package overall.",_
23,31 August 2019,JimShops-1,10, Fantastic,"Just saw F v F at the Telluride Film Festival and it is phenomenal. Perfect performances, incredible visuals and editing, immersive sound, and a riveting story. A real winner. Christian Bale lost 70 pounds Defoe the role and is a delight. Damon is spot on. Catriona Balfe is excellent. All the actors playing Ford executives are excellent as well. Masterful direction from James Mangold. A must see.",=
24,22 January 2021,Sleepin_Dragon,9, A brilliant film.,"Bale is one of my all time favourite actors, this film shows exactly why that is, he is absolutely incredible, and he is in great company, Damon is equally spot on in the role, as are the supporting cast.",t
25,6 January 2020,natcalgary,8, 2.5 hours flew by as if it were going 7000+ RPM,"This has become my favorite car movie as there are no distracting sub-plots about love or whatever.
This is a straight forward car movie based on real events and the 2 and a half hours went by as if the movie was going 7000 RPM",t
26,4 November 2019,jasongkgreen,8, Turbo charged!,"Nice surprise at the Cineworld secret screening with this. Bale and Damon have great chemistry. I struggled with Bale's UK Northern accent occasionally, but a story of risk, achievement and friendship, with some great driving scenes. Would recommended, especially for any race fans.
8/10",_
27,4 November 2019,kirankumarfrank,9, A must watch if you are a motorhead or a racing fan!,"When you think of great sports movies, Rocky, Remember the titans and Rush comes to your mind. This movie won't be know as the best sports movie of all time but would surely be among the top 20. Everything that needs to be said has already been said about the two leading stars in the movie but big shout out to the supporting cast including Jon Bernthal who was great.",u
28,5 July 2020,lee_eisenberg,8, get going,"Since I'm not into car racing, James Mangold's Oscar-winning ""Ford v Ferrari"" was all the more impressive. This look at the US car company's efforts to unseat the Italian one as the champion of Le Mans feels energized even when not on the racetrack. We get looks at the inner workings of the car companies, as well as the personal lives of the drivers. It's a tour de force from start to finish. I recommend it.",r
29,20 November 2019,bob-the-movie-man,10, A linear story on a circular track - but beautifully done.,"Despite the love affair cinema has had with cars over the years, the sport of motor racing on film has been patchy. Too often the drama on the track has been deluged with melodrama off the track, as in John Frankenheimer's ""Grand Prix"" from 1966. While recent efforts such as Ron Howard's ""Rush"" have brought modern filming techniques to better convey the speed and excitement, it is Steve McQueen's ""Le Mans"" from 1971 that had previously set the bar for realism in the sport. But even there, there were a few off-track love stories to interweave into the action.",v
30,23 February 2020,gradyharp,8," 'We're lighter, we're faster, and if that don't work, we're nastier'","James Mangold directs this historic visit to the 1960s, using the script written by Jez and John-Henry Butterworth and Jason Keller, and the result is a heart-pounding series of fast car racing events that surface as an entertaining film due to the presence of some very fine actors. Not only is it a recreation of the 1966 Le Mans event: it is also a penetrating statement about corporate behavior attempting to drown individual personal achievement!",
31,21 November 2019,billybacktown,8," All Gas, No Brakes","You have to have a big dump in your pants if all you're gonna do is complain about ""historical inaccuracies"" of a movie. Extremely entertaining film. Great cast, fun movie. Bale crushes it per usual.",
32,16 February 2020,851222,10, One of the very best movies from 2019,Greetings from Lithuania.,
33,6 May 2020,Xstal,7, If at First You Don't Succeed...,... but are some things or careers or professions worth paying the ultimate price for?,
34,17 February 2020,chi_town_fed,9, What a great movie!,"The acting, casting, and writing are superb. I enjoyed this film from credits to credits. I could write about all of the reasons I enjoyed it so much. Why waste time when all you need to know is the writing and acting make this film feel organic and authentic. The pace is perfect too.",
35,16 January 2020,MovieJunkie5,8, More than a car movie,This movie is so energy-filled action-packed emotionally-thrilled that engages you and begs for your attention in every single scene. Christian Bale gives yet another brilliant performance and so does Matt Damon and the entire cast. A movie not only for car enthusiasts but for everyone to enjoy.,
36,2 February 2020,thekarmicnomad,9, Feels old - in such a great way,This is the story of how Ford took on Ferrari at the Le Man's 24 hour race.,
37,1 December 2019,Bertaut,8," I'd have preferred to see Michael Mann's version, but this is an impressive and heartfelt study of friendship and triumph",Based on ,
38,4 December 2019,nocturn-07199,10, Really good story,"It was worth 2 and half hours of my time, excellent move! Bale and Damon did awesome job.",
39,5 November 2019,iamkeysersoze-13228,9, Really Awesome,Ford V Ferrari (Director. James Mangold),
40,26 May 2021,BrnzReviews,10, A True Masterpiece!,"This is a masterpiece that goes way beyond your average racing movie. Ford v Ferrari is a film that is so engaging that you cant help but feel you cannot look away, its phenomenal to say the least, the really know how to please an audience.",
41,21 November 2019,Alexander_Blanchett,9, A rare example of old fashioned styled Studio Movies,"A very nice old fashioned type of filme - one of those big Studio movies the Studios don't do that much anymore. One that really concentrates and cares for their characters and takes time to develope them. It was both storywise and also technical wise a true winner. The Performances were great. Christian Bale was just phenomenal. Especially if you consider that just last year at the same time he was playing a totally different character in ""Vice"", physically and also Motivation wise. Here he gives us an ordinary man with exatraordinary abilities and quite a tough mindset. He is great and once again proves he is one of hte most verstaile actors out there. Matt Damon was also good but definitely stayed in the shadow of Bale. Also because I think the characters were much more intersted in developing Ken than Carroll. And this is one of the very few flaws of the film. Another worth-to-mention perfomance came from Tracey Letts. and on a lesser extend Jon Bernthal.
James Mangold understood perfectly to Combine strong characters in a very solid Story with many great technical aspects to make one of a Kind of Hollywood film I dearly miss. Sound and editing were pitch perfect. The final race was one of the most exciting Moments in Cinema we had this year. And in the end it even almost brought me to Tears. A true winner Picture.",
