Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,20 February 2021,evansjoshyr,10, One of the best films ever made,"17 years after incredibles was released, it continues to be a compelling, entertaining, funny, smart, ambitious, original, mature and just simply enjoyable movie. The dialogue is exceptional and the animation holds up surprisingly well. The characters are well written and very fleshed out. It is an animated film about superheroes and yet the chatacters and world feel so real.",/
1,5 November 2004,Quinoa1984,10, My favorite film from Pixar in over five years- Bird and company produce a triumph of a family film,"Writer-director Brad Bird here has something that I was caught off-guard by just a bit. I always expect Pixar films to be above-par, family entertainment, the kinds of films that can have an appeal to adults on a satirical, jab-in-the-side effect by having the characters reacting to each other as they would on a film with a higher rating, whilst giving the bright colors, action, and silliness that appeals to kids. Watching The Incredibles, their sixth feature-length offering, I wasn't so entertained and amused since their 98 film A Bug's Life, and it almost brought me back to the emotional impact I felt when in the theater for the first time getting Toy Story into my system. ",r
2,24 December 2004,basrutten,9, Charming and fun,"Shortly after Dreamworks screwed up with the uninspired ""Shark Tale"", Pixar contains its remarkably success story with ""The Incredibles"". And while I have to say that I liked ""Finding Nemo"" a bit better, ""The Incredibles"" is still an amazing movie.",e
3,21 November 2004,PyrolyticCarbon,10," Wonderful, beautiful to watch, all in all, incredible.","WOW! What a movie. I can honestly say this is in my top ten movies of all time, how do Pixar continue to out do themselves at every movie release?",v
4,19 December 2004,jon.h.ochiai,10, Truly Incredible,"I finally saw Pixar/Disney's ""The Incredibles"" after several scheduling glitches. Writer and Director Brad Bird's ""The Incredibles"" is truly incredible. It is one of the best movies of the year. The CGI animation is both cutting edge and simply stunning, and like all Pixar projects it has a solid story as it's foundation. Bird uses the Superhero mythology to tell a funny and poignant story: that when we forfeit or withhold our greatness, we are not being true to ourselves, and more importantly it is a disservice to those around us. As the story begins, Mr. Incredible (Craig T. Nelson) was the superhero's Superhero. As voiced by Nelson, Mr. Incredible, is very confident, on the verge of cocky. He uses his super strength and powers for good. He marries super, Elasticgirl (Holly Hunter). However, Mr. Incredible soon falls victim like his fellow ""Supers"" to the plight of our litigious society-- the people they save are suing them. Instead of getting malpractice insurance (which would have been a different movie), the persecuted... and prosecuted Supers assume their secret identities in a covert government relocation program. They also promise never to use their powers again even for good.",i
5,7 November 2004,Mr Parker,10," Dahling, dahling, dahling.... this movie is incredible","I hope that this movie does really well because this has to be one of the best animated movies I have ever seen. The story is really cool and it's obvious that there is a lot of respect here for the source of superheroes, whether it be comic books, serial flicks or Saturday morning cartoons.",e
6,17 February 2008,ccthemovieman-1,8, Good Entertainemt For About Any Age,"This was somewhat of a surprise hit when it came out in 2004. Most of the attention was on a competing animated film but this is the one that turned out to be a huge box-office success. Word of mouth helped his immensely. It's what made me check it out, as several friends recommended it. I wound up agreeing with them: it's excellent entertainment.",w
7,18 April 2005,Smells_Like_Cheese,10," Very predictable, but very lovable at the same time","Yes, I've seen this story a million times. I'm also not a very big fan of Disney and Pixar together, but this time they got me hooked. After fearing to rent this, many of my friends convinced me that I should take a look at it. So, I did and feel in love with it.",/
8,7 February 2021,chandean-69762,9, The Incredibles 2004 Review,"An amazing family film and also one of the best superhero films of all time.
Action is amazing, especially in the final act with such a range of powers all used brilliantly.
And do I need to say anything about the animation? Pixar just knocks it out of the park every time.
The Incredibles is just full of personality and charm, making it endlessly rewatchable.",r
9,26 April 2005,MovieAddict2016,9," Pixar's most ""epic"" animated film since ""Toy Story.""","Although ""The Incredibles"" is not the best film Pixar has released (via Disney) since 1995's ""Toy Story,"" I felt it is the most epic. When I went to go see ""Toy Story"" in 1995, the epic scale of the picture -- the non-stop frantic pace, the action sequences, etc. -- were all so breathtaking that it contained the same tour de force attitude as, believe it or not, a blockbuster such as ""Terminator 2"": a crowd-pleasing, overwhelming picture.",w
10,11 April 2005,claudio_carvalho,10, A Movie That Really Deserves to Be Among the IMDb Top 100,"After many unfair lawsuits against superheroes, inflicted by persons saved by them, the government requests the superheroes to retire and hide their identity as if they were normal citizens. Mr. Incredible marries Elastigirl, has three children (Violet, Dash and Jack Jack) and has a boring job in an insurance company. When a chance is offered to Mr. Incredible to become a hero again, he becomes happy and in shape. However, when the identity of the mysterious contractor is revealed, the family has to fight together against the evil Syndrome to stay alive. ""The Incredible"" is an amazing movie, and has superseded my best expectation of an animation. The story is excellent, having action and humor in right doses, the characters are very charismatic and it is a movie recommended as an excellent family entertainment. Today there are 528 comments, most of them favorable, and the movie is in top 250: #91. Therefore, I believe it is not necessary to extend my review. Last but not the least, ""The Incredible"" is a movie that really deserves to be among the IMDb Top 100. Lets wait for the inevitable sequel My vote is ten.",0
11,29 May 2014,silva-w-pius,9," Is it a bird, no it's a plane, no it's the Incredibles","Is it a bird, no it's a plane, no it's the IncrediblesImagine if one crazed scientist had a colossal sized blender and put the love and affection of The Modern Family in it, then sprinkled some dysfunctional madness of Malcolm in the Middle and then added superpowers to the mix, I guarantee that what comes out still won't be a match for the crazy, adorable, high octane and utter zaniness that are the Incredibles. The dad is supper strong, the mother can stretch like taffy, and the teenage girl can become invisible and throw up force fields and the 10 year old is lightening fast, which is quiet lucky when they must come up against the rich, genius of the villainous Syndrome, who seeks to destroy the hero he once worshipped in Mr. Incredible and an the whole city along with him. Despite the film being an animation featuring a story line that was extremely fantastical, not once did I remember it was a movie. The actions scenes were spell bounding and highly imaginative. But most importantly, I really believed in these characters that spat witty sharp dialogue at each other at a furious pace, not just because they were funny, but because the characters were so believable and relatable. Subsequently it should come as to no surprise that film was nominated for a best screenplay Oscar, which is a rarity for an animated film, but this ain't just your average animated film, it's an Incredible animated film",9
12,22 December 2005,nycritic,10, Another Smash Hit for Pixar,"It's tough to be a superhero and not be allowed to manifest your prowess due to a lawsuit which has made you go into a ""superhero protection program"" and live the life of an Average Joe.",7
13,23 December 2004,ThePedofinderGeneral,9, Amazing! Brilliant! Fabulous! Wonderful! Astonishing! I'm not avoiding using a certain word!,"The Incredibles is a great film, and probably my favourite Pixar picture (Toy Story is the best, but that's different to favourite). It takes a while to properly get into the action, but when it does, it delivers it in spades.",2
14,16 June 2009,TheLittleSongbird,8," Excellent Pixar film, not the best one, but still very good!","I wasn't expecting The Incredibles to be as good as it was, it was inventive, funny and original, all the things that I look for in an animated film. I don't think it is Pixar's best, that's Toy Story, but it's certainly not the weakest, that's Cars though that was a worthy film as well. The animation is spot on, and just adds to the inventive feel of the film, and is helped enormously by an innovative plot that is the source of the film's originality. The story is very fast-paced, if perhaps a little slow to begin with, and the script is filled with humour to satisfy even the fussiest child. The characters are very well-done, thanks to the excellent voice cast, standouts are Craig T. Nelson and Holly Hunter, and My Name is Earl's Jason Lee is a big surprise as the villain Syndrome. Brad Bird's Edna was a hoot too. The film however, does have two flaws, it is overlong and sometimes drags consequently, and it is a little too violent at times, the last half-hour especially. Overall, an excellent family film, not perfect, but anybody who's seen some of the Disney direct to video sequels, save one or two exceptions will agree that the Incredibles does a much better job at entertaining than they did. 8/10 Bethany Cox.",2
15,17 January 2010,Tweekums,10, Lives up to its name,"On the face of it this may look like it is very much a film for children that will have little appeal to adults unless they are watching it with their children; this however would be a mistake as it has a good story that adults can enjoy too. Some aspects are clearly aimed at the adult viewer such as obvious references to James Bond, these are done in a way that people who don't see the reference won't get the impression that they are missing something.",4
16,21 July 2018,Pjtaylor-96-138044,9, It really is incredible.,"'The Incredibles (2004)' is a masterclass in character, always putting its central family in front of its superb superhero action. That action is often somewhat counter-intuitively but cleverly conveyed using the tropes and language of the spy genre, giving the movie a decidedly 60s flavour in the process. The piece is a much more mature affair than you might expect, being a family film in every sense of the word - a movie suitable for kids as opposed to one made for them. It is nuanced, affecting and will actually pay off more for the older members of its audience. It plays like a live-action picture with the world's most convincing special effects, since they're rendered exactly like the rest of the flick, and some of the most convincing characters, too. What makes the film so fantastic is that it's genuinely entertaining all the way through. It's properly funny, intriguing, suspenseful, emotionally impactful and exciting. What's so impressive is that it easily rises to the top of its genre, standing amongst the best of its peers (and even, in itself, commenting on them), despite being released when that very same genre was still in its infancy. It stands tall as apparent 'kid' fare that's far more mature than most 'adult' - or, at least, 'teen' - stuff being produced even today (over ten years after its release). It's effortlessly enjoyable and wonderfully conceived. Really, it's just incredible. 9/10",2
17,8 December 2005,MaxBorg89,10, The greatest adventure of 2004!,"The Incredibles is further proof Pixar focuses more on story and characters rather than in-jokes and celebrity voices, as in Dreamworks'features (not that there's anything wrong with that, just look at Shrek 1 AND 2). Okay, there are quite a lot of pop-culture references in this film, because of the story, but that doesn't stop The Incredibles from being an... incredible movie.",/
18,25 July 2005,Jay_Exiomo,10, Incredible in every sense of it!,"""The Incredibles"" is by far and away the most mature and engaging Pixar film to date. ",?
