Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,6 April 2006,yawn-2,10, It was 1978 and everyone in the audience was about to wet their pants,"No, this is not the best film about the Vietnam War; it's hardly about Vietnam at all. The vets who don't like it have it wrong, as do the Vietnamese who found it racist. It could be any war, with any combatants. But because the (primary) victims here are recognizable American archetypes, Americans will feel this in their gut more than any other war film I know of. This is one of the very few post-war Hollywood films that shows a sincere reverence for the lives of small town Americans.",/
1,7 July 2004,MovieAddict2016,10," It's been given a fairly bad reputation over the years - undeservedly so, too. One of the greatest films ever made.","""One shot is what it's all about. A deer has to be taken with one shot.""",r
2,31 January 2010,abelardo64,10, A War Like All Wars A Film Like No Other,"""The Deer Hunter"" is 32 years old. How extraordinary to sit through it now. Walking over the politics that divided , somehow, all of its admirers then. ""Great film but..."" How silly to think of it now. Michael (a sensational young Robert De Niro) is as extreme a character as Rocco was in ""Rocco And His Brothers"" His goodness, the one that was always there but that he discovers under the most horrendous circumstances, underlined by Stanley Mayers's ""Cavatina"" permeates the entire film. I remember thinking, when I saw the film for the first time, that I couldn't or wouldn't spend ten minutes with Michael and his friends, the ones we meet at the beginning of the film but by the end I thought of them as brothers and I loved them. I actually loved them. That in itself is a sort of film miracle. John Savage will break your heart, it certainly broke mine and Christopher Walken is absolutely riveting. How strange to tho think that Michael Cimino, still a young man, is nowhere to be seen. Is still a punishment for ""Heaven's Gate"" and ""Indecent Exposure"" or there is something else we don't know about. The Cimino behind ""The Deer Hunter"" is a true master.",e
3,20 October 2019,richardratliff,10, War is a gamble.,I am a combat veteran of Afghanistan.,v
4,18 October 2017,gab-14712,9, Hard to Watch At Times!,"1978's The Deer Hunter is one of the more polarizing movies to come out during the 1970's. It was the first movie with the deeply controversial subject of the Vietnam War to both become a critical and commercial success. However, there were several people who expressed dissent ranging from its portrayal of the Vietnam War to the controversial involvement of Russian roulette to the singing of ""God Bless America."" I remember not being too impressed with the film the first time I viewed it. I felt it was too long and violent. Years later, I am singing a different tune. It's a difficult film to sit through because of its violence and the effects of PTSD (post-trauma syndrome). But it is a highly engaging and effective film and I regard it as one of the more influential American movies of the 1970's. Not the best, but the most influential because there will be more successful films tackling the Vietnam War on the horizon.",i
5,22 August 2012,ldadvantageinc,10," A veteran's impression of ""The Deer Hunter""","I will not repeat much of the comments in the previous positive reviews, but will stick mostly to how the movie affected me. First off, I am an Army veteran of the Vietnam War. Thus there is much in this picture that deeply moves me. I still can not listen to the theme music piece played by John Williams, ""Cavatina"", without choking up and weeping.",e
6,12 December 2007,bkoganbing,9, One Shot,"I can identify a lot with The Deer Hunter because my mother's family were of Ukranian background and my relatives on her side were a whole lot like the people we see here from Clairton, Pennsylvania. They worked in the same factory jobs that these men do and answered the call of their country at war, but in a whole different time. And the grandson of one my uncles recently served in Iraq as a marine.",w
7,18 January 2004,movieguy1021,10, The Deer Hunter: 10/10,"Most young people today need to learn that Robert De Niro was not just  the person in Meet the Parents or The Adventures of Rocky and  Bullwinkle, but he starred in films like The Deer Hunter, which got him  to where he is today. Not only is he a great actor, he always picks  good films to act in. And with a strong supporting cast, also, you  can't really go wrong with The Deer Hunter.  Michael (De Niro), Nick (Christopher Walken), and Steven (John Savage)  sign up to go to Vietnam. They leave after a farewell party/wedding  party for Stanley and Angela (Rutanya Alda). Once in the  midst of the war, they are forced into playing Russian Roulette and  eventually they escape, but none of them can forget the experiences  from the war.  It's sad to see that Michael Cimino fade from view, because his  direction here is really memorable and it's what holds the film  together. There's about 70 minutes in the beginning of the film that  has nothing to do with the rest of the film, but it gets us to know  these three main characters, and it seems like you wouldn't care if  they even went to Vietnam, because you certainly were intrigued by  these three people. And once they're in the perils of war, you feel  enough for these three basic people to get through the war.  The Russian Roulette scenes are harrowing, even when it's a complete  stranger who has the gun to their head. I read that to get the tension  on set, a live bullet was put into the gun, but it was checked to make  sure that it wasn't the one about to be shot. And, since you've known  these people for 90 minutes already, you obviously didn't want them to  die, making them all the more nervous.  The Deer Hunter is quite unlike another great Vietnam film, Full Metal  Jacket. While FMJ just showed the immediate results, this movie showed  the results immediately and in the future, back at home. This helped  make everything seem more realistic, which it was. For each of the  three main characters, the war has changed them greatly, and none for  the better.  De Niro is great, but the stand out here is Walken, who accurately  takes his role and makes it into something memorable. Thankfully, he  won best supporting actor. Meryl Streep was nominated as a supporting  character, deservedly. However, this movie is not all about the acting,  it's about the feeling you get. As one character says, 'I don't know  how I feel.' That's exactly how you'll feel after seeing this  tour-de-force.  My rating: 10/10  Rated R for strong language and violence.",/
8,25 April 2021,ofumalow,6," Devastating at the time, uneven and problematic now","I hadn't seen this movie since it came out 43 years ago, at which point it seemed overwhelming--not perfect, just overwhelming in its scope and intensity. Of course, I was only 17 then, most of the actors were very new to audiences, and much of the content seemed groundbreaking as well as shocking. Seeing it all this time later, inevitably the credibility of the leads as ""ordinary steeltown folk"" would be a bit overshadowed by their familiarity from subsequent decades of stardom. Plus we've had lots of films about the Vietnam War since, and of course the violence is no longer very shocking.",r
9,21 May 2005,mikeand1-1,10, It's about character development,"A comment re the other comments: A lot of the comments criticize the first half hour as being too long. In my opinion, these comments miss the point of the movie.",w
10,18 January 2006,kevandeb,10, Immense poignancy,"I cannot fathom the absolute horror that war brings to a persons life, but never has a film depicted it more harrowing than The Deerhunter. At 182 minutes, it seemed to fly by, leaving me wanting more and wishing this would not end. all facets are explored, all people's emotions are laid bare, not just the combatants. If we obviously did not know better, one would have to say this was a British film, as it has all the best elements that British movie making displays. i can eulogise for hundreds of lines, but this really is the ONLY American movie i can think of (others? apart from taxi driver) that is RAW. A strange word i know but the movie oozes a raw edge to it. Immense performances from all concerned, and if i had to say, i believe i have not seen Christopher Walken in a better role. One of the very few films i deservedly give 10/10. A must for any collection and a stunning example of every aspect of film making coming together, albeit for a sombre depiction of life.",3
11,30 June 2005,Danherb,9, Touching drama about the ruin of a group of men's friendship by war,"""The Deer Hunter"" is not a film about the Vietnam war, as it is wrongly said in many cases.",1
12,15 December 2006,dbdumonteil,10, to call it masterpiece is to state the obvious,"Of the first two American films about the Vietnam war with a priceless artistic weight, ""the Deer Hunter"" wins hands down over ""Apocalypse Now"" (1979) although Francis Ford Coppola's work is very potent too.",3
