Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,17 October 2005,ebiros2,10, Awesome,"The movie started out pretty innocently, and for the first 20 minutes, I was wondering where the movie was going. Then it started to happen. The horrible cruelty of concentration camps. Oskar Schindler is an example of a man that no matter what the situation, there are people who won't go along with the cruelty of society. I'm sure it took courage to do what he did, because one wrong move and you'll be dead.",/
1,9 September 2013,Fella_shibby,10," Bring me the heads of Hitler, Himmler, Eichmann n Mengele.","Schindler's List is undoubtedly the best Holocaust film ever made. There just isn't anything like this film. Various other films have tried to show the true horrors of the Holocaust, but none of them succeeded the way that Schindler's List did. Schindler's List is a difficult film to watch. When you see the true atrocities of the Holocaust, your jaw drops. When you see the pain that all of the innocent people were going through, the only thing you can do is cry. The true goal of all Holocaust films is to make you feel sorrowful, and Schindler's List did that to me. If you want to see the best depiction of the Holocaust, make your way towards Schindler's List.
Me n my kids cried during the pit scene.",r
2,2 March 2023,EVON1TY,10," Whoever saves one life, saves the world entirely. ⭐","As you may know there is lots of World War II movies. Some of them shows you the worst parts of war, this one is doing something better.",e
3,16 August 2017,padawanmovies,9, What he hell is wrong with the people that commented on the 1st 4 pages of reviews???,"To all the ppl on the 1st four review pages, u r all idiots... To say that this movie's overrated and one sided makes u all seem naive. This is an emotional movie that emphasizes one of the worst periods in the history of mankind. I'm a big list person so anytime there's a list of the 10, 20, 50 best(fill in the blank) I must check it out. Now usually I'll take a gander at something jus so I can try to understand y it's considered great: 2 in particular I'm not a fan of include Pulp Fiction and Annie Hall. But I digress, this movie was well worth the years it took me to finally watch, had it on the DVR since March. All of the acting is absolutely stellar. I would say I hope an amazing story told on celluloid would encourage people to treat one another better, but given the state of things in parts of the world I'll say we're a long way from that. ONE OF THE MOST GUT WRENCHING MOVIES I'VE EVER SEEN",v
4,29 August 2014,mark.waltz,10, You don't have to be Jewish to be touched by this response to inhumanity.,"History has proved that the old saying, ""God makes mad first whom he intends to destroy"", and in the case of Nazi Ralph Fiennes in this Steven Spielberg masterpiece, that is oh, so true. Unfortunately, a lot of innocent people have to pay for that madness in the meanwhile, and that truly adds to the intensity of his madness as it increases and his vileness just gets more and more out of control.",i
5,23 March 2014,SnoopyStyle,10, Spielberg's most important work,"Oskar Schindler (Liam Neeson) is a social climbing opportunistic womanizing German businessman. He charms important Nazis, and gets access to limitless Jewish labor. He gets Itzhak Stern (Ben Kingsley) as his right hand man, and Jewish money to pay for his business. He provides the front. Using black market deals and advantageous connections, he becomes rich and powerful. Stern works tirelessly to save people. Even as the Jews are rounded up to Plaszow labor camp under the command of unstable Amon Goeth (Ralph Fiennes), Schindler is able to befriend the mad commander.",e
6,26 January 2023,Sleepin_Dragon,10, One of the best movies ever made.,"Businessman Oskar Schindler saved the lives of many Jews, by employing them in his factories, this saving them from going to The Concentration Camps.",w
7,10 April 2022,Instant_Palmer,10, Stunning - Spielberg's Greatest Film & Top 💯 All Time Best,"Leaves one speechless - Moving, somber, and horrifying. One of Humankind's worst moments - Something no one should ever forget.",/
8,29 June 2016,troy-manatunga,9," Profound Beauty! If you appreciate art, this is a masterpiece.",SCHINDLERS LIST is Jewel.,r
9,20 June 2017,o-31546,9, Based on a true story,"Schindler's List is one of the most critically acclaimed films in the 1990s. This Steven Spielberg historical movie, based on the life of Oskar Schindler, an ethnic German businessman who saved the lives of more than a thousand mostly Polish-Jewish refugees during the Holocaust by employing them in his factories. ",w
