Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,26 January 2005,slabihoud,10, Let there be color!,Since there are already so many real good comments on this film I want to focus on only one aspect.,/
1,31 August 2012,planktonrules,9, Creepy and engaging.,"It's rather strange that this film was a box office flop, as it's one of Alfred Hitchcock's better movies. The only problem with ""Vertigo"" is that in order to really enjoy it, you need to turn off your brain and just accept the movie. If you think the plot out TOO MUCH, you'll find yourself asking too many questions and not just enjoying the film...like my oldest daughter did.",r
2,19 July 2009,hitchcockthelegend,10, You're not lost. Mother's here.,"John ""Scottie"" Ferguson is a San Francisco cop who decides to quit the service after his acrophobia results in him being unable to save the life of a colleague. Whilst taking it easy he gets a call from an old school friend, Gavin Elster, asking him if he wouldn't mind doing a little bit of detective work for him. The job is simply to tail his wife because she's obsessed with an ancestress who committed suicide, and the wife, Madeline, is showing signs of herself being suicidal. Ferguson tails her diligently and as the tail progresses, Ferguson himself starts to become ever obsessed about the demur blonde Madeline. As the story twists and turns, Ferguson's obsession will have far reaching consequences for both parties... ",e
3,3 December 2005,bkoganbing,9, Detective Obsessed,"Although it got at best mixed reviews when first released, Vertigo is now considered one of Alfred Hitchcock's classic films. A tribute to the players, the director, and the composer of that haunting musical score that will stay with you forever.",v
4,7 February 2008,lastliberal,9, One final thing I have to do... and then I'll be free of the past.,Oscar ignored this fantastic film by Hitchcock starring James Stewart. It gave nomination for Art and Set decoration and Sound. Small acknowledgment of an outstanding film.,i
5,13 October 2013,AaronCapenBanner,9, Mesmerizing.,"Alfred Hitchcock directed this mesmerizing film that stars Jimmy Stewart as John 'Scottie' Ferguson, a retired San Francisco policeman who is approached by old college friend Gavin Elster(played by Tom Helmore) who wants him to follow his wife Madeline(played by Kim Novak) who has been acting strangely. Scottie does follow her, and becomes obsessed by her beauty and behavior, eventually falling in love with her, with devastating consequences. Though that is only the start of the mystery... Barbara Bel Geddes costars as Scottie's friend Midge, still in love with him, despite jilting him years before. Superbly directed and acted film has an ingenious story and stunning imagery, making this an unforgettable romantic mystery, with a stunning ending...though if you have the DVD, watch the extra feature on the lost extended ending, which is fascinating, and changes the tone of the film as a result!",e
6,12 October 2008,rmax304823,8, Only the most shallow man would fail to be impressed by appearances.,"""Vertigo"" is considered Hitchcock's masterpiece by high-brows and viewed as a slow, dull movie by proletarians. Indulge this Olympian generalizations for a moment. ",w
7,1 March 2018,JohnHowardReid,10, A masterpiece of nightmarish excitement!,"At the time of Vertigo's release, very few critics commented upon Bernard Herrmann's powerful music score which contributes so greatly to the movie's overall mood, atmosphere and almost unnerving suspense. ",/
8,12 August 2001,dbdumonteil,10, Among the very best.,"In Boileau-Narcejac's French novel ""D'Entre les Morts""= from among the Dead""),the revelation only comes in the last pages,but Hitchcock lets the cat out of the bag long before the end. Boileau-Narcejac's novel is a pure detective story,but the Master wanted more:the movie already outdistances the book in a first part visually wonderful,with memorable scenes,wrapped in mystery ,such as the one with the sequoia,symbol of immortality or the one down by the sea,to rival with the best romantic movies of all time.In the second part,Hitchcock explains in the Truffaut's book,we know but Scottie( James Stewart) does not .And he tries to recreate a dead woman,to transform Judy into Madeleine.This folie à deux ends where the first tragedy occurred ,which gives the movie a strength that the book had not.Read it and you'll realize how its end ,speaking in terms of cinema,had to be modified for the screen.That's Hitchcock's genius.",r
9,13 August 2016,ThomasDrufke,10," Karma, Deception, and Obsession.","Alfred Hitchcock wowed audiences for decades with an immense talent of deception and artistic flare, and perhaps no movie was a better showcase for those talents than his 1958 hit Vertigo. An impressive tale about obsession.",w
10,21 November 2009,AlsExGal,10, This film takes repeated viewings to really appreciate it...,... and perhaps that is why it bombed upon initial release.,5
11,13 February 2000,Quinoa1984,10," Favorite Hitchcock and likely one of the most challenging, harrowing great films ever","Alfred Hitchcock's Vertigo is probably his most discussed film, and I believe that since it is so controversial- and yet living up to such hype by having a level of mystery, daring and true human interest that is open to interpretation- it gets better with every passing year. It deserves more credit than it gets (like most of Hitchcock's films) and though it is well credited with it's intrigue, I think that Psycho (not that it is a bad film) gets more credit than this film should get. There are at least a few reasons for this, arguably of course. One, the acting is spectacular including James Stewart in one of his very best turns as the weary, emotionally perplexed and obsessed cop with a slight fear of heights and a 'thing' for a certain 'dead' woman. Hitchcock's leading lady here Kim Novak, is equally interesting and ambiguous as the leading lady (or ladies). ",2
12,24 November 2009,TheLittleSongbird,10," A thriller of undeniable complexity, and impeccably acted and directed-Hitchcock's masterpiece!","I am a massive Hitchcock fan; this great director ain't called the Master of Suspense for nothing. Anyway, Vertigo is one of the truly great Hitchcocks. It is a thriller of undeniable complexity not only in plot but also in characterisation. It is implausible too i give you that. I will admit the first time I saw this, I didn't understand this, then again this is the sort of film that you need to see more than once. In all departments, this movie is a masterpiece and my all time favourite Hitchcock. For those who say this is the worst movie ever, you would beg to differ if you saw genuine crapfests like Disaster Movie, Home Alone 4, NeverEnding Story 3 and Superbabies:Baby Geniuses 2. They are a trillion times worse than this without a shadow of a doubt.",7
13,14 May 2016,filipemanuelneto,10, One of the most surprising films I've seen.,"Scottie Ferguson is a police officer, retired because of fear of heights. His life changes when he accepts to watch a woman at the request of her husband, who suspects that his wife has been visited by a ghost. Directed by Alfred Hitchcock, has script Alec Coppel and Samuel A. Taylor, with the participation of James Stewart and Kim Novak.",2
14,26 September 2013,BA_Harrison,5, I love Hitchcock but...,"Although often regarded as one of Hitchcock's finest thrillers, Vertigo failed to impress me as much as I had hoped. There are the expected Hitchcock visual flourishes (plus one really trippy scene that is downright freaky), the dreamlike score by Bernard Hermann is suitably eerie, and Barbara Bel Geddes plays a fun character, but most other aspects of this so-called classic left me cold.",2
15,17 February 2000,krumski,5," SPOILERS GALORE! If you've never seen the movie, DON'T READ this review!","I suppose this is some kind of masterpiece, what with the absolutely overwhelming photography, powerful score and all - but I must say I just couldn't get into it. We're made to be patient through a looooong exposition (Scottie following her around), which I didn't mind at first because I said, ""Hey it's Hitchcock - the payoff will be worth it."" Well, it wasn't. Scottie's obsession was inexplicable to me (and, yes, I realize that Kim Novak is hot); maybe the writing was weak in not giving him a strong and clear enough motivation for going over the edge (what were his other romantic attachments like? Why is *this* one in particular so extremely excessive? Knowing these things would help) or maybe it's just that I can't buy Jimmy Stewart in this type of role. He projects too much groundedness, dignity and common sense for him to be convincing as this kind of obsessional basket case (the scene with him in the asylum was particularly embarrassing and unconvincing; he doesn't look ""crazy"" - he looks like Jimmy Stewart just refusing to say his lines). Maybe an actor a bit more rumpled and on the edge - Robert Mitchum, say - could have brought the part off better (and I'm a *huge* Jimmy Stewart fan, just so you don't get the wrong idea).",6
16,5 May 1999,Hitchcoc,10, Makes the Brain Spin,"Having experienced vertigo myself, the dizzying, confusing, frightening mind spinning, ""think you're going to die"" kind of feeling, I can empathize with the Jimmie Stewart protagonist.  Make him a hero who has enough hangups from trauma to last a lifetime.  Put into the plot a series of misrepresentations of fact and you have this movie.  I think what I like the most is that we have this man trying to put his life together, but he doesn't know what to do to make it work.  He also is deep in depression, caused by personal loss. Along comes Kim Novak, the carbon copy of his lost love.  He falls into a sick reconstruction of his past life, but the fear is still there and won't go away until he is able to confront his ghosts.  Once again, the Hitchcock hero fumbles his way along, trying to discover while being pursued.  There is that threat there all the time.  The cinematography is excellent.  The method used to show the feeling he gets when he looks down, is pure genius. The framing of scenes. The stairway in the tower. The scenes by the bay. Novak's ""coming out"" is really spooky, so captivating and yet unsettling. The true test of a movie, for me, is always going to be that there is something to see after several viewings.  Hitchcock's films, especially the really good ones, allow me a lifetime of rediscovery; I feel that directors like Hitchcock are a gift to humanity.  This film is one of the reasons I feel this way.",0
17,5 December 2009,claudio_carvalho,10, A Masterpiece of Obsession,"While pursuing a criminal on the roofs of the buildings in San Francisco, Detective John ""Scottie"" Ferguson (James Stewart) has a severe trauma when his partner falls off the roof trying to save him. He suffers from acrofobia and is retired from the police force, since his fear of heights provokes vertigo on him. He is contacted by the former mate from college Gavin Elster (Tom Helmore), who runs the shipyard of his wife Madeleine Elster (Kim Novak), and Gavin asks him to follow his wife. Gavin explains that she has an odd behavior and seems to be possessed by the spirit of Carlotta Valdes, having blanks of memory every now and then and presenting suicidal tendencies. The skeptical Scottie follows the beautiful blonde on the next morning: she buys some flowers and is drawn to places from the past related to Carlotta Valdes, visiting her grave in an ancient cemetery; staring her portrait for a long time in a museum; and finally moving to the Hotel McKittrick where Carlotta lived. In the end of the day, Scottie reports his findings to Gavin. When Madeleine jumps in the water of San Francisco Bay, Scottie rescues her and brings her home. He has a crush on her and they fall in love for each other. When they go together to a mission outside San Francisco, Madeleine runs to the bell tower of the church and the disabled Scottie is unable to reach her; she jumps off the tower, committing suicide. There is a trial and the traumatized Scottie is interned with a breakdown. When he is discharged from the hospital, he meets the brunet seller Judy Barton by chance and her resemblance with Madeleine is amazing. Scottie approaches to Judy and expect to have a second chance in love until he sees a souvenir of a killing. ",/
18,18 October 2004,slokes,9, Falling In Love...Or Just Falling?,"Alfred Hitchcock made a career movie with ""Vertigo,"" one of several career movies of his, but maybe the most enduring. On the surface, it's a love story with a mystery, bright and shiny, maybe his most sumptuous feast of the senses. But it has a cold heart.",?
19,9 February 2009,Nazi_Fighter_David,10, A fascinating psychological suspense masterpiece which worked on the audience on several levels...,"Scottie Ferguson is a retired detective with a paralyzing fear of heights He had quit detective work after he sees a colleague falling to his death, and nearly he looses his own life at the same time while chasing a crook across some San Francisco rooftops ",r
