Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,27 November 2011,OttoVonB,10, One of the Most Unique and Beautiful Friendships ever Committed to Film,"Do not look at this through the prism of ""Foreign Films"". You'd be wasting your time and miss something far too important.",/
1,17 January 2012,ElMaruecan82,10, Touché ...,"In less than two months, ""Untouchable"" became the second most successful French film by number of spectators, such an event by itself that people went then to see it, not because they thought it was good but to see what was so good in it: that's the virtual circle of success. ",r
2,11 December 2011,jvdesuit1,10," A magnificent, sensitive movie","It's not because I'm French that I appreciated this movie which I've seen twice. Too give the really infamous appreciation of the reader from Toronto to the French public, qualifying us of a segregationist country is difficult to gulp especially coming from north America which has not a very glorious past on the matter even in recent years. Perhaps the commentator should see the movie ""The help"" to refresh his memory... But what I'd like to say here apart of praising the fabulous interpretation of both leading actors is to remind that this is a true story, it did not come out from the directors and scriptwriter heads.",e
3,10 January 2012,n-buenning,10, Just excellent,I am now trying to find words to describe this movie for an hour. I couldn't.,v
4,28 December 2011,bakor24-1,9, A Film of True Humanity : Comedy in the Face of Hardship,"It has been 9 weeks now since Intoucblaes has come to the movie theaters. I did not give it much thought at first, but the universal acclaim I have heard convinced me to go see it. I don't over-stating the universality of the acclaim, people of various races, classes, colors & countries told me it was a must see. I had no expectations, and I was floored. ",i
5,3 June 2012,jessie-39,10, One of the best movies ever seen in 50 yrs,"This is one of the best movies we have ever seen. My wife and I see 3 movies a week on average over The past 40 years. Saying it is one of the best is quite a statement. This French movie with sub titles is simply Spectacular. The storyline involves a man crippled in An accident, his wife has passed away and he cannot Find adequate help which he requires 24/7. Until he meets the Most unlikely of people to care for him. The acting by Omar Sy & Mr. Cluzet Is the very best. The movie has everything you want in a Movie. It has compassion and is spectacularly Funny. Run to see this movie. The two prime Actors must be recognized for a whole host Of awards. Wow!",e
6,10 January 2013,claudio_carvalho,9, Beautiful and Uplifting Story of Friendship,"In Paris, the aristocratic and intellectual Philippe (François Cluzet) is a quadriplegic millionaire that is interviewing candidates for the position of his caretaker with his red-haired secretary Magalie (Audrey Fleurot). Out of the blue, the rude African Driss (Omar Sy) cuts the line of candidates and brings a document from the Social Security and asks to Phillipe to sign it to prove that he is seeking a job position to receive his unemployment insurance.",w
7,20 November 2011,jo_steins,10," Wonderful, funny and touching","Well, I've just got out of the theater and i must say that all the reviews are right. this is an amazing film! The actors are simply the best, Omar is not only a great comic but also a great actor.",/
8,3 April 2012,kosmasp,9, Best friends,"A comedy like that is tough to master. Balancing the funny and the dramatic stuff and still keep enough character development inside. And while I wouldn't say that both characters really redeem themselves (wholly), it gives them nice touches. Touches that include quite a lot of non-PC behavior (be alert and do not watch, if you are sensible to that sort of thing).",r
9,19 October 2011,vincent_spano,8, a touching yet funny French comedy,"I have seen this movie tonight at a preview session as the official french national release is set on 2011, November 2nd. Eric Toledano and Olivier Nakashe, accompanied by the lead actor Omar Sy were meeting the audience and cheerfully answering questions.",w
