Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,2 March 2018,TheMovieDiorama,10, Whiplash is a modern day masterpiece.,"I don't say that often, in fact...never. There aren't enough superlatives to describe the amazingness of Whiplash. Damien Chazelle crafted not just a tense dramatic piece of cinema, but a thematic experience with layered subtext. Andrew is a college student who simply wants to be the best drummer. Terence Fletcher, a renowned teacher at said college, sees potential in Andrew and chooses him to be the drummer in his band, at the expense of emotional distress. This is a brutal character study, absolutely savage. This is about Fletcher as much as it is about Andrew. The psychological battle and the consequential emotional turmoil that follows. I've never been so compelled in a drama ever (and this is my 5th viewing). The strive for perfection amidst the continuous passion that elevates Andrew as a person and how Fletcher uses his passion in attempt to obtain the perfect musician that Andrew hopes to be. The struggle for perfection is difficult in any profession, there is no right or wrong way to achieve this; the question is: ""is there a line between gently pushing someone towards a goal or inflicting emotional torture upon them?"". Fletcher leans towards the latter, so much so that he actually imposes physical damage to Andrew to test whether he will be discouraged from the harsh reality of perfection or not. The internal struggle in Andrew is excellently conveyed, you can see his passion seeping through the blood, sweat and tears and yet mentally unable to cope with Fletcher's methods. A simple story, but executed with such ferocity and intelligence that it just feels fresh. Damien Chazelle directed the heck out of this. Quick cuts between the musical instruments and nice long takes of Miles Teller and J.K Simmons duelling in anger. Speaking on Simmons, the best performance I've seen in years. Both complicated and terrifying simultaneously, he deserved every award. Teller was near perfect as well, conveying innocence and vulnerability. Look, I can talk about Whiplash forever. It's a masterpiece. End of review.",/
1,18 July 2015,planktonrules,9, This is review #572....so is there really any need to say more?!,"""Whiplash"" is a terrific film...no doubt about that. Normally, I'd spend several paragraphs talking about how great it is except that I am the 572nd review and many people have already gone on and on about what a terrific film it is....so what can I add?! It's the 40th highest rated film on IMDb after all! ",r
2,23 October 2014,Sergeant_Tibbs,10, An important hardened lesson in resilience and when to stop measuring up to your mentor. Whiplash is a captivating study of ambition.,"Taking the festival circuit by storm since its Sundance premiere in January, Whiplash is starting to feel like the underdog that could go far with its crowd-pleasing intensity. On the surface, it's a gritty story about a brutal student-mentor relationship that oversteps boundaries. Underneath, it's a piercing examination of the psyche of unbridled ambition. Whiplash is a film that stops at nothing. As a result, it's the best film I've seen in years, and I say that without hesitation. This is a film that resonates on every single level and every moment counts. If writer/director Damien Chazelle was striving for greatness as much as his protagonist, then he has achieved it. ",e
3,26 October 2014,ferguson-6,8, Just My Tempo,"Greetings again from the darkness. The pursuit of greatness is not always pretty. No matter if your dream is athletics, dancing, music or some other; you can be sure hard work and sacrifice will be part of your routine. You will likely have a mentor, teacher or coach whose job is to cultivate your skills while pushing you to new limits. This film questions whether the best approach is intimidation or society's current preferred method of nurturing.",v
4,22 October 2014,bbickley13-921-58664,9, Intense,This movie was far better than the trailer made it look.,i
5,21 August 2022,troy-daniel-bush,10," ""I'm exhausted!""",I felt like I had a workout after watching this. Something that I think everyone thought after watching it.,e
6,28 October 2014,drakula2005,9," Tension, tension, tension!","After seeing Damien Chazelle's Whiplash - a film the young up-and- coming director wished to do for some time now - being so beautifully realized and brought to life by everyone involved in the project, I was glad and relieved, mainly because I have seen the short film, which was pretty incredible.",w
7,6 January 2023,Sleepin_Dragon,10, A strive for perfection.,"Music teacher Terrence Fletcher spots something in raw, but talented young drummer Andy Niemann, desperate to get to the top, Andy makes several sacrifices, to strive for greatness.",/
8,3 November 2019,xiaohei-80112,10, Astonishing performance,"This is a very unique movie even u are not into jazz but still can drew u into the atmosphere of it without moving your eyes.My eyes were dry after seeing this movie.Miles and Jk portray it flawless .Jk remind me of ex employer will use your weakness background against you if anything go wrong.Director done very well using camera angle to capture the face of the actor to create the tension in it.Have to admit I hate Fletcher brutal teaching, but most of the music icons were pushing to their limit practice to perfectly everyday,so he is not entirely wrong also.just my fantasy,it will be great if this movie can use 120fps technology to capture the facial expressions of two lead actors.",r
9,16 February 2017,TheLittleSongbird,9, Blistering,"Nominated for five Oscars, and winning three (editing, sound and Best Supporting Actor, with nominations for screenplay and Best picture), 'Whiplash' is positively blistering, with a darker and more realistic view on aspirations and done in a way that's tense and inspirational.",w
10,27 September 2014,ClaytonDavis,9, A pair of outstanding performances by Miles Teller and J.K. Simmons embody Damien Chazelle's piece of perfection...,"When it comes to cinema, there are often little gems in a sea of bigger spectacles, that can break through in the most proficient way. Last year, I pleaded to the entire film universe that discover and understand ""Inside Llewyn Davis"" from the Coen Brothers after seeing it for the first time at NYFF. This year, I've seem to already come to terms that the next film that will utilize all my energy and resources this year will be Damien Chazelle's highly intense psychological drama ""Whiplash."" An impeccable and tightly wound experience that brings your anxiety to a feverish level. As small, and utterly different as I'm about to compare, I haven't felt this uneasy with a film's tension since Paul Greengrass' ""Captain Phillips,"" coincidentally also was a NYFF title. Two other similar traits that embody the two are the intense and completely submersible performances that inhabit them. Stars Miles Teller and J.K. Simmons are absolutely astonishing, featuring two of the year's very best turns.",5
11,6 January 2015,WalterSoprano,10, Wow just wow. Easily one of the greatest films of the year,"There is so many excellent great things to say about this film. To start off I will say it may be slow and to different for some to enjoy and so that I warn you. Now I will say that I can not express the idea enough of how surprising this film is. Jk Simmons does an outstanding performance as the highly unpredictable hair trigger tempered teacher Fletcher, Miles Teller an actor who I've only seen in mediocre comedies also shines in a breakthrough performance as the ambitious drummer Andrew. The performance are outstanding and that's just the tip of the iceberg.",8
12,28 January 2014,Gbert254,10, An incredibly powerful film!,http://switchingreels.com/2014/01/28/sundance-review-whiplash/,3
13,5 March 2015,SnoopyStyle,8, terrific performances,Andrew Neimann (Miles Teller) is a first year student at the prestigious Shaffer Conservatory. His father Jim (Paul Reiser) is a sweet high school teacher. He gets picked by Terence Fletcher (J.K. Simmons) to be the backup drummer in his winning Studio band. He gets enough confidence to ask out Nicole (Melissa Benoist). Fletcher is a cruel manipulative dictatorial teacher.,5
14,16 February 2019,proud_luddite,7, A Psychological Horror Story,"In New York, a young jazz drummer (Miles Teller) is enrolled in a prestigious music school. His ambitions are tested and manipulated by a sadistic, perfectionist music instructor (J.K. Simmons).",0
15,10 February 2019,vithiet,7," Intense movie, phenomenal J.K. Simmons but unrealistic","This movie should please a wide audience of non-musicians. I am not a musician but I've seen movies based on things I know very well and it's always exaggerated and unrealistic and it usually bugs me more than other people; I can easily imagine how real musicians may dislike this one.
The directing and acting are great (although J.K. Simmons steals the whole show) as are cinematography and sound. However the whole premise is wildly unrealistic, and the moral of the story ""to be great you need to be pushed beyond your limits"" is a tired trope that has often been done in a better way than here.
On a personal note, I hate bullies with a passion and there can never be a ""but it's for a good reason"" excuse for bullying.",9
16,1 June 2022,jordyntsmith,8, The Conflict is Better than any Superhero Movie,The story of a jazz drummer who is pushed to the brink by sadistic music conductor.,4
17,23 March 2015,evanston_dad,9, A Portrait of the Artist as a Crazy Young Man,"I work with a guy who studied music in school and had friends who went the music conservatory route, and according to him ""Whiplash"" is authentic. To which I say...Oh my God! Because this film is a nightmare.",/
18,6 November 2014,Turfseer,4," Only neat music and cinematography make this tawdry, melodramatic tale of sadomasochistic relationship between jazz conservatory student and teacher, worth watching","In the 70s, a new genre of films aimed at black audiences emerged entitled, 'Blaxploitation'. The genre primarily glorified stereotypical ""criminal"" behavior in black neighborhoods. Now with Damien Chazelle's, 'Whiplash', he's invented a new genre primarily for a large coterie of Caucasian males: 'Jazzploitation', set in an elite jazz program at a Julliard-like school of higher musical instruction. Both white liberal film critics and martial arts enthusiasts alike, will enjoy this exercise in sado-masochistic shenanigans as evidenced by the plethora of rave reviews now gracing a multitude of web pages over the internet.",?
19,11 January 2015,bob-the-movie-man,10, Beat a path to the cinema to see this,Whiplash is simply astonishing.,r
20,27 March 2015,Theo Robertson,7, Intense But The Hype And Awards Possibly Work Against It,"Do you know who I am ? "" asks the film's protagonist as the audience are introduced to him ",e
21,19 October 2014,billygoat1071,10, Bleeding Passion,"People may quickly picture Whiplash as the Full Metal Jacket of jazz band: there's Fletcher militarily pushing his student, Andrew, to get his task right. The hatred towards the mentor becomes the character's motivation of achieving his orders perfectly; and the similarities could end there. Although this is a very different context; the harsh, shout-y discipline and sometimes its negative human effects are quite reminiscent. But without any grim twists, this movie just sticks directly to one's determination of being successful to his job, either for the instructor or for himself. This is one rough environment that takes you to a relentless study of intense rehearsals and intense discipline until it reaches to the point where their goals lose out of control. And just like those sequences, Whiplash keeps most of the viewers from their comfort zone, and leads them to rewarding results.",f
22,30 March 2021,technicallytyguy,9, Extremely powerful but too intense,"I really do love this movie. It is powerful in the main character's overwhelming passion and drive to become the greatest drummer to ever live. I really do have an issue with the message though. The extreme levels of intensity that the music instructor Fletcher uses really does more harm than good for Andrew. He breaks up with his girlfriend, almost dies in a car accident, and gets obsessed in his single minded pursuit of perfection. It is an extremely interesting character portrait, but I don't think that it brings along a necessarily good message, but it is definitely a powerful one. It does bring along an extremely important psychological question: should you let your passion drive you to the brink of insanity in order to achieve your goals?",_
23,26 January 2023,arthur_tafero,6, OK Social Drama - Whiplash,"So, you wanna be the best in the world at what you do? You have to go the extra mile and work like a dog until you become the master of your domain. (apologies to Seinfeld). Miles Teller is a young drummer who wants to be the next Gene Krupa or RIngo Starr. Good luck with that idea. J. K Simmons tells him, no problem; all you have to do is sacrifice yourself on the altar of unrelenting practice, practice, practice. Play until you bleed, baby. And that is all there is to it; much easier said than done, however. We see the trials and self-doubts of the young Andrew, and the fierce determination of Terrence Fletcher, as he tries to make a star out of Andrew, despite having been a never-was himself. Terrance lives out his fantasies by torturing Andrew, but in a constructive way. Entertaining.",=
24,14 March 2022,Stefan_Loves_Movies,9, WOW...,Whiplash (2014): ~1h 46m movie with 3 Oscars awarded.,t
25,21 December 2015,Prismark10,5, I like to teach the world to play,"Good Job are the key words for Whiplash. J K Simmons psycho jazz teacher, Terence Fletcher recounts a story about Charlie Parker and how doing a good job was not enough to uncover a genius. There are no two words in the English language more harmful than 'good job' according to Fletcher.",t
26,9 September 2014,gregsrants,9, Fantastic,"There are multiple reasons why Whiplash comes to the Toronto International Film Festival with palpable anticipation. The film was showcased at this year's Sundance Film Festival where it went on to both the Audience Award and Grand Jury Prize award for best dramatic film. Actor Miles Teller was recently named as one of Variety's 10 Actors to Watch and J.K. Simmons, well, he's J.K. freakin' Simmons. So the gathering audience at the afternoon screening was primed, ready and eager for the expected greatness about to be screened.",_
27,10 August 2015,lee_eisenberg,10, music and obsession,"J. K. Simmons has played a number of stern, demanding characters during his career. But he gets the role of a lifetime in Damien Chazelle's ""Whiplash"". He plays the brutal instructor of a college jazz band. This man resorts to methods that lapse into abuse. In showing these overly aggressive teaching methods, the movie poses the question of what is the right thing to do when encouraging students to succeed. Brutality is understood to be the only choice when readying cadets for a war zone, but when teaching college students how to play jazz? Simmons won a well deserved Oscar for his performance. Although it was for Best Supporting Actor, the movie belongs to him. Miles Teller's performance as the student is truly secondary to Simmons. His character is one of only a few movie characters in history who made me feel as if I was walking on eggshells.",u
