Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,10 July 2005,planktonrules,9, exceptionally well made,"Although I'm not the biggest Ingmar Bergman fan, I have really enjoyed some of his movies--especially the one that are not so pessimistic. Although the underlying theme of this movie is aging and impending death, the movie is NOT all pessimism. If it had been, it would have lost my interest early on. Instead, I really enjoyed the film--particularly the fine acting by Victor Sjöström as Professor Borg.",/
1,21 June 2004,DennisLittrell,10, When film was an art form,"In this symbolic tale of an old man's journey from emotional isolation to a kind of personal renaissance, Ingmar Bergman explores in part his own past, and in doing so rewards us all with a tale of redemption and love.",r
2,20 September 2006,evanston_dad,10, Stunning Bergman Masterpiece -- Maybe His Best?,"""Wild Strawberries"" profoundly moved me. The theme -- an old man coming up fast on death and wondering if his life has had any meaning -- is an old one for Bergman, and one which he explored ad nauseum throughout the subsequent decades. But here Bergman approaches the question with an uncharacteristic optimism and sense of hope. For once, he seems to come close to finding some peace with the unknowns of life that obviously preoccupied him as an artist, and the movie he gives us is sad but immensely warm; resigned but calm and reflective.",e
3,7 July 2005,Galina_movie_fan,10," One of Master's Most Optimistic, Profound, And Warmest Films.","I first saw ""Wild Strawberries"" many years ago at one of the special screenings in the small theater in Moscow. It was the first Bergman's film I ever saw. This picture is amazing in its emotional impact and in my opinion is one of Bergman's most optimistic, profound, and warm films.",v
4,12 January 2004,jonr-3,10, A cathartic viewing experience,"I'd seen ""Wild Strawberries"" as a college freshman when it was first released, and knew right away I'd be a Bergman fan from then on. ",i
5,29 December 2006,sol-kay,8, One last time around the strawberry patch.,"(Slight Spoilers) A man's life journey is all seen through a number of dreams and hallucinations on his trip, some 400 miles, to the town of Lund where he's to receive a lifetime achievement award for his 50 or so years of service to his fellow man as a doctor and a professor of medicine at his alma mater the Cathedral of Lund.",e
6,24 December 2006,Vincentiu,10, The only reality,"A gorgeous movie about memory and hope. A trip and a form of catharsis. It is not a story of an old man who discovers images of his past, about a marital crisis or some teenagers. It is not a confession. It is a mirror. The same crisis is the ""gift"" of everybody. The same silence, fear and desire are the refuge of a man, a woman, a n American or Irakian. At a moment, at a single moment, you discover your past like only reality. Like your real skin, your only voice, your essential eye. It is not strange. We are the fruits of some experiences. Some books, some people, a family, a child or a wife are the Ganymedes of our hours, our evolution, our death. Our freedom, our gestures, our smile are the trees of their presence. Isak Borg is the image of a age. Our age who grow-up in the noise of every day. The isolation is only way to be yourself. The way to Lund, the relation with Agda, the empty attitude, the projection in Evald, the words are the symbols of a clock who is seed of our conscience. Childhood is only reality of our life.",w
7,20 August 2012,ma-cortes,7, Emotional and symbolic masterpiece by the genius Ingmar Berman,"¨ Wild strawberries¨ is a spellbinding masterpiece by the great Ingmar Bergman with brilliant acting by Victor Sjostrom (Sweden first movie filmmaker and star , best known for his silent work , who died three years later , aged 81) and awesome cinematography by Gunnar Fischer ; showing a rich tapestry of fears , dreams , anxieties , memories and occasionally over-symbolic frames . This Bergman's landmark film is developed in Sweden , after living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence , taking place a sentimental voyage . This the story about an aging scientist on the rout to accept a prize and he must come to terms with nightmares , surrealist dreams and guilt .",/
8,24 January 2000,iam-1,8, Bergman knows how to make you think.,"Bergman has been seen by many as being a depressing film makes, who speaks above the heads of most people.  Thank God someone does! In this piece of genius, we are asked to consider who God is; what makes a life worthwhile; and whether human nature alters through the generations, or is it just the costumes that change?  As usual, the answers are to be provided by the audience.  We must chose for ourselves what we think is 'right' or 'just'. Bergman uses the usual pattern for him - a man is on a journey (life) and meets people who are going along the same road (friends and family), and they all head toward the end of their trip (death).  They stop in for obligatory visits with relatives and for food (as we all do), receive an honourary degree (fame & success?), and then send the children off to a party held in our honour that we do not attend (funeral).  What happens along the way is important, but we always end up in the same place - the end. Wonderful editing techniques, good story, good images, fantastic acting, and more ideas and questions to ponder than one film can hold - or so you thought.  It's only after the film ends that these ponderings come to you. During the film, you simply watch a man travel from his home to another city, but this is far from what the film is about. See this film once, think about the questions it poses, then rewind and see it again.  You will be rewarded for doing so.",r
9,28 August 2006,thxrvg,9, A Magnificent Film,"There are moments in Ingmar Bergman's Wild Strawberries where you become so enthralled by an image that you want to dwell on it, until you realize that there are so many such moments that to do so would be to stop at practically every scene in the film. The sheer technical and visual skill that Bergman shows here is unsurprising, insofar as we ought to expect this from him, but it is dazzling, even when it is displayed in a film that, on the surface, has a rather tame premise. An old man, Professor Isak Borg (played to perfection by Victor Sjöström), is driving to Lund, where he is to be honoured. His son's wife, and three spirited young people, two men and a woman, accompany him. They also pick up an utterly depressed couple along the way, only to drop them off when they begin to fight. Interspersed with the present actions are the old man's dreams, and flashbacks to his youth.",w
