Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,16 November 2009,Lechuguilla,10, Paint It Black,"""With flowers and my love both never to come back ... It's not easy facing up when your whole world is black"". So sings the man whose throbbing song marks the film's end, merciless lyrics to describe thematically a story that is as wrenching as it is mesmerizing.",/
1,1 July 2009,planktonrules,9, Very well made--tough to watch.,"Warning--This movie is NOT for young kids or those who do not wish to see violence and adult content, as it's rather brutal and the language is pretty rough. Now I am not complaining about this, but this is clearly an adult film intended for adults. It's hard to really do this sort of film without making it this intense--just be forewarned. In addition, this is a very tense and unpleasant sort of film--be aware of this before watching.",r
2,14 October 2015,ivo-cobra8,10, 'Born To Kill' - The best Vietnam war movie of all time,"SPOILER: Full Metal Jacket is a 1987 realistic Vietnam war film and is one of the best films of the 80's ever made, directed and produced by Stanley Kubrick. The screenplay by Kubrick, Michael Herr, and Gustav Hasford was based on Hasford's novel The Short-Timers (1979). Full Metal jacket (1987) was Nominated for 1 Oscar. Another 7 wins & 9 nominations. It is one of my personal favorite war movies. I love this movie to death. ",e
3,16 September 2013,AaronCapenBanner,7, R. Lee Ermey.,"R. Lee Ermey dominates this Stanley Kubrick directed Vietnam War drama, as he plays profane, no-nonsense, ultra tough Gunnery Sergeant Hartman, who belittles, browbeats, and insults the marine recruits in brutal boot camp training. Vincent D'Onofrio plays a slow-witted recruit who gets it the worst from Hartman, until he finds out that he is quite good at shooting... Mathew Modine plays ""Joker"", since he has an overt sense of humor that also captures the attention of Hartman, whose relentless, unmerciful verbal attacks take their toll in ways he didn't imagine... Film then picks up later, as Joker is a war correspondent for Stars & Stripes, who witnesses first hand the insanity of Vietnam...",v
4,9 September 2013,tr91,6, A film of two halves,'Full Metal Jacket' was a film that I had been meaning to watch for a while after all the good stuff I had heard about it.,i
5,10 December 1998,Peach-2,10, Kubrick is genius.,"Stanley Kubrick's Full Metal Jacket seems like an uncompleted film, but to me that's poetic justice to one of America's uncompleted wars. The film is harsh and doesn't turn a blind eye to the atrocities of Vietnam. Kubrick is the true master of atmosphere in film. He makes you feel like you are there. Friends of mine have commented that they only like the first half of the film and that the second half falls apart. I believe Kubrick sets up the first half to be an understandable reflection of the terror that would eventually enter the lives of these soldiers during war. It is easy to identify with being picked on because we all have in some way. Not all of us, on the other hand, have fought in war. Kubrick is the master.",e
6,22 December 2006,brujay-1,8, The movies finally got Parris Island right,"Though I've read only a couple of dozen of the nearly 500 comments on this film, I didn't see any from ex-Marines who'd had the Parris Island experience. I went through PI in 1957. The time period in the picture would have been about 1967, since the in-country sequence includes the '68 Tet Offensive. Little had changed in those 10 years except the switch from M1s to M16s. ",w
7,7 June 2017,heisenberg12,8," Very good movie- A film of 2 halves: the first perfect, the second lagging behind but good enough",I finally got around to watching this for the first time. ,/
8,18 July 2006,ReelCheese,8, Fascinating Despite Come-Down,"The first half of ""Full Metal Jacket"" is so intensely entertaining that director Stanley Kubrick can be forgiven for the slight come-down that follows. The opening scenes draw us into the strict world of ""maggots"" training to join the ranks of real men, otherwise known as Marines. We see the characters humiliated, yelled at like children, beaten and, in one tragic case, broken down. It's an unpleasant yet fascinating place to visit from the comfort and safety of our living room couches. Yet once the action shifts to the Vietnam War, when you would expect even better, something is lost. The characters seem less real and the atmosphere less intriguing. Overall, however, there aren't many faults to find with this effort, but be forewarned that it's certainly not for younger viewers.",r
9,28 April 2002,Agent10,10, Kubrick's version of Vietnam,"Stanley Kubrick always managed to bring something new to his palate whenever he made a film. He brought dark comedy to the screen with Dr. Stranglove, an epic story with Spartacus, and a film more important for its efforts than box office potential in the film Paths of Glory. This is what makes Full Metal Jacket so entertaining.",w
