Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,25 July 2006,Flagrant-Baronessa,10," A glorious, timeless nightmare","Dark, deep, uncertain, unsettling  imagine the most beautiful nightmare you've ever had  this is Blade Runner (1982).",/
1,11 August 2008,Nazi_Fighter_David,8, An incredibly beautiful-looking film as one would expect with director Ridley Scott,"But it's almost like an art movie, the first science-fiction art film It's a futuristic film beautifully put together It's really impeccably made by one of the great visionary directors And you really saw a future that looked very different from the future you had seen before A future that looked very believable like the visual-effects shots of the flying car going over a futuristic city The fight sequence doesn't prepare you for the traumatic emotional side that there is in the film, it leaves you sort of broken ",r
2,18 February 2021,snoozejonc,10, Do Welshmen dream of inflatable sheep?,Rick Deckard is given an assignment to 'retire' several biologically engineered fugitives.,e
3,10 May 2020,imuckenschnabl,10, Best movie ever,Just my personal opinion. Everything is perfect about this movie. I saw the movie the first time when I was 12 and it was mind blowing for me. 38 years later I feel the same about this movie. Timeless and beautiful. For me 10/10 with a star and smile,v
4,20 August 2018,SantiagoDM1,10," All those moments will be lost in time, like tears in rain...","Blade Runner describes a future in which, through genetics, artificial humans are manufactured and called ""replicants""; employees in dangerous jobs and slaves in the outer colonies of the Earth. Made by Tyrell Corporation under the motto ""more humans than humans"" -especially the ""Nexus-6"" models- not only resembles humans, they are far superior physically.",i
5,5 August 1999,Ivan-28,9, Still outshines the others 17 years later,"Blade Runner belongs on a list of 2 or 3 movies that had me walking out of the theater in a stupor as though hit by a sledgehammer, the first time I saw it. It fulfills one of my requirements of great films in that I walked out of the theater a different person than when I entered. And it fulfilled another requirement in that it improved with repeated viewings.",e
6,7 December 2008,ccthemovieman-1,9, New Blu-Ray Disc Made Me A Blade Runner Fan,"Sometimes you just need to give a film a second chance, even if it is 20 years later! Only some rave reviews about the picture quality of this new 5-disc ""Complete Collector's Edition"" enticed me to watch this again. Wow, I am glad; this was a very entertaining and a tremendous visual and audio treat.",w
7,1 January 2011,TheLittleSongbird,10, One of Ridley Scott's best,"Blade Runner is quite simply wonderful, and not only is it one of Ridley Scott's best films, but also one of the best of the genre. For one thing, the visuals are superb. Not just in the special effects which are just mind-blowing but also in the cinematography, colours and sets. Another strong asset is the score, in fact Blade Runner is easily one of Vangelis's best by how mysterious and haunting it all is.",/
8,28 February 2022,fryguy-88668,6, Overrated IMHO,"I know it is blasphemy to many, but I didn't love this movie. Somewhat groundbreaking in its use of actual darkness to impart the bleak tone. I'm a fan of Harrison Ford and Ridley Scott. The supporting cast is solid. It's just a bit boring at times.",r
9,4 September 2020,Horst_In_Translation,8, A wonderful movie on perspective and also extremely entertaining,"""Blade Runner"" is a film of which at least everybody has heard the title on one occasion or the other and many, many people have seen it too if we take a look at the amount of ratings here on imdb. It is from the year 1982, so it will soon have its 40th aniversary and maybe this happened already depending on when you read my review. It runs for minimally under two hours and is based on a novel by Philip K. Dick, who sadly died of heart failure only months before this film got released. The two writers in charge of the screenplay here were Fancher and Oscar nominee Webb Peoples and both are still alive in their 80s now. But the big name here is of course director Ridley Scott, who has worked on many big movies over the course of his really long career, but the fact that this one here is a massive contender for being his biggest career success still says it all about the film's popularity. The one person where this is probably not a contender for most popular film is lead actor Harrison Ford, but this is only because he was also a crucial player in the Star Wars franchise. And let's not forget about Indiana Jones of course. I have never been a big fan of either and consequently also not a big fan of Ford, but he was alright here. The fact that he does not necessarily play a very likable man as I would say is kinda explained at the end. But I will get to that later.",w
10,2 January 2012,planktonrules,6, I just don't get it....,"I admit right up front that I am perplexed by this film and my review will no doubt annoy a lot of fans of this film. Let's face it, ""Blade Runner"" is a cult film--and those who like it usually don't just like it--they adore it. I've known several people who insist rather rabidly that it's one of the greatest films of all time. And, when I tell them that I don't particularly like the film, they are confused---'how could anyone not love the film?' often say. In one case, the film lover insisted that I borrow his Director's Cut (one of about 17 different Director's Cuts or Special Editions, I think) because I must have been mistaken. Well, after my second viewing, I did enjoy and appreciate the film a bit more. But I still didn't get the devotion to this film it often receives.",8
11,3 August 2010,claudio_carvalho,10, Living in Fear in a Quest for Life,"In the beginning of the Twentieth-First Century, the Tyrell Corporation releases the evolution of robots in the Nexus phase with Replicants that are identical to humans, but with superior strength and agility and the intelligence of the genetic engineers who created them. They are used off-world as slave labor in the colonization of other planets. After a bloody mutiny in a colony, the Replicants are declared illegal on Earth and hunted down by the Blade Runner units, special police squads that shoot them to kill. The execution of a Replicant is called retirement.",3
12,4 July 2019,paul-allaer,10," ""Los Angeles, November, 2019"" - an unforgettable movie theater experience","I saw ""Blade Runner"" in the theater again today (more on that later). First time I saw this film, it was the original version when it came out in Belgium (where I grew up) in 1982. Decades later, I saw it again, this time on DVD and in the ""Director's Cut"" or ""Final Cut"", I can't quite remember. The version I saw today was definitely the Final Cut.",9
13,5 March 2002,joelhoff,10," A compelling, thematically-deep SF film","This is truly one of the greatest science fiction films ever made, one that requires a thinking viewer in order to understand and appreciate it.  The director's cut is the recommended one to see as it omits a somewhat distracting narration and avoids an unnecessary Hollywood-style ending that is at odds with the rest of the film's tone.",6
14,13 May 2017,Sober-Friend,7, Adding My Voice to a Loud Chorus,"I was 15 when the film was released in 1982. I remember Gary Franklin (A Movie Critic on Television) gave this film a ""10"" on a scale of 1 to 10 ""10"" being best. ",1
15,20 July 2018,perica-43151,10," The ultimate sci fi flick, well ahead of its time","Perhaps the best sci fi movie ever made, this cult classic was underappreciated at its time. This only shows how shortsighted critics and American public can be. This movie is perfect in many ways, is prophetic, well made, and if not the best movie ever made is close to that, certainly in the sci fi genre.",4
16,28 May 2022,Xstal,8, A Drenched & Decrepit Dystopia...,"If your curse is accelerated decrepitude, longevity is something that's clearly not accrued, you'll be treated like a slave, when equality is all you crave, in the catastrophic climate you've been skewed.",3
17,9 September 2017,chaswe-28402,10, Miraculous masterpiece: great,"Several years ago I may have read the original story, but don't remember it; and it doesn't matter. The same bleakly powerful message probably pervades both book and picture. The fact is, we are all replicants. The bitter truth is, we have no purpose, except to reproduce ourselves. Whether our life-span last 4, 40 or 140 years, it is as purposeless and pointless as if we were androids. Which we are. It doesn't matter what we have seen or experienced. We will pass and be forgotten, like the rest. It has been noticed that this film contains no families, or children. The need for that traditional, outdated method of self-replication has been eliminated, and people are simply duplicated, in different models, with variations. Memories are routinely fed into replicants, to convince them that they have reality, however spurious. If there ever was a creator, he was definitely killed, for his presumption. There is no doubt that, like everyone else, Deckard is a replicant. The film is frighteningly and permanently effective, for anyone who thinks about it, in every way. It's an image of our actual lives, here and now.",/
18,16 February 2020,THE-BEACON-OF-MOVIES-RAFA,10, The pinnacle of quality film making. ( A+ Movie) My Ratings 10/10,"Magic. The stuff books are made of. Palpable, dreamlike, experimental, industrial and just pure magic. When a film is this flawed and yet still floors absolutely everyone with its power to command tone and its ability to influence and yet still stand alone, it's clearly worthy of the praise and the acclaim. There are very few cyberpunk movies and even less good ones. Blade Runner is simply the best one. It's also a work of art and one of the best movies ever made. There are moments where Harrison Ford's Deckard aches with deep sadness, a lost soul himself looking out over the wretchedness that has become of the world, shaking and confused when he buys a bottle of vodka immediately after retiring his 'first' replicant. In these moments it doesn't matter either way if he is a replicant or not, amidst all the more well-known highlights of this classic, these humanising and most overlooked moments are why I love it so deeply.",?
19,14 July 2005,marntfield,9, Timeless,"What can be said about this film that hasn't already been covered in preceding decennia? Blade Runner (either version) stands the test of time as an epic story which transcends a disparity of genres, as well as the seminal ""dark"" sci-fi film which has been mimicked so frequently (to varying degrees of success) since its original release. The interplay of film noir, sci-fi, and what is one of the most philosophically symbolic and academically analyzed narratives of the modern era holds its ground on both visual and cerebral levels even in the face of today's CGI laden blockbusters. The new director's cut, contrary to many cinematic re-hashings, actually serves to clarify many of the more nebulous aspects of the plot and makes a great film even better, arguably allowing it to be modernized and polished for a new generation of viewers who are more picky and yet simultaneously less idealistic. All while sustaining the feeling and flavor of the original. Call it restorative work if you will. The tinny and meandering score by Vangelis is pure 1980s at its most brooding and fits the texture and mood of the film beautifully. Indeed, for many reasons, finding this film in someone's DVD collection makes a true statement about their discriminating and refined taste in movies, and equally their appreciation of film as an artistic medium. I would suggest picking up a reader by someone like Nietzsche, Foucualt, Descartes, Kierkegaard, or any of the great existentialist philosophers after viewing this film in order to appreciate the story & its concepts at a whole new level, regardless if you're watching it for either the 1st, or the 100th time. An enduring classic and an intrepid piece of film-making with rich & often haunting visuals designed to entertain and promote introspection amongst its viewers. 9/10.",r
20,19 March 2015,SnoopyStyle,9, important sci-fi film,"Early in the 21st Century, the Tyrell Corporation advanced Robot evolution into the NEXUS phase known as Replicants. Replicants were used Off-world as slave labor, in the hazardous exploration and colonization of other planets. After a bloody mutiny, they were declared illegal on earth and Blade Runner units were created to retire trespassing Replicants. It's 2019 Los Angeles. Policeman Gaff (Edward James Olmos) brings in ex-blade runner Rick Deckard (Harrison Ford). Bryant (M. Emmet Walsh) orders him to track down four escaped Nexus 6 models. Roy Batty (Rutger Hauer) leads Zhora (Joanna Cassidy), Leon Kowalski (Brion James) and Pris (Daryl Hannah). Deckard goes to test the new Nexus 6 model by using the machine on Rachael (Sean Young). Dr. Eldon Tyrell (Joe Turkel) hasn't told her. The Replicants track down Hannibal Chew (James Hong) and J.F. Sebastian (William Sanderson) to meet Tyrell.",e
21,18 April 2021,mmallon4,9, I've Seen The Future And It Will Be,"I often hear similar stories of people's first experiences watching Blade Runner, finding the film dull but coming to appreciate it years later - my story has the same trajectory. I first tried to watch Blade Runner (of what I believe was The Final Cut) on TV in Christmas 2009, only to stop watching after half an hour due to boredom. Over the years, however, I would be compelled to return to Blade Runner several times and get more out of it with each viewing. The tech-noir world of Blade Runner is one to get lost in with its use of neon and many billboards of geishas, albeit a more depressing, dystopian one than say that of Star Wars; one in which the city of Los Angeles appears to be stuck in a state of perpetual darkness and it very frequently rains. Now when watching Blade Runner, I'm watching a movie set in the past date of November, 2019. Once again, like Star Wars, the technology present is highly contradictory, this is a world in which flying cars exist and photographs have unimaginably high pixel counts, yet they still use CRT televisions and mobile phones don't appear to exist. It contradictions like these which we can observe in the real world just adds to the unique and fantasy aspect of the Blade Runner universe.",f
