Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,10 September 2017,Leofwine_draca,10, War movie masterwork,"Mel Gibson is a director with two masterpieces behind him - the superlative BRAVEHEART and the even better APOCALYPTO. Sadly, due to his ridiculous pillorying in the press and subsequent ostracising in Hollywood, he hasn't directed a film for a decade, but now he's back with HACKSAW RIDGE, the true story of a pacifist who joined the US army and took part in the Battle of Okinawa as a medic. The good news? Gibson hasn't lost his touch (of course), and this is his third masterpiece.",/
1,28 January 2017,littlemartinarocena,9, At The Very Center Of It All,"We knew already that Mel Gibson is a filmmaker with a powerful vision and the craftsmanship to go with it. Extraordinary battle scenes. Violence, Gibson style, which means Peckinpah plus, because here there is such a personal intention that makes every frame, utterly compelling. The only drawback and I have to say it, Vince Vaughn. Why? In the moment he appears, this extraordinary film becomes a movie. It took me completely out of it. When you look at him you see an actor, acting. On the other hand, Andrew Garfield. Sublime. He makes totally believable a character that could be fictional. The humanity in Andrew Garfield's eyes makes everything real. It tells us, in no uncertain terms, that at the very center of it all, there is love. Love!",r
2,9 October 2016,DukeEman,8, Back on the battlefield with Mel...,"I was lucky enough to sneak into a cast & crew screening at the Newtown Dendy cinema. I thought 10.30AM on a Sunday was too early for a Mel Gibson movie, that I might be in for something along the lines of the heavy-handedness of THE PASSION OF THE Christ, and the adrenaline pumped brilliance of APOCALYPTO.",e
3,25 September 2016,bartonj2410,10, Welcome back Mr Gibson,"When thinking about war films, it's very hard not to go straight to the classics such as Apocalypse Now, Platoon or Saving Private Ryan. You have to make something very special to be mentioned in the same sentence as films like those and in Hacksaw Ridge, I think Mel Gibson has made one of the all time great war films.",v
4,18 October 2016,CineMuseFilms,8, one of the most violent sensory assaults that can be experienced in a cinema,Good war-films can be very disturbing to watch. The dramatic realism of modern digital effects spares little and many audiences will find Hacksaw Ridge (2016) one of the most violent sensory assaults that can be experienced in a cinema. If it were not a true story that celebrates an unusual hero the film could have been accused of a gratuitous display of unrelenting carnage and military triumphalism.,i
5,4 February 2017,TheLittleSongbird,8, Mel Gibson's near-triumphant come-back,"Not one of my favourite war films, like 1930's 'All Quiet on the Western Front', 'Paths of Glory', 'The Thin Red Line' and 'Apocalypse Now', but exceptionally well made and incredibly powerful.",e
6,5 November 2016,classicsoncall,10," ""Lord, please help me get one more.""","""It was a scene straight out of hell. There is no other way to describe it."" This quote from Higa Tomiko, a survivor of the Battle of Okinawa when she was seven years old, may be the best description one can take away from ""Hacksaw Ridge"", the most recent World War II film directed by Mel Gibson in a stunning return to prominence among his Hollywood peers. It tells the story of Private Desmond Doss, a conscientious objector who refused to handle a weapon, but felt it was his moral duty to serve his country in a time of war when many of his friends and neighbors opted to do the same. It's a story of perseverance, courage and sheer fortitude, and one bound to affect even the most hardened viewer.",w
7,13 September 2016,trublu215,9, A film that is as courageous as its subject and as violent as the war it portrays.,"Hacksaw Ridge is the latest film from the infamous Mel Gibson and it is as electrifying as one would come to expect. Telling the story of Desmond Doss, an Army medic that refused to carry a weapon through the hell fire of battle in Okinawa at the height of World War II. The untold story of Doss is one that is of the finer war hero stories that anyone could tell. Starring Andrew Garfield, Vince Vaughn, Sam Worthington and Teresa Palmer, Hacksaw Ridge is a beautifully acted and viciously portrayed war film that will stick with you from the minute the film starts until the second the end credits start. It will leave you clawing your seat, wiping away the sweat from your palms as we see Garfield's Doss save as many lives as he possibly can while dodging bullets and hand grenades. The film starts in the most somber of times in American history, the second world war. Desmond Doss, the son of a PTSD-riddled alcoholic Army man (Hugo Weaving) who served in World War I, is also as much as a devout Christian as he is a patriot, leading him to join the fight against the oppressive Japanese military. Doss is in love with a small town girl Dorothy Schutte (Teresa Palmer) who is scared that she'll never see Doss again, especially after the persecution he is sure to face. When in training camp, Doss refuses to touch a gun and is actually court marshaled for his refusal. This leads to a trial in which he is allowed by his superior officers to go into Okinawa with no fire arm to protect him. Much of the film is steeped in realism, something that Mel Gibson specializes in when it comes to violence. While the story and plot line may sound very traditional, the way it is portrayed is a fresh burst of life into a tired genre such as this. That, coupled with the amazing true-life story of Desmond Doss being portrayed on screen, makes Hacksaw Ridge a wild and brutal trip down the path to Christianity and the power that faith can give a man. Gibson, a devout Catholic himself, would be the director to bring this story to life. His religious views seep through his very being, especially through his films and this film is no exception. The film settles in the idea that God is literally protecting Doss, not only physically but spiritually as well. Doss is constantly tested throughout the film, almost needing to take a life (which is the ultimate sin to him) in many scenes. The fact that this man did not fire a single round and saved as many men as he did is astounding and the film really does an amazing job at showing the harsh realities of war but also showing the good that can be brought out in a man through his faith. The film itself, is one of Gibson's less preachy works which makes it more accessible. Even if faith-based films are not your thing, you can appreciate the craft that went into making this film. Hacksaw Ridge displays war as atrocious as it truly is. There is blood, there is gore and there are a couple wounds that will cut even the strongest of men down. This is an extremely violent film but it is extremely violent in the sense that there is enough going on around us to never make us truly settle in the violence which would take away a lot of the impact that Gibson is trying to portray. The film is paced very nicely and does feel more like a traditional war film without it really being the traditional World War II film. The filmmaking is traditional but the story is unique and is definitely the driving force to run out and see this film. The performance from Andrew Garfield is amazing. He sheds any sort of preconceived notion and really embodies the roll of Doss quite well. He is far from a revelation but he is on the right track in delivering a very fine performance. The screenplay is tight and taught. Like I said, there are scenes that are heart pounding in this film. Personally, I found myself holding my breath during some of the action sequences. It was THAT intense at parts. While I do have great things to say about this film, I will say, I was a bit disappointed in the performances all around. While I thought Garfield did an amazing job carrying a film that was not Spider-Man, I wish he was a little better. I felt the same way with the rest of the cast. The melodrama that is portrayed very early on in the film is something that does begin to corrode the realist efforts of everything else. However, once the action starts, so does the really great acting on everyone's parts. Gibson is an actor that revels in the moments of pure chaos and he expects the same thing from his actors. It makes for some intense scenes that are elevated by the pure realism that the actors portray. You actually feel as though you are watching these people go to war. It is a testament to Mel Gibson as a director. He really knows how to put you in the moment and Hacksaw Ridge just solidifies his talent. Overall, I felt Hacksaw Ridge was an extremely brutal and visceral war film that brings up questions of warfare, humanity and religion while displaying Gibson's excellent eye for technical accuracy and assaulting imagery. Say what you will about Gibson as a person but as a director he is sharp, gritty and a master at what he does.",/
8,22 September 2016,conan-2,9, Powerful - well acted piece,"As someone from Sydney, Australia I was proud at the way this was filmed. Using the Hollywood model, there would have been lots of sets but using actual buildings allowed a lot of warmth to come through in the natural light. Gibson is a fine director, I was impressed with his framing, he shoots very closely for the acting stuff (more head and shoulder) which is quite interesting on the eye. Using more natural light it is quite beautiful. I suspect Gibson will not yet have been forgiven for his personal life to get the recognition he deserves.",r
9,3 April 2017,bkoganbing,8, The 'using kind of religion'.,"I guess that Hacksaw Ridge could probably best be compared to the great Gary Cooper film Sergeant York which hewed pretty close to the truth about Alvin C. York, his background in Eastern Tennessee and his exploits in World War I. ",w
