Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,6 August 1999,Wizard-8,10, YES!!!!! NO SONG OR DANCE NUMBERS!!!!!!,"What a GREAT movie! Not just for kids, but adults as well. Kids will love it on one level, and adults will love it on another level. Even adults who are not parents will love it!",/
1,18 November 2009,TheLittleSongbird,10, Outstanding on all levels!,"The Iron Giant was a beautiful, funny and touching movie, that is one of the best non-Disney animated movies I have seen along with The Prince of Egypt, The Secret of NIMH, Watership Down and Castle of Cagliostro. There wasn't a single thing I hated about the movie, for me it was outstanding on every level. The animation was absolutely gorgeous, with stunning colourful backgrounds and brilliant character animation especially on the Iron Giant himself. The music by Michael Kamen was consistently excellent, and never overpowered the story. In fact at times it even enhanced the drama. And the film has a beautiful message not to mention a sweet story. The characters were delightful, Hogarth isn't annoying at all and the Iron Giant isn't scary in the slightest. Strictly speaking he has to be one of the most gentle and poignant characters in an animated film. There are plenty of effective scenes like the explosive climax and the scene with the dead deer is a real tear jerker. I will admit I was worried initially when I saw the voice cast, but everybody involved did a superb job. Jennifer Aniston and Harry Connick Jnr were perfect, in their most understated performances. Both get stick about being untalented, but for me their vocal contributions in this film suggests otherwise, while Christopher MacDonald almost steals the film as the FBI agent. Eli Marienthal is very sweet and likable as Hogarth too, and watch out for John Mahoney and Cloris Leachman. All in all, an outstanding film, that if you mind me saying so is the best animated film of 1999 and one of the best films of that year too. I may be wrong but I do think it is highly underrated on IMDb. 10/10 Bethany Cox",r
2,29 December 1999,dpenny,10," a masterpiece, plain and simple",I'm 25 years old.  I have no children.  So why am I praising a 'kid's movie' which nobody saw?  Because I have never seen a film pack the emotional wallop 'The Iron Giant' provided.,e
3,22 January 2000,Don-102,10, An Absolute Wonder Which Cherishes Its Influences - The Best Animated Feature Ever !,"Animated movies have long been considered strictly for children.  The old Disney classics that started it all are indeed aimed at kids, but are still very watchable, even for adults.  With the advent of TOY STORY and its countless mimics,  animated feature films have taken long strides to be considered worthy of serious attention.  THE IRON GIANT is just such an animated piece.  The 87 minute wonder is, to put it mildly, incredible. Everything about it is good.  I've also never seen so many influences and references in an animated film before.",v
4,9 August 1999,Figaro-6,10, The Best of Two Worlds: Adult and Kid,"All too often, ""family films"" are only infantile, simplistic formulas with a few self-referential and pop-culture jokes thrown in to try and keep adults awake.  But then along comes  something like ""The Iron Giant"", which is sophisticated enough to demand respect while maintaining a mythic and pure-hearted tone that actually does appeal to the kid in everybody.",i
5,11 December 2004,Anansi00,9," What more animated movie should be: a thoughtful, funny, touching story.","After seeing this movie, I was overcome by a strange feeling. I realized that I had found a treasure where I had least expected it. The Iron Giant is intelligent, funny, touching, and visually superb, and should show the world that an animated movie does not need to be A) computer-animated, or B) based on a fairy tale to be successful. One of the best American-made children's movies I have seen in a decade: ",e
6,11 February 2007,Rectangular_businessman,10, A new classic,"""The Iron Giant"" is simply one of the best animated movies ever made. Brad Bird, the talented man that worked in shows like ""The Simpsons"" and directed the great animated film ""The Incredibles"" is the man responsible for this masterpiece. That man is a genius who is able to turn the simplest stories into gold, having an entire career of very good films. Even his ""Mission Impossible"" film (A franchise which I particularly don't like)managed to be worth-watching.",w
7,26 May 2017,A_Different_Drummer,10," Great entertainment ,,, AND a piece of history",Belated review written in 2017.,/
8,7 February 2000,Hitchcoc,8, Much More Than a Cartoon,"Sometimes when watching an animated feature, I spend my time saying, ""What great animation."" When this happens, I wonder if I am doing what the producers wanted me to do. Like so many things, should I be so enamored with the technical part of the movie that I am distracted from the content. As I watched ""The Iron Giant"" I realized I had forgotten it was an animated feature. Don't get me wrong. I knew the enormous title character was animated, but the relationships among the characters and the intelligence of the script caused me to forget that these weren't actors. The movie is filled with tender moments, especially as they relate to our feelings of our own mortality. What I enjoyed is that the grownups aren't treated as garden variety bad guys. Even the military, which is nearly always portrayed as evil, finds itself in a contradictory position--having to go on faith. The animation is wonderful, but so are the ""performances."" No spoilers here, but I think the ending is a lovely tribute to the spirit of the life force in all of us--even those of us not made of metal. See this. It is one of the better movies of the year.",r
9,14 August 2006,p.greenwood,10, Stunning and magical,"I had heard many great things about the iron giant in the last few years but was one of those films I never got round to seeing. I picked up a copy of the special edition DVD expecting an entertaining animated film. What I actually got was not just one of the best animated films I have seen but one of the best films ever. It takes you to another world but never strays from reality and when watching it you forget it's animated. The characters are so well written it puts most live action films to shame. If you pass this off as a kids film you will be missing out on one of the most immersing and emotional experiences you can get from a film. The voice cast are perfect, the animation stunning and the fact this film flopped when released is nothing short of criminal. I urge anyone even with only a passing interest in cinema to watch this film and prepare to be amazed. Brad Bird must be one of the best directors working in animation and after seeing the incredibles the iron giant was no fluke.",w
