Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,18 December 2013,gogoschka-1,10," ""Luke"" is a character Newman was born to play - and this is one hell of a beautiful film","This film got me from the first frame to the last. It's not even because of the story (which I love, of course) - it's just so very well made. And so modern. The kind of angles and perspectives the camera uses, the way it zooms in and out or even allows itself (literally) to get dirty - the way this whole picture was shot is just something I haven't seen in an American film released prior to this one. ",/
1,21 June 2012,ferguson-6,9, What we have here is no failure,"Greetings again from the darkness. I went way too many years without watching this movie again, so when Cinemark included it in the summer classic film series, I was in my seat nice and early. Mention this movie and the first thing people do is quote one of the most famous lines in movie history: ""What we have here is failure to communicate."" No question that's a great line. But there is so much more to this movie and it holds up beautifully 45 years later.",r
2,5 February 2017,Leofwine_draca,9, Prison classic with a career-best Newman,"On the face of it, Cool Hand Luke tells a simplistic story about a guy who breaks the law and is sent to a rural prison, where he must earn status among the prisoners. This in turn sets him against the guards and governor, who want nothing better than to knock him down, and the plot goes from there.",e
3,10 February 2004,clydestuff,10," Not just a prison film, but an excellent film about not being able to conform in a world that requires it","Having had the advantage of reading Donn Pearce's novel about a year before seeing Cool Hand Luke, it was with great anticipation that I awaited it's transfer to the big screen.  I was not disappointed.",v
4,7 January 2001,Nazi_Fighter_David,9, Very well-made with sense of graphic imagery and cinema view...,The rebel character in Hollywood after the death of James Dean went through a period of transition and did not gain definite new characteristics until the late sixties...,i
5,6 November 2000,rupie,8, memorable,"Truly a memorable movie, and more than just a documentary about southern road gangs. It's a study on the theme of the indomitability of the human spirit in the face of oppression. I was about to name this as Newman's finest performance until I thought of Eddy Felsen in ""The Hustler"" and Frank Galvin in ""The Verdict""; it's impossible to choose among such a cornucopia of acting achievements, but Luke is right up there (the analogy to Luke as Christ becomes a tad heavy-handed when we see him, at the close of the egg-eating scene, stretched out, arms outward, feet crossed, as if crucified; none the less, it's a powerful image). There is no doubt, however, about George Kennedy as Dragline; it is his finest achievement, and fully deserves the Oscar he got for Best Supporting Actor. It is also fascinating to find so many familiar faces among the inmates - actors such as Dennis Hopper, Harry Dean Stanton, Joe Don Baker, Ralph Waite. and Wayne Rogers - who would go on to fame in their own right. This movie can unquestionably be called a classic. American Movie Classics just started (11/2000) showing a beautifully restored letterbox version which shows it in all its glory.",e
6,15 June 2006,ccthemovieman-1,8, The 'Anti-Hero' Emerges In Hollywood,"Perhaps one of the last of the chain-gang movies (until it was briefly shown in the beginning of 2000's ""O, Brother Where Art Thou?), this has always been (1) an interesting film (2) a wonderfully photographed movie.",w
7,21 June 2012,ma-cortes,7, Unforgettable Paul Newman as a cool prisoner in a Southern chain gang who flees and is recaptured,"Interesting flick about the deprivations and subhuman conditions of a chain gang and a rebel prisoner to whom wardens will attempt to break his free spirit . Based on a real story by Donn Pearce who wrote the novel on which the movie is based , he spent 2 years on a chain gang for safe-breaking ; Pearce makes a cameo appearance in the movie as a convict named Sailor . It deals with Luke (Paul Newman ) who is sent to a prison camp , where he gets a reputation as a hard man . He becomes a prisoner on a Southern chain gang , there the head of the gang hates him , and attempts to break him by beating him up . It doesn't work, and he gains respect and not even the deprivations of these wrong conditions will break his spirit . Irrepressible Luke even manages to win the admiration of his rival (George Kennedy) in the chain gang . Luke is visited by his ill mother (Jo Van Fleet was only 11 years older than Paul Newman , Bette Davis was first offered the role of Luke's mother, but refused the bit part) ; after that , Luke refuses to conform to life in a rural prison and he getaways , but is caught, but escapes again .",/
8,13 June 2016,Red-Barracuda,7, Influential 60's prison drama,"Set in the rural south, a man serves time on a chain gang after vandalising parking meters. When inside, he stubbornly refuses to bow down to anybody, be it the prison authorities or his fellow inmates. Soon, though, he becomes a symbol of hope to the other prisoners and his rebellious nature teaches them that their integrity is the most important thing they have.",r
9,9 January 2011,TheLittleSongbird,10, The quintessential Paul Newman movie,"I like Paul Newman, he is very likable while being suitably brooding and intense in his films. To me, as much as I do like Butch Cassidy and the Sundance Kid and Cat on a Hot Tin Roof, Cool Hand Luke is my favourite movie of this great actor. What of Newman himself? Well he is just superb here, very cool and charismatic as well as the skills he is best at. The cinematography is also a delight, the Technicolour is just stunning, and Stuart Rosenberg's direction is a career-best. The dialogue is crisp and memorable, and the story is beautifully constructed. As for any memorable scenes, the prologue and the egg-eating scene are classics, the film succeeds adeptly at being a character study and I for one had no problem with the religious symbolism. Lalo Schifrin's music is very nice too. So all in all, if you love Paul Newman, you will love Cool Hand Luke. 10/10 Bethany Cox",w
