Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,19 August 2005,hall895,8, A fascinating look at life in the big city,"Give a collection of great actors a great story to work with and you are likely to end up with something rather special. Such is the case with L.A. Confidential. The boldface names jump off the page...Kevin Spacey, Russell Crowe, Kim Basinger, Danny DeVito, James Cromwell and, in his first big-time role, Guy Pearce. And none of these big names are just mailing it in, here to collect a paycheck. They're all on top of their games, undoubtedly helped to no small extent by the wonderfully nuanced and utterly intriguing story.",/
1,11 June 2017,TheLittleSongbird,10, Superb film-making,"As a fan of mysteries and thrillers and who likes a lot of the cast (such a great one on paper), expectations were high for 'LA Confidential'. And 'LA Confidential' didn't disappoint at all, it is an outstanding film on all levels and should have won the Best Picture Oscar of 1997 and won more.",r
2,18 September 2006,gavin6942,9, I Wish This Film Had Been Five Hours Long,What happens when a squad of corrupt cops in the 1950s explore a murder case from multiple angles and find their corruption coming back on them like chickens coming home to roost? Who will solve the crime? Who will survive and what will be left of them? ,e
3,12 February 2003,Theo Robertson,7, Hollywood Wasn`t Ready For It,"Hard to imagine now but in 1997 many of the cast in LA CONFIDENTIAL weren`t well known . Kevin Spacey had an Oscar under his belt but hadn`t appeared in many starring roles , Guy Pearce was known only to NEIGHBOURS  fans while Russell Crowe was remembered only for his powerhouse performance in ROMPER STOMPER . In fact it sounds ridiculous in 2003 but the two best known members of the cast when this was released were Danny DeVito and Kim Basinger ",v
4,29 May 2010,blanche-2,10, The cast of a lifetime in a 1997 noir set in LA of the '50s,"One of the greatest films ever made, L.A. Confidential benefits from a great script (Brian Helgeland), great performances (Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger, James Cromwell, Danny DeVito, David Straithairn), and great direction (Curtis Hanson). It's not easy to do a film noir in modern times that is set it in the past. All too often, the performances are too stylized or nonorganic, the direction is stilted -- the whole thing comes off as an attempt, and not a very good one. In this case, though, the result is brilliant.",i
5,20 August 2012,Leofwine_draca,10, An exemplary piece of filmmaking,"What's not to love about L. A. CONFIDENTIAL, the 1997 Oscar-winning detective story about the sleazy side of seemingly glamorous '50s-era Los Angeles? It boasts an outstanding screenplay adapted from the James Ellroy novel, excellent direction from old hand Curtis Hanson, and truly tremendous performances from the entire cast.",e
6,3 February 2006,Mr_PCM,10, This is how a proper crime story should be told!,"LA Confidential is a sprawling epic tale of crime, corruption and justice in Hollywood and the LAPD, with a cast to match. A truly gripping crime saga exposing the seedy underbelly of the City of Angels, where cops never let the truth get in the way of justice, and everyone knows everyone else's dirty secrets.",w
7,30 September 2005,lee_eisenberg,10, a masterpiece in every respect,"I can always remember ""L.A. Confidential"" as the first gritty-noirish-seedy movie that I ever saw in the theaters. And it makes me proud that this was the first one that I saw. We all can assume that movies about the inner workings of the police world are going to be gritty-noirish-seedy, but overall, it doesn't do ""L.A. Confidential"" justice to only classify it that way. Curtis Hanson created an INDESCRIBIBLY great movie here.",/
8,19 November 2020,auuwws,8, L.A Confidential,"A wonderful movie and the performance of most of the actors was excellent and the development of Ed Exly's character was excellent and the ending was good. I did not expect the death of jack. The film discussed the issue of corruption among the police officers in an excellent way and the directing was very good and the writing was good, but at the end of the film I felt very bored",r
9,11 March 2019,sallyshirla,9, One of the best,We've not come very far since this classic in terms of high quality cop crime dramas. Acting and direction is perfection.,w
