Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,23 November 2003,Smells_Like_Cheese,10, I'd put it in with the Disney classics,"Aladdin is such an awesome move that still gets me excited to this day, I remember when I was 7 and I saw this in the theater and I just had so much fun. I am such a dork, I still love a lot of the Disney movies that I loved as a kid, but I think the reason that I love Aladdin so much is because this is one of the last Disney movies that was hand drawn animation, the reason I love hand drawn animation is because it feels more personal and that the crew put their heart and soul into it, you can tell by watching it. They got a great cast of voice actors including Scott Weinger from Full House and the always entertaining and hilarious Robin Williams. Robin was just a perfect choice for Genie, he brought a lot of energy to the movie and makes the genie a great character. Who knew that a kid's version of the Arabian Nights tale could be so great? This is a great Disney movie that I guarantee you're going to love.",/
1,23 October 2004,Boba_Fett1138,9," Great songs and a good villain make ""Aladdin"" a Disney classic.","This movie has three elements that are important for an animated Disney movie: Great songs, a good villain and a great sidekick.",r
2,12 January 2007,ccthemovieman-1,10," Robin Williams, Great Songs Make This One Of The Best Animated Films Ever","I can think of three quick reasons why this has remained one of the best animated movies ever: 1 - Very good, very catchy songs that still sound good 15 years later; 2 - excellent, colorful visuals; 3 - the unique humor of Robin Williams, who seems to spout a joke-a- second. In fact, you have to pay close attention to hear Williams' lines because they come so fast and furious. Actually, at times they are too fast. You hardly have time to laugh or digest what he just said when another line hits you. Williams' genie character doesn't appear on screen until after the first third of the film is over.",e
3,19 December 2011,ElMaruecan82,10, Forever a favorite of mine ...,"I will never forget the first time I watched ""Aladdin"", I was with a group of friends waiting in the airport for the plane that would take us from Orlando to Paris at the time when ""Aladdin"" was the 'big thing' in the USA while some previews of ""The Lion King"" were starting to screen. ""Aladdin"" will forever be associated to that wonderful week I spent in Disneyland, and it's only fitting if the movie is my favorite Disney film, slightly edging-out ""The Jungle Book"".",v
4,5 September 2001,aesgaard41,10, Vintage Robin Williams,"I did not care to see this movie, but I was such a big Robin Williams that I rented it long after it stopped playing in the theaters. From the first few scenes I was spellbound by the voices and the script.I can still mimmick nearly all of the Genie's themes as well as see myself play Aladdin in a live action version of this movie with Paula Abdul as Jasmine and John De Lancie as Jafar. Jasmine in this movie has the same sexual innocence as Ariel the Little Mermaid and Krysta of Fern Gully. The songs are infectious, especially ""Friend Like Me"" and ""A Whole New World."" The whole movie is one big roller coaster ride augmented by the raucous wit of Robin Williams and his own talent for mimmicry and improvisation. Ten Stars way up!",i
5,17 February 2009,TheLittleSongbird,10, Aladdin is a beautifully constructed film. that is for me one of Disney's best!,"Aladdin is a brilliant movie. Sure, it isn't as good as Beauty and the Beast, but I think it is definitely one of my favourite Disney movies. It is beautifully constructed, with some of the best animation sequences of recent times. The music score is just delightful. How can I ever forget the animated sequence to ""A Whole New World?"" Perfect. Jafar is one of Disney's finest villains, voiced with relish by Jonathan Freeman. Unfortunately, like Shere Kahn, he was another Disney villain that was ruined by a DTV sequel. Aladdin and Jasmine's romance is so believable, and while people have said they are bland, they do appeal to you soon enough. And for me Jasmine along with Esmeralda is one of the sexiest female Disney characters. I actually found it hard to tell what was computer animated, whereas there have been some movies that make a mess of that. I want to guess what is computer animated. The best aspect of this movie, is a hilarious performance from Robin Williams as the Genie If he hadn't ad-libbed so many of his lines, the script could have won an Oscar- that said his genie was a perfect match and fitted with the story very well. Some people say the movie starts off slow. But with the songs and animation, that really isn't an issue. The movie also spawned the best DTV sequel, the King of Thieves. 10/10. Bethany Cox",e
6,7 February 2001,grahamsj3,7, Hilarious,"I think this is one of the funniest films that Disney has ever done. This is due entirely to Robin William's brilliant voice of the Genie. He is wonderful in this role. I think the animation is pretty fair although I dislike the ""generic"" people that Disney's shop is putting out these days. They all share the same basic facial structure and eyes, so there is not much difference between any of the characters. It's not like Sleepy, Doc and Sneezy, who all looked very different. Still, this is a great and funny film. It is totally clean and not very violent so it is appropriate for every member of the family. Give this one a try and you'll have a great time watching it!",w
7,15 January 2006,dcldan,8, Fantastic!,"Magic, adventures, laughs, love... This film has everything mixed, and the result is quite good! The film is about the classic tale of ""Aladdin and the magic lamp"", so the story is well known by everybody. Despite it is for children, the quality of the characters is very good, the story, though predictable and typical, results interesting and, which is more important, it males us to spend a good hour and a half. The songs (typical in Disney) never are boring, and are surprisingly well mixed with images. In addition, action scenes are well ended and most characters are very charismatic. Aladdin is sympathetic form the beginning and most secondary characters are simply perfect. The ""acting"" of the Genius is superb in his strangeness and absurd, and Yafar is well remembered as one of the ""best"" bad ones of the history of cinema. It exhales an immense aura of evilness hardly ever seen in a movie... To sum up, one of the best (maybe the best) Disney film made, which everything to have a nice afternoon with your children or just spending a nice time laughing and remembering when you were a child.",/
8,24 July 2007,Atreyu_II,8, A whole new world. A new fantastic point of view...,"The 31st animated Disney classic is one of Disney's best known movies. It also takes us to a whole new world, a new fantastic point of view. This one takes place in Saudi Arabia. I've always liked this movie.",r
9,13 May 2005,British_Aussie_chick,10, This film is so good!,"I grew up watching this film and along with Beauty and the Beast and Cinderella it is one of my favourite Disney films. I love it! Robin Williams is so good in it. He's hilarious. This film isn't just for kids but for the whole family. I think I was about 5 when I first saw it and at 14 I still watch it and so do my parents. I haven't seen the sequels because I heard that Robin Williams wasn't in them and decided that they wouldn't be as good without him. He was made for the part. The songs are amazing. I love singing along to ""A Whole new World"". I'm hoping to get the soundtrack soon. I also love the film because I have the same name as the princess in it! I would definitely recommend it to everyone. You're never too old to watch a classic Disney film.",w
10,3 October 2020,Xstal,9, 'Wake up and smell the hummus'...,"... or falafel or baba ghanoush, they all smell and taste outstanding, as outstanding as this piece of delicious and delightful Disney animation that gives satisfaction to the most devouring of cinephiles appetites. The cherry on the cake being the unique and brilliant voice of the genie, the voice of a true entertainer and genieus, the voice of the unforgettable, the one and only - Robin Williams. It just so happens to have an endearingly beautiful story as well.",5
11,2 March 2001,mattkratz,9," great work, Robin!","Robin Williams is marvelous as the genie. Try to keep up! True, the film gets a little stereotypical and formulaic. But the energy and story will keep you entertained. The usual be yourself message at the end can be found just about anywhere, but I'm sure you won't mind.",7
