Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,29 April 2005,evanston_dad,10, Majesty in the Desert,"The moment David Lean makes you aware you are in the hands of a master comes early on in ""Lawrence of Arabia."" Lawrence (Peter O'Toole) holds a lit match close to his lips and with one quick puff of air blows it out. Before the action is even completed, however, Lean has cut to a shot of a desert vista, with the sun slowly rising over the lip of the horizon. It's one of the most famous elliptical edits in cinema history, second maybe only to the bone/spaceship cut in ""2001: A Space Odyssey."" And it's only the first of countless memorable moments in ""Lawrence of Arabia."" The appeal of David Lean epics has always been his ability as a director to maintain an equilibrium between the scope of his films and the characters in them. Character development is never sacrificed to massive set pieces or knock-your-socks-off action sequences. ""Lawrence of Arabia"" has these elements too, but at heart it's a character study of one remarkable man. Lean seemed to understand that impressive landscapes alone are not inherently interesting; but if you place a fascinating character among those impressive landscapes, you can have movie magic.",/
1,15 June 1999,rupie,9, a memento from the days when they made real movies,"It is, in a way, depressing to watch this movie today. One winds up contrasting it with the sort of technologically slick and aesthetically shallow spectacles, like ""Titanic"", that garner the sort of adulation that a truly great movie like ""Lawrence"" received in its day, and one realizes how far we have fallen.",r
2,10 July 2018,maureenmcqueen,10," Peter O'Toole as Lawrence, what a treat!","Did you know that Cary Grant had been approached to play it? Yes, as well as Albert Finney and that made a lot more sense but it was Albert Finney who said, have you considered Peter O'Toole? Who? - Yes, I love that story. It goes to prove that certain things are meant to happen. I'm sorry if I'm going on about it. But I saw Lawrence Of Arabia for the nth time in a 70mm print in a crowded theater and what came across as the one major reason this film will be relevant forever is Peter O'Toole. His performance is timeless because it is unique. Cinematic and theatrical but always true. David Lean brilliantly created a sense of intimacy in O'Toole's eyes within the vast, arid landscape. I know the film has its detractors. I heard once director Michael Apted call it a ""silly movie"" Wow, I had Michael Apted's quote in my mind when I saw the film last and for the life of me, I don't know what he meant. I love this film.",e
3,23 May 2004,MidniteRambler,10, Simultaneously personal and panoramic,"Sweeping, epic and literate version of British adventurer and soldier T E Lawrence's experiences in Arabia during the First World War. Lawrence, miraculously well played by Peter O'Toole, ""went native"" when sent into the desert to find Alec Guinness's Prince Feisal. Before long he was striking out himself against the Turkish Ottoman Empire, which still held sway in the region at the beginning of the last century. Lawrence's efforts to unify the various Arab factions are particularly prescient.",v
4,12 July 2018,caseyt-48511,10, A True Must See,"""Lawrence of Arabia"" is either the greatest movie ever made, or the second greatest. The true power and scope has only been matched by few other films. It is a film that really does stand the test of time. In an age where special effect driven films are king(as much as i like those), it is great to watch a film where you truly see thousands of people charging a fort on horse, and camel, back.
It's a long ride, but it is never boring. It is full of fantastic characters acted out by even better actors. Peter O'Toole should have won every acting award available to win. His performance is consistently ranked among the greatest in movie history.",i
5,26 January 2005,iain_connell,10, Still my personal favourite,"I first saw this film on its release, aged 13, and it forms an important part of my transition towards adulthood. I am pleased to see that it consistently rates 20something in the IMDb listings, even from others (whom I envy, for I can't see it with fresh eyes) who are seeing it for the first time. Pleasing too is that some of those are also teenagers, for whom a forty-three year old film must itself seem part of the past. As for the minority who are bored by intentionally slow pacing (and for whom punctuation, paragraphing and grammar are a lost art), I suggest they learn a little about the history of film-making (from which it may become apparent that much of today's fast editing techniques were invented in the 1920s: try Eisenstein's October, for example).",e
6,29 June 2019,Instant_Palmer,10, David Lean's Masterpiece is a Cinematic Treasure (now in 4K UHD!) 💯,"The film that inspired Steven Spielberg to pursue a career as a film maker for good reason - 'Lawrence of Arabia' is a cinematic treasure - the greatest ""Epic"" movie, and one of the 5 greatest films ever made by almost everyone's standard.",w
7,18 April 2010,TheLittleSongbird,10, Quite simply movie-making on the grandest scale,"At 17, I love David Lean, his films are filled with beautiful images and he also directs with real flair. Lawrence of Arabia is a perfect example of movie-making at its finest, the whole film is absolutely phenomenal in every aspect: ",/
8,29 November 1999,Nazi_Fighter_David,10, A film that literally excites the senses...,"David Lean's ""Lawrence of Arabia"" is one of the few films that legitimately deserves to be called great It appears on virtually all ""ten best"" lists and reveals deeper layers of meaning with repeated viewings ",r
9,21 November 2009,AlsExGal,10, A sweeping epic with many layers of complexity,"It's hard for the small screen to do justice to such a sweeping cinematographic epic, but there is much more to this film than its visual majesty. The film has one of the most beautiful and recognized scores in the history of cinema, a fascinating subject in the person of T.E. Lawrence himself, one of the most literate screenplays ever written, and a wonderful supporting cast nearing perfection. It is a shame that unless you take the time to buy the DVD and invest the almost four hours it takes to watch it, you are likely to miss out on one of the best films ever made. It is precisely because of its length that it is seldom seen on TV anymore. The backdrop of the film is that the British, in the midst of fighting World War I, are aiding the Arab struggle for independence from the Turks since anything that ties up the Turks accomplishes the British goal of destroying the Ottoman Empire and thus aids in the war effort. T. E. Lawrence is first enlisted to help advise the Arabs in their military goals, but goes on to lead them in a series of stunning military victories that goes way beyond what the British expected of the Arabs, and quite frankly, way beyond what the British wanted. You see, the British had designs on claiming Arabia for themselves after the war ends, years before it was discovered that Arabia was sitting on the world's richest oil supply.",w
10,19 February 2007,bkoganbing,9, A Complex Man In Epic Events,"Although having just watched Lawrence Of Arabia again though I am bowled over by the size of the epic, I still can't believe that for the entire length of the film, the word oil was not mentioned. If it were done today it sure would be.",0
11,25 December 2022,Sleepin_Dragon,10, One of the greatest films of all time.,Disobedient Army officer Lawrence attempts to unite several Arab tribes in a battle against The Turks during The Great War.,0
12,23 December 2004,rbhagwat,10, Review-proof,"I first saw this movie on a scratchy VHS almost twenty years ago (I was 10). Liked it (sort of-enjoyed the battle scenes and the train blowing up), but didn't understand why my dad was so crazy about it.",7
13,29 December 2001,rmax304823,10," Who, me? Neurotic?","When this film was released in 1962 I was seeing a shrink. Nothing serious, just the usual ontological Angst. You know, ""What's it all about?"" ""Why have I developed this sudden taste for houseflies?"" When I described my torment to him he tilted his head and asked, 'Have you seen Lawrence of Arabia'? ",7
14,2 March 2001,bleakeye,10, Heroism brilliantly shown,"When it come to making epics, David Lean is the master and what better proof than this masterpiece.  ""Lawrence Of Arabia"" was first shown in 1962 and after almost 40 years later, it is still beautiful.  The story of T. E. Lawrence is wonderfully brought to us by David Lean, director of another masterpiece called ""The Bridge On The River Kwai"".",8
