Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,21 July 2009,ccthemovieman-1,10," Beautiful Film, Even Better Than The Book","For a movie to be even better than a good book is no small feat. Yet, that's how I felt after watching this film. It really impressed me. One of the reasons is the fantastic cinematography. Man, this is a beautifully filmed and, at 142 minutes, there are a lot of great scenes to admire.",/
1,16 September 2007,jaredmobarak,9," TIFF07, review 3: Facing the blind deaf stone aloneInto the Wild","Sean Penn's new movie Into the Wild arrives on the wave of a well-regarded novel about a college graduate who decides that the anger and violence in civilized society is too much to handle and commences a journey through nature in order to truly live life as it was meant to be. This film is a wonderful glimpse into the life of a kid, wise beyond his years, and the bonds that he creates with people along the way. A victim of excess in wealth and a shortage of love, Christopher McCandless hid inside his mind behind knowledge and philosophy, building up his intellectual strength, as well as the physical, in order to complete his trek, ultimately leading him to Alaska. Penn never falls into the trap of showing too much heartbreak on the side of McCandless's parents, because he doesn't want the audience to second-guess the decision he made. There is no debate to be had here, our protagonist has no alternative but to get out and live off the land. Only being completely self-sufficient can he grasp a meaning for his life and one day perhaps go back with that knowledge fully learned.",r
2,22 December 2009,komic09,8, missing the point...,I'm finding it hard to see why this film has taken such a tongue lashing (or keyboard lashing) by some people...,e
3,24 October 2007,shark-43,10, Sneaks Up On You,"INTO THE WILD definitely works as a film - I had read the book so I certainly knew the tragic story of this young man's life but I was blown away by the performances. In fact, to have this young talent Emile Hirsch working with the old, legendary Hal Holbrook makes the film a must see - in fact, their scene near the end in the truck is one of the best pieces of acting I have ever seen on film - Holbrook is amazing there. He deserves a Best Supporting Actor nomination (but probably won't get it). The film is by no means perfect - there are pacing problems but Penn does use the flashbacks incredibly well and the film builds power as it goes along. Hirsch is so real - I remember noticing how talented he was in the indie flick Dangerous Life Of Altar Boys and I also thought he was very good in the so-so Alpha Dog film. But Penn gets a terrific performance out of him as well as Catherine Keener, Vince Vaughn, Wm. Hurt, Kirsten Stewart, jena Malone and everyone else for that matter. I can see how this film might not be for every one, but I was very moved by it and days later - certain images and moments stayed with me. Penn is getting better as a filmmaker with each movie he makes.",v
4,6 November 2017,classicsoncall,7," ""Is anybody here?""","I come away from this movie somewhat conflicted, not about the picture itself but of it's principal character, Christopher McCandless. I say that with some reservation as well, because when I was his age and fresh out of college, I spent a lot of time steeped in existentialist thought trying to figure out the meaning of life and how to conduct my own. In McCandless's case, there was also the family dysfunction at work, something that I never had to contend with growing up.",i
5,1 May 2008,mstomaso,8, 2008's Version of On the Road?,"Who Is Chris McCandless? A true supertramp? An obsessive, emotionally damaged egomaniac? Suicidal thrill-seeker? A Kerouac-like drifter addicted to the search for an ever-evasive truth? A high-functioning schizophrenic? The 21st century youth culture reincarnation of John Gault? Or just a kid going through a difficult time and looking for some distance to sort it all out? ",e
6,10 July 2019,gbill-74877,9, Touching,"Stunning scenery, brilliant directing from Sean Penn, soulful songs from Eddie Vedder, and a remarkable, true story. Christopher McCandless (Emile Hirsch) is a college graduate from an affluent upbringing who decides to abandon his possessions and money and to live life out on the road, ala Jack London or Jack Kerouac during parts of their lives. He's a fascinating character because of his idealism and his nonconformity; he's intelligent and kind, and yet he doesn't value human relationships, preferring solitude and a deep connection to nature. Hirsch plays the part very well, displaying an easy, personable warmth but at the same time a determination to go his own way, damn the consequences. He also really looks the part, including scenes where he had to lose quite a bit of weight. His character is troubled from an upbringing that was riddled with strife, and in one moments says so simply (and sadly) ""Some people feel like they don't deserve love. They walk away quietly into empty spaces, trying to close the gaps of the past,"" and yet we get the feeling that is just one aspect of a complicated and yet simple guy.",w
7,8 October 2007,trigger_jam,10, Justice done.,"The sensitivity with which Krakauer captured the essence of McCandless and his adventure is extended aptly to the movie format by Sean Penn. Even if one might not be able to appreciate the purpose for Alex's journey, I don't think anyone would be able to deny that Into the Wild is a sensitive and poignant cinematic experience. There are scenes in this movie that one will never be able to forget, particularly the ending sequence. This movie will easily pull its audience into a philosophical debate for the truth about who was right and wrong isn't easy to distinguish. Sean Penn certainly doesn't try to answer those questions, questions that McCandless' life left for his family and the rest of us. Penn does well to tread a delicate objective but not indifferent line. Certainly the best movie of this year and one of the best ever made. The story, the story itself is great.",/
8,22 September 2007,Chris Knipp,9, One hell of a young man,"Sean Penn's 'Into the Wild' is a passionate and faithful evocation of Jon Krakauer's book about Chris McCandless. It's the troubling and complex story of a young idealist and seeker who was also a rebellious child and beloved brother who gave away his $24,000 savings to Oxfam after college, went off in an old Datsun and left his family behind, and disappeared for two years wandering the country, only to be found by hunters dead of poisoning and starvation in an abandoned bus in the wilds of Alaska.",r
9,6 February 2020,planktonrules,7, A most unique...but not entirely pleasant viewing experience.,"There is a certain irony to the story from ""Into the Wild"", as Hollywood, the land of excess, does a film about a man who got rid of all his possessions in order to live simply off the land. It would be like me (at 250 pounds) writing a diet book! Now I am not attacking Sean Penn or the film or any of the ones who made the film...but in general I just cannot associate Hollywood with the life of Christopher McCandless!",w
10,18 November 2018,phenomynouss,1, luddite fetishization of a coddled man in way over his head,"I found something utterly fascinating in the true story of Christopher McCandless, venturing out into the ""wild"" of Alaska with basically nothing but a gun and some food, and eventually succumbing to the inevitable.",4
11,13 April 2008,Ozzy2000,1, Dumb and futile death by misadventure by a spoiled rich kid,"This really stupid glorification tribute film financed by the extremely wealthy McCandless whose son died a futile death from poisoning , starvation and overexposure in the Alaskan wilderness. ",2
12,13 June 2009,rmax304823,7, In search of time not found.,"I've never seen a movie quite like this one, not an American movie at any rate. The one that comes closest, maybe, is ""Easy Rider,"" but that one was full of plot points and ambition, raggedy though they turned out. ""Into the Wild"" is more like an assemblage of episodes from a self-made movie, put together with the help of some family friends who happen to be professional actors.",8
13,21 May 2021,grantss,7, Good but not great,"Good, but as great as it is made out to be. Great scenery and cinematography, like a National Geographic documentary. Great soundtrack by Eddie Vedder. The central plot is very interesting and thought-provoking, but it gets done to death. From a point the movie just drifts. A shorter, more focussed film would have been much more watchable.",4
14,3 November 2009,TheAnimalMother,9, *The Hearts Search For True Heart*,"I agree with many others who have said that the main character makes some bad decisions (And you haven't?), and I agree that the film's story is far from the greatest story that has ever been made into a film. However, the story here is an important one that has a lot to say about being human. The story itself is certainly not at all an easy one to tell through the cinematic medium. Nonetheless, I really do think Sean Penn has captured this story nearly as well as it possibly could have been told on film, and that in itself is a stunning accomplishment. This story is so real, so human, that it reaches out and has obviously grabbed a ton of peoples hearts, including mine. The scenes themselves give off a very authentic feeling, even where some parts are somewhat rushed through for the betterment of the whole story, it ends up working well in full scope. Many of the scenes are extremely intimate, including the scene where Hirsch looks directly into the camera to increase this very aspect I feel. I know a lot of people have criticized this part, and I agree in most films it would have no place whatsoever, but here it is a very daring and effective decision by Penn in my opinion. Much of the film displays a vast amount of scenic beauty, and the scenes at slab city are nothing short of 'classic'.",8
15,23 October 2007,wyattej2000,1, Good movie about an idiot.,"This is a really good movie, unfortunately I could not remove myself from the fact that the main character was a complete moron. First of all contrary to what people feel, ""dropping out of society"" is a lazy, b.s. way of rebelling against corporate society, and never achieves anything but a self fulfilled prophecy. Here is what native Alaskans felt about this fool in general. ""Krakauer's book made McCandless a heroic figure to many.Unlike Krakauer and many readers of his book, who have a largely sympathetic view of McCandless, some Alaskans have negative views of both McCandless and those who romanticize his fate. McCandless was unaware that a hand-operated tram crossed the river a quarter mile from the Stampede Trail, while a nearby shelter was stocked with emergency supplies, as described in Krakauer's book. However, the three nearby cabins were broken in and vandalized extensively at some point after mid-April, thus destroying food and first-aid supplies, as noted by Jon Krakauer. Alaskan Park Ranger Peter Christian wrote: ""I am exposed continually to what I will call the 'McCandless Phenomenon.' People, nearly always young men, come to Alaska to challenge themselves against an unforgiving wilderness landscape where convenience of access and possibility of rescue are practically nonexistent ... When you consider McCandless from my perspective, you quickly see that what he did wasn't even particularly daring, just stupid, tragic, and inconsiderate. First off, he spent very little time learning how to actually live in the wild. He arrived at the Stampede Trail without even a map of the area. If he had a good map he could have walked out of his predicament ... Essentially, Chris McCandless committed suicide."" Judith Kleinfeld wrote in the Anchorage Daily News that ""many Alaskans react with rage to his stupidity. You'd have to be a complete idiot, they say, to die of starvation in summer 20 miles off the Park's Highway.""[12] Thank you very much, but making a martyr out of a moron is just too much.",0
