Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,3 August 2021,Fella_shibby,10," It's hard to make a good movie, even harder 2 make a good movie wth historical authenticity bt the hardest of all is 2 make a good movie with non-professional actors who had..",..who had lived through the real battle.,/
1,11 August 1999,Sigmund,8, Excellent movie,"I ask myself why we never see these kind of movies on TV, instead of airing again and again the same old lethal weapons, jurassic parks, and other similar stuff? This is real cinema, this is why it is considered a form of art!",r
2,27 October 2020,Xstal,9, The Hypocrisy of Occupation...,"You will struggle to find a better argument to dissuade budding and existing occupiers of territory they have no legitimate claim to embarking on, or continuing with their despotic occupations of populations and their lands. The people of Algiers demonstrate as determined a will to overthrow their oppressors as their oppressors had demonstrated just over a decade previously in their fight to regain their freedom from tyranny. It is however, the gripping presentation of a reality into a thoroughly convincing and believable portrayal of that reality that grabs the audiences attention, giving it longevity, linking it to future conflicts, keeping it relevant. It leaves you questioning what you would have done under the same or similar circumstance, while juggling the difference in semantics between freedom fighter and terrorist and considering the situational similarities that currently exist in the world today.",e
3,7 September 1999,Spuzzlightyear,10, A Brilliant War Film...,"Just when I thought I was starting to hate every movie in sight, I had the amazing priveledge to watch ""the Battle Of Algiers"" which is this amazing account of the oppression of the Algierian people by the French in the 1950's. ",v
4,21 February 2000,ryzzard,10, A savage war of peace.,"An historian writing about the Algerian war against the French colonial authorities entitled his book ""A Savage War of Peace"". ""The Battle of Algiers"" provides many answers to that enigmatic title. It does not attempt to show us the entire war but centers on the city of Algiers. Even though you are told at the beginning that no documentary footage is used it is at times hard to believe as many of the images you see have a stark and often unsettling reality to them. Considering that this was a co production between Algeria and Italy the film is remarkable in that it does not turn itself a political tirade by taking sides. Instead the camera is a sort of neutral observer allowing us to witness events that spiraled from individual demonstrations to a full scale war of savage intensity. French officers who fought the Nazis a few years before degenerated into the mode of their former enemy while Algerians had no problems exploding bombs that would kill their own people. The camera shows no heros or villains but humanity in its darkest forms. This is a powerful film with superb direction and cinematography. It truly is one of a kind and once seen will never be forgotten.",i
5,31 May 2008,claudio_carvalho,10, Powerful and Impressive Masterpiece,"In 1954, the National Liberation Front of Algiers shots many French policemen beginning a movement for the independence of their country; in return, the Chief of Police plants a bomb in the Arab quarter, killing many dwellers. The NLF sends three women with bombs to two bars and the Air France office in the European quarter, killing many people. The French government sends the military forces under the command of the abusive Colonel Mathieu (Jean Martin) that does not respect the human rights and uses torture to destroy the NLF command. In 1962, the Algerians finally achieve their aimed independence.",e
6,4 October 2003,jazzest,8, Masterpiece with Historical Accuracy,"Capturing a historic incident/moment with extraordinary accuracy makes a film truly beautiful, painful, and masterful. With the tradition of Italian Neo Realism and French New Wave - i.e. shooting in location and casting nonprofessional actors, The Battle of Algiers harshly seals the ugly realities of both French Legion and Algerian Guerillas - i.e. indiscriminate bombs, tortures, and scapegoats. Ennio Morricone composed one of his early successful scores.",w
7,14 March 2010,lastliberal,9," We aren't madmen or sadists, gentlemen. We are soldiers and our only duty is to win.",This film received Oscar nominations in 1967 and 1969. First time I have ever seen that.,/
8,27 December 2004,Epaminondas,10, Best historical film ever?,"Battle of Algiers might well be the best historical film ever. It stands out as a splendid work of art, as an extremely accurate depiction of a specific time and place, as a political hymn to independence, and as a thought-provoking philosophical reflection on violence, and on the relationship between ends and means.",r
9,29 June 2015,mbouchagour,9, I can't be objective !,"As Algerian, I watched this movie 2 times a year for 20 years, this movie is a part of my story. It helped me to put imagines and sounds to stories I heard from my teachers, cousins, as my grand-parents and my parents still can't talk about that horrible war.",w
