Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,16 November 2003,Smells_Like_Cheese,10, One of those movies that you'll never forget,"I remember as a child, my sister told me to watch this film. That it was the best film she ever saw. I didn't watch it until I turned 10; finally I sat myself down and watched it. I fell in love with it.",/
1,3 September 2010,JamesHitchcock,10, The Patron Saint of Mediocrities,"Most films about composers- Ken Russell's ""The Music Lovers"" about Tchaikovsky and ""Immortal Beloved"" about Beethoven are examples- rely upon the cliché of the creative artist as tortured, neurotic genius. Perhaps we like to console ourselves for the fact that we are not ourselves geniuses with the thought that genius must be paid for in mental suffering. Of course, not all composers fit this stereotype- Haydn was stoical in the face of misfortune (including a miserably unhappy marriage), Rossini was a noted bon viveur and it was often said of Felix Mendelssohn that his forename (Latin for ""happy"") well suited his character. But when did you last see a biopic of Haydn, Rossini or Mendelssohn? ""Song of Norway"" told the story of Grieg, another composer who doesn't really fit the ""tormented genius"" label, but it bombed at the box-office. ",r
2,26 November 2006,possumopossum,9, The Movie That Made Me Appreciate Mozart,"Before I saw this movie, I respected Mozart's genius, but his music wasn't my cup of tea. Beethoven was more to my taste, I tended more toward heavier classics. But this movie moved me to tears, especially at the end when they did Mozart's REQUIEM while he was working on what was to be his last piece of music. Now, I'm a Mozart fiend. This was a great movie. True, there are some historical inaccuracies. Anyone who has studied music history knows that Sallieri did not help Mozart with his Requiem. It was a student of his named Sussmayer. But it does make this story ironic, that the man who was so dedicated to the ruination of Mozart ended up helping him in the end. (I question the historical accuracy of that as well.) I recently bought the director's cut to this movie. Until I saw the director's cut, Sallieri seemed like a more sympathetic character, someone who just couldn't buy a break. Who can't identify with that? But after seeing the director's cut and seeing what I think is an important scene between Sallieri and Mozart's wife, he seemed more like a jerk. You also understand why Frau Mozart was so rude to Sallieri at the end of the movie, whereas before, you see the next to the last scene and you think, ""Whoa! Where did this come from?"" This was a great movie, for entertainment value only. If you want historical accuracy, watch a documentary or read a biography from the library or something. Because of this movie, I am now a rabid Mozart fan. If the movie can make Mozart converts, then it can't be bad at all.",e
3,7 March 2010,TheLittleSongbird,10," Absolutely brilliant!- funny, charming and touching, a masterpiece!","I adore classical music, and Mozart is one of my favourite composers. When I came across Amadeus in my local charity shop, I knew I had to buy it. I watched it, and I loved it from start to finish. It is true it is not necessarily a true depiction of Mozart's life, but I was so blown away by the quality of the acting, sets, costumes and music that I forgot about that. The film is just gorgeous to look at, Vienna in the film (Prague in real life) looks beautiful, but the sets and costumes are colourful and lavish. The music is utterly majestic, from the Marriage of Figaro, Queen of the Night(brilliantly sung in what is one of the most difficult colouratura arias ever), Requiem in D minor to Don Giovanni, it was a feast to the ears. The script I thought was of exceptional quality particularly during the finale of Marriage of Figaro(one of the most beautiful tender moments in any opera is where the countess forgives her husband), and the direction was very fine. As many reviewers have pointed out, this is more about the mediocrity and envy of Salieri than it is of the eccentric genius of Mozart, thus the story was compelling and intriguing. The acting is wonderful; Tom Hulce is excellent as Wolfgang Amadeus Mozart, yeah his laugh is a tad grating, but I loved the manic and eccentric interpretation Hulce gave. Elizabeth Berridge is suitably petite and alluring as wife Constanze while Jeffrey Jones is delightful as Emperor Joseph II. For me though, F Murray Abraham gave the film's best performance, for he was absolutely outstanding as Salieri. Overall, brilliant film, gorgeous to watch, amazing music and essentially a must see! 10/10 Bethany Cox",v
4,30 January 2007,miknnik,10, True Gem for Movie and Music Fans,"I'd like to point out a few facts before I review the movie. First of all, Mozart died at home surrounded by his family, pupil and a priest. Secondly, the plot of Amadeus is not exactly original. Rimsky-Korsakov wrote a short opera called ""Mozart and Salieri"" with the bare bones of the story and the identical characterization of the two composers, and he used Pushkin's drama for the libretto. So, the rumor that Salieri killed Mozart has been around for almost a couple of centuries though we all know there isn't an iota of veracity in it.",i
5,16 January 2010,AlsExGal,9, To give everything you have to music and come up short,"At the tender age of 26, when I still thought no film was complete without a car chase and a big explosion, Amadeus had me hooked. I went to see it multiple times back in 1984 during its initial release, back when the theater was empty whenever it played and before it was nominated by the Academy.",e
6,6 December 2014,SnoopyStyle,9, Great F. Murray Abraham and Tom Hulce's laugh,"The movie opens with an elderly Antonio Salieri (F. Murray Abraham) confessing to killing Wolfgang Amadeus Mozart (Tom Hulce). He used to be one of the great composers of Europe but has since been forgotten. As a boy, he was jealous of Mozart. He was delighted that his boorish father died. He works his way up to being the court composer to Emperor Joseph II (Jeffrey Jones) in Vienna. He is eager to meet Mozart but finds a flamboyant immature sex-fiend. Soon his admiration turns into jealousy of Mozart's Godly gift. Mozart marries Constanze (Elizabeth Berridge).",w
7,20 August 2016,ironhorse_iv,9, Rock me Amadeus! Amadeus is a beautiful musical masterpiece,"Extraordinary! On the page it looked nothing! The beginning simple, almost comic. Just a pulse. And then, suddenly, high above it, beautiful music. A single note, hanging there, unwavering. Until a clarinet took it over, sweetened it into a phrase of such delight! This was no composition by a performing monkey! This was a music I had never heard. Filled with such longing, such unfulfillable longing. It seemed to me that I was hearing the voice of God. Director Milos Forman's Best Picture winning drama was indeed a masterpiece. Based on Peter Shaffer's extravagant 1980 Broadway play with the same name. The film tells a fictionalized biography of tortured genius and Viennese child prodigy Wolfgang Amadeus Mozart (Tom Hulce). Also, the story was presented in a way that was very unique at the time. It was through the eyes of fellow jealous composer Antonio Salieri (F. Murray Abraham) who finds the deeply crude and childish behavior of Mozart, unworthy of such praise. Driven by his attempt to outshine Mozart, Salieri must find a way to gain the audience of the Austrian Aristocrats, before it's too late. Without spoiling the movie, too much, a lot of people had complain that this movie wasn't historical accuracy. In my opinion, a lot of this criticize wasn't needed. To the film credit, Amadeus never claims to be a true story. It's normal for films like this, to sometimes diverge from historical facts in order to explore more fundamental and universal human issues and to achieve a dramatic effect. Yet, the film had more fact than fiction than most people are willing to taken. It did a lot of homework to get, as accuracy as possible. So, when I hear, some of the main complains that the critics point out about the film. I had to question, their short-temper justice. I felt like they were misinform. Many of the so-call historical inaccuracies were somewhat true. It's true that Antonio Salieri later claims he killed Mozart. Even Mozart toward the end of his life, swears that he's believe that he been poison, but in terms of Salieri doing it; its indeed historical fiction; due to the fact that most historians dismissed his mad ravings with that of a person whom clearly had his sanity deteriorated & the fact that Mozart fell ill while in Prague on Sept 6. 1791 where Salieri was clearly not there. Another claim, these critics spoke of, is how the film, portray a masked man wanting to commissioned a requiem from him in order to steal his work. In truth, it was very likely at the time for people to anonymously commissioned requiems from famous composers and pass them as them, off; but there was no reason why Salieri needed to. After all, his music was a lot more popular at the time, than Mozart. It wasn't, because Mozart was lazy. It was, because he was a fading child star, who had drug problems which both historians and film critics fail to notice that kept him working. I thought that Tom Hulce's immature performance as Mozart was very accuracy as it was very well documented that the composer had those characteristic traits even if it's a little exaggerated. However, the ever-present, idiotic giggle does get a little too annoying at times. About the fact that Salieri and Mozart were fighting for certain imperial jobs, it was true, but the reason why Mozart was never given a position on the emperor's courts, wasn't, because Salieri's envy of Mozart, but the fact, that Mozart's music doesn't sound typical 'Galant' & he wasn't noble. There was no reason why Salieri really needed to steal his work, as he was rich enough, and Mozart's work was a little too controversial at the time for basing works on Austrian's past banned materials and not being tradition. About Mozart's constant embarrassment of Salieri, such as seducing Salieri's lover, Catarina Cavalieri (Christine Ebersole). There is no evidence that Mozart slept with her. In reality, it is very likely that Salieri slept with Catarina, as it was generally known, at the time, that she was his mistress, and if they were still together years after 'The Abduction from the Seraglio'. If anything, Mozart and Salieri were, if not best of friends, at least on peaceable terms with one another, when it comes to sexual and musical conquest. He wasn't a saint at all. He even educated Mozart's younger son Franz Xaver Mozart, after the composer death. While, yes it's true that Mozart's work outlive, Salieri. It wasn't because Mozart work was better than Salieri. It was, because German nationalism began to take shape in Vienna with the birth of Romantic nationalism during the Napoleonic Wars. Italians were often view, as scapegoat of the war since Napoleon was one; thus Italian culture like it's music was somewhat banned from most European cultures during the mid19th century. This short ban, cause hits like Salieri to be nearly forgotten. It wasn't until, the late 20th century that most of Salieri's work was reintroduce into western culture with this film. The film was well-received by both critics and audiences alike with its lavish set and period costume design, music, visuals, and its acting. If the film had any faults, it would be the fact that the movie has pacing problems. It's way too damn long. 2h 40min is too much. It could had been cut down. Ultimately, the 1984 awards were monopolized by Amadeus with eight wins: Best Picture, Best Actor (F. Murray Abraham), Best Director, Best Screenplay Adaptation, Best Art/Set Direction, Best Sound, Best Costume Design, and Best Makeup. It became the 7th film in Oscar history to win eight Oscars. Overall: It's visually interesting, has dramatic intrigue acting from F. Murray Abraham, hilarious comedy, and introduced people to a part of history that was phenomenally fascinating and surprising, mostly true. I highly recommended this film.",/
8,27 September 2004,OriginalMovieBuff21,10, An Excellent film of describing Mozart's life from wealthy with great fame that shatters in pieces,"Amadeus is one tremendous film. The acting was great. Tom Hulce did wonderful and I have only seen him once in a film and that was Animal House. The rest of the cast was great to like F. Murry Abraham did a terrific job in his performance. The music was brilliant, I have never seen a film with such great performances in their plays. I really did admire this movie, everything in it was very interesting and after I watched the film I did a little research on Mozart. The script and directing was superb and the cinematography was brilliant. I couldn't of asked for a better film than Amadeus. I'm glad I saw this film!",r
9,23 January 2004,dr_foreman,10, my number one,"Now, this is my idea of a movie - spectacle, religion, sex, envy, and some of the most stirring music ever composed.  And it all seems so modern; a bad visit from Mozart's father is awkward in the same way as a bad visit with my own parents!  Here's a film that makes ancient history seem like yesterday, using the same trick employed by all classic films - solid characterization.",w
