Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,30 August 2010,classicsoncall,10," ""Men like you are my specialty, you know?""","There are a number of films I've seen more than once, and if they're good (the only reason really, to watch them again), they become a richer experience and one gains a greater appreciation of them. ""Shutter Island"" might be the only picture that on subsequent viewings, becomes a DIFFERENT film from the one originally seen. I say this because the first time around, there's no way to take the character of Teddy Daniels (Leonardo DiCaprio) other than at face value. He's a detective investigating a missing person case on an island. Not your normal island, but one that's home to an institution for the criminally insane. Every interaction he has with a character in the picture is one between himself, Detective Daniels, and that character. As we come to learn, all that changes when Dr. Cawley (Ben Kingsley) reveals the twist near the end of the story, at which point, one is left either totally disillusioned or utterly blown away.",/
1,22 July 2019,jackgdemoss,9, One of the most memorable plot twists of this decade,"I originally saw this film when it came out but couldn't remember it well enough to give it a rating or write a review, so a rewatch was in order. I viewed the film through the lens of already knowing the plot twist, which made it a whole different experience. The ending will be remembered throughout film history as one that showed just how viciously a well written script can flip an audience over. This really is a film you should see twice.",r
2,24 September 2017,ruhsa,10, The movie is perfect psycho drama,"Shutter Island is the story of Teddy Daniels, A U.S. federal marshal sent to the island with his partner Chuck Aule to search for the disappearance of a patient. Each scene provides a turn against their leads and compels them to look for more whilst searching in places we couldn't comprehend, including their minds. Leonardo DiCaprio and Mark Ruffalo feed off each other and supply great performances for their characters as expected, but some of the other characters whose names are riveted on the posters or marquees are sensational as well. The two that stuck out to me most were Ben Kingsley (Dr. Cawley) and Michelle Williams (Dolores, Teddy's wife), each of whom brought so much dramatics and new questions to the movie, developing plot twists and controversy. I don't think this film would be the same without them.",e
3,22 May 2010,napierslogs,9, Shutter Island is at the top of its genre,"Martin Scorsese has done it again. He pays attention to every detail in this film, making ""Shutter Island"" one of the best suspense thrillers of all time.",v
4,29 July 2018,NpMoviez,10, Movie of the decade.,"It is one of the best movies made by director Martin Scorsese. It is perhaps the best movie starring Leonardo DiCaprio. Honestly speaking, it is one of the greatest films of the decade. DiCaprio featured in two movies in 2010, the other one being ""Inception"". Both were excellent. To this day, they are some of the best cinematic experience I have ever had. That being said, I found ""Shutter Island"" to be much more superior, as ""Inception"" feels a little bit of a mumbo jumbo many times.",i
5,27 February 2010,Tania_Chesala_R,8, Don't be side tracked by the obvious twist.......there is more than one,I know there is already a spoiler warning up top but I am going to warn you again. Don't read this because I am going to give everything away.,e
6,8 July 2011,planktonrules,9," I know it's convoluted and slow, but stick with this one...really.","2010 was very good to Leonardo DiCaprio. Shedding his pretty little boy image, he played in two very gritty and similar films, ""Shutter Island"" and ""Inception"". I saw them both and enjoyed them both. And, to buck the tide, I'd have to say I actually liked ""Shutter Island"" a little more...really. Now do NOT just rush out to rent this one, as I can't see this film appealing to everyone. It IS confusing. The plot can feel a bit tiresome and slow. But, if you are very patient, it all comes together perfectly--with the last 15 minutes totally enthralling me. I think part of it is because I am a retired psychotherapist and psychology teacher--and the film is a great psychological drama. And, the story actually is consistent psychologically and is actually plausible.",w
7,16 April 2010,dvc5159,8, I can't look away...,"Finally, a horror/thriller that actually, genuinely scares the crap out of you. Not because it has fancy villains in masks or sadistic buckets of gore throughout. No, it scares you because it messes with your mind. Most will hate this movie, they don't like their brains being tampered with. I loved it. It's what we needed after all those gory R-rated and sometimes lame-duck PG-13 horror crap-fests.",/
8,29 March 2021,davidmvining,10, One of Scorsese's best,"This movie's ending is a case study in how to read movies. If you consider what was said before, what was done before, and the basics of the character's journey, there is literally only one way to read the movie's final moments. Everything up to that moment builds to the finale is designed to feed a specific end point, and it helps the movie as a whole that everything up to that point is incredibly well done. Scorsese had one early foray into big budget filmmaking with New York, New York, which wasn't really any kind of success, but his turn into big budget filmmaking with another two decades of experience under his belt has been far more successful as he is able to still coax quality performances from his actors while working with more traditionally narrative based scripts (this time based on a novel by Dennis Lehane) and much more intricate and larger production design.",r
9,23 February 2010,TheDeadMayTasteBad,9, All it Takes is One Line of Dialogue to Make an Impact...,"There is one line of dialogue, right at the end of Shutter Island before the credits roll, that elevates the emotion of the film and makes it much more powerful. For those of you, like me, who read and enjoyed the novel before seeing the film and felt that the trailers and advertisements for this film were leading you to believe there wouldn't be any narrative surprises in store, think again! Scorsese's film features that one brief piece of dialogue at the films conclusion that results in an entirely different perception of the final act. The rest of the film, however, is very faithful to Dennis Lehane's already great story.",w
10,9 March 2020,Ch4ndler_B1ng,10, Best Film of the Decade...,"68% on Rotten Tomatoes, really?",2
11,21 February 2010,stednitzrules250,10, No one likes to be messed with.,"Shutter Island. A film that will divide the film community. A film that will leave many upset, and hating it. A film that has already completely split the critics. A movie that messes with you. And no one likes to be messed with. And that is exactly where it exceeds. Think I'm contradicting myself? ",2
12,6 August 2010,TheLittleSongbird,9, Atmospheric and clever- really makes you think deep,"I like Martin Scorsesse a lot, and I was interested in seeing Shutter Island. It had a truly intriguing concept and my 17-year old sister was raving about how brilliant the film was. Shutter Island is not Scorsesse's best, but it was atmospheric, clever, incredibly thought-provoking and somewhat disturbing too.",1
13,29 December 2015,Irishchatter,9, A fantastic film with DiCapro,"I thought this film was fantastic, i wouldn't call it scary or easily frightening, I would call it a mystery thriller masterpiece. As usual with Leonardo DiCapro, he was always excellent at playing the right roles. Gee, he had to play two characters - Ted and Andrew which could make you confused to which one is he really acting as. That must be really challenging but i say Leonardo is well able to do any role at the same time!",0
14,14 May 2010,talkymeat,10, A Dark Brooding Masterpiece.,"Shutter Island centers around two U.S. Marshalls who must search for a missing patient on said island, which has a large complex specifically designed for harboring the most violent and disturbed mental patients. Agent Teddy Daniels and his partner must try to understand the mysteries of Shutter Island while attempting to unearth a plot that may go all the way up to the men who run it.",2
15,17 February 2010,slothhead54,9," Of all the movies in theatres to see, this is worth your time","I just saw Shutter Island this evening, just prior to its American release. I have to say this film was full of intrigue. Prior to viewing this film I had built a preconceived notion of what this thriller was going to be like because I was fooled yet again by good marketing when watching the trailer. This is probably not the movie for your average film-goer who wants an easy plot line to follow and little thought required. This movie does challenge the viewer physchologically and definitely holds your attention all the way through. For someone who was never much of a Leonardo fan, his performance is brilliant, so much range to his character. In fact all of the acting in this film is excellent. The directing is probably the best quality to this film. I always enjoy watching a film that is as unpredicatable as this film and where the director has turned the plot line on to his viewer.",4
16,19 February 2010,bain0038,10, Don't miss this one - review from a skeptic.,"From the look of the trailer, Martin Scorsese's ""Shutter Island"" looks more like a horror film This is a dangerous place where isolation rules under fascist control. A U.S Marshall is sent to an asylum to investigate a missing patient but discovers so much more. A demon? A ghost? Something more? Is this going to be as disappointing as I think it is?",2
17,19 February 2010,IamtheRegalTreatment,9, Counting down the days until I can add this to my DVD collection...,"Similar to my rating for this film, you can argue that 9 out of 10 people who watch this movie, it will not be their first Scorsese film. Most of us know the genius that he is and coming into this showing we should expect brilliance, and gladly he delivers a captivating storyline driven by great acting. Unfortunately with the release of Shutter Island was also a press release that Taxi Driver may be remade, so that news made me hesitant to care, but I'm glad I was wrong.",/
18,30 August 2010,Hitchcoc,8," OK, Play with My Mind!","I was told on several occasions to skip this film. While I felt it took a long way to get to the point, I found it intriguing and engaging. I've really grown to like DeCaprio and find him to be an interesting actor. One reviewer did criticize him for hanging around the dark side a bit much, but that could be said about Nicholson and a host of others. This is one of those mind puzzles that force one to guess a good deal. Because of the pace, I eventually figured it out. Nevertheless, it is told in a very interesting way. With ""Inception"" capturing the box office recently, this seems a mild effort to explore the subconscious. It is multi-layered and complex. It throws curves and red herrings, but I never felt toyed with. This is certainly worth a shot.",?
19,29 September 2021,Rainey-Dawn,10, Mystery Fans Must See!,This is by far one of the best mystery-thrillers ever written! Twists and turns that will shock and a story that will keep you on the edge of your seat - a must watch!,r
20,16 February 2010,blackmambamark,8," Once again, Scorsese has helped redefine a genre'","Sure everyone knows the typical Scorsese film. Normally there is a mob present, or in most cases, a tough brute who loves to flash the ""F"" bomb in almost every sentence. But what about a thriller? I mean sure, we have seen it in ""Cape Fear"", probably one of my personal favorite remakes. But what about a top notch mind bending thriller that really makes you think. Something the likes of which we have never seen Mr. Scorsese do. But given his previous works of art, its really hard to doubt that he cannot pull this off.",e
21,25 July 2013,lesleyharris30,9," Shocking and Brilliant,","Shutter Island is an absolute breathtaking movie with a tremendous storyline that will keep you interested all the way through and a brilliant cast that all follow through with their performances in an overall terrific film once again from the great Martin Scorsese.The movie sounded pretty plain to me,I thought it would be an average thriller that I would enjoy but it would be pretty forgettable,but it totally wasn't,the movie had me curious and also confused,and the twist was one of the greatest,most surprising and most shocking twists i've ever seen in a movie,I literally never suspected it,not even once,and when it did happen I still didn't believe it.Shutter Island is a must see for all fans of Leonardo DiCaprio,Martin Scorsese,thriller and mystery.",f
22,12 June 2018,ComedyFan2010,10, Wonderful movie,I guess when looking at the names of director and the cast one knows that it can't go wrong. And it didn't. I loved this movie through it's 138 minutes and it didn't even seem that long.,_
