Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,8 November 2000,Anonymous_Maxine,10," One of the best films noir ever, Double Indemnity communicates with amazing effectiveness the depths of depravity, greed, lust, and betrayal of the seemingly innocent and beautiful.","This is one of the best films of all time, not necessarily because of its story but because of the acting, direction, cinematography, lighting, and just the way that the story itself was told. At the time the film was released, the idea of revealing who the killer was in the opening scene was virtually unheard of, but it ended up being very effective because it allowed the audience to concentrate more on other elements of the film, which was the goal of Billy Wilder, the director. Instead of trying to figure out who the perpetrator was, there is more emphasis on how the crime was pulled off, what mistakes were made during the murder, who betrayed who, how close Barton Keyes (the insurance investigator) was getting to solving the case, and, probably most importantly, what kind of person Walter Neff is and whether or not sympathy should be felt toward him.",/
1,23 December 2005,ccthemovieman-1,10, Justifiably At The Top Of Most Film Noir Lists,This is one of the best-liked classic films of all time and I am among that large group of fans as well.,r
2,30 June 2015,ma-cortes,8," Absorbing and worthy suspense film about blackmails , killing , corruption and strong intrigue","Vintage Noir Film with gritty interpretation , atmospheric settings , crackling dialogue throughout and powerhouse filmmaking . This Billy Wilder's first thriller is one of the finest Noir film ever made . A scheming wife (Barbara Stanwyck) lures an insurance salesman (Fred MacMurray , though Alan Ladd, George Raft, Brian Donlevy, James Cagney, Spencer Tracy, Gregory Peck, and Fredric March were all up for the leading role) into helping murder her husband and then declare it an accident . Both of whom concoct a twisted scheme to collect the benefits of a insurance policy . As the hubby's policy contains a clause that states that if the husband's death caused by a moving train the policy pays double face value . The investigator's boss (Edward G. Robinson) , not knowing his colleague is involved in it , suspects murder and sets out to prove it .",e
3,17 July 2005,jotix100,10," Some times, when they least expect it.....","There are occasional times when all the elements come together to make a great film that will stand the passing of time. ""Double Indemnity"" seems to be an example of this phenomenon.",v
4,2 May 2004,Spondonman,9, It fits together like a watch,"I've now seen this movie 14 times in 25 years, at all times of the year, in all moods, sober or not etc - but always at night. I recorded my copy off TV in 1987 so I can only imagine what a remaster would do for it. With an atmosphere thick enough to cut with a knife it never fails to engross and enchant me, and although it's been dated for 40 years or more still seems relevant and watchable today. TV, answer phones, recordable CD/DVD, memory sticks and the internet have all come between us and yet I can still watch Fred MacMurray speaking into a Dictaphone without a qualm. Who wears a hat in California nowadays? Who buys beer whilst driving! Lift attendants have gone but I can still believe in Charlie working and laughing away in the garage past 11 at night.",i
5,19 February 2019,jmholmes-73727,10," Movie Heaven, Baby","Barbara Stanwyck changed the trajectory of her career with her ruthless, icy performance here. Fred MacMurray, however, would never again allow himself to duplicate anything similar to Walter Neff's troubled, doomed portrayal again on screen. Playing against their dark alliance, it is left to Edward G. Robinson to win the audience over as he struggles to shed light on the insurance fraud and murder.
This script should be studied by anyone who plans to write for TV or movies. Note the significant changes Wilder and Chandler made from James Cain's original novel - changes Cain admitted were improvements.
Especially worthy of mention is the level of artistry displayed in the final minutes when, after an hour and a half of of bitter nastiness, Wilder gives us just the smallest spoonful of sugar that wraps everything up perfectly. There's almost something criminal when evil is such a treat to watch.",e
6,29 March 2006,planktonrules,9, you just can't find snappier dialog,"Wow--this movie had the absolute snappiest dialog of any Film Noir movie in Hollywood history. For dialog alone and Fred MacMurray's voice-overs, this must rank as one of the best Noir films of all time. The words they say are all so carefully chosen and magnificent--the writers really did their work well. And, the acting and direction are excellent as well. About the only reason I don't score it a 10 (and it sure came very close) was that, for Film Noir, there wasn't a whole lot of action or even suspense in the movie--considering you KNOW that MacMurray is making a confession so he isn't going to get away with the murder plot. Still, these are VERY minor complaints--the film is simply great. I suggest after seeing this film you watch an episode of MY THREE SONS and see the two extremes in Fred's work--the absolute apex and the absolute nadir (if you don't know what those words mean, look 'em up yourself, ya mug).",w
7,3 May 2005,gftbiloxi,8, A Noir Classic,"Author James M. Cain virtually created a new genre with his extra-tough, sin-blackened, and sex-drenched novels--and they were so successful with the public that not even 1940s Hollywood could resist. The result was three of the most famous films of that decade: MILDRED PIERCE, THE POSTMAN ALWAYS RINGS TWICE, and DOUBLE INDEMNITY. Although POSTMAN is probably the better film, INDEMNITY is the most famous--possibly due to the story's truly psychotic edge, which is given full life by Barbara Stanwyck in one of her most celebrated performances.",/
8,13 October 2019,purrlgurrl,10, Noir at its very best,"The best film adaptation of a James M. Cain novel ever made (neither version of ""The Postman Always Rings Twice"" even comes close). The script, by Billy Wilder and Raymond Chandler, is flawless. Wilder's direction is masterful. The cast is phenomenal, with Fred McMurray as a smart-talking but naive chump, Edward G. Robinson as a shrewd and relentless insurance investigator, and Barbara Stanwyck (her very best performance ever, IMO) as a scheming wife who wants her inconvenient husband out of the way.",r
9,1 March 2011,TheLittleSongbird,10, Quintessential film noir,"Billy Wilder had directed some wonderful movies, Some Like it Hot, Sunset Boulevard, Sabrina, The Apartment and Witness for the Prosecution are all fantastic. Double Indemnity is up there with his very best. Wilder directs impeccably, but his direction is not the only great thing about Double Indemnity. Everything is great about it, it is a timeless classic and defines the term quintessential film noir.",w
10,5 January 2012,ferguson-6,10, I Wonder if you Wonder,"Greetings again from the darkness. ""I wonder if you wonder."" Every time I hear Walter Neff say those words to Phyllis Dietrichson as their initial encounter concludes, I smile and settle in for another round of Double Indemnity (1944) ... one of my all-time favorites. Though I have seen it many times over the years, I recently saw it for the first time on the big screen ... and from a 35mm print! So much of the subtle filmmaking becomes apparent - the variance of lighting, the intensity of shadows, and the vividness of close-ups. This reinforces my belief that we should never miss an opportunity to view good films in a theatre setting ... just as the director intended.",6
11,8 March 2010,gcd70,7, Classic tale of double cross,"Classic tale of double-cross and scheming is done to a nicety. Never mind the fact that the script is formulaic and predictable, and the characters are all selfish and self-serving. Just sit back and enjoy some great acting and smart direction.",3
12,31 October 2017,Sleepin_Dragon,10, A film noir masterpiece.,"Walter Neff arrives at the home of The Dietrichson family, to sell insurance, with the husband absent he gets acquainted with the wife, Phyllis, the pair converse, and hatch a plan.",6
13,16 December 2006,bkoganbing,10, Anytime You Want A Husband Turned Into Cold Cash,Billy Wilder's cynical self came to public attention in this classic noir film about a luckless insurance salesman and one coldhearted dame. Double Indemnity skirted the very edges of Code morality and it took years before someone brought James M. Cain's novel to the screen.,7
14,16 January 2009,Nazi_Fighter_David,8, A film noir masterpiece that received no less than seven Oscar nominations,"There were some superb thrillers coming out of Hollywood in the forties which did not rely on the private eye conventions  but somehow the best of them were spread throughout by the same cynicism, the same realism, the same ruthless suspense ",4
