Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,4 September 2010,Lejink,7, M for masterful,"A treat for the eyes and exercise for the brain, ""Dial M For Murder"" is Hitchcock's second ""drawing-room perfect murder"" movie, after ""Rope"", the latter a darker and more sinister affair altogether. Hitchcock himself in interviews played down the quality of this movie, amongst other other things indicating that it was treated almost as a warm-up for the more ambitious ""Rear Window"" which immediately followed it in his career.",/
1,26 November 2012,TheUnknown837-1,9," The stage-originated dialogue sings with intelligence, wit, and an easy transition to the screen","There is a lot to admire about Alfred Hitchcock's ""Dial M for Murder,"" and I do hold the film with a great deal of admiration and respect. However, what I adore about the movie the most (more than the cinematography, the suspense, the acting, and even the direction) is the work by screenwriter Frederick Knott. Mr. Knott based the screenplay for ""Dial M for Murder"" on his successful stage production, which I have never seen, but am told contains almost all of the words we hear in the film. And the words are music to the ears. They sing with intelligence, wit that Mr. Hitchcock certainly found attractive, and, best of all, an easy transition to the screen. Many times when a stage production goes to film, as far as I am concerned, the results, even if good, are uneven. Frequently, the dialogue and restricted set space allowed tend to give off the impression of a filmed play, not a cinematic experience. Another Hitchcock film, 1948's ""Rope,"" though valiant, interesting, and successful, attempted this and suffered from this difficult struggle.",r
2,21 February 2007,jluis1984,9, The perfect film for the perfect murder...,"After earning an Academy award nomination for her performance in John Ford's 1953 tale of romance and adventure, ""Mogambo"", the beautiful actress Grace Kelly proved that she was way more than just a pretty face and that there was real talent behind her image. However, what truly took her career to new levels were three now classic films she made directed by the legendary Master of Suspense, Alfred Hitchcock. Under his direction, Kelly made an integral part of the Master's films, becoming the perfect embodiment of Hitchcock's idea of a female protagonist. While Kelly debuted two years earlier in the classic Western ""High Noon"", one could say that it was Hitchcock who really introduced the beauty and talent of Grace Kelly to the world. ""Dial M for Murder"" was the first of Hitchcock's films with Kelly, and a movie where once again the Master returns to a familiar theme: the perfect murder.",e
3,21 January 2013,Spondonman,8, Excellent,"What gets me about this film every time I see it is just how simple it is. The witty urbanity of the dialogue goes without saying (hem), the acting is stagily impeccable, and the direction by Hitchcock is limited by the small sets but masterful for all that.",v
4,15 October 2006,PizzicatoFishCrouch,9, Tense and exciting.,"Tony Wendice (Ray Milland), an ex-tennis player, unhappily married to Margot (Grace Kelly), correctly guesses that she has been cheating, with Mark Halliday (Robert Cummings). Mark writes crime stories. Unbeknown to Margot and Mark, Tony knows about the affair, and wants to teach Margot a little lesson, by taking away the thing that is her life. But, being too guileful to do it himself, Wendice blackmails one of his old school friends into murdering her, and the essential thing to doing it is his latchkey.",i
5,21 June 2016,Leofwine_draca,10, Fantastic Hitchcock murder mystery,"Another excellent Hitchcock film, just one of the many that the director made which exceeded all my expectations. This murder mystery has a twist - we know the identity of the culprit from the start, it's just a question of waiting to see whether the cast work it out or not. The film takes place in a single location, a low key apartment, much like the Audrey Hepburn thriller WAIT UNTIL DARK. It's a slow paced and talky affair with an absolutely intricate plot that's likely to tie you up in circles if you don't watch it closely enough, but of course that's part of the fun.",e
6,19 June 2009,TheLittleSongbird,9," Not Hitchcock's best, but definitely a film not to miss!","Alfred Hitchcock is a wonderful director, directing classics such as Psycho, North by Northwest and Rebecca. While not his best, Dial M For Murder has so much to recommend it. First of all, is the breathtaking cinematography, which is nearly always the best thing in a Hitchcock film. The script is a gem, showing that you are capable of anything, and most of the time, it is very tense and rarely slips. That said, my only complaint, is that one or two scenes such as the ending do fall flat, compared to the rest of the film. However, the film also has a wonderful music score, and fantastic performances from the entire cast. Ray Milland, an actor I really want to get more familiar with, is excellent as Tony Wendice, the husband planning to murder his wife, and make it a perfect murder. As Margot, the beautiful Grace Kelly is the picture of beauty and vulnerability in a wonderful understated performance, perhaps outshining her co-star. Everyone else acquitted themselves well too, even Robert Cummings as Mark Halliday and John Williams as Inspector Hubbard. Overall, an excellent film, not Hitchcock's best, but well looking out for. 9/10 Bethany Cox.",w
7,9 October 2011,ElMaruecan82,10, Hitchcock's perfect film of a non-perfect crime ...,"With ""Dial M For Murder"", the Master signs another classic of mystery, starring for the first time, the actress who'd become the quintessential Hitchcock blonde, Grace Kelly. And as much as I appreciated the much more acclaimed ""Rear Window"", I sincerely believe this is one of Hitchcock's finest achievements, which is saying a lot considering his glorious oeuvre, but ""Dial M for Murder"" takes a special place in my heart, because it represents for many reasons, the typical Hitchcockian film, by many standards.",/
8,4 July 2007,Galina_movie_fan,8," ""Do you really believe in the perfect murder? ""","The hit Broadway play by Frederick Knott ""Dial M for Murder"" has been adapted to the screen several times, including the films made in West Germany and Sweden, as well as a TV movie in 1981 (TV) by Boris Seagal and the film ""A Perfect Murder"" (1998) directed by Andrew Davis with Michael Douglas, Gwyneth Paltrow, and Viggo Mortensen. Alfred Hitchcock's 1954 adaptation was the first and certainly the best one even if the master himself considered it one of his lesser efforts. ""Dial M for Murder"" will be remembered as Hitchcock's first color film and the first of three thrillers he had made with Grace Kelly, the future Princess of Monaco, in the prime of her beauty and her talent. Using color proved to be very effective in the film. The first two scenes featuring Kelly wearing a white morning dress in the idyllic scene with her husband Tony and right after that kissing passionately her American lover, writer (Robert Cummings) in the red dress, immediately, without many words tell the viewer that the story of passion, deception, betrayal, and ultimately, murder will follow. ",r
9,27 July 2013,AlsExGal,9, Retooling the perfect murder when it turns out to be imperfect,"Tony Wendice (Ray Milland) is an aging tennis pro who learns that his wealthy wife (Grace Kelly as Margot) has a lover (Bob Cummings as Mark). Tony figures out what might have led his wife astray and fixes it - he gets a real job with a real boss. But what if his wife divorces him? He'd get nothing! Realizing that getting a job may have enlarged his wife's respect for him but not diminished her affection for the lover, he spends a large amount of time figuring out a perfect way to kill his wife so that he can inherit her money. Tony has nothing personal against Margot and her infidelity, he just can't take the chance of winding up penniless. He can't do the job himself - the husband is always the prime suspect in such matters. So, he must find someone who will be willing to do the job for him. He's not the type who hangs with organized crime types, so he has to find someone already guilty of murder but yet untouched by the law and get that person to agree to do the job for him.",w
