Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,20 March 2005,surenm,10, A wild and surreal trip into the mind of a master.,"I think this is possibly Miyazaki's most intriguing movie. All of his other films are very linear and even though their highly varied worlds may be visually stunning and highly creative, I feel the dreamy world of Howls Moving Castle is by far the most captivating, bizarre, and imaginative of all the worlds Miyazaki has ever envisioned.",/
1,6 June 2005,soanim8ed,10, This is art,Howl's Moving Castle is as marvelous and magical as Miyazaki's other great work. Something in Disney's advertising or the description I read gave the false impression that it was going to be sub-standard work meaning it was still going to be better than anything DreamWorks Animation was doing (Madagascar was sooo pedestrian).,r
2,5 February 2006,kengoogloo,10, Try to decode the story ...,"Probably many people find the story confusing. I felt the same way when I saw it in the theater for the first time! The story seemed arbitrary and I couldn't connect the pieces together (much like I saw ""Ashes of Time"" for the first time). But when I watch it again on the DVD, I realize the movie is probably about one thing: personal freedom.",e
3,27 July 2020,mahmus,6," Ghibli's messiest, most nonsensical movie is pretty good","This is a very good movie, but I have a lot of issues with it.",v
4,11 June 2007,planktonrules,8, Great provided you are not a huge Diana Wynne Jones fan or watch the film with one!,"I went to see this film with my anime and Diana Wynne Jones-loving teenage daughter. And while I enjoyed the film immensely due to its excellent animation, story and overall sense of fun, it was also interesting to see how much my daughter hated it! It was as if we saw two entirely different films. Why? Well, she is a huge Diana Wynne Jones fan and has read and re-read just about everything she ever wrote. And, according to her, the story was so different and so inferior to the book that she disliked the film and said some very nasty things about director Miyazaki. However, my advice is DON'T read the book and just go and see the movie. Then, after enjoying it, read the book ONLY if you are 100% sure you can do this without freaking out because they are so different!! I didn't know the difference and had a great time seeing the film!",i
5,10 July 2005,cornishogre-1,10, For those who love the book  or wondered about it,"When I read some four years ago that Diana Wynne Jones had sold the rights for Howl's Moving Castle to a Japanese animator, I wondered. The book (one of my very favorites, which I re-read at least once a year) takes several fairy-tale conventions and merrily turns them upside down. Ms Jones refuses to allow her imagination be neatly pigeonholed as hard sci-fi or straight fantasy, juvenile or adult. This story (as all of her stories) revels in word play. I really wondered how it would all come out translated into Japanese.",e
6,23 February 2005,WritelySo,10, My favourite Miyazaki!,"What an amazing achievement! This is by far the best example I have ever seen of animated characterization. The expressions and the nuances and the emotion captured in this film are truly breathtaking. I love all of Miyazaki's work, but in Howl's Moving Castle he has managed to take it to a level that to me sets the standard.",w
7,31 October 2016,SnoopyStyle,7, interesting world,"Sophie is a young shy hat maker working for her mother in an alternate-world turn-of-the-century European town. A wizard named Howl rescues her from a couple of lascivious soldiers only to be chased by a horde of waste demons. They escape to her sister Lettie's place. She is later visited by the Witch of the Waste and turned into an old woman. She runs away and encounters scarecrow Turnip-Head. After helping it, it leads her to Howl's Moving Castle. There she encounters the fire demon Calcifer who Howl uses to power the castle. Calcifer offers to break her curse if she could end his servitude. Sophie pretends to be new cleaning lady Grandma Sophie. The Mayor arrives at the Great Wizard Jenkins with a request from the King to fight in the war. Howl's apprentice Markl is able to switch between various exits and with various disguises. Then the other king invites Great Wizard Pendragon to join in the war. Howl is known as both wizards and unwilling to help either side. Madame Suliman threatens to take away his powers before he is lost after losing his heart.",/
8,25 June 2020,jessup-86446,6, ...huh?,"Maybe the only way to enjoy this movie is to think of it more as a visual symphony than a cohesive narrative? Like fantasia or something?
I had soooo many questions I needed answers for, and while I got some of them from the ending, for the most part I'm just left scratching my head and wondering what the heck I just watched.
Seriously, not even plot holes, just missing pieces of plot; so much information is never given and its absence is felt.
Is the war somehow Howl's fault? Where the heck did Sophie's mom come from?
Who was the witch? Who was the other witch? Is Sophie a witch? Why did the first witch curse Sophie? Why was the second witch so mad? Was she mad or am I projecting? On and on it goes.
Sigh.
6/10 Stars. All in all I think that it's a very pretty movie, with decent animation, but there are better Ghibli films for both animation and story.",r
9,23 September 2018,kbowes-23399,8, Beautiful,"A very cinematically beautiful film with characters you just fall in love with. I won't lie, the plot is very hard to follow. If you've read the book, you can tell that miyazaki focused less on following the plot, more on making the film beautiful to watch, and as a result we are left with a story that has huge chunks missing and frankly doesn't make a lot of sense in places. But I'm not mad, because it is very, very beautiful to watch.",w
