Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,26 August 2010,hitchcockthelegend,9, For all I know you are the rat; and this might be the best heist homage movie ever?,"Reservoir Dogs is the debut of director and writer Quentin Tarantino. It stars Harvey Keitel, Steve Buscemi, Tim Roth, Michael Madsen, Chris Penn, and Lawrence Tierney. Tarantino has a minor role, as does criminal-turned-author Eddie Bunker.",/
1,18 August 2000,Anonymous_Maxine,10," Quentin Tarantino begins his directing career with the first of several chronologically mixed, disturbingly violent, and incredibly powerful films.","Reservoir Dogs is a testament to the idea that ""less is more."" This doesn't apply to the violence, the film is extremely violent from beginning to end, but the details of the botched diamond heist, which the entire film is based on, are conveyed only in the dialogue, except for one scene where Mr. Pink (Steve Buscemi) recalls his escape. The whole film takes place after the failed robbery is over, and the mystery that unfolds among the criminal participants is amazing to watch. ",r
2,16 October 2022,Xstal,7, A Rainbow Coalition of Crooks...,"Mr Blonde has quite a nasty disposition, always eager to assist in a transition, from alive to being dead, he likes to cut and instil dread, a psychopathic, murdering, clinician. Mr Pink is quite uptight most all the time, as for tipping, wouldn't even leave a dime, continually he frets, he's quite feeble and quite wet, doesn't trust another soul when doing crime. Mr White can be quite tough but can be kind, not afraid to let you know what's on his mind, he can be the voice of reason, tries to add to the cohesion, though his finger's on the trigger and always primed.",e
3,9 May 2011,ElMaruecan82,10," These 'Dogs' bark a lot, but they bite, too ...","Bloodily violent, irreverently shocking, politically incorrect, inventively funny and so on and so forth I'm trying to find the right expression to describe ""Reservoir Dogs"" and I finally got it, it stands in three letters: N-E-W. There was something waiting in the abyssal wombs of cinema, so repressed it was waiting for deliverance with a fierce impatience, a deliverance with a quite original and cool-sounding name: Quentin Tarantino, the new incarnation of modern violence with STYLE. ""Reservoir Dogs"" is more than a debut; it's a sensational entrance that consecrated Tarantino among the most influential directors of his generation, and THE reference in independent film-making.",v
4,31 May 2006,TBJCSKCNRRQTreviews,8, A stylish and excellent example of expert story-telling.,"After watching this half a dozen times with a biased, anti-Tarantino, ""what the heck is so great about this guy, anyway"" view(which, as most anyone watching any film with that view and a fair bit of self-knowledge will tell you, is a rather fruitless practice in pointlessness... if you've decided you're not going to like it, there's very little reason to think that you will, no matter how good it is; you need an open mind), I finally decided to give it a fair hearing... and I saw it for what it is. An unusual film, at least for its time. A stylish film full of cool dialog, cinematography, editing and music. The whole thing comes together perfectly and is very short of creating a sublime film experience. The plot is excellently written and told. The pace is perfect. I wasn't bored for a second, nor did I ever really want it to move faster or slower. The cinematography is magnificent, and incredibly well-integrated. Pans, dolly trips and, lest we forget, the stationary shots... all perfectly used. Very stylized. The acting is top-notch all-round. With most of the cast being name actors, this is no surprise, but they really do shine. Madsen, Buscemi, Keitel, Roth... all incredible. The one role that had less than good... well, let's be honest, it had rather awful acting. I'm speaking, of course, of Tarantino's character. Now, don't get me wrong; in From Dusk Till Dawn, this man did great. But just about any other time I've seen him act, he just doesn't seem to have the first clue. Being a film-maker myself(albeit on somewhat of a smaller scale than Quentin), I can relate to wanting to cast yourself in a role... but sometimes, you just need to face up to the facts, and admit it if you can't act. Still, that is a minor complaint. Another one might be that there are at least two fairly big characters that seem completely and entirely expendable... they had no real role in the action and could very, very easily have been cut with no real loss to the overall product. I won't name them here, but anyone who's seen the film will know who I'm talking about. All the characters, however, are well-written and their actions credible. Tarantino knows his stuff when it comes to writing... something that also shows in the dialog, which, although somewhat drawn-out at times, is exceptional. Well-delivered, too. When it comes to direction, he shows how talented he is, as well. The film is very well put together. The editing is great, with the non-linear time-line telling the story far better than a ""regular"" film ever could. One of the many Tarantino-fans, in fact, the very person who originally talked me into watching this film, once told me that he had heard of someone editing films with such time-lines - this, Pulp Fiction, Memento, etc. - so that their time-lines were perfectly linear. I'm sorry, I entirely respect their right to do such a thing... and I won't claim that their doing so has less artistic value than the original films in any way... but I refuse to watch that. A big part of this being so well-told lies in the time-line. Also, I'm a firm believer of watching something the way the makers intended it. Don't edit, don't censor, don't make your own version and pass it off as anything but just that... your own version, and not the original. Sorry, rant over. Finally, I just need to comment on the music... the soundtrack of this is just great. Tarantino collected so many amazing 70's tunes for this film and used them great. All in all, just a really, really good film. Very little keeps this from being a perfect ten, most of which I've covered here. I recommend this to anyone who can stomach the violence and who likes their films with a side of style. 8/10",i
5,28 March 2010,planktonrules,9, Warning: This film is NOT for everyone...even though it is brilliant.,"It's hard to imagine that anyone has NOT heard that ""Reservoir Dogs"" is an ultra-violent film, but just in case you haven't, please understand that this is a super-duper ultra-violent film--and a film that many, many out there will find too difficult to watch or will traumatize you. I am not kidding...think twice before you decide to watch it and for heaven's sake, DON'T LET KIDS SEE THIS FILM.",e
6,3 January 2016,SnoopyStyle,8, Quentin Tarantino deconstructs the crime movie,A group of men are having benign banter in a diner. They have color code names. Mr. White (Harvey Keitel) brings a horribly wounded Mr. Orange (Tim Roth) back to the hideout. Mr. Pink (Steve Buscemi) is ranting about the quick police response as a setup. Joe Cabot hired the crew for a diamond store holdup keeping their identities secret from each other. Calm and disturbed Mr. Blonde (Michael Madsen) shows up with a captured cop.,w
7,15 July 2005,ronnay_barkay,10, A timeless classic...seriously,"The first time I saw Reservoir Dogs, I was about 15, it had been banned in my country, and I heard it was extremely voilent. Naturally I did everything in my power to get my paws on a copy, and when I finally did see it, I was disappointed. I was just sitting there saying ""Wheres all the violence"", Anyway, I watched it till the end, and then I watched it again, and since then it has just grew on me.",/
8,7 March 2004,Mr_Blonde3,10, Are you gonna bark all day.....,"A couple of weeks ago, I was blessed with a rare opportunity. one of the movie theaters in town did a midnight showing of this. Naturally, being a ""Dogs"" freak, I went down and saw it.",r
9,7 October 2005,SeminolePhenom,10, All of Tarantino's works are amazing and this is definitely no exception,"Four of six ruthless criminals await for their boss at an abandoned warehouse. After finding the diamond heist that they had all teamed up to accomplish was a trap, they realize that one of them is a police informant.",w
10,3 February 2007,moviewizguy,7, Very Overrated,"A gang of thieves carry out an armed robbery on a Diamond warehouse. The police are after them so quickly that they suspect they have a rat in their company. This film starts right after the robbery, with flashbacks to before the robbery, and to the planning of the crime.",3
11,3 January 2002,CharltonBoy,10, A BLOODY classic!,"Reservoir Dogs will always go down as one of the most violent yet brilliant pieces of work ever to be shown on the silver screen. Tarrentino's script is brilliant and what is even more amazing is that it is his first movie. The acting is top grade , all the actors seem to come up with the performance of lives. There were calls when the film was released for it to be banned by the lilly livered liberals and while this is bloody and the language is coarse, for it to be banned would have deprived us of a classic Hollywood movie that oozes class as well as blood! 10 out of 10",7
12,9 December 2010,TheLittleSongbird,10, A must see,"Definitely up there with Pulp Fiction as Tarantino's best. Reservoir Dogs is simply brilliant in all aspects. It is very brash, abrasive and unrelenting, but works tremendously with that sort of tone. The cinematography is very good I think, and the soundtrack is very appropriate and fitting. The story is wonderfully compelling, while the dialogue is very hard-boiled and attitude-laced with plenty of pop culture references, and references to TV shows and hip movies. Tarantino's direction is excellent, and so is the acting. Both Harvey Keitel and Tim Roth give performances that are among their best, while Michael Madson and Steve Buschemi are outstanding. Overall, I think it is a must. Maybe not for all, but I loved it and consider it one of Tarantino's best. 10/10 Bethany Cox",8
13,14 August 2004,Theo Robertson,6, Don't Believe The Hype - It's Not That Good,RESERVOIR DOGS exploded onto cinema screens in 1992 and I can still remember the shock waves it caused due to the excessive violence . If memory serves me right Glasgow Council came very close to banning it from cinema chains in the city and they weren't alone in trying to do this either as newspaper headlines and word of mouth screamed how violent the movie was as Quentin Tarantino became the most infamous and influential movie director of the mid 1990s . RESERVOIR DOGS was finally allowed a British network TV transmission in the Summer of 1997 on channel 4 . I was rubbing my hands in anticipation at seeing this movie . After seeing the movie I felt disgusted . Not because it was a movie whose violent content had sickened me but because I'd fallen for the hype like a total shmuck . This must be the most overrated movie of the 1990s,3
