Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,8 November 2006,ccthemovieman-1,9, Still Very Good Even When You Know The Ending,"This was hyped big-time when it came out and, if memory serves me, was a good conversation piece among those who saw it at the theater.",/
1,1 September 2014,rooprect,8," Even if someone spoiled the ending for you, it's still worth seeing","There are over 2000 IMDb reviews for ""The Sixth Sense"" so I don't think I can add anything that hasn't already been said. But in case someone has already spoiled the ending for you (like some dumbbutt did for me and the entire office back in 1999, causing me to avoid this movie for 15 years), never fear... it's still VERY MUCH worth watching.",r
2,31 December 2005,kylopod,10, An appropriate spoiler-free review,"The surprise ending to ""The Sixth Sense"" has gotten so much attention that it threatens to overshadow the film. I occasionally hear people say things like the following: ""The 'twist' was so obvious that I figured it out in the first five minutes!"" Some of those people may even be telling the truth. There's no way to know. But there's a lot of condescension in such remarks, an implication that anyone who didn't figure it out must be a really dumb sucker. At least in my case I have an excuse. When I first saw this film back in early 2000, I knew nothing about it other than that it was about the relationship between a psychiatrist played by Bruce Willis and a child with some sort of psychic power. I didn't even know what that psychic power was, and an early scene led me to think it was telepathy. In short, I had no idea even what the movie's subject was until about the middle of the film, so I was completely adrift as to solving the movie's mystery.",e
3,11 July 2011,planktonrules,10, Brilliantly crafted and well worth seeing....unless some idiot told you THE secret!,"I am making 100% sure I don't in any way reveal the surprise twist in this film--too many have and I think those people are evil. So, if you know THE twist, you'll probably not enjoy the film nearly as much when you first see it. But, if you haven't, it's a heck of an enjoyable film.",v
4,3 February 2000,Xophianic,9, One of the best films of 1999!,"I am embarrassed to admit that the only reason I saw THE SIXTH SENSE when I did was because THE BLAIR WITCH PROJECT was sold out. I hadn't seen BLAIR WITCH yet but I heard great reviews, and of course it was sold out when I went to see it. So my friend and I decided to see THE SIXTH SENSE instead. Not only did it turn out to be a better movie than BLAIR WITCH is, but it turned out to be one of my favorites.",i
5,23 March 2000,indianajonze,10, Brilliant,"The Sixth Sense is a brilliant film, plain and simple. It is unique in that it relies on imagination and psychology to scare you and make you think twice about the world around you. The director did a fabulous job constructing the imagery of the film, and I genuinely did not know about the ending until it was revealed. Quite a shock! The Sixth Sense goes in my book as the single greatest psychological horror film I have ever seen. Anyone who bashes it are simply not giving it a chance or don't fully realize the complex dialog and imagery around them. Brilliant",e
6,7 September 2015,SnoopyStyle,10, one of the greatest reveals of all time,"Child psychologist Malcolm Crowe (Bruce Willis) celebrates an award win with his wife Anna (Olivia Williams). Deranged ex-patient Vincent Grey (Donnie Wahlberg) breaks in and shots Malcolm. Vincent then commits suicide. The next fall, Malcolm is treating distressed Cole Sear (Haley Joel Osment) who lives with his single mom Lynn (Toni Collette). His suffering leaves him an outcast at school. After another episode leaves him in the hospital, he tells Malcolm his secret that he ""sees dead people"".",w
7,15 August 2019,NpMoviez,10, The reason why everyone loved Shyamalan back then!!,"Shyamalan at his very best! I said it, I don't care what people think. Many people claim Unbreakable to be his best film till date, but for me, as much as I love Unbreakable, The Sixth Sense will always remain as the best Shyamalan had to offer.",/
8,28 May 2022,Mr-Fusion,8, Unforgettable ghost story,"A horror movie with an inventive premise, a sensitive marital drama, and a psychological puzzler; ""The Sixth Sense"" combines all of these into a deeply affecting movie. Haley Joel Osment (in a justifiably star-making turn) personifies child trauma, and his pain is absolutely heartbreaking. But this is also peak Bruce Willis working with a clockwork script and expert direction. The performances in this film are exceptional.",r
9,27 December 2010,undersky,8, A movie with a gentle but long-lasting impression.,The Sixth Sense enjoys being playful with our imagination. What your eyes see is not exactly what it is. What your mind paints is not exactly what there is. In the world of The Sixth Sense logic is your worst enemy.,w
10,6 August 1999,WCS02,8, Wanna See Dead People?,"""I see Dead People!""  Sixth Sense is well worth the ticket price.  It's a tight story and the acting is outstanding.  There are a couple of good scares, rendered more effective because I dropped my guard.  My sixth sense says such was the Writer/Director's express intention. :-)",0
11,22 March 2006,finding-something,10, A Masterpiece,"A perfect balance. Sad, but not self-pitying. Triumphant, but not cheesy. Frightening, but never grotesque. Shocking, but not gimmicky. Touching without being cheap. Visually it is stunning. There are some truly amazing shots, the attention to color is appreciated. Haley Joel Osment as Cole is extraordinary. What a promising career ahead of him. Bruce Willis, as a workaholic child psychologist, ought to be extremely proud of this, as it may be some of his best work. Tender, brooding, regretful, determined. Perfect. Toni Collette, is really phenomenal. I think she gets overlooked, but with any less talented actress, the film would have certainly suffered.",5
12,2 February 2005,mjw2305,10, It's all in the ending,"Cole (Haley Joel Osment) is a young boy troubled by an affliction, he can see the dead all around him, for much of the time and he is labelled a freak by everyone except his mother. Haley Joel Osment puts in such a fine performance in this role, it is hard to believe he is a child.",8
13,6 January 2012,TheLittleSongbird,10, Shyamalan's best film and the only film of his I consider a masterpiece,"I have to say I am not a fan generally of M Night Shyamalan's films, but I absolutely loved The Sixth Sense. It is a beautifully made film with an afterlife that is anything but angels and harps, and the score has lots of subtlety and atmosphere to it. The script is chilling, intelligent and poignant and the story complete with a knockout twist ending(easily the best and only wholly believable ending of Shyamalan's movies) is simplicity at its finest. Shyamalan's direction is wonderfully controlled, which is exactly what the story needed. Haley Joel Osment gives perhaps his best performance here, though he's superb in AI too, while Toni Collette plays the troubled mum very convincingly and Bruce Willis is suitably quiet and reflective. Overall, a wonderful film and Shyamalan's best by a mile in my opinion. 10/10 Bethany Cox",6
