Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,25 December 2005,bkoganbing,10," ""To My Big Brother George, The Richest Man In Town""",I've always thought that the reason It's A Wonderful Life has had such enduring popularity is that more than in any other film it shows what can be the value of a single individual and the contribution to the greater good they can make.,/
1,4 March 1999,Coxer99,10, A Great Influence...,"No movie ever made has influenced me more than this classic. I had the honor of doing a play version of it about 5 years ago. I had seen the film thousands of times, had loved it, but I never really knew what it meant. During the course of the production, I suddenly felt alive. I felt that I wasn't having enough fun. I felt that I wasn't doing enough in my life. Crazy things, like kissing my mother or my father. I hadn't really hugged one of them in a while. It makes you think. It's more of a thinking person's film than a mere Christmas film. If you think it's just a Christmas film, I insist you watch it again and again, until you get the message.",r
2,28 March 2010,TheLittleSongbird,10, One of those quintessential Christmas movies....,"It's a Wonderful Life is something truly special, and along with Scrooge, the original Miracle on 34th Street and Home Alones 1 and 2, it is something I watch every Christmas. Why? Because I love this movie, seriously I do. Looking through my 1000 or so reviews here, I couldn't believe I hadn't reviewed this movie; I have seen movies that I have loved and cherished since childhood and I have seen movies that belong at the bottom of the garbage. It's a Wonderful Life belongs to the former, although I am 17, I appreciate a good movie when I see one. This is more than a good movie, it's a timeless masterpiece, that holds up on repeated viewings and never loses its magic.",e
3,6 December 2000,FlickJunkie-2,10, A Wonderful Film and Timeless Classic,This film has become a Christmas tradition in my family.  We watch it every year and never tire of it.  Frank Capra is a master of creating films with a message that reinforce strong values.  This is probably his greatest film in that regard.  Both he and Stewart have publicly stated that this is their favorite film.,v
4,13 September 2002,PyrolyticCarbon,10, A wonderful film that should be watched again and again.,"This is one of the best films of all time, without a doubt. I challenge anyone to watch this film and not be touched, if you can, you have no heart!",i
5,11 February 2002,Aidan McGuinness,9, Best feel good movie ever? Quite possibly.,"Here's a new definition of cold-hearted: a man or woman who remains completely untouched by the 1946 Capra classic ""It's a Wonderful Life"". You can't not be moved by this wonderful little gem.",e
6,27 January 2007,JFHunt,10," Who are you, really?","Honestly, I don't think I've ever seen anything quite like It's A Wonderful Life. ",w
7,11 January 2021,auuwws,10, It's a Wonderful Life,"One of the best family movies I have ever seen, the storyline is amazing and puts hope in your heart. When the movie is over, when you feel useless in life, watch the movie and your thinking will change and you will know that you have a positive impact on the lives of the people you know. The events of the film were fun. The characters of the film were good. Two characters were prepared, James and Clarence. They were very interesting characters and I really enjoyed watching them. The end of the film is one of the best movie endings in history. I recommend watching it especially the black and white version. The black version is better than the color version. It's a Wonderful Movie",/
8,5 November 2002,brianlion,10, IT'S NOT OFFICIALLY CHRISTMAS SEASON UNTIL I WATCH THIS MOVIE,"I am so glad Frank Capra had a vision to make ""It's A Wonderful Life"". I'm glad he chose Jimmy Stewart to play George Bailey. There are some little gems in life that help make life pleasant. It is not officially the Christmas season without watching this little gem. The supporting cast is perfectly matched. Donna Reed is wonderful as well as all the characters of the town. This would be a great movie, even if it were not in a Christmas setting. The holiday flavor makes it even more charming and memorable. A angel trying to get his wings is a little far-fetched, but Capra pulls it off. The impact of living a good life cannot be underestimated. What would life be like for your family if you had never been born? Our actions do speak loudly. In an age of 9-11, we need this movie more than ever. The values of ""It's A Wonderful Life"" still hold true today. Yes, I'll say it, it's a wonderful movie.",r
9,14 March 2010,jon-larsen,10, One of the greatest movie ever made in cinema history!!,"When I heard about this movie for the first time, I thought it was just a forgettable and funny movie. But I was wrong. I saw this movie last Christmas and I did not find it funny, but I loved it, though! Everything is so great in this movie. The story is amazing. The characters are great, and the character's development is fantastic! the cinematography is grea, and the acting is fantastic. James Stewart was mind blowing. The whole movie is amazing,touching and encouraging. You cannot describe how good this movie is. Nor can you describe how good the message is.",w
10,29 October 2003,MovieAddict2016,10, So is the movie...,"Review edited and therefore quite choppy due to maximum word limit.   Has there ever been a truer and more heartfelt character than George  Bailey? This is a man whose life is one of great significance, but he,  like all of us, does not always realize that this is so. He does not  recognize his impact on the world until an angel erases his existence  like chalk on a board. It is then that he is hit by the fact that one  man's failing life isn't always as inconsequential as it may seem.  We all remember when Clarence (Henry Travers) first appears on that  snowy bridge and saves George Bailey (James Stewart) from committing  suicide. He explains nonchalantly that he is an angel and George is  incredulous--until Clarence wipes away his entire past. His mother  doesn't recognize him. George tells her about his uncle as a source of  belief. She states that his uncle has been dead for some time, now.  The best scene in the entire film is that following when George is  thrown out by his mother. He runs towards the camera in an intense wide  shot, his face registering emotions of fear, horror, and ultimately the  horrid understanding of what has happened. This role is the highlight  of James Stewart's career--he never came anywhere close to the superb  performance he gives in this movie. There is a reason it was his  favorite film he ever starred in.  Stewart's portrayal of George Bailey is the grown image of all of us:  As a child he dreamed of nothing but exotic locations and adventurous  travels to foreign lands. But now he is a family man, a father and a  husband. He has left behind his silly bachelor notions, but they still  come back to haunt him. Bailey owns the town savings and loan, left to  him by his father. The cranky Mr. Potter (Lionel Barrymore) wants  complete monopoly over the town, and all that stands in his way is  Bailey and his little bank. But Bailey, an inner disgust and hatred  towards Potter brewing since his childhood days, refuses to cave in and  give it all away.  Then one day, George's absentminded and quite eccentric uncle (Thomas  Mitchell), misplaces a large sum of money, leaving George hopeless and  Potter with a serious advantage. After blowing up at his wife (Donna  Reed) and kids at home, George gets drunk at a local bar, is scorned at  by a schoolteacher's wife, and left dazed and confused, walking through  the snowy town at night during the happy Christmas season without a  hope in the world. Battered and delirious, thinking back over his  apparently pointless and wasted life, he contemplates suicide. He prays  to God and wishes that he had never existed. Which is why Clarence  comes down from heaven to sort things out and answer his prayer.  Essentially bombing at the box office when it was first released, and  then proceeding to fall into copyright problems for years, ""It's a  Wonderful Life"" resurfaced only years later when it was brought back  into the public domain circa 1970. When other channels were airing  expensive Hollywood movies during the Christmas season, PBS picked up  the film and played it as a counter attack, a weak hope prevailing in  them that the classic film buffs out there would tune in. They did. And  so did families across the nation. Every year the ratings got stronger  and stronger and now, almost sixty years following the movie's initial  release, it is considered a holiday tradition.  George considers suicide as a way of escaping his problems without  really thinking over the possible outcomes given his final choice. He  looks back upon his life as wasted potential; he wanted to become an  adventurer, break his family's small-town tradition and become  something huge. Mentally scanning his life to the point in time when he  stands on that bridge, George Bailey believes that he has simply and  truly created a waste of space. He's ready to end his (assumed)  pointless life when his entire point of view is wholly altered by the  power of God. George suddenly realizes that though he never lived out  his boyhood fantasies, he did so much more than he ever dreamed of. He  saved his brother's life, which resulted in a huge impact in later  years; he made an influence in the lives of others and brought peace  and harmony to an otherwise small town by prevailing at the requests of  Mr. Potter; he married a beautiful wife and had children, all of whom  will no doubt have some measure of significance later in the world. And  his wish on that bridge was that he had never been born.  Often I am asked to name my favorite movie, and though I ignore  requests and state that I have not seen every existing movie and  therefore my judgment carries no significance, I have the lightest  whimsy that ""It's a Wonderful Life"" may be my favorite motion picture  to date. I cherish few other films just as close, but to me, ""It's a  Wonderful Life"" is more moving than ""Casablanca,"" a better study of one  man's life than ""Citizen Kane,"" and a movie that will live on in the  hearts and memory of viewers long after we are gone. I believe that  this is the definitive Americana motion picture, regardless of how I  compare it to my other favorites, which may carry the same weight but  not the same true significance. Few films come as close to the heart as  ""It's a Wonderful Life."" And few films come as close to ""It's a  Wonderful Life"" at all, for that matter.  5/5.",1
11,18 December 2010,classicsoncall,10," ""Each man's life touches so many other lives"".","If there's one movie I probably haven't watched enough times, it would be ""It's a Wonderful Life"". The characters, the situations, the message all come together in a way that intrinsically defines it as a Christmas movie, but when you get right down to it, the film transcends Christmas in a way that's truly heartwarming and magical. Jimmy Stewart had that unique ability to put the Everyman into his roles, and this picture certainly qualifies as one of his finest performances. Donna Reed could not have been a better choice to play Mary, displaying a wholesome sex appeal to go along with those traditional home town American values that pictures of the era were so skillful in portraying. Had Director Frank Capra made only this one picture, it would have earned him recognition as one of the true masters of cinema. I could go on and on, but there's really no point in trying to heap further accolades on a picture that has earned it's place in American film right at the top. Watch it, and watch it again, and in taking the picture's message to heart, reach out and help an angel earn it's wings.",7
12,5 January 2007,claudio_carvalho,10, One of the Most Beautiful Movies of the Cinema History Ever,"On the Christmas Eve of Bedford Falls, the guardian angel Clarence (Henry Travers) is assigned to convince the desperate George Bailey (James Stewart) to not commit suicide. George is a good man, that sacrificed his dreams and his youth on behalf of the citizens of his small town. He inherited the loan business of his father and he gave up traveling the world and joining the university as scheduled. Later he resisted the proposals of the evil banker Mr. Potter (Lionel Barrymore) and has never sold his business to protect the poor community of Bedford Falls and offer a means to afford to buy their own house. He married his beloved Mary Hatch Bailey (Donna Reed) and had four children with her and a tough life with his family. When his uncle Billy (Thomas Mitchell) loses US$ 8,000.00, found and stolen by Mr. Potter, George decides to commit suicide, since he believes he worth more dead than alive. When Clarence sees that he is not able to persuade George to give up his intention, he decides to show the life in town if George had never existed. George concludes that life is wonderful.",4
13,17 January 2014,Leofwine_draca,9, Great Christmas (and all year round) movie,"Frank Capra's 1946 drama/fantasy IT'S A WONDERFUL LIFE is one of the best-remembered films of all time, and it's no surprise; this moralistic tale of human suffering, poverty, greed, courage and determination is one that resounds through the ages, particularly so in our modern age of fat-cat bankers and a growing gap between rich and poor.",8
14,25 December 2018,mark.waltz,10, Each man's life touches so many others.,"In looking at this glorious Christmas classic, it's easy to get so involved in the psychology behind it. we obviously become so caught up in our own lives that we often forget about how others around us have influenced who we become and vice versa. This film, which has been redone in many different forms, including taking popular characters from TV shows, both daytime and nighttime and putting them in the same situation as Jimmy Stewart, truly stands the test of time. Not only is it watching one man's slow destruction from things that seem to be beyond his control, it's seeing how one person can deal with the ruthless machinations of the pure evil around him and open the eyes of everybody else to see what's really going on.",9
15,24 December 2021,nickenchuggets,10, No man is a failure who has friends,"Even though it is nowadays considered one of the best christmas movies ever, It's a Wonderful Life was not always seen that way. People at the time thought it was barely mediocre, and that it would probably be forgotten about in a year or two, but 70 years later it has endured. So why is this? At first, I didn't really know whether or not I should consider it a christmas movie, because it does have the aesthetic of the holiday, but a big middle portion of the film doesn't really have a holiday feel to it. In fact, it's actually pretty depressing. I think this movie is constantly remembered as one of the best because it has a very original idea. The story is about a guy named George Bailey (Jimmy Stewart), who intends to kill himself on Christmas Eve because his life is turning into a disaster. An angel is sent from heaven in order to show him how even though he might not realize it right now, his life has meaning to others. Before the angel, Clarence, decides to interfere in George's life, we are shown the events that happened throughout his life starting with his childhood. We see how as a 12 year old in 1919, George is sledding with his brother Harry but falls into a pool of ice water, costing him the use of one of his ears for the rest of his life. We also see how George is lusted after by a young girl named Mary (Donna Reed), who later comes back into his life during his time in college. Sadly, George's father dies soon after, and Mr. Potter (Lionel Barrymore), wants to dissolve George's father's former business now that he is dead. George, with the help of his uncle Billy, run the company now. Under George's direction, his company builds Bailey Park, which is a housing project designed to challenge Potter's control of the town. Potter even calls George into his office and offers to make him his assistant for almost half a million (modern) dollars, but George declines, knowing his real objective is to shut down his father's business. Later on, World War 2 is underway, and George is not drafted because of his partial deafness. His brother Harry becomes a fighter ace and shoots down a japanese plane that was about to bomb a transport ship. Billy goes to rub in Potter's face the fact that one of his relatives is a war hero, but inadvertently misplaces a huge amount of money in Potter's office. A bank examiner then calls out George's company on the missing money, and George realizes he's now in serious trouble, possibly facing jail time. He tries to figure out where in the world the missing money could be, and takes out his bad mood on his innocent family members in the meantime, since he is now married to Mary. Desperate, George heads to Potter in order to surrender his life insurance policy to him to make up for the lost cash, but Potter tells him he's calling the police anyway. George runs away and eventually comes to a bridge, where he sees someone drowning in the freezing water below. After diving in and saving him, it's revealed that the man is Clarence, George's guardian angel, but George doesn't believe him. He says he wishes he never existed, and the angel grants this wish. George's town is now called Pottersville, there's crime everywhere, and nobody (even his own family members) recognize him anymore. He learns that Bailey park is now a cemetery, and George finds that his brother Harry is dead, drowned in a lake at age 9. This means all the men on the transport ship in ww2 were killed, since Harry wasn't there to rescue them. George even sees his wife Mary, who's now a librarian, but she doesn't recognize him either. Now convinced the world is horrible without him in it, George pleads with Clarence to give him his old life back. It does come back, and George rushes home to eagerly await being arrested. Just when it looks like he is actually going to be taken into custody, the townspeople pull through and show up at George's house to make up for the missing 8000 dollars. George also receives a final thank you note from Clarence, saying that he finally has wings now because he was able to successfully help George. What a wonderful movie. It isn't everyday when I watch something that is worth seeing every holiday season, but now that I've seen this, I can completely understand its legendary reputation. Everything about this film is great. There's way too many aspects of it that are worthy of praise, so I'm not going to go over all of them. I will say though that the acting is truly worthy of a classic movie, and both Stewart and Donna Reed live up to their reputations. As George, Jimmy Stewart is an anxious, depressed person who doesn't know what his next move is going to be. He's shown to love Mary a lot, but is more frustrated the longer the film goes on by the threat of Potter blackmailing him. He takes his hate out on his family who simply don't deserve it. He knows he shouldn't, and he feels bad that he did, so he mistakenly assumes that by just literally dropping dead, he would be doing the world a favor. Clarence later shows him how wrong he is. Donna Reed as Mary is the love of George's life ever since he was a kid. It's clear to see why she hates to see him so bitter, especially around christmastime. Lionel Barrymore as Potter does his job really well. He's everything you want to see in an antagonist. He always belittles George and makes him feel unimportant, and intends to make life really difficult for him by closing down his company. Even Gloria Grahame shows up at one point. In my opinion, this is an odd holiday movie because there is a big portion of it that doesn't feel like christmas, but the second half of it makes it worthwhile. It reminds me a lot of A Christmas Carol, because Scrooge sees how horrible his world will be if he doesn't change, and so he decides to become a better person. To be clear, It's a Wonderful Life truly earns its praise as not just one of the best christmas movies, but one of the best movies, period. Capra really did know how to make films.",0
16,15 December 2021,Sunsphxsuns,10, FRANK CAPRA'S OPUS,"If you were to ask me what Holiday-themed film I enjoy the most and never get tired watching, my answer would invariably be, Frank Capra's ""It's A Wonderful Life"" (1946).",9
17,25 December 2019,alansabljakovic-39044,9, It just doesn't age,"This is basically my only Christmas tradition movie. I have to watch this every Christmas or else I would go nuts. James Stewart really steals the scene with his acting and beautiful charm. He was great in every movie I've ever watched him in. It is wonderful, it is funny, it is touching and it is human.",/
18,24 December 2020,rokomo,10," Tonight I saw this movie again, I burst into tears again","Many often cites the best films of 1940s as Citizien Kane, Casablanca, The Great Dictator, etc. These are great movies, but It's a Wonderful Life surpasses them all unrivalled. It's a Wonderful Life is a truly great movie and I, like many others, have a habit of watching this movie very year on Christmas Eve, so I am this year. From where to start, this is from music, acting, screenplay, camera, directing, scenery, plot to adorable little details (squirrel on Uncle Billy's shoulder) the wonderful movie. The film tells the wonderful story about everyone beign worthy of existence and that the abscence of someone would make a big hole in the existence. I can't put into words this film and all its wonderfulness, but that's why I watch it and enjoy in this.",?
19,18 December 2021,shelbythuylinh,10, James Stewart A Legendary Performance,Really it is about George Bailey's struggle as everything in life that keeps passing him by but his younger successful brother Harry keeps on thriving.,r
20,25 December 2018,Piedradura,10, Beautiful and more relevant than ever,I've seen this film at least 20 times over the years and it never fails to move me. It Is so relevant more than seven decades later. Our wonderful nation could very well face the same future that Mr. Potter wanted to inflict on Bedford Falls. Amazing how its basic premise of redemption and good winning over greed resonates in 21st century America.,e
21,26 December 2020,r96sk,8," Enjoyable, hearty and well crafted",Lovely film.,f
