Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,21 October 2012,Wuchakk,9, The spirit of freedom vs. the spirit of legal-ism,"Set in the early 60s, the story involves R.P. McMurphy (Jack Nicholson) and his arrival at a mental institution in Salem, Oregon (where the film was shot). He plays the ""mental illness"" card to get out of prison time, thinking it'll be a piece of cake, but he's wrong, very wrong. Everything appears well at the hospital and Nurse Ratched (Louise Fletcher) seems to be a benevolent overseer of McMurphy's ward, but there are sinister things going on beneath the surface.",/
1,14 January 2005,pyrocitor,10," Both uplifting and disheartening, sometimes both at once","I went into this film with the knowledge that it had been the second film in history to win the 'top five' Oscars (for Best Picture, Best actor, Best actress, Best director and best screenplay) and has been praised as ""one of Jack Nicholson's finest roles"" and ""one of the classics of the 70's"". Naturally, after hearing all this, I had high expectations for One Flew over the Cuckoo's Nest. But nonetheless, I was surprised at how easily the film surpassed my expectations and easily led me to understand how it merited all that praise.",r
2,3 July 2004,TBJCSKCNRRQTreviews,10," Touching and moving, a great cinematic experience","Jack Nicholson is a great actor. No, not a great actor, a spectacular actor. This is a film from fairly early in his career, as well as it is for several other actors in this film, who later have had long, great careers too, including Danny DeVito, Christopher Lloyd and Brad Dourif. The film has some unforgettable moments... who could forget Louise Fletcher's icy stare, Jack Nicholson's smart-aleck remarks or Will Sampson's impressive, almost entirely silent performance? The film portrays the horrible truth about how patients were treated in mental institutions back then, and tells the story of someone who desperately wanted to break out, to rebel, to change things, for himself and for the others. I was compelled by this film, from the very first frame. I never took my eyes off it, and I will definitely be thinking about this film for a while. I thought it was great the way one of the very first frames depicted the institution as something far more similar to a prison than a hospital. Milos Forman did a great job of making that contrast very powerful to the viewer. The film is very moving and a truly beautiful cinematic experience. Every single actor gives a stellar performance, every single character is perfectly written, every single line, every single frame is absolutely perfect. I wouldn't change a thing in this film. It has a great pace, you never lose interest, but it never seems to be rushing to get through it, either. It's simply perfect. I have not read the original book, but if I ever come across it, I might check it out. I have only seen this film once, but I will definitely watch it many times in years to come. I recommend this amazing piece of great cinema to anyone who has at least a slight interest in the drama genre, or any fan of any of the actors, as they are all in their absolute prime in this film. 10/10",e
3,14 September 2004,philip_vanderveken,10," ""What an excellent movie"" is all that went through my mind after seeing this masterpiece","What a movie, what an excellent movie!!! That is what first went through my mind after seeing this masterpiece. I've seen many movies, but there aren't much movies which had such an impact on me. Nowadays almost all filmmakers believe they can only make a good movie by adding loads of special effects and lots of huge explosions ... This movie is so good, so convincing without them. The actors played their roles in such a convincing way that you would think these weren't actors at all, but real psychiatric patients.",v
4,20 July 2018,perica-43151,10, A masterpiece,"The seventies produced some of the most interesting and worthy Hollywood movies. Before the era of blockbusters, and ever increasing dumbing down of the cinema art by the Hollywood power-brokers and greedy moneymakers, there was this short but truly amazing window of time that produced many of the timeless gems. A great portrayal of oppression, this gem should not be overlooked by anyone. Truly recommended.",i
5,22 January 2000,Don-102,10, Poetic - Powerful - Simple: The Greatness of Cuckoo's Nest.,"The opening shot of ONE FLEW OVER THE CUCKOO'S NEST is a bleak  glance at an Oregon morning.  Stirring, haunting music plays gracefully on the soundtrack and a car approaches.  Inside the car is one of film history's most remarkable characters.   ""Randle McMurphy"" is about to bring hope, humor, and a glimmer of reality to some disturbed people in a mental hospital. Jack Nicholson as ""McMurphy"", is something of a paradox.  Is this guy crazy or is he really the lazy, conniving criminal most believe him to be?  That is the magical mystery and start to a journey into mental illness and the effect this man will have on some truly messed up men.",e
6,13 August 2002,Agent10,9, Jack Nicholson at his finest,"It's tough to really judge this movie. Is it Milos Forman's greatest directorial masterpiece or Jack Nicholson's best performance. Tough to say, but the marriage between both director and actor are quite phenomenal. From the first time we see Jack Nicholson to the sad, yet uplifting ending, one cannot escape the sheer power of the film. When a film is parodied as many times as this one has been, typically, greatness can be associated. Well, greatness was achieved, and let's hope this one never falls through the cracks.",w
7,15 April 2000,Quinoa1984,10, Best film of its era,"Milos Forman's One Flew Over the Cuckoo's Nest is a landmark (one of the few I might add) in cinema. Pretty much everything in this film is at or close to perfection. And rightfully so, it became only the 2nd (1 in 3 films in history along with It Happened One Night and Silence of the Lambs) film to win the top five Oscars- Best Picture, Actor (Jack Nicholson), Actress (Louise Fletcher), Director (Forman), and Screenplay (Bo Goldman).",/
8,18 June 2005,b1lskirnir,10, A great order vs. chaos tale that everyone can relate to,"Based on the amazing novel by Ken Kesey, Randall Patrick McMurphy is an antisocial and dangerous man no different than a petty criminal, placed in a mental ward to have his behavior studied. He makes friends with lunatics and starts his own circle of admiration within the hospital, much to the dismay of Nurse Ratched, the central authority figure in the story and one of the greatest movie villains ever.",r
9,6 August 2005,Boba_Fett1138,9, A perfect mixture of entertainment and drama.,"Czech director Milos Forman seems to be obsessed with rebellious characters that don't like to go with the flow. Just think about Larry Flynt in ""The People vs. Larry Flynt"" or Andy Kaufman in ""Man on the Moon"", in the two most recent movies of Forman. The central character in ""One Flew Over the Cuckoo's Nest"" played by Jack Nicholson is also one of those characters, that wants to break the routine and even starts a revolt against the staff and nurse Ratchett in particular, in a mental institution.",w
