Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,18 March 2010,DICK STEEL,10, A Nutshell Review: How to Train Your Dragon,"If this is done following the same old beat up formula that Hollywood sticks to with regards to animation, then the dragons will be yakking non-stop. Thank goodness that this film, directed by Dean DeBlois and Chris Sanders, avoids this like the plague, and ",/
1,20 June 2010,The_Fifth_Echo,10, One of the most Breathtaking Animated Films of all time.,"I watched How to Train Your Dragon about 5 times now, and it never gets boring. It actually keeps on getting better and better with with more and more views. This is a huge accomplishment for DreamWorks Animation, it might actually be its Best Animated Feauture it yet. It is an amazing experience to watch this film in Cinema. The 3D is amazing and at times Breathtaking. I may of had the most fun that I've ever had in Cinema watching How to Train Your Dragon.",r
2,12 April 2010,Simon_Says_Movies,9, Will enamour kids and enthrall adults,"With a somewhat unwieldy tile and the lack of the winning Pixar storyline that has dominated the Oscars for a decade, Dreamworks animations latest could have been a clunker. Not only is How to Train Your Dragon the best film of the year so far, but it even eclipses the quality of last years duel academy award winner Up.",e
3,8 March 2010,tollini,10, Truly Moving Picture,"I saw this film in early March, of 2010 in Indianapolis. I am one of the judges for the Heartland Truly Moving Picture Award. A Truly Moving Picture ""explores the human journey by artistically expressing hope and respect for the positive values of life."" Heartland gave that award to this film.",v
4,13 May 2018,AlsExGal,9, One of my favorite films of the last decade...,"...not that this is necessarily saying much, since the films of the past decade are either made for the Academy Awards with some social message that hits the audience over the head with a social justice sledgehammer, or they are action films with lots of car chases and explosions and comic book heroes or they are 50 shades of obscene. But I digress. ",i
5,19 December 2010,TheLittleSongbird,10," Amazing, the best Dreamworks film in a long time","I love animation, always have done, always will do, and I was blown away by How to Train Your Dragon. Granted, not all Dreamworks movies are bad, Prince of Egypt is one of the most stirring and evocative films let alone animated films I have seen, Shrek was very original and funny and Spirit:Stallion of the Cimarron is their most underrated I feel. I will say too, How to Train Your Dragon along with Prince of Egypt is my absolute favourite of Dreamworks, and one of the best of 2010.",e
6,15 August 2018,gogoschka-1,10, A Beautiful Tale Of Adventure And Friendship For People Of All Ages,"Warning: this beautifully animated tale is highly addictive! As soon as it's over you'll immediately want to watch it again. I'm a grown man, but somehow this movie managed to ignore all the layers of cynicism and fake toughness we grown-ups tend to build around ourselves to cope with life; it cut right through to the wide-eyed, adventure-loving boy in me, right through to the heart. It's impossible not to fall in love with this movie, with these characters - especially if you love wild animals. This beautiful story of a very unlikely friendship between a boy who's a bit of an outcast and a dragon is just so well done; it's never cheesy, yet full of passion, and there's simply not a dull moment in it.",w
7,3 November 2010,zeletto,10, A heartfelt movie with a beautiful message,"There are a lot of excellent reviews out there, I will just discuss a single point. What got to me the most in this movie is the message I got out of it, I got it from a single line uttered by the hero and it just burned in my memory, it's about how when we look deep in the eyes of our enemies -the ones we fear the most- we will see that they are afraid of us just as we are afraid of them, we might realize their humanity and that they are not what we thought, monsters.",/
8,20 March 2010,me_sterya,10," Wonderful movie, a must see 3D","I saw the trailer and I enjoyed it but I was afraid that all the good parts from the movie will be there and that will be all, like it was with many films lately. That was certainly not the case. There are way better parts that were left to be discovered and I definitely congratulate the choice.",r
9,3 June 2011,claudio_carvalho,9," Delightful Animation with a Wonderful Message of Friendship, Intolerance, Misjudgment, Peace and Harmony","In the Viking village of Berk, all the houses are new since the dwellers are in permanent fight against the dragons. The leader Stoik the Vast is unsuccessfully trying to destroy the fearful Night Fury and locate the dragon's nest to destroy them. His clumsy and inventive son Hiccup works as a blacksmith and dreams on becoming a dragon killer.",w
10,30 April 2010,planktonrules,10, It's so good it boggles the mind!,"When I saw this film tonight, I was completely bowled over from start to finish. I have simply never seen a better looking computer generated film nor a film that used 3-D to such wonderful effect. Finally--a film that doesn't look like the 3_D doesn't look like it was tossed in as an afterthought--but was clearly intended as one all along. However, I will warn you NOT to waste your time seeing it in 2-D---the film loses too much of its artistry. Now I know some of you will think I am a total sap for saying this, but the film literally brought tears to my eyes because it was so beautiful. I simply couldn't believe how special and artistic this movie was--it completely exceeded my expectations. This is because the advertising campaign make this movie look like it's just another kids' movie--and nothing more. But, with a lovely plot, interesting characters, the best CGI on Earth, a terrific sound track and lots of surprises, this simply is a joy to watch. Nornally when I review a film I try to talk about the film's flaws...but I simply couldn't find any. At last, a 3-D CGI film that actually manages to be better looking than last year's ""Up""! It is hard to imagine a film being any better--though I am sure five years from now, I will be seeing even better 3-D and computer generated films...and it boggles the mind! See this film!",4
11,31 March 2010,drakula2005,10," More mature than ""Shrek""-probably one of the best animated features ever made.Worth seeing","This was one of the moments, when you feel so overwhelmed by a movie, that you want to see it again immediately.And when i think of how the whole movie-going began-a theater, full of annoying, noisy kids, 3-th graders mostly.",2
