Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,5 September 2001,telegonus,10, It's the Little Things,"So much has been written about this film that all I can do is add my own voice of approval and say that I consider it to be a masterpiece, and add a few things often overlooked or not commented on that add so much to the movie's cumulative power. It's often the little things that make a film work. Here are a few examples:",/
1,25 March 2017,AlsExGal,10, Always holds me from beginning to end...,...from the first time I saw it at age 14 until today whenever I run across it.,r
2,25 October 2006,ccthemovieman-1,10," The More I See This, The Better It Gets","When I watched this for the first time in over 30 years, I was surprised how little action there was since I had remembered this as some intense horror movie. Of course, I was young and more impressionable so I guess I just remembered those few dramatic, sensational scenes such as Janet Leigh murdered in the shower and the quick other murder at the top of the stairs. Basically, that was about it, action-wise, BUT I have no complaints because the more I watch this film, the more I like it. It has become my favorite Alfred Hitchcock movie, along with Rear Window.",e
3,10 August 2004,slokes,10, Movie At The Crossroads Of Time,"What can you say about a film that's been talked about to death? Just this: If you've never seen it, you owe it to yourself to do so, not because it's a way of paying homage to the one true master of modern film, but because it's so fun to watch.",v
4,19 May 2017,arichmondfwc,10, Anthony's Norman,"Getting into Hitchcock's Psycho, 57 years after its original release is like assisting to a masterclass of sorts. We can now identify what made this little lurid tale into a classic. Hitchcock himself, naturally, but now we know the first director's cut was a major disappointment and that Alma Reville - Hitch's wife - took over, re edited and the results have been praised, applauded and studied ever since. Janet Leigh's Marion Crane created a movie landmark with her shower scene. Bernard Herrmann and his strings created an extra character that we recognize as soon as it reappears under any disguise but, what shook me the most now in 2017 is Anthony Perkins as Norman Bates. His performance has evolved with the passing of time and its effect has remain as chilling, as moving, as funny and as real as it was in 1960. It's interesting to watch Gus Van Sant's 1998 version with Vince Vaugh as Norman Bates. If you look at the film, shot by shot with Berrnard Herrmann's strings - it's pretty fantastic. - Play it in black and white if you can. The problem and it is a monumental problem, we wait for Janet Leigh and Anthony Perkins, if the casting of Anne Heche was really bad - not a hint of Janet Leigh's humanity, the casting of Vince Vaughn was incomprehensible. Not just not credible for a moment but annoying, very annoying. Anthony Perkins brought something profoundly personal to Norman Bates and as a consequence we connected with his sickness. We felt for him. Okay, sorry, I didn't mean to go there but I felt compelled to because I saw again Psycho (1960) ad Psycho (1998) at 24 hours from each other and realized that the main flaw of the 1998 versions is the absence of Anthony Perkins.",i
5,9 December 2009,TheLittleSongbird,10," A film that you see once, and never forget...","I am a huge fan of Hitchcock, and have really liked all of the movies of his I have seen so far. My top 5 favourites are Vertigo, North By Northwest, Rear Window, Rebecca and this masterpiece. Before I saw this, I considered Vertigo as his masterpiece. After seeing this movie, I think Psycho outshines Vertigo.",e
6,23 November 2007,littlemartinarocena,10, Hitchcock and Herrmann,"Robert Bloch wrote the original work, Joseph Stefano adapted it into a tight screenplay but it was Alfred Hitchcock with the extraordinary complicity of Bernard Herrmann who transformed this lurid tale into a classic, horror masterpiece. The score propels us into the moment before the moment arrives provoking the sort of anticipation that verges on the unbearable. The fact that the key scenes have become iconic film moments: copied, imitated, emulated and parodied, have not diminished its impact, not really. The anticipation, underlined by Herrmann's strings, creates a sort of craving for the moment to arrive. That doesn't happen very often. No amount of planning can produce it or re-produce it - otherwise how do you explain the Gus Van Sant version - so, the only possible explanation is an accident, a miraculous film accident and those do happen. Everything falls into place so perfectly that even the things that one may argue are below the smart standard of the film, are needed, the film without every frame is not quite the film. Try to turn away after the climax during Simon Oakland's long explanation. You can't. I couldn't. Partly because you know you'll soon be confronting those eyes, that fly, the car...",w
7,16 November 2002,Smells_Like_Cheese,10, One of the greatest horror/suspense films ever!,"Alfred Hitchock is the master of suspense and Psycho is probably his most famous film. Because, let's face it, one way or another, you have seen or heard of this film. It's been made fun of, been remade(unfortunately), not to mention that this movie's word will be spred from generation to generation. I came across it very young, my parents used to tell me how scary it was and how I wouldn't want to take a shower after watching this film. I didn't believe them, but when I watched it, I for the first time pulled the blanket over my head, it was that frightening! The thing that is so amazing about Psycho is how much of an impact it made, and understandably why it did. It ranked in over 60 million dollars at the box office, now this was the time where tickets were like 50 cents at the theater, now if you compare that to today, that's Titanic like money! It broke many taboo's, like this was the first film to show a toilet being flushed, isn't that interesting? My high school teacher said that her and her mom saw Psycho when it was first released in theaters and she actually ran out of the theater terrified! Alfred did so well keeping us glued to our seats with all his great twists! This was before The Sixth Sense, I mean, the ending is just such a mind blower! But I won't give spoilers.",/
8,26 June 2007,ma-cortes,8, Hithcock masterpiece in his most accomplished and perfect movie,"This famous film with known story tells about Marion Crane (Janet Leigh) , she works in a Phoenix (Arizona) office, when his employer trusts her some money . Seeing the opportunity to take the cash and beginning a new life along with her fiancé Sam (John Gavin) . Larcenous Marion leaves Phoenix and heads with her car towards California where her lover with debts is owner a store . When is caught in a storm and pursued by a policeman , she leaves the highway and enters Bates hotel . The hotel with twelve rooms (and 12 showers) is managed by a strange young (Anthony Perkins) who seems to be submitted by his overbearing mother , she's living at a creaky mansion nearly hotel. Then, rare things start to happen . Later on , a detective named Arbogast (Martin Balsam) , her sister (Vera Miles) and Sam (John Gavin) are looking for Marion , asking for help a stubborn sheriff (John McIntire).",r
9,28 July 2014,Leofwine_draca,10, Hitch's masterwork,"PSYCHO truly is an excellent film, a movie which, along with the same year's PEEPING TOM, managed to kick start a new genre of psychological thrillers which continues to this day. It's perfectly made, with an excellent story (thanks to the reliable schlockmeister Robert Bloch), a great script adaptation, and assured direction from Hitchcock.",w
