Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,18 October 2020,Sleepin_Dragon,10," Forty years on, and it's still outstanding.","Kubrick, King and Nicholson, the writing was literally on the wall, and I don't mean RedRum, forty years on, and The Shining is still a masterpiece.",/
1,23 November 2003,Smells_Like_Cheese,10, One of my favorite films,"The Shining, you know what's weird about this movie? This is the movie that everyone, for people who claim to not like horror films, will always say that The Shining is a terrific film. This is Stanley Kubrick's classic vision of Stephen King's horror tale of madness and blood. This is just an incredible film and wither you have seen it or not, you have heard of it, know a few lines from it, and know some of the classic images. Who could forget Jack's ""Here's Johnny!""? Who could forget ""All Work and No Play Make Jack a Dull Boy""? Who could forget that chilling ending? This is the film that is unforgettable and honestly in my opinion is Kubrick's best work. I know there is a lot of argument in that department, a lot of people say it's 2001: A Space Odyssey or Clockwork Orange or even Dr. Strangelove, but if those film pioneered film making, then The Shining perfected it. This is the tale of isolation, madness, terrifying images, and the ultimate ghost story that will crawl underneath your skin. ",r
2,20 June 2022,b_kite,10, An absolute classic. Even if it does stray away from the novel.,"While I can understand a lot of Stephen King's arguments over Kubrick's vision, including casting Jack Nicholson who instead of a descent into madness looks insane from the first frame. This is still an absolute classic.",e
3,14 January 2008,neil-476,5, Equivocation,"This is a difficult review to write. You see, I've just posted comments on Ella Enchanted where I comment that, as someone who has never read the book, the film is absolutely fine. But it's difficult for me to approach Stanley Kubrick's The Shining on that basis because, you see, I've read Stephen King's The Shining.",v
4,2 April 2001,Anonymous_Maxine,10, The greatest horror movie of all time.,"Okay, okay, maybe not THE greatest. I mean, The Exorcist and Psycho and a few others are hard to pass up, but The Shining is way up there. It is, however, by far the best Stephen King story that has been made into a movie. It's better than The Stand, better than Pet Sematary (if not quite as scary), better than Cujo, better than The Green Mile, better the Dolores Claiborne, better than Stand By Me (just barely, though), and yes, it's better than The Shawshank Redemption (shut up, it's better), I don't care WHAT the IMDb Top 250 says.  ",i
5,18 May 2021,Fella_shibby,9, The best creepy horror movie involving isolation n eeriness. Also it captured the fear of the unseen in one of the best way.,"I first saw this in the late 80s on a vhs, then again in the early 2k on a dvd which I own. Revisited the 144 mins director's cut recently as i am anxious to check out Doctor Sleep n the tv version of The Shining.",e
6,13 September 2021,elliotjeory,6, The book is better,Watching this after reading the book I can see why Stephen king was annoyed with it.,w
7,6 January 2021,portraitofaladyonfire,6, I can see why people like it,"My expectation were to high. I expected a masterpiece, but in the end I found it just mediocre. Dont get me wrong the acting and the camera work are great. Storywise I couldnt really get invested in it. In terms of horror except the twins it wasn't scary at all in my opinion.",/
8,31 July 2015,Chiller7,5, Overrated,"Once again, I decided to check out a highly regarded ""cinematic masterpiece"" and was left kinda disappointed. Scariest movie of all time? No, not really. It wasn't even particularly scary.",r
9,28 February 2005,Sfpsycho415,8, One of the scariest movies ever---8/10,"I was never a big fan of horror movies. They usually try cheap tricks to scare their audiences like loud noises and creepy children. They usually lack originality and contain overacting galore. The only horror movie i like was Stir of Echoes with Kevin Bacon. It was well-acted, and had a great story. But it has been joined and maybe even surpassed by Stanley Kubrick's The Shining, quite possibly the scariest movie ever.",w
