Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,28 September 2020,auuwws,10, The best trilogy in the history of cinema,Best movie in the trilogy and sealed in the best possible way,/
1,22 November 2006,OttoVonB,10, All Good Things come to an End!,"All the threads of Tolkien's magnum opus come together in the most elegant of fashions in the final part of Peter Jackson's adaptation. Humanity makes a last stand at Minas Tirith, the Hobbits travel through Mordor, our heroes try to by time for Frodo to complete his mission and the Evil Sauron gets tired of the whole game and lashes out with all his might and fury.",r
2,9 March 2011,TheLittleSongbird,10, Pretty much outstanding,"I admit it, I love all three Lord of the Rings films. People may say Return of the King is the best of the trilogy, some may say it is the worst. I personally think Two Towers is the best for its scope and better exploration of some of the characters, but while it is still great Return of the King is better than Fellowship of the Ring.",e
3,2 November 2020,diffguy,10, Nothing better,The greatest tragedy of the human race is that they will never make a better movie than Return of the King.,v
4,17 December 2003,GuyCC,10, Unprecedented.,"Peter Jackson has done it.  He has created an all-encompassing epic saga of Tolkien's Lord of the Rings books, and after coming away from the final chapter, how does this rate not only as a film on its own, but as a part of the whole?",i
5,19 August 2016,Leofwine_draca,10, Perfect way to finish the trilogy,"Finally, the last movie in the series. Finally, Peter Jackson makes his intentions clear. Now we realise that the first two movies in this series were just the build up to this epic of a film. A masterful masterpiece, a flawless work of cinema whose only fault is that it seems too short. I don't have much to say about this; I don't want to spoil anything. But this is the big one. It completely blows the other two great movies out of the water. Suddenly, everything is more adult, more dramatic, and ten times the emotion. You could call it an emotional roller-coaster ride; certainly Jackson touches the nerves and heart-strings on more than one occasion.",e
6,16 March 2005,Derek237,10, They saved the best for last,"Obviously, I'm aware of the fact that the Lord of the Rings trilogy is actually one giant movie, but since it was released in parts, that's how I'm judging them. The Return Of The King is the final chapter, and since it is the climax and resolution of the epic journey, it has a little more intensity and urgency than the previous installments.",w
7,11 February 2022,terrylarosa,10, Still the greatest movie ever made,"Nothing even comes close and I may well not see it personally topped. Every single scene is magnificent. The acting is superb as is the direction, script, hauntingly beautiful music, cinematography and the incredible battles; especially the hour long battle on the Pellenor Fields and Minas Tirith. The characters
are some of the greatest ever created and to root for. The movie is simply perfection from beginning to end and the 4 hour version is just as majestic. There's not a single negative thing I can say about a movie that deserves all it's nominated Oscars. My family and I watched it 4 times in its first 12 days of release. A joyous experience every time. Magnificent!!!!!!",/
8,16 March 2006,Hitchcoc,10, I lived to see them all!,"I am in awe of the knowledge of some of the reviewers. I've been disappointed with virtually every film version of a beloved book that I have seen. I have not studied ""The Lord of the Rings"" though I have read the trilogy twice and parts several times. I know what a scholar Tolkien was and admire his work in linguistics as well as storytelling. The two entities do not need to cross over. If one really wanted to make the book you would have about two hours of poetry and a 56 hour movie. Movie-making is, unfortunately, forced to play by different rules. First of all, this film could not have been made until now. Imagine people dressed as trees. Remember those old Superman serials where whenever the Man of Steel flies, he becomes animated. Now that is genuinely bad. What Peter Jackson did here will be his legacy; had he died the day the film was complete, he would go down in film history. Everything is set up. The ring must be returned. Frodo is drunk with power and is latched on by the forces of evil. Those continuing the quest must face the ultimate and some do. Gollum is in the way, using his wiles to drive the ring back to him. The visual magnificence of Mount Doom and Mordor are unbelievable. One thing that is never mentioned is the incredible acting of most of the characters. Jackson may be a master of spectacle, but Frodo's character is a mass of impulses and expressions. He believes he is going to die and is afraid. Do you see a little bit of Christianity mixed in here? I'm not going down that road because, of course, the Bible is an epic too and has its own story. This is a movie about how friendship, loyalty, and sacrifice will out against evil. The evil is so remarkable and so oppressive.",r
9,4 February 2004,JamesHitchcock,10, The first great cinematic masterpiece of the twenty-first century.,"I am, I admit, an unlikely convert to the religion of Tolkienism. I  have never read the books, having, I thought, been put off them for  life by the sort of obsessive freaks who read them when I was at  school. (One classmate, then aged about sixteen, told me with great  pride that he had read the whole of 'The Lord of the Rings' at least  fifty times). I also have never been a great admirer of the 'sword and  sorcery' school of fantasy writing or film-making; indeed, some of this  genre (mostly those starring the current governor of California) struck  me as being among the worst films ever made.  I was, however, persuaded to see the first in the trilogy, 'The  Fellowship of the Ring', by its overwhelmingly positive reception from  the critics, and was quickly won over by the scope of Peter Jackson's  vision. I had been expecting some twee tale of elves, gnomes and  fairies; what I experienced was a genuine epic (in the true sense of  that overused word). Ever since December 2001, I have been waiting for  parts two and three of the trilogy to be released. Neither has  disappointed me.  The story of 'The Lord of the Rings' is too complex to be told in a  review such as this. Suffice it to say that it revolves around a magic  ring which will give its possessor immense power. The power-hungry Dark  Lord Sauron (a figure who is never actually seen on screen) desires to  obtain the ring in order to dominate Middle Earth. His enemies, led by  the wizard Gandalf, are seeking to destroy the ring, which can only be  used for evil purposes, not for good. At the beginning of the final  part of the trilogy, Sauron's forces are massing for an attack on the  kingdom of Gondor.  The film relates the story of the conflict which follows, and this  leads to some of the most spectacular battle sequences I have seen,  even more impressive than those in 'The Two Towers'. Inevitably, the  film makes much use of computer-generated effects, but unlike many  films dominated by special effects, plot and character are not  neglected. The acting is uniformly good, and in some cases outstanding.  Special mentions must also go to the camera-work, which made the best  possible use of the magnificent New Zealand scenery, and to Howard  Shore's memorable musical score.  So, looking forward to the Oscar ceremony, I have no doubt that this  should be the best film and that Peter Jackson, who has amply fulfilled  the promise shown in the excellent 'Heavenly Creatures', should be best  director. Best Actor? I would find it difficult to decide between the  competing claims of Sir Ian McKellen, who brings wisdom, kindliness and  the required touch of steel to his portrait of Gandalf, and of Elijah  Wood, who plays the brave and resourceful hobbit Frodo to whom falls  the dangerous task of ensuring the ring's destruction. Best Supporting  Actor? My own nomination would be for Sean Astin, as Frodo's loyal  companion Sam, but several others might have claims, notably Viggo  Mortensen or Bernard Hill.  Is this the best movie ever made, as some of its admirers have claimed?  Possibly not- that is, after all, a very large claim to make. I have no  doubt, however, that the trilogy as a whole is the first great  cinematic masterpiece of the twenty-first century. It has certainly  inspired me to start reading Tolkien's original novels. 10/10.",w
10,25 August 2008,fearfulofspiders,10, The Supreme Motion Picture of All Time...,"The Lord of the Rings - The Return of the King is by far the most moving, inspirational and epic of the three parts in Peter Jackson's take on Tolkien's fantasy masterpiece. After proving that this trilogy can carry the weight of a truly enormous body of text with The Fellowship of the Ring and The Two Towers, Jackson has shown that nothing is impossible anymore when being brought to film, and that fantasy can be surreal, but grounded to reality.",1
11,30 November 2007,mstomaso,10, Part 3: It's Not Really the Thought that Counts,"Just as Peter Jackson felt that LOTR had to be made as one large, three-part, cinematic piece, I decided to write my IMDb review of all three movies as a single, multi-part essay. Click on my screen-name and hit ""Chronological"" to view my reviews of the Fellowship and Two Towers. I make no guarantees about the quality and consistence of my review, but I do guarantee that these three films offer very high and very consistent quality from beginning to end. The acting, cinematography, art, and direction simply can not be beat.",0
12,17 December 2003,Chris_Docker,9, A monumental film,"Feeling weary and battle-worn, I have just staggered out of the cinema after three and a half hours of special effects creatures fighting other special effects creatures. I had taken refreshments but barely touched them - probably because the film I had watched is one of the most mesmerising, evocative, inspiring, and awesome I have witnessed of any big adventure epic. Not to mention superb ensemble acting, moods that shift effortlessly between mediaeval battles of colossal proportions and convincing bloodshed, beauty and wonderment, fantastic natural and artificial landscapes and cityscapes, touches of humour, well-paced dramatic tension, and human bonding that is moving enough to just let you dry your eyes as the unassuming credits flash by.",0
13,1 September 2005,kevin_crighton,10, Brilliant. Simply brilliant,"Where to start with this masterpiece? Quite simply one of the greatest movies ever made. A fitting end to a stunning trilogy. The acting as it has been is brilliant again. Special mention must go to Sean Austin, for his performance as Sam. In this one he gets his big moment in the trilogy, and he nails it perfectly. His scenes with Elijah Wood (Frodo) on Mount Doom, as Frodo weakens are full of emotion and very powerful. As for the rest of the movie? It has one of the greatest scenes EVER in a movie : the riders of Rohan charging into battle outside Minas Tirith. You simply cannot tell where the real riders end, and the CGI begins. The battles again are well done, and not simply a repeat of the siege at Helms Deep in The Two Towers.",4
14,19 July 2009,Tweekums,10, A fantastic conclusion to a great trilogy,"After a brief prologue showing us how Sméagol came to get the ring and how he came to be the pitiful creature we know the film proper starts where The Two Towers left off; Sméagol is continuing with his plan to lure Frodo and Sam to their doom in Shelob's lair and Gandalf, Aragorn, Legolas and Gimli are reunited with Merry and Pippin at Isengard.",3
15,14 March 2023,EVON1TY,10, The Journey Ends with a Unique Movie.,"This movie made me love Cinema. Some movies mades you love that genre, this made me love Cinema. It's not perfect since there are no perfect movies actually. But this one is the Achievement of being the closest to the perfect for me.",0
16,27 October 2005,Monotreme02,10, The greatest epic ever made,"The Lord of the Rings: The Return of the King is, hands down, among the most spectacular and magnificent films of all time.",5
17,25 December 2020,marianstelian,10, BEST TRILOGY EVER,"In my opinion,this is one of the best movie ever, maybe the best.",/
18,25 December 2005,classicsoncall,10," ""Put aside the Ranger, become who you were born to be.""","Weary beyond words, Hobbit companions Frodo and Sam continue their journey to destroy the One Ring, with the sinister Gollum still their guide. The film opens interestingly with Gollum's origin story, capturing his descent into depravity and madness, finding the ring in much the same manner in which he lost it. The ring has the power to affect it's bearer, and not for good.",?
19,5 July 2010,khanbaliq2,10, In many ways grander in scale than the first two installments of the trilogy.,"The hobbits approach the slopes of Mount Doom, preparing to dispose of the cursed Ring, while the forces of good and evil are rallied in anticipation of the ultimate battle. The film won the Academy Award for Best Picture, the only time in history a fantasy film has done so.",r
20,22 December 2003,Pavel-8,10, Awe-evoking.,**Warning! Mild Spoilers Ahead!!**,e
21,6 April 2014,Al_The_Strange,10, LOTR ROTK Review,"After the last two Lord of the Rings films, the journey of so many heroes has come so far, and it all leads up to this. Darkness falls upon all of Middle-Earth. Huge armies of orcs march upon the kingdoms of men. The One Ring comes closer to its evil master. Could this be the end of the world, or the start of a new beginning? This final chapter in the film series starts off with an incredibly moving sequence: the heartbreaking tale of Gollum's origins. From the on, it picks right back up where the last films left off, chronicling the journey of Frodo, Sam, and Gollum as they tread in dark and dangerous territory, combating orcs, one giant spider, and ultimately themselves as they approach the threshold of Mount Doom. At the same time, the film presents some of the biggest and most epic scenes ever committed to film: the Battle of Minas Tirith. It is a huge spectacle that fills up the entire screen with thousands and thousands of orcs, men, war machines, lumbering beasts, Nazgûl, cavalry, massive elephants, and even ghosts. It is a long struggle that fills up most of the movie's runtime, but it's always awe-inspiring. As if that's not enough, the film then brings the battle to the gates of Mordor, for one grand climax. Even in the calm before each battle, the film remains as captivating as its predecessors, thanks to its style and storytelling prowess. If there's anything to truly complain about, it would be the lengthy denouement. Overall, however, the experience of The Return of the King has never failed to invoke feelings of awe.",f
22,13 February 2004,Theo Robertson,10, A Breathtaking Conclusion To Cinema`s Greatest Fantasy Epic,It takes a miracle for me to go the cinema since smoking is banned in cinema chains but Peter Jackson is a miracle worker . How else would he be able to make me forget my filthy and disgusting nicotine addiction ? He made me forget all about cigarettes for three hours with THE TWO TOWERS and I knew that with RETURN OF THE KING he could make me forget all about ciggies for a record breaking three and a half hours . I booked my ticket for Rothesay winter gardens cinema and sat down to be enthralled,_
23,11 March 2021,jrugg19,10, Quite Literally the Greatest Trilogy Ever Made,"I'm not sure what could be said about LOTR that hasn't already been said, other than that I personally think it's best trilogy ever put to screen, and I really can't think of anything close. Peter Jackson took on the most demanding project imaginable and created a series that will be remembered forever. He respected Tolkien's literature and stuck so incredibly close to the source material and translated it so effortlessly in such grand fashion. I highly recommend the extended editions, as they devote more time to building Middle Earth and developing their incredible characters ever further. 20 years later and the series still looks incredible, especially in 4K. What Jackson did here could never be replicated; he created the best trilogy ever made.",=
