Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,12 August 2010,Loving_Silence,10, An Epic in every sense of the word.,"Peter Jackson truly outdid himself when creating the Lord of the Rings: The Fellowship of the Ring and he fails to disappoint us in the 2nd part of the Trilogy. The Two Towers shows us that he is not a one-hit wonder, like so many directors are. I actually think that The Two Towers reaches the same level as the Fellowship of the Ring, and sometimes even surpasses it.",/
1,28 December 2005,classicsoncall,10," ""There's some good in this world Mr. Frodo, and it's worth fighting for.""","""The Lord of the Rings"" continues it's epic quest in this second installment of the trilogy, as the original fellowship is disbanded and it's various members must continue the good fight. While Frodo and Sam pursue their mission to Mordor, Pippin and Merry manage to escape the Uruk hai into the Fangorn Forest and their own adventure with the Ents. Aragorn, Legolas and Gimli traverse the Riddermark into the realm of Rohan.",r
2,28 September 2020,auuwws,10, Great movie,Great movie I really enjoyed watching and better than the first part,e
3,19 March 2005,Boba_Fett1138,10," Absolutely, totally fantastic!","Watching this movie is like watching a 179 or 223 minutes long action sequence. The pace is incredibly high. Alright I have to admit that the Extended Edition of the ""The Lord of the Rings: The Two Towers"" takes an awful lot of this pace away and make some of the scene's unnecessary long and the scene's with Treebeard are also a bit dull and long but still...Especially compared to the first that was just too slow at times this is an huge improvement!",v
4,8 March 2011,TheLittleSongbird,10, My personal favourite of the trilogy,"I do love all three films of The Lord of the Rings trilogy, all are visually stunning with wonderful music and strong narratives. The Two Towers is my personal favourite of the three for several reasons. For one thing it is less talky than Fellowship of the Ring, and the pace is a little more secure here. Also the final battle is just breathtaking in the action, direction and in its scope, and very compelling and epic. And some of the characters are developed more here than they were in Fellowship of the Ring primarily Frodo and Aragorn, who were played very well there but a little bland in comparison to here. ",i
5,19 December 2002,rc_whittle,10, A standing ovation for all concerned.,"It seems ridiculous to want to add my own comments to a slew of others that are already in IMDB's records, but I feel like I cannot sleep nor cease the throbbing in my chest until I release some of what I have so recently seen.",e
6,3 March 2023,EVON1TY,10, One of The Best battle sequence.,"Even if I watched this movie, like more than 20 times, still I feel nearly the same as I first watch.",w
7,2 March 2023,EVON1TY,10, Helm's Deep could be the greatest battle sequence of all time.,As you know Tolkien did a great job with creating the world. Also did a perfect job with writing the battles. Also It's not that easy to fitting that to the adaptation. The whole cast did pretty perfect job with The Two Towers. I know whole Trilogy made in same time. Only the film editors are changing through the trilogy. So they managed a great job making these movies.,/
8,18 December 2002,JohnLennon1985,10, My precious...,"Seriously, I never thought a movie could get better than the Fellowship of the Ring, but it did. This movie should be #1 on the IMDb top 250. This movie, as long as it was, captivated me from start to finish, and those who are not entertained by this movie can not be entertained period.",r
9,5 March 2006,calcat91355,9, Magnificent epic,"The Fellowship of the Ring was a monumentally entertaining film, the Return of the King was an amazing wrap-up to the epic of our times, but the most dramatic moment for me came at the end of the Two Towers. After 3 hours of sweeping vistas, excellent Shakespearean acting, and otherworldly sights and sounds, we are treated to a scene that still sends chills down my back and rouses me like nothing since the final scene in Rocky. A lone rider (we all know who), set against the top of a hill, massing legions of horsemen behind him. He appears just as the heroes are losing all hope. Once he begins his descent down the hill with his army behind him, the camera begins a slow pan over the top and down with them, showing the size and scale of their forces. The evil army below looks up with surprise, a bright light fills the screen, the camera focuses on the lead rider (again, we all know who) who lets out a wrenching battle cry, the music swells to unbelievable heights, and I am swept away like I've never been before.",w
10,27 January 2003,Theo Robertson,9, My Visit To The Cinema,"Don`t you just hate cinemas ? No matter where you sit you always end up surrounded by people who spend their time chatting amongst themselves as to the events on screen 30 seconds before they happen . If we`re after a running commentary we`ll buy the DVD thank you very much . Add to this unattended mad mental kids running around wild . In fact many years ago our local newspaper saw a no holds barred letter of complaint about a screening of 3 MEN AND A LITTLE LADY which referred to foul mouthed juvenile delinquents in the audience . And on top of all this I`m a chainsmoker and cinema chains don`t allow patrons to poison themselves or others with nicotine so as a rule I don`t visit cinemas . But it`s a rule I broke in order to see THE TWO TOWERS because I was literally dying to see it . So I booked my ticket well in advance for the premier screening in Rothesay on the 26th of January , popped into the cinema that night and demanded to be entertained",7
11,30 December 2004,Mithrindir,10, A True Fantasy Movie,"From the beginning to the very end, the Lord of the Rings trilogy is interesting and enjoyable. The books and the movies alike grasp one's attention as if they were real. You, the reader or viewer, can sense the pain of the characters, their emotions. The trilogy is truly powerful on screen. The second movie, however, I believe has something the first and third are missing; it feels like a bridge connecting two great islands. There is something unique about it that cannot easily be described. Metaphorically, the first movie is, say, a soldier. The third movie is the path home from war. And the second movie is the act of coming home because it contains the obstacles that must be passed through before achieving the goal. Although not 100% loyal to the written trilogy, the movies are done in such a way that the mainstream audience and LOTR fans from before the movies came out can say they were enjoyable and well made.",7
12,18 December 2002,bopdog,10," Jackson remains a genius, and this series remains a masterpiece--Faithful enough to Tolkein, and a fantastic movie!","I've read ---with care and delight--- the books four times in the last 34 years, including the recent reversion to Tolkein's ""original"" manuscript, edited by his son. I'm a fan. There, I said it, and I'm glad, I tell you!",6
13,12 December 2005,MaxBorg89,9, The battle for Middle Earth is about to begin...,"Peter Jackson himself has admitted The Two Towers was the hardest part of the trilogy to achieve, at least in terms of narrative structure since, unlike The Fellowship of the Ring, it has no proper beginning and no emotionally packed climax (Boromir's death in Fellowship was one of that film's most moving moments). It picks up exactly from where its predecessor ended: the Fellowship is split in three separate groups, all with their own problems to take care of:",1
14,5 August 2004,Barky44,9, Tough to put on film but came out very well,"Long before it came out, I knew The Two Towers would be the toughest of the three Lord of the Rings books to put on film. Not only is it the middle child, but the very structure of the book makes it hard to craft a linear story with all the plot lines in tact and interesting.",9
15,19 August 2016,Leofwine_draca,10, Fantasy greatness with one of the best sieges put on film,"Well, I'll be darned if this isn't one of the best epic movies I've ever seen in my life. And am ever likely TO see in my life. Following in the footsteps of THE FELLOWSHIP OF THE RING, Peter Jackson's second instalment of the trilogy ups the ante tenfold, offering one amazing movie packed with heart, action, romance, dazzling effects, and brilliant characters. Thankfully free of the time-consuming introduction needed to begin the first part of Tolkien's trilogy, Jackson now has time to focus on developing characters, perilous quests, and, of course, out-and-out action. I'm an action lover at heart so I was in seventh heaven watching this movie. Everything you could want from the second book is here, up on screen and even more amazing than Tolkien could render. Plus, Jackson has done his magic and inserted a few memorable scenes of his own so there are plenty of surprises even for those who know whats coming.",0
16,26 August 2008,fearfulofspiders,10, The Sequel That Dwarfs Its Predecessor...,"The Lord of the Rings - The Fellowship of the Ring was a fantastic start to Tolkien's epic tale. The only true weakness of The Two Towers -- if you can call it a flaw -- is that the film is the middle-child, in that it has no beginning and no end. Though it starts out where the first ended, The Two Towers begins with a recap of Gandalf's battle with the Balrog as we continue to see their fight as they plummet thousands (if not miles) of feet through gaping chasms in the Mines of Moria.",5
17,27 April 2004,OriginalMovieBuff21,10, The Best of 2002!!!! Another masterpiece to the Lord of the Rings trilogy!!!,"The Two Towers is another masterpiece of returning after Fellowship of the Ring. This had excellent and brilliant action. Like the Helm's Deep battle which made the 100 best battles of all-time. There wasn't much of a story but who cares, it's Lord of the Rings!!! I loved the sword-fighting and the orcs too. This movie gave me chills down my back from the fighting and the unforgettable lines. Gollum was so cool and funny. Andy Serkis did so well in doing Gollum's voice and the CGI was amazing! The landscape once again was superb. This is another one of my favorite movies. It's not better than the fellowship and Return of the King but was very close and is still a smoking brilliant film. Go LORD OF THE RINGS, BABY!!!!!!!!!",/
18,18 June 2019,hanifmuhammad92,10, The Definition of Epic!,The Lord of the Rings: The Two Towers is a ripping roaring success. It's in the company of Great sequels that manage to match the original film in nearly every way. it doesn't quite have the narrative focus the Fellowship of the Ring has but it more than matches it in overall quality. The Film delves much deeper into the Lore of Middle Earth than the original film and adds a host of welcome additions to the awesome roster of characters. In short it's pretty much everything you can ever want and more.,?
19,11 March 2015,fernandoschiavi,9, A film that has a lot to tell and is a key part of the plot which will conclude in Return of the King,"A year after the release of The Fellowship of the Ring, all moviegoers were more than eager to continue the first masterpiece of the XXI century. The Two Towers comes with the huge responsibility of maintaining the fascination left by the first movie, introduce more characters and various others having to be even grander. And he does this goal perfectly. Battles unthinkable, many new important events happening, new characters emerge, and even better effects finalized and dramas more pronounced, are just some of what The Two Towers has to offer. In The Two Towers, the journey continues to seek the destruction of the One Ring. ",r
