Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,4 August 2002,Smells_Like_Cheese,10, This is the movie that made a big break through for sci-fi movies!!!!,"The Terminator is one of those films that no matter if you've seen it or not, you've heard of it, heck you know at least one or two lines without seeing it! This is the movie that blasted then new comer's Arnold Schwartzeneggerr's career, made James Cameron a name in Hollywood, and gave new meaning to a possible dark future that gave us nightmares. I remember the first time I saw this movie, I was just 8 years old and my dad of course walks in saying to cover my eyes at every ""bad"" scene with violence or nudity, needless to say about 70% of the movie he covered my eyes. Finally I got to see it with my mom and I was in love, this wasn't just an action movie, though it is one of the best, it had a story. To think this was all based upon just a quick nightmare that James Cameron had, he didn't have much money, but he had a good script, a great crew on his side to make one of cinema's greatest movies of all time.",/
1,5 June 2003,MovieAddict2016,10, The best of the best in its genre...,"Rarely has a film so frightened an audience as ""The Terminator."" After its release in 1984, the extremely low-budget sci-fi actioner broke box office records, and gave audiences something more to fear. Through the years, there have been stories of nature's beasts, of creatures from another world, and so on and so forth. ""Jaws"" was terrifying because it seemed so possible. And if ""Jaws"" is terrifying, ""The Terminator"" is horrific. The realization of this hit-man machine dawned on everyone watching the film. In a time of exceeding technology, how long will it be before man is overtaken by the very things he created? And that is what is particularly scary about a film like ""The Terminator."" ",r
2,15 July 1999,baumer,10, Nice night for a walk.,"Is there a better person to play a cyborg than Arnold?  For this movie he was a massively built oak tree of a man.  His strange accent makes for a perfect callous robotic sounding killing machine.  It's almost like his voice is a computer read out ( which I guess it is in one sense ). Terminator is one of those films that started something huge.  People didn't realize it at the time, but the careers of Arnold, Cameron and perhaps even guys like Micahel Biehn, Lance Henriksen and even Bill Paxton were substantially started because of this film.  And Cameron must have liked working with them so much that he gave all of them substantial roles in his next film ( Aliens ).",e
3,5 January 2018,ivo-cobra8,10, Schwarzenegger's my personal favorite best action classic masterpiece of all time,"The Terminator (1984) is a masterpiece, the best sci-fi action classics horror movie that started all the Terminator movies. This is Schwarzenegger's best movie and my personal favorite action film. I love this film to death it is my childhood film I grew up with it. Arnold Schwarzenegger was The Terminator T-800 Model 101 indestructible killing machine cyborg. This movie is brilliant, it has brilliant story, brilliant plot, excellent additional cast, brilliant director and writers, good special effects, it is mixed with sci-fi, action and horror. This movie deals with the war that was set in the future but the battle will be fought in the present. It deals with paradox travel trough time.",v
4,28 January 2011,axlrhodes,10," The Terminator has heart. Cameron might be well advised,less is more.","Many people look back at the films of James Cameron and suggest that the smaller, the budget, the tighter the limitations, the better the end product. Films like Avatar, Titanic and True Lies had huge budgets and drew in even bigger box office but many still yearn for the Cameron that gave us The Terminator and Aliens which were huge movies but packed a far bigger punch artistically. My feelings all these years on are that Cameron has earned the right to make those huge movies but i have to admit to preferring his earlier body of work. The Terminator is a nightmarish, time travelling science fiction film told at a breakneck pace and delivered with confidence and style. The film has a very gritty, underground look to it and does a great job of telling its story amid the frenetic action. There is also a huge slice of horror and suspense thrown in, an impression that has diminished in the years since it's release due to inferior sequels. Viewed as a standalone piece however, The Terminator is fine piece of work from a director with a very clear vision.Everyone knows that The Terminator is the film that gave us Arnold Schwarzenegger but when i look back at the film, it has heart and its the Michael Biehn character, Kyle Reese, that provides it Artistically speaking,Cameron might be well advised that less is more.",i
5,5 August 2022,Xstal,8, Persistence Personified 1...,"You can run, but you can't hide, your existence amplified, where you go, it will go too, sensors focused just on you, nothing can get in its way, you can shoot, or burn, or pray, as sure as day will follow night, the binaries, will take a bite.",e
6,26 February 2002,SmileysWorld,9, One of Arnold's best,"There are actors,and there are movie stars.Arnold Schwarzenegger is without question a movie star,because every time he is on screen, he is,well,Arnold.There is a different Arnold in this film,and this     is what I like about it.He,for once,is playing the villain,and to perfection,I might add.He makes for one of the best screen villains ever in cinema history.It's a pity that his ""good guy"" image won't allow him to play the bad seed more often,but that's Hollywood, I guess.Aside from the thrilling sequel,this is perhaps Arnold's best work.",w
7,29 September 2013,SnoopyStyle,10, Intense powerful iconic,"In the future, the world has been taken over by SkyNet, a computer AI that achieves sentient and launches a global nuclear holocaust, in a bid to wipe out humanity. One man John Conner leads the human resistance. They are on the verge of destroying SkyNet when it sends a Terminator (Arnold Schwarzenegger) back in time to the present day to kill John Conner's mother. Connor sends soldier Kyle Reese (Michael Biehn) to save his mother Sarah Connor (Linda Hamilton) from the killer machine.",/
8,27 July 2003,Nazi_Fighter_David,9, One of the most breathtaking modern action science fiction films...,"In one of the most intelligent and unhesitating science fiction films of the 1950s, Robert Wise equipped ""The Day the Earth Stood Still"" with technical marvels, chief among them the huge robot Gortthe prototype, Michael Rennie suggests, for a global police force... Similar mechanical giants have been lumbering out of space-ships ever since...",r
9,23 November 2003,Movie Nuttball,10, The Terminator is one of the greatest films ever!,This is one of the great movies of the 80s in MY collection that I think about all the time.,w
10,3 January 2011,gigan-92,10," Bold, Gritty, and Realistic","The 1984 classic, an astounding production. One of Cameron's early works, and yet one of his best. The ultimate thing that puts this film on a whole another level above so many other flops is the awesome blend of realism and atmosphere. When I first saw it as a kid, it just felt so real to me. And now, ten years later,t that feeling hasn't left me. Using his camera in a way only he can do, Cameron instills a sense of dread in every scene, something good old Arnold did quite well.",5
11,11 November 2016,Leofwine_draca,10, A beloved favourite of mine,"Widely regarded as something of a classic in the realms of science fiction and action films, I think that this film is an underrated horror film and may be in fact one of the most frightening films I have ever seen, due to the fact that I had a fascination for it as a child. Director James Cameron, better known to modern audiences for his bloated epic TITANIC, truly succeeded in creating a classic film, one which I would watch many times over his later, waterlogged dreck. THE TERMINATOR was a hugely popular hit and created a new movie monster, the big, silent, hulking figure of Arnold Schwarzenegger in what I believe to be his best role as an unstoppable killer. The fact that the monster is human - and thus able to hide amid fellow humans - is relatively original (depends on who you speak to, but acknowledgement definitely goes to Harlan Ellison) and his sheer indestructibility is really awe-inspiring.",0
12,30 January 2005,FrankBooth_DeLarge,10," An excellent film, highly original","Terminator is an extremely low budget movie. In fact, just about everything used in it didn't cost much at all, but it is a very effective movie. Back in the '70's and 80's, movies could be very low budget, but still be great(think of John Carpenter's Halloween).",2
13,16 March 2018,invisibleunicornninja,8," Old, but still good.","This movie is a solid action movie. Not all of the dialogue is great and some of the effects are a bit dated - but this movie is still effective. The acting is great. The plot is great. This movie is well-shot and worth watching. I can't really come up with many things that are bad about it that don't have to do with it being old. This is just a fun movie with good action, time travel, and robots. I'd definitely recommend this movie. Its worth watching if you're looking for a good time.",3
14,19 April 2003,PeachHamBeach,10, Review of the Special Edition DVD,"I've reviewed this classic movie before, but now I'm gonna review the DVD. To start, I must say that although they had their rationale for deleting the ""terminated"" scenes, as they were called, I think they definitely should have left that one scene in where Sarah Connor calls her mom and tells her to hide in the cabin, and where she finds the listing of Cyberdyne Corp. in the phone book. This scene established Sarah as one who is willing to try to take matters into her hands to stop a nuclear war and a horrible future. She talks to Reese about getting rid of Cyberdyne and they get into an arguement about whether or not that is a mission objective and Reese ends up chasing Sarah into a wooded area. I think the beauty of the woods, flowers and waterfalls was important too, because Reese starts crying and saying how all of this is destroyed, and the future is nothing but blackened, charred ruins littered with the skulls of attempted human genocide. What a terrific, powerful scene. I adore Michael Biehn, and I didn't realize what a great actor (and crier) he is!!! Maybe the other ""terminated"" scenes were okay to delete, although they were all delightful. The one where Sarah practices her ""wholesome waitress"" routine was cute. The one where she talks about Disneyland and hot dogs might have seemed silly, but it really brought home how foreign our world is to Reese, as did the crying scene. The tickling scene might have seemed silly to the editor, but I thought it really made a point: after all the violence and bleakness Reese lived through, to be with the woman he's always loved and idolized, to lay in a cozy warm bed with her experiencing the simple joys of life for the first time (I still wonder if Sarah devirginized him, since he said he'd ""never"" had any special someone in his life) seemed to bring everything into perspective. The scene where you discover that the factory was Cyberdyne Systems was important too, but I'll let these scenes slide. I really think they should consider releasing a TERMINATOR with the scene in the wooded area included. Nevertheless, I still consider this film as one of my favorite sci-fi films, and my favorite James Cameron film. I still admire who he infuses humanity with action and adrenaline, and the missing scenes were wonderful.",0
15,29 December 2020,auuwws,9, The terminator,"A very great action movie, despite the presence of some shots of boredom in the film, but it did not significantly affect my experience with the film, the Terminator was terrifying in the film, his role was played with all the ingenuity of the actor Arnold Schwarzenegger I cannot imagine another actor representing the character, Sarah and Kyle's relationship was not very interesting The soundtrack in the movie was great, especially the one with, the Terminator, the storyline of the action movie was very good, the film really enthused me for the other parts.",9
16,22 January 2006,DaRick89,10, The wonderful action movie which started a wonderful action saga,"The Terminator is one of the best action movies of all time in my opinion. It doesn't set a single foot wrong and it also kicked off a wonderful saga. Without this, there would be no Terminator 2. Think about that. As such, this movie is fondly remembered by many people and it has been the subject of many quotes and spoofs over the years. Why doesn't it set a foot wrong? It is thrilling, almost always entertaining and filled with insane explosions, which more or less makes a good action movie. But 'The Terminator' stands head and shoulders above the rest of it's genre, because of it's well thought-out plot, splendid acting and an eerily memorable music score which gives you a reason to watch the credits at the end.",1
17,21 August 2007,springsunnywinter,10," The best of the best movies ever on the planet, galaxy & the entire universe","The Terminator simply has to be my number 1 favourite movie of all time. When the first time I saw the film I fell in love with it about 15 years ago. The truly original idea of the story-line is amazing about a cyborg is sent from the future on a deadly mission. He has to kill Sarah Connor, a young woman whose life will have a great significance in years to come. Sarah has only one protector - Kyle Reese - also sent from the future. The Terminator uses his exceptional intelligence and strength to find Sarah. The movie was emotionally & psychologically thrilling and made so dark & sinister that give the tensive mood for the film. A well made for 80's film and I was surprised when I heard that it made with a budget of $6.4 million because it looks more expensive e.g. the nuclear war in Los Angeles 2029. I loved every second of it and the best scenes are:",/
18,3 January 2015,Cinemaniac1984,10, Where the legend began...,"Who would have thought a low budget science fiction movie aptly named The Terminator would become a successful movie as well as start the meteoric rise of Arnold Schwarzenegger as a legend in cinema, introduce director James Cameron to Hollywood as a force to be reckoned with, give a new meaning to audiences with the immortal line ""I'll be back"", spawn a large fan base, and then witness the birth of a big-budget saga with an even bigger sequel in 1991 that outdoes the first movie with Terminator 2: Judgement Day and then continue on with Terminator 3: Rise of the Machines in 2003, Terminator Salvation in 2009, and Terminator Genisys in 2015 as well as a short lived TV series Terminator: The Sarah Connor Chronicles.",?
19,22 July 2015,slokes,9, Lethally Efficient Entertainment Machine,"The police psychologist interviewing Kyle Reese says it just right at one point: ""I could make a career out of this guy!"" Make that two careers, that of action hero Arnold Schwarzenegger and blockbuster filmmaker James Cameron.",r
20,22 September 1998,behamut,10, Awesome,"The Terminator, created after another one of James Cameron's reaccuring dreams (Abyss was another one.)  A true beginning in sci-fi movies.  As Schwarzenegger said to his friend when he was picked to play the part as the Terminator, ""they want me to play as some robot from the future in this weird sci-fi movie."" His friend said, ""take it."" Schwarzenegger is perfect as the Terminator, merciless, no fear, no love, no pity, no remorse, no emotions.  None could have pulled it off as well as he did.  Even his eyes showed no emotion with still showing true evil. Michael Beign is just the opposite.  A man sent from the future to stop this machine.  He plays his part as perfect as Schwarzenegger plays his.  A perfect cast of characters for an all star movie! Plenty of action, story line, plot, character interaction, love story, and romance.  Everything is tied into this movie that possibly could be, making it a 3 star movie.  Only drawback is it's a little dragged out at parts and gets slightly boring from time to time but it's so minor that one would have to think about it to care. A truly awesome movie.",e
21,25 February 2005,PhilipJames1980,9, The ultimate blend of Orwell and action,"Even in this post-Matrix era, this movie is still the ultimate blend of Orwell and action. If the definition of a classic is a movie that's often imitated but never equaled, then The Terminator is definitely a classic, because the increasing redundancy of its sequels and imitations merely demonstrates how good the original is.",f
22,29 August 2015,TheLittleSongbird,10," One of the greats of the action genre, and just a great film overall","Have not always been a big fan of action films, after seeing my fair share poorly made, dull and predictable, sloppily written and badly acted ones that delivers just as little on the action (the worst of Steven Seagal being prime examples. The Terminator however is like Die Hard, a thrilling well-made film that succeeds as an action film and a film in general, and treats its audience and genre with respect. It is also one of director James Cameron's best films along with Terminator 2 and Aliens.",_
23,4 March 2000,catalyst-7,9, It's about transformation,"I just saw a horrifying, touching, very good movie again; it's The Terminator.  Now to talk of it as great film, to compare it with American Beauty might seem idiotic--it's an almost unrelentingly dark, violent, frightening action movie, after all--but strip away the relentless action, strip away the technophobia, strip away the blatant dislike of cops and modern youth, strip away the poignant love story and, at its core, it's about an immature, essentially mindless girl becoming a strong, determined woman.  That's a theme more movies should have if we want girls to have strong role models.",=
24,30 June 2014,stephenlovelette,10, As good as movies get.,Raise your hand if you've seen The Terminator.,t
25,31 December 2019,Hitchcoc,9, Amazing Intensity,"When this film was released I hesitated, not being a big fan of Arnold's. But his stolid performance (without any emotion) was really quite good. The plot line of a thing from the future taking on human form and trying to put an end to a problem through murder is quite captivating. Of course, the issue of time travel to the past is always fodder for criticism. Of course, we have the sequels, using computer generated special effects (which are remarkable). I still prefer this first one.",t
26,21 January 2016,paul_haakonsen,8, This time he actually did come back...,"Being a pre-teen back in 1984, it was inevitable not to get familiar with all the action movies of the 1980's. And the 1984 ""The Terminator"" starring none other than Arnold Schwarzenegger definitely was one of the biggest action movies of the mid-Eighties.",_
27,10 June 2006,ccthemovieman-1,8, Surprise! Arnold Plays The Villain,"Here's another film from the '80s that is reaching ""classic"" status. Unlike some of the other popular movies of its day, this one had two sequels that both were successful, particularly the second. In retrospect, what makes this ""Terminator"" different is that Arnold Schwarzenegger was the villain, not the hero, as he was in the other Terminator movies.",u
28,25 May 2013,Progressive-Element,10, Dark sci-fi classic,"The film that gave Arnie true screen cred, and launched James Cameron's career, this modest-budget sleeper hit from 1984 has become one of the greatest-loved sci-fi films ever, featuring an iconic robotic killing machine, The Terminator.",r
29,14 July 2015,ElMaruecan82,9, Fatality and Predestination or when running away can only be a temporary option,"Simply said, ""The Terminator"" is a great film, and even greater when you watch it with the mindset of someone discovering it in 1984, a time when Arnold Schwarzenegger's career was still to be consolidated, when James Cameron wasn't yet that billion-ma'King of the world', when ""I'll be back"" was still a quote that could be heard in any film without being associated to a bad-ass catchphrase with an Austrian accent, when Linda Hamilton still looked like a lovely doll begging for protective hugs.",v
30,30 October 2014,851222,10, Happy birthday to a monumental motion picture,Greetings from Lithuania.,
31,5 January 2013,lesleyharris30,9," Action Packed From Start To Finish,","The Terminator is a great movie with a terrific,action packed story from start to finish and a good cast.The movie is very well known,still today,and all that credit has to go to Arnold Schwarzenegger,who plays a breathtaking performance as the Terminator himself from start to finish,his performance is brilliant,and no one else could have done a better job.",
