Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,30 August 2009,TOMASBBloodhound,10, Note to Hollywood: This is how you make an action film.,"And yes, I'd consider this more of an action film than Sci/fi since it takes place in contemporary times and locations. Nowadays, it can be hard to distinguish an action film from a video game. In fact there is one coming out soon that appears to be both. I guess studios these days feel that kids need something to see while resting their fingers after long days of playing their Nintendos/Playstations/whatever. So they come up with all of these PG-13 action films that are often mere meditations of comic books, toys, or old TV shows. Looking back at T2, one may find the action films of today sorely lacking in comparison.",/
1,13 March 2008,851222,10, Movie that everyone should see!,Greetings from Lithuania.,r
2,4 August 2002,Smells_Like_Cheese,10, This is the sequel that dreams are made of.,"Normally when people tell you about a sequel that was better than the original or just as good, Terminator 2 is always guaranteed to be in their list; why? Because this is THE action movie of all action movies, next to Die Hard, this is the movie that isn't just about the action as well, but has an incredible story and message behind it that will always stay with you. Terminator 2 like the first Terminator film has memorable lines, moments, and incredible effects. This is the film that made you believe in ""liquid metal"" machines. Robert Patrick's performance is flawless, to be honest I found him a million times more terrifying than Arnold in the first Terminator, because Robert looks like this normal average guy, but he's not like Arnold where he gets shot and you can clearly see he's a terminator, Robert goes back to human looking and won't stop. Not only that you don't know how to stop him. Linda Hamilton returns and gives a great performance as Sarah Conor who is no longer a meek little girl, she has turned into a strong woman who will do anything to protect her son and the future. Arnold is back and he's better then ever! No wonder in the future they made several terminators that look like him, he's great entertainment.",e
3,5 February 2005,mjw2305,10," This Terminator Sequel, may prove to be the best sequel ever made.","After failing to kill Sarah Conner, the Machines are now trying again, only this time their after John Conner himself, as a boy. Sarah Conner is labelled insane after trying to burn down Cyberdyne Systems, the company that hid the remains of the first terminator she destroyed, and she is committed to a mental institute. John Resents his mother for the way he was brought up, and now lives with his foster parents.",v
4,7 November 2013,SnoopyStyle,10, Great action and much more,"The future John Connor has sent a T-101 (Arnold Schwarzenegger) to protect the teenage John Connor (Edward Furlong) from the most advanced Terminator ever, the T-1000 (Robert Patrick). It's mimetic poly-alloy material allow it to mimic anything it touches. John must retrieve his mother Sarah Connor (Linda Hamilton) from the psychiatric hospital.",i
5,5 November 2003,MovieAddict2016,10, He Said He'd Be Back...and He Certainly is!,"Who said sequels aren't any good? ""Terminator 2"" is the ultimate sequel, a big bad wolf ready to chomp the head off of anyone who crosses its path. It's dark, it's mean, and it's one tough movie. It's not as bleak as the first film, at least in terms of visuals, but rather has a new kind of bluish-tint that supplies a great backdrop to the ongoing battle between man and machine.",e
6,6 January 2018,ivo-cobra8,10, The best action sequel of all time and one of the best Schwarzenegger's movies my personal favorite,"Terminator 2: Judgment Day is (1991) is the best action sci-fi flick movie from the 90's ever made of all time. Terminator 2 is my personal favorite film I absolutely love this movie to death! Is my number 1 best movie ever till today the best of the best epic movie of all time. T2 was nominated for 4.Oscars the only movie of the franchise was nominated for an Oscar. If you watch T2 carefully and follow the story you never got bored and you are very entertained. This movie kicks ass! I love the hospital scenes mostly at night, the Cyberdyne building action sequences and of course steel mill action sequences are perfect for this film. This film deals with a lot of action, sci-fi and does involves a lot of paradox past travel. There is a lot of explosions and automatic weapons used in the movie and they are used well thousands of bullets are fired and explosive projectiles are fired at the police cars. ",w
7,31 August 2015,TheLittleSongbird,10," A bigger, richer sequel that is every bit as fantastic as its predecessor and even surpasses it in some areas","The original Terminator film is one of the greatest films of the action genre, and still holds up as a fantastic film, not just of its genre but in general too. Terminator 2: Judgement Day is considered one of the best sequels ever made, and it is a consensus that I agree with. While it does lack somewhat in its predecessor's darkness and brutality, it delivers just as much in the writing and action and feels bigger and richer.",/
8,10 July 2021,Calicodreamin,10, Hasta la vista baby,The best terminator movie by far and one of the all time greatest movies ever made. The effects are amazing for the early 90s and hold up even by todays standards. The storyline is easy to follow and the action scenes are amazing. The characters are well cast and the actors sell this movie. An absolute classic.,r
9,3 July 2017,Fella_shibby,10," Awesome action sequences, terrific sound effects n superb cgi. The chase sequence is awesome.","I still remember seeing this movie for the first time in 1993 on a VHS. I was completely blown away by the action, special effects n sound. Bought the VHS in '94 n saw countless number of times that the VHS nearly got burned out. Bought a DVD recently n revisited it. T2 is a timeless movie. It is much better than the original. It has superb car chases, big guns, dynamic explosions, gore, tension, suspense, etc. The chase sequence is awesome and nail bitingly intense, it is one of the best action sequences ever made. The pacing is impeccable and the action sequences still stands out. This movie has awesome sound effects, perfect cinematography n impeccable editing. I don't think there must b an action fan who hasn't seen this movie. It has an awesome cgi, action n sound effects. The scene in the Institute where Arnie walks in slow motion with a shot gun n Patrick, the cold emotionless killer, approaching is so full of tension. This movie also has a creepy n dreadful atmosphere. The movie is very violent n action packed.",w
