Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,21 September 2013,SnoopyStyle,9, Lee Van Cleef outstanding,Col. Douglas Mortimer (Lee Van Cleef) and Monco (Clint Eastwood) are both bounty hunters. They're both after the bank robber El Indio (Gian Maria Volonté) for his bounty. They decide to join forces to bring El Indio and his gang of robbers down.,/
1,23 December 2003,Quinoa1984,10," One of my favorite westerns- a fitting middle section to the ""Dollars"" trilogy","As the second of the three films legendary filmmaker Sergio Leone collaborated on with Clint Eastwood (not to mention his first with Lee Van Cleef and his second with 'Fistful' actor Gian Maria Volonte), For a Few Dollars More gets well earned respect from the fans of the director and the groundbreaking star. And yet, occasionally there are those who'll not even know this film from Leone and Clint exists since it does sometimes get under the shadow of their two most infamous works, Fistful of Dollars (which for the most part introduced Clint and Leone to the public's awareness) and The Good, the Bad and the Ugly (which solidified Clint as a Western icon and gave Leone a similar status for film buffs). But taken as a film unto itself, aside from its place in the trilogy, this is a Western that simply delivers the goods, and it does so with a spectacular marriage of style and substance. ",r
2,30 August 2012,TheLittleSongbird,10," Not as good as The Good, The Bad and The Ugly but better than A Fistful of Dollars","Just for the record I happen to love all three films. For a Few Dollard More is an amazing film though perhaps not as influential as The Good, The Bad and The Ugly. There is one improvement over that film though, and that is the writing of Clint Eastwood's character, more developed and more compelling. A Fistful of Dollars is also great because of everything that makes TGTBATU and FAFDM so good, but I do consider the other two more influential on the genre and also Akira Kurosawa's Yojimbo, which used the film as its inspiration, to be the superior film. Back to A Few Dollars More, the stylised visuals are stunning to look at, the scenery is the very definition of epic and the cinematography sweeps. Ennio Morricone's score is both elegiac and operatic in tone and the story of greed and revenge that focuses mainly on the pursuit of bandit Indio draws you right in and never lets go. The dialogue is peppered with grit and dark humour, which is well-balanced with neither over-powering the other, while Leone's direction is superb. Clint Eastwood plays his more developed character with immense charisma, Lee Van Cleef is suitably vengeful and again Gian Maria Volonte snarls convincingly. Overall, a wonderful film. 10/10 Bethany Cox",e
3,11 October 2015,ivo-cobra8,10, The best classic spaghetti western in the Sergio Leone and Clint Eastwood trilogy!,"For a Few Dollars More (1965) is the best Clint Eastwood Western movie and one of my favorite personal classic western flicks ever! It is my third favorite in ""The Man with No Name"" Trilogy. I grew up watching this film and it was the first Clint Eastwood western movie I ever saw, I fall immediately in love with it and I just love this movie. It is Sergio Leone's best western film of all time my favorite. It is entraining and brilliant western flick with a great original epic story, great cast and the acting is fantastic. You have a great shoot outs, the music score is original epic. I always enjoy this film. It is my favorite Eastwood western movie. ",v
4,4 July 2006,jluis1984,9, The finest example of the Spaghetti Western revolution,"Italian director Sergio Leone changed the face of the Western genre in 1964 when he introduced what would be known as the ""Spaghetti Western"" with the brilliant ""Per un Pugno di Dollari"" (""A Fistful of Dollars""). Not only the films looked grittier, violent and realistic; the characters in Leone's westerns became complex men with complex and obscure moral codes, very far away from the classic clear moral opposites of previous westerns. ""Per Qualche Dollaro in più"" (""For a few dollars more""), is the epitome of all this. It is a powerful, raw and ruthless masterpiece that transcended its genre and became one of the best movies of all-time.",i
5,10 October 2002,funkyfry,9, Worth more than a fistful of dollars,"Excellent fun with sadistic humor from Leone.  Eastwood's best performance in a Leone film.  Van Cleef is good in a role similar to Chuck Bronson's in ""Once Upon a Time in the West"".  He is menacing and sympathetic, whereas in ""The Good, the Bad, and the Ugly"" he is just campy and all ""bad guy"" (but still fun).  What makes both performances so memorable I think is that Van Cleef seems to be in touch with Leone's dark humor, where Eastwood is used as a straight man.  Volonte is also excellent in the bandito role Leone used (an example of a standard European character type who reminds the audience of earthiness and the basic ignorance and greed of man).  A much better film than most people who've seen it on a Saturday afternoon on TV probably realize -- you have to see these movies in the theater to get the full hit.",e
6,4 July 2006,planktonrules,9, A terrific film--one of the best of the Italian Westerns,"The film begins as you see Lee Van Cleef tracking down and killing wanted men. He is so cold, calculating and non-emotional that he is perhaps one of the creepiest heroes in Westerns. Then, the action switches to Eastwood--doing pretty much the same thing, though with a bit more bravado and a little less menace. Both men are bounty hunters and apparently are nearly unstoppable. Then, the film switches to a prison break, where ""El Loco"" is being extracted as his gang wipes out almost everyone in the prison.",w
7,2 June 2019,Prismark10,10, Keep watch,Sergio Leone and Clint Eastwood reunite for their second part of the Dollar trilogy.,/
8,7 March 2014,iamyuno2,9, One of Best Westerns Ever Made,"Exceptional performances by three heavyweight actors, Gian Maria Volonte and Lee Van Cleef - both of whom, it's a shame, did not have all that many more opportunities to shine in quality films after this one - and Clint Eastwood, along with taut direction, editing, cinematography and gripping and unique music (by the great Ennio Morricone), make this movie a real standout. (The music's almost a major character in this film, in fact.) Stylistically iconic, this Sergio Leone opus has an endlessly fascinating and spellbinding story that surprises to the end. Plus, we really come to like the co-heroes, Van Cleef and Eastwood - we want to befriend them and emulate them. Volonte was priceless as a demonic villain - his facial expressions rich with narcissism and a strange kind of violence-fueled euphoria no one else has ever matched in film history, for my money. Though he clashed with director Leone and purportedly did not like the Western genre, Volonte's performance rises above the film's genre and could be favorably compared to the best portrayed villains of other more mainstream movies. Volonte brought a realism to his character and an intensity you don't see in many films. But so did Van Cleef, whose work in this film is incredible. You'd have thought other movie makers would have rushed to cast Van Cleef in important roles after this film, but no. Very strange. Though some might question the wanton violence in this film, the truth is that the real wild west was even more violent and the violence often much more capricious and random. Like all great artistic works, this film never grows old for me. I am always drawn to watch it again and again for it is of such a depth and complexity that it only reveals more of itself with each viewing.",r
9,10 July 2004,MovieAddict2016,8," Awe-inspiring, classic western by one of my favorite directors. QT fans, this is the trilogy he got his inspiration from.","""For a Few Dollars More,"" the middle installment of the iconic Sergio Leone/Clint Eastwood ""Dollars"" trilogy, is the most brutal of all three films. Throughout the movie, ruthless bounty hunters, all of who seem to have no respect for human life, often perform cold-blooded murders. The bounty hunters use the ""wild west"" as a free range: they track, they kill, and they collect.",w
