Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,23 April 2007,bkoganbing,10, The People's War Veterans Return Home,"One of the great things about The Best Years of Our Lives that even though it dates itself rather firmly in the post World War II era, the issues it talks about are as real today as they were on V-E or V-J day of 1945. The problem of how to assimilate returning war veterans is as old as the written history of our planet.",/
1,4 October 2010,secondtake,10, Highly structured but flawless and really moving drama about returning G.I.s,The Best Years of Our Lives (1946),r
2,9 May 2012,tim-764-291856,9, The Troops are Coming Home.....,"Though we had a plethora of films about troops returning from the Vietnam war and trying to re-integrate back into their societies, most of which were hard-hitting, angry voices against War, here is arguably the original - and best.",e
3,22 February 2005,GMJames,10, Over 60 years old and still a classic!,"In 2004, I wrote the following statements on an IMDb message board when a user wondered if The Best Years of Our Lives was a forgotten movie: ",v
4,1 February 2013,SmileysWorld,8, A worthwhile message that rings true still today.,"Returning to life at home for our overseas fighting men was not as easy as we here at home may have assumed,and McKinlay Kantor thought it important to write about this fact.The novel caught the attention of Hollywood and soon we were seeing it well illustrated on the big screen.War changes a man to one degree or another,either physically or emotionally or perhaps both.The passage of time doesn't help either,and things at home change a little.Their children grow,and they were unable to be there to witness it firsthand.Again,this makes the adjustment harder.For 4 years,all they knew was war,and they find themselves faced with the impossible task of picking up where they had left off.It's a worthwhile story to engross yourself in.While much of what you see here represents a world that does not exist anymore,the difficulties of adjusting to life at home after war ring true still today.",i
5,3 April 2016,tomsview,10, Window on an era,This is one of the important movies. ,e
6,1 December 2014,gavin6942,8, Those Left Behind,Three WWII veterans return home to small-town America to discover that they and their families have been irreparably changed.,w
7,7 February 2014,utgard14,10, One of the Best Films Ever Made,"Beautiful, brilliant film about three WWII veterans and their families struggling to adjust to changes in their lives after the war. Frederic March and Dana Andrews give exceptional performances; possibly their best. Real-life veteran Harold Russell, who lost his hands in the war, steals the show in probably the best acting I've ever seen from a novice. He's really amazing. The supporting cast includes wonderful actresses Myrna Loy, Teresa Wright, Virginia Mayo, Gladys George, and Cathy O'Donnell. There isn't a bad performance in the film. It's director William Wyler's best. It won seven Oscars plus received two honorary ones. This is definitely a must-see film. One of the all-time greats.",/
8,20 December 2007,classicsoncall,9," ""Last year it was killing Japs and this year it's... make money.""","Some months ago, a co-worker and I were discussing our favorite movies, and his happened to be ""The Best Years of Our Lives"". I had certainly heard of it before, and knew it ranked highly on the IMDb and AFI lists of all time top movies. Up till now though, it had remained low on my radar, but I requested it through my local library system and got a chance to see it today. The film has to be one of the best ever in dealing with the return of military soldiers to civilian life, certainly the best regarding servicemen from World War II. It wisely stays away from battle scene flash backs to concentrate on the human drama of three ordinary men thrust back into a world they have to familiarize themselves with all over again. Their experiences range from the happiness of friends and family to have them back home, to the wrenching adjustments they must make individually as befits their respective situations. Perhaps the most heart wrenching is the personal ordeal of sailor Homer Parrish (Harold Russell), a real life veteran who lost his hands in an accident while training paratroopers at Camp MacKall, North Carolina. You would never know Russell wasn't an accomplished actor of his own accord, and for his effort in the film, was recognized as the only actor in history to win two Oscars for the same role in a picture (Best Supporting Actor and an Honorary Award for bringing hope and courage to fellow veterans).",r
9,14 May 2015,Hitchcoc,9, Please Make It All Right,"One can't watch this without thinking of our present coming home soldiers. Consider the rampant PTSD and all the other factors that affect the lives of these young men and women. Some are maimed and some are psychologically damaged as they try to resume their lives. This film brings a portrait of three men who have left the same war, World War II, with various handicaps. One has lost his hands in an accident, one has become bitter and dissatisfied with the treatment of his fellow military comrade, and the third goes back to his wife, who has no interest in him anymore, who is only interested in a meal ticket. We get to see how war has changed these people. The handicapped man is the most obvious, as he longs for normalcy, yet watches as his family and friends drop into a depressed state, utterly aware of his limitations. They don't mean to, but they take away his humanity. He falls into the pits of depression, almost driving away the one who loves him most. The other two wrestle with their own demons. This is beautifully presented in a subtle way, without being maudlin. Of course, Hollywood requires a sappy ending. Still, the rest of the movie, including the great Hoagie Carmichael as a piano playing bar owner, stands on its own merit. I hadn't seen this movie in nearly forty years and it was a delight.",w
10,7 November 2020,Xstal,8," Drowning Sailor, Falling Airman, Cornered Soldier...","The effects of returning from conflict on three military men, each handling things in their own way, under different conditions, pressures and expectations. An incredibly emotional film to watch, especially as stories of this kind continue to play out today wherever warfare's been invoked. Several outstanding performances connect with our realties and perceptions of the chaos that seldom ceases with a cease fire or truce. Few films have remained as relevant, realistic and pertinent, nor captured the frustrations felt by returning heroes, under circumstances none of us would wish for, than this timeless masterpiece.",1
11,11 July 2003,didi-5,10, wonderful post-war epic,"This is a home-coming tale of three WWII veterans, returning to the same small town.  One was a bank clerk who rose through the military ranks (Fredric March, who got the Best Actor Oscar for this, well-deserved) with an understanding wife (Myrna Loy, excellent) and daughter (Teresa Wright). One has lost his hands (Harold Russell, real-life veteran, putting in a touching performance) and struggles to cope with this and with his relationship with his girlfriend (Cathy O'Donnell).  The other was a soda jerk but has flown bomber planes throughout the conflict (Dana Andrews, in one of his best roles) and is now heading back to his pin-up wife (Virginia Mayo, a small role but an interesting one).",9
12,17 September 2000,Nazi_Fighter_David,9, A deeply personal motion picture...,"This American masterpiece came as near perfection as popular art contrives to be, from its beautifully equivocal and suggestive title to the magnificent performance elicited by William Wyler from the nonprofessional amputee Harold Russell ",8
