Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,20 July 2008,Smells_Like_Cheese,10, The Batman of our dreams! So much more than a comic book movie,"I got to see The Dark Knight on Wednesday night, the reason though why I'm writing this movie comment this late is because I didn't wanna just jump and say this movie was awesome, I wanted to think it through, still today, I can't stop thinking about this movie! The Dark Knight lives up to it's hype and goes beyond it, this is the Batman movie that goes where no other Batman movie has gone before. It gave us a real sold story, we are finally told why the villains are the way they are, how all the injustice in the world can get underneath Batman's skin, how you have to believe that people still have faith in good on Earth. Heath Ledger, I absolutely loved Jack Nicolson's performance in the 1989 film, when I first read that Heath was signed onto The Dark Knight, I was like ""What are they, kidding?"", once you see The Dark Knight... Heath was incredible! I'm not going to compare Jack and Heath's performance, because they were two different versions of the Joker, but Heath's Joker was definitely the more scary and intense of the two nominations. You didn't know what he was going to do next, he was so crazy, he was also so charismatic to the point where you could relate to his character, and the worst part is not only that he's crazy, he's driving Gotham crazy and treating everyone like little puppets on strings that he can control, and guess what, he is doing it so well with a smile on his face. ",/
1,17 February 2021,dseferaj,10, This town deserves a better class of criminal!,"This movie is a work of art. The finest sequel ever made. I don't think we will see another movie like this for a long time. Heath Ledger's Joker is the best movie charachter I have ever seen by far. Avengers Endgame is great, but The Dark Knight is much better. The best Batman ever! The best Joker ever! The best DC movie ever! The best superhero movie ever! Ando for me, the best movie ever!",r
2,24 July 2008,littlemartinarocena,9, A Batman Of Shakesperean Proportions,"Dark, yes, complex, ambitious. Christopher Nolan and his co-writer Jonathan Nolan deserve a standing ovation. I don't usually go for loud movies filled with mindless gore and violence. ""The Dark Knight"" is certainly loud and violent but it's not mindless. It has depth and soul. Even the Joker, in an extraordinary creation by Heath Ledger, is deeply human. The natural petulance of Christian Bale makes his ego and alter ego the most fascinating and complex of all film superheroes. Part of the genius of this movie is that Batman himself, in screen time, is not really the lead. My attention was captivated by Heath Ledger and he determines and inspires the breathtaking atmosphere that envelopes Gotham as well as us. The aplomb of Christopher Nolan as a director is mind blowing and his secret, I believe, is his obvious respect for his audience. What he's done is to elevate a popular genre into Shakesperean proportions. Bravo!",e
3,20 July 2008,filmquestint,10, Heath Ledger's Dark and Brilliant Swan Song,"I couldn't believe ""The Dark knight"" could live up to the hype. That's perhaps the biggest surprise. The secret, I believe, is a stunning, mature, intelligent script. That makes it the best superhero movie ever made. As if that wasn't enough, Heath Ledger. He, the newest of the tragic modern icons present us with a preview of something we'll never see. A fearless, extraordinary actor capable to fill up with humanity even the most grotesque of villains. His performance is a master class. Fortunately, Christian Bale's Batman is almost a supporting character. Bale is good but there is something around his mouth that stops him from being great. ""The Dark Knight"" is visually stunning, powerful and moving. What else could anyone want.",v
4,7 October 2019,Aegontheconqueror,10, MASTERPIECE,"It is just what you want for the best movie. Great story great acting, thrilling twist.
Just watched Joker in 2019, I just has to come back and give dark knight a 10. And thanks to Heath Ledger for the exceptional performs.",i
5,14 September 2008,kosmasp,10, Watch the IMAX version if you can,"I had the pleasure to watch this movie in an IMAX theatre in London (it advertises itself, with the slogan ""Biggest screen in the UK""), which was one of the greatest movie experiences I had in my life. And it was my first movie in an IMAX theatre. I can only recommend it for anyone who has the chance to watch it, even if not the entire movie is shot for an IMAX theatre, this still is able to blow someone away! Great visuals combined with a great story and superb acting.",e
6,22 November 2021,melwinbauer,10, Best superhero movie of all time,I think that I could wax lyrical but this movie all day. It is absolutely incredible from start to finish.,w
7,7 July 2008,johnnymacbest,10," Surpasses ""Begins"" in every aspect!!!","Christopher Nolan's second bundle of joy ""The Dark Knight"" EXCEEDED all  of my expectations!!! With the success of 2005's reboot of the Batman  franchise, they took what was already established and expanded it,  amped it up, and gave a deeper, darker and brooding story that is more  gripping and the suspense is likely to catch you of guard several times  throughout. Christian Bale delves more deeper into Batman, sworn to  fight evil and injustice, though also quite reluctant and uncertain if  his crusade can ever end and cleanse his inner turmoil from his  fractured soul due to the murder of his beloved parents. But with the  help of his trusted butler/ally Alfred (played superbly by Michael  Cane) grounds him, gives him moral support, and keeps him in check. But  the real star of the show is Heath Ledger as Batman's most deadly  enemy, The Joker. I can HONESTLY tell you that: as good as Jack  Nicholson was in Batman'89 he is CHILD'S PLAY compared to this Joker.  He is sadistic, psychotic, and downright SCARIER and PSYCHOLOGICALLY  disturbing than the previous incarnation of The Clown Prince of Crime  and Ledger gives it his all to do him justice. Along with the original  cast comes some fresh faces such as Aaron Eckhart, Maggie Gyllenhaal  and more. I must say though I liked Katie Holmes, Gyllenhaal gives a  much better performance and is a far cry from the ""damsel-in-distress""  stereotype (though there's a little of it, THANKFULLY) that's common in  films. Bale and Gyllenhall have MUCH better chemistry this time around  more so than Holmes. Even better, the fight sequences are vastly  improved and feature more brutal and bone crushing combat than ""Begins""  in addition to new technology at Batman's disposal.  Also worth mentioning is screenwriter Jonathan Nolan, who gives the  film an added frosting to an already delicious cake.  Simply put, The Dark Knight is totally more bad ass than ""Begins."" The  action is great, and the plot is more deeper and engrossing. I applaud  Christopher Nolan, Christian Bale, and especially Heath Ledger (who  sadly passed away earlier this year) and all those aboard for believing  in Mr. Nolan's talents for this second installment. Although some may  feel a bit of melancholy over Ledger's death, but as a final note I  will say this sincerely from my heart: Remember Heath Ledger and honor  him in your minds and hearts not only for his performances, but as a  human being and father to his daughter Matilda  Ledger. May we issue him best wishes for his family and friends and his  daughter for years to come. Remember . . . Honor him not only for this  role and past roles, but as an incredible individual and talented  actor.  Rest in peace. Heath Ledger: 4/4/1979-1/22/2008.",/
8,22 January 2021,redbullrex,9, Heath Ledger,"If someone else acted as Joker, I would give the movie 7-8 stars. The majority of people ended up loving the villain more than the hero, and that rarely happends in movies.",r
9,16 July 2008,LoneWolfAndCub,10, The Dark Knight is as good as everyone says and easily the best superhero film made,"I think the big question...or the question everyone actually cares about is this: Is Christopher Nolan's follow up to the critically acclaimed 2005 film ""Batman Begins,"" The Dark Knight, as good as everyone is saying? Quite simply, yes, yes it is. There is no doubt about it, one of the most anticipated movies of the 21st century duly deserves every amount of praise lavished onto it. This is no ordinary superhero movie, this is a character and dialogue driven piece, not as action orientated as you might expect.",w
